sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢨꢾꢫ꣄,ब॑य्,பெ3ய்,be'y,bEy,bĕy,bej,elder sister,அக்கா,,,,Kinship,words
ꢣꢣꣁ,ददा॑,த3தொ3,dado',dadO,dadŏ,d̪əd̪o,elder brother,அண்ணன்,,,,Kinship,words
ꢩꢮꢶ,भवि,ப4வி,bhavi,bhavi,bhavi,bʰəʋɪ,elder brother’s wife,அண்ணி,,,,Kinship,words
ꢩꢮꣁ,भवा॑,ப4வொ,bhavo',bhavO,bhavŏ,bʰəʋo,brother in law,அத்தான்,,,,Kinship,words
ꢧꢸꢄ~,फुइ~,பு2இ~,phui~,phui~,phui~,pʰuɪ~,aunty,அத்தை,,,,Kinship,words
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,father’s mother,அப்பத்தா,,,,Kinship,words
ꢨꣂ,बो,போ3,bo,bo,bo,boː,father,அப்பா / தந்தை தகப்பன்,,,,Kinship,words
ꢨꢵꢦ꣄,बाप्,பா3ப்,baap,bAp,bāp,bɑːp,father,அப்பா / தந்தை தகப்பன்,,,,Kinship,words
ꢂꢪ꣄ꢨꣁ,अम्बा॑,அம்பொ3,ambo',ambO,ambŏ,əmbo,mother,அம்மா /அன்னை,,,,Kinship,words
ꢂꢙ꣄ꢙꢶ,अज्जि,அஜ்ஜி,ajji,ajji,ajji,əd͡ʒd͡ʒɪ,mother`s mother,அம்மாச்சி / ஆச்சி,,,,Kinship,words
ꢂꢙ꣄ꢙꢶ ꢂꢪ꣄ꢨꣁ,अज्जि अम्बा॑,அஜ்ஜிஅம்பொ3,ajji ambo',ajji ambO,ajji ambŏ,əd͡ʒd͡ʒɪ əmbo,grand mother`s mother,ஆத்தா,,,,Kinship,words
ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄,काम क॑र्त्तिन्,காம் கெர்த்தின்,kaam ke'rttin,kAm kErttin,kām kĕrttin,kɑːm keɾt̪t̪ɪn̪,Care taker,ஆயா,,,,Kinship,words
ꢱꢾꢥ꣄ꢡꣁꢙꢶꢥ꣄,स॑न्ता॑जिन,ஸெந்தொஜின்,se'nto'jin,sEntOjin,sĕntŏjin,s̪en̪t̪od͡ʒɪn̪,brothers and sisters,உடன் பிறப்புகள்,,,,Kinship,words
ꢨꣀꢨꢾꢫ꣄ꢥꢾꢥ꣄,भै भेय्न॑न,பை4 பெ4ய்னென்,baibe'yne'n,baibEynEn,baibĕynĕn,bəɪbejn̪en̪,brothers and sisters,உடன் பிறப்புகள்,,,,Kinship,words
ꢨꢥ꣄ꢤꢸꢙꢾꢥꢵꢥ꣄,बन्धुज॑नान,ப3ந்து4ஜெனான்,bandhuje'naan,bandhujEnAn,bandhujĕnān,bən̪d̪ʰud͡ʒen̪ɑːn̪,relatives,"உறவினர், சொந்தங்கள்",,,,Kinship,words
ꢐꢱ꣄ꢡꢸꢥ꣄,आ॑स्तुन,ஒஸ்துன்,ostun,ostun,ostun,oːs̪t̪un̪,relatives,"உறவினர், சொந்தங்கள்",,,,Kinship,words
ꢨꢥ꣄ꢣꢸꢦꢥ꣄,बन्धुपन,ப3ந்து4பன்,bandupan,bandupan,bandupan,bən̪d̪upən̪,relationship,"உறவு, சொந்தம்",,,,Kinship,words
ꢏꢱ꣄ꢡꢸ,आ॑स्तु,ஒஸ்து,o'stu,Ostu,ŏstu,os̪t̪u,relationship,"உறவு, சொந்தம்",,,,Kinship,words
ꢣꢾꢮ꣄ꢬꢥꢶ ꢚꢾꢞꢥꢶꢥ꣄,देव्रन्,தெ3வ்ரன்ஜெ2டனின்,de'vrani jhe'd'anin,dEvrani jhEDanin,dĕvrani jhĕḍanin,d̪eʋɾən̪ɪ d͡ʒʰeɖən̪ɪn̪,Co-sisters,ஓரகத்தி,,,,Kinship,words
ꢣꢭ꣄ꢭꣁ,दल्ला॑,த3ல்லொ,dallo',dallO,dallŏ,d̪əllo,husband,"கணவன், புருஷன்",,,,Kinship,words
ꢦꢡꢶ,पति,பதி,pati,pati,pati,pət̪ɪ,husband,"கணவன், புருஷன்",,,,Kinship,words
ꢩꢬ꣄ꢡꣁ,भर्ता॑,ப4ர்தொ,bharto',bhartO,bhartŏ,bʰəɾt̪o,husband,"கணவன், புருஷன்",,,,Kinship,words
ꢂꢪ꣄ꢨꢸꢭꣁ,अम्बुला॑,அம்பு3லொ,ambulo',ambulO,ambulŏ,əmbulo,husband,"கணவன், புருஷன்",,,,Kinship,words
ꢦꢶꢭ꣄ꢭꣁ,पिल्ला॑,பில்லொ,pillo',pillO,pillŏ,pɪllo,child,குழந்தை,,,,Kinship,words
ꢨꢵꢳꢸ,बाळु,பா3ளு,baal'u,bALu,bāl̤u,bɑːɭu,child,குழந்தை,,,,Kinship,words
ꢥꢴꢸꢬꢸ,न्हुरु,நு:ரு,nhuru,nhuru,nhuru,n̪ɦuɾu,child,குழந்தை,,,,Kinship,words
ꢨꢵ ꢂꢙ꣄ꢙꣁ,बा अज्जा॑,பா3 அஜ்ஜொ,baa ajjo',bA ajjO,bā ajjŏ,bɑː əd͡ʒd͡ʒo,great grand father,கொள்ளுத்தாத்தா,,,,Kinship,words
ꢨꢵ ꢂꢙ꣄ꢙꢶ,बा अज्जि,பா3 அஜ்ஜி,baa ajji,bA ajji,bā ajji,bɑː əd͡ʒd͡ʒɪ,great grand mother,கொள்ளுப்பாட்டி,,,,Kinship,words
ꢦꣁꢥ꣄ ꢥꢡꢶꢥꢶ,पा॑न् नतिनि,பொன் நதினி,po'n natini,pOn natini,pŏn natini,pon̪ n̪ət̪ɪn̪ɪ,grandson`s daughter,கொள்ளுப்பேத்தி,,,,Kinship,words
ꢦꣁꢥ꣄ꢥꢡ꣄ꢡꢾ,पा॑न्नत्त॑,பொன்நத்தெ,po'nnatte',pOnnattE,pŏnnattĕ,pon̪n̪ət̪t̪e,grandson`s son,கொள்ளுப்பேரன்,,,,Kinship,words
ꢣꢾꢮꢬ꣄,द॑वर्,தெ3வர்,de'var,dEvar,dĕvar,d̪eʋəɾ,husband,கொழுந்தன்,,,,Kinship,words
ꢥꢾꢥꢥ꣄ꢡꢸ,न॑नन्तु,நெனந்து3,ne'nantu,nEnantu,nĕnantu,n̪en̪ən̪t̪u,wife`s younger sister,கொழுந்தி,,,,Kinship,words
ꢥꢿꢥ꣄ꢣꢸ,नेन्दु,நேந்து3,nendu,nendu,nendu,n̪eːn̪d̪u,wife`s younger sister,கொழுந்தி,,,,Kinship,words
ꢱꣁꢮꢡ꣄,सा॑वत्,ஸொவத்,so'vat,sOvat,sŏvat,s̪oʋət̪,co-wife,சக்களத்தி,,,,Kinship,words
ꢱꢾꢬ꣄ꢔꢸꢜ꣄,सा॑र्गुट,ஸொர்கு3ட்,se'rgut',sErguT,sĕrguṭ,s̪eɾguʈ,co-brother,சகலப்பாடி,,,,Kinship,words
ꢱꢞ꣄ꢔꢸꢜ꣄,सड्गुट,ஸட்3கு3ட்,sad'gut',saDguT,saḍguṭ,s̪əɖguʈ,co-brother,சகலப்பாடி,,,,Kinship,words
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢾꢥꣁ,स॑ङ्का॑ उज॑स्त॑ना॑,ஸெங்கொ உஜெஸ்தெனொ,se'nko' uje'ste'no',sEGkO ujEstEnO,sĕṅkŏ ujĕstĕnŏ,s̪eŋko ud͡ʒes̪t̪en̪o,brother,சகோதரன்,,,,Kinship,words
ꢩꣀ,भै,பை4,bhai,bhai,bhai,bʰəɪ,brother,சகோதரன்,,,,Kinship,words
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢶꢥꣁ,स॑ङ्का॑ उज॑स्तिना॑,ஸெங்கொ உஜிஸ்தினொ,se'nko' uje'stino',sEGkO ujEstinO,sĕṅkŏ ujĕstinŏ,s̪eŋko ud͡ʒes̪t̪ɪn̪o,sister,சகோதரி,,,,Kinship,words
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,bhe'yn,bhEyn,bhĕyn,bʰejn̪,sister,சகோதரி,,,,Kinship,words
ꢮꢾꢱꢶꢥ꣄ꢡꢶ,व॑सिन्ति,வெஸிந்தி3,ve'sinti,vEsinti,vĕsinti,ʋes̪ɪn̪t̪ɪ,relatives by marriage,சம்பந்திகள்,,,,Kinship,words
ꢮꢾꢱꢶꢥ꣄ꢡꢶꢥ꣄,व॑सिन्तिन्,வெஸிந்தி3ன்,ve'sintin,vEsintin,vĕsintin,ʋes̪ɪn̪t̪ɪn̪,relatives by marriage,சம்பந்திகள்,,,,Kinship,words
ꢥꢴꢥ꣄ꢥꢨꣂ,न्हन्नबा॑,ந:ன்னபோ3,nhannabo,nhannabo,nhannabo,n̪ɦən̪n̪əboː,father’s younger brother,சித்தப்பா,,,,Kinship,words
ꢒꢒꣁ,कका॑,ககொ,kako',kakO,kakŏ,kəko,father’s younger brother,சித்தப்பா,,,,Kinship,words
ꢪꣃꢱꢶ,मौसि,மௌஸி,mausi,mausi,mausi,məus̪ɪ,"mother`s younger sister, stepmother",சித்தி,,,,Kinship,words
ꢥꢴꢥ꣄ꢥꢪ꣄ꢨꣂ,न्हन्नम्बो,ந:ன்னம்போ3,nhannambo,nhannambo,nhannambo,n̪ɦən̪n̪əmboː,"mother`s younger sister, stepmother",சின்னம்மா,,,,Kinship,words
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,bhe'yn,bhEyn,bhĕyn,bʰejn̪,younger sister,தங்கை,,,,Kinship,words
ꢨꣀꢫ꣄,बैय्,பை3ய்,baiy,baiy,baiy,bəɪj,elder brother,தமயன்,,,,Kinship,words
ꢨꢾꢜꣁ,ब॑टा॑,பெ3டொ,be't'o',bETO,bĕṭŏ,beʈo,son,தனயன்,,,,Kinship,words
ꢂꢫ꣄ꢫꣂ,अय्या॑,அய்யொ,ayyo,ayyo,ayyo,əjjoː,grandfather,தாத்தா/ பாட்டன்,,,,Kinship,words
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,mother,தாய்,,,,Kinship,words
ꢂꢙ꣄ꢙꣁ,अज्जा॑,அஜ்ஜொ,ajjo',ajjO,ajjŏ,əd͡ʒd͡ʒo,great grand father,கொள்ளுத்தாத்தா,,,,Kinship,words
ꢡꢭ꣄ꢭꣂ,तल्ला॑,த3ல்லொ,tallo,tallo,tallo,t̪əlloː,husband,கணவன்,,,,Kinship,words
ꢂꢖ꣄ꢒꢿꢬ꣄ ꢨꣁ,अङक॑र् बो,அங்கெர் போ,anker bo',aGker bO,aṅker bŏ,əŋkeːɾ bo,grandfather,தாத்தா/ பாட்டன்,,,,Kinship,words
ꢂꢖ꣄ꢒꢿꢬꢪ꣄ꢨꣁ꣄,अङक॑रम्बो,அங்கெரம்போ,ankerambo',aGkerambO,aṅkerambŏ,əŋkeːɾəmbo,mother`s mother,அம்மாச்சி / ஆச்சி,,,,Kinship,words
ꢨꢾꢫ꣄ꢭ꣄,ब॑य्ल,பெ3ய்ல்,be'yl,bEyl,bĕyl,bejl,wife,பெண்டாட்டி,,,,Kinship,words
ꢨꣀꢭ꣄,बैल,பை3ல்,bail,bail,bail,bəɪl,wife,பெண்டாட்டி,,,,Kinship,words
ꢩꢵꢬꢶ,भारि,பா4ரி,bhaari,bhAri,bhāri,bʰɑːɾɪ,wife,பெண்டாட்டி,,,,Kinship,words
ꢩꢵꢬꢶꢫꣁ,भारिया॑,பா4ரியொ,bhaariyo',bhAriyO,bhāriyŏ,bʰɑːɾɪjo,wife,பெண்டாட்டி,,,,Kinship,words
ꢱꢡꢶ,सति,ஸதி,sati,sati,sati,s̪ət̪ɪ,wife,பெண்டாட்டி,,,,Kinship,words
ꢪꢴꣁꢜ꣄ꢜ ꢨꣂ,म्हा॑ट्टबो,மொ:ட்டபோ3,mho't't'a bo,mhOTTa bo,mhŏṭṭa bo,mɦoʈʈə boː,father`s elder brother,பெரியப்பா,,,,Kinship,words
ꢪꣁꢜ꣄ꢜꢪ꣄ ꢨꣂ,म्हा॑ट्टम्बो,மொ:ட்டம்போ3,mo't't'am bo,mOTTam bo,mŏṭṭam bo,moʈʈəm boː,mother,பெரியம்மா,,,,Kinship,words
ꢪꢵꢫ꣄ꢨꢵꢦ꣄,माय्बाप,மாய்பா3ப்,maaybaap,mAybAp,māybāp,mɑːjbɑːp,parents,பெற்றோர்,,,,Kinship,words
ꢂꢪ꣄ꢨꣁ ꢨꣂ,अम्बा॑बो,அம்பொ3போ3,ambo' bo,ambO bo,ambŏ bo,əmbo boː,parents,பெற்றோர்,,,,Kinship,words
ꢥꢡꢶꢥꢶ,नतिनि,நதினி,natini,natini,natini,n̪ət̪ɪn̪ɪ,grand daughter,பேத்தி,,,,Kinship,words
ꢥꢡ꣄ꢡꢾ,नत्त॑,நத்தெ,natte',nattE,nattĕ,n̪ət̪t̪e,grand son,பேரன்,,,,Kinship,words
ꢨꢾꢜꢶ,ब॑टि,பெ3டி,be't'i,bETi,bĕṭi,beʈɪ,daughter,மகள்,,,,Kinship,words
ꢱꢳꣁ,सळा॑,ஸளொ,sal'o',saLO,sal̤ŏ,s̪əɭo,brother - in - law,மச்சான்,,,,Kinship,words
ꢩꣁꢮ꣄ꢠ꣄ꢜꢶ,भोवण्टि,பொ4வ்ண்டி3,bho'vnt'i,bhOvNTi,bhŏvṇṭi,bʰoʋɳʈɪ,daughter in law,மருமகள்,,,,Kinship,words
ꢙꣁꢪꣀ,जा॑मै,ஜொமை,jo'mai,jOmai,jŏmai,d͡ʒoməɪ,son in law,மருமகன்,,,,Kinship,words
ꢨꢾꢫ꣄ꢭ꣄,ब॑य्ल्,பெ3யின்,be'yl,bEyl,bĕyl,bejl,sister,தங்கை,,,,Kinship,words
