sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,மகொ3,mago,,,,Handloom,கைத்தறி,மகா3 காமுக் ஆத3ரொ தெ3னொ,We should support handloom work,கைத்தறி தொழிலை ஆதரிக்க வேண்டும்,weaving,corpus_sourashtradictionary
,,வினத்தெ,vinatte,,,,Weaving,நெய்தல்,ஸௌராஷ்டிரர்னு வினெத்தெமாம் நாவ் பொட்3யாத்தெனு,Sourashtrians are popular for weaving,சௌராஷ்டிரர்கள் நெசவுக்குப் பிரபலமானவர்கள்,weaving,corpus_sourashtradictionary
,,வினஸ்தெ,vinaste,,,,Weaving,நெய்தல்,பஸுடு3 ஸௌலொ வினஸ்தக் கௌஶல் பஜெ,Silk saree weaving requires skill,பட்டுப் புடவை நெய்வதற்கு திறமை தேவை,weaving,corpus_sourashtradictionary
,,உஸுனொ,usuno,,,,Bleaching,வெளுப்பது,ரெங்க3த்தக் முது3ல்லாம் தாகுக் உஸுனொ,"Before dyeing, the yarn should be bleached","சாயமிடுவதற்கு முன், நூலை வெளுக்க வேண்டும்",weaving,corpus_sourashtradictionary
,,தாக்,taak,,,,Yarn,நூலிழை,தாகுன் தீ3 ப்ரகார் ஹோஸு - ஒண்டெ லம்பு3 தாக் அங்கொ3ண்டெ3 அட்3ட3ம் தாக்,The yarn is of two type - Lengthwise yarn is called Warp and crosswise yarn is called Weft,நூலிழை இரண்டு வகைப்படும் - ஒன்று நீட்டு பாவு நூல் மற்றது குறுக்காக ஓடும் ஊடை நூல்,weaving,corpus_sourashtradictionary
,,தாத்,taat,,,,Warp - (consists nine 6 yard sarees),பாவு - ஒன்பது 6 கஜம் சேலை கொண்டது,ஒண்டெ தாத் மெனரியொ 54 கெ3ஜுன் ர்ஹாயி,One warp is made of 54 yards,ஒரு பாவு என்பது 54 கஜம் கொண்டது,weaving,corpus_sourashtradictionary
,,பக3ட்,pagaT,,,,Warp,பாவுநூல்,பொ3ட்டொ வினத்தக் பஜெ ஹோரியொ லம்பு3 தாகுக் பக3ட் மெனன்,The long yarn required for weaving fabric is called warp,துணி நெசவிற்குப் பயன்படும் நீளமான இழை பாவுநூல் எனப்படும்,weaving,corpus_sourashtradictionary
,,பக3ட் எரஸ்தெ,pagaT eraste,,,,Streching the warp,பாவு நீட்டுதல்,பக3ட் எரஸ்தக் ம்ஹொட்டொ தா2ம் பஜெ,A large space is needed for stretching the warp,பாவு நீட்ட பெரிய இடம் தேவை,weaving,corpus_sourashtradictionary
,,பொன்னி கெரத்தெ,ponni keratte,,,,Streching the warp,பாவு நீட்டுதல்,பொன்னி கெரிகின் தாகுக் ஶுத்3த3ம் கெரனு,The yarn is cleaned by stretching the warp,பாவு நீட்டி நூலை சுத்தம் செய்வார்கள்,weaving,corpus_sourashtradictionary
,,பெ3ந்து ஸட்டம்,bentu saTTam,,,,Cross beam,பாவு கட்டை,தாகு ர்ஹுந்தி3 பொகட் உட்சி தெ4ர்லத்தக் பெ3ந்து ஸட்டம் நுக3ஸு,The cross beam is used to stretch the yarn widthwise,பாவு நூலை அகலவாக்கில் இறுக்கி பிடிக்க பாவு கட்டை பயன்படுகிறது,weaving,corpus_sourashtradictionary
,,ரோல்,rOl,,,,Warp beam,பாவு கட்டை,ஶுத்3த3ம் கெரெ தாகுக் ரோலும் கு3வ்னஸுன்,The cleaned yarn is rolled on the warp beam,சுத்தம் செய்த பாவு நூலை பாவு கட்டையில் சுற்றுவார்கள்,weaving,corpus_sourashtradictionary
,,தூர்,toor,,,,Cloth Beam,பாவுநூல் சுற்றும் உருளை,வினெ ஸவ்லாக் தூரும் கு3வ்னஸுன்,The woven saree is rolled on cloth beam,நெய்த சேலையை பாவு உருளையில் சுற்றுவார்கள்,weaving,corpus_sourashtradictionary
,,பொ2லொ,pholo,,,,Ratchet Wheel,திருகி,தூர் பி2வ்ரத்தக் பொ2லொ நுக3ஸு,The cloth beam is rotated using ratchet and wheel,பாவு உருளையை சுழற்றுவதற்கு திருகி பயன்படும்,weaving,corpus_sourashtradictionary
,,த3வ்னி,davni,,,,Woven Saree of 6 yards,6 கஜம் நெய்யப்பட்ட சேலை,,,,weaving,corpus_sourashtradictionary
,,நெலி,neli,,,,Loom Wood Shuttle,"ஓடம், நாடா",நெலிம் பி4த்தர் ரித்திகெண்டா3க் தொ2வனு,Wooden bobbin is placed inside the Shuttle,நாடாவின் உள்ளே ஊடை குழலை வைப்பார்கள்,weaving,corpus_sourashtradictionary
,,கெலி,keli,,,,Shuttle Roller,நாடா உருளை,நெலிம் தீ3 பொகட் கெலின் ர்ஹாயி,There will be two wooden rollers on both the side of the shuttle,நாடாவின் இரண்டு பக்கமும் நாடா உருளை இருக்கும்,weaving,corpus_sourashtradictionary
,,ரித்திகெண்டொ3,rittikeNDo,,,,Loom Wood Bobbin,ஊடை குழல்,ரித்திகெண்டா3ம் அட்3ட3ம் தாக் பொ4வ்ரனு,Weft yarn is wound on the wooden bobbin,ஊடை நூலை ஊடை குழலில் சுற்றுவார்கள்,weaving,corpus_sourashtradictionary
,,ஒய்க் வள்டி,oyk vaLTi,,,,Round wooden bar,வட்டக்கோல்,,,,weaving,corpus_sourashtradictionary
,,கம்டி3 வள்டி,kamDi vaLTi,,,,Flat wooden bar,பட்டைக்கோல்,வினெத்தெ வேள் பக3டுக் ஹோட்கன் உட்சி தெ4ர்லத்தக் கம்டி3 வள்டி நுக3ஸு,The flat wooden bar helps to hold the yarn tightly while weaving,"நெய்யும் போது, பாவுநூலை இறுக்கமாக பிடித்திருக்க பட்டைக்கோல் உதவுகிறது",weaving,corpus_sourashtradictionary
,,மகொ3,mago,,,,Batten Handle,தறியின் கைப்பிடி,நெலிக் அட்3ட3ம் த4மட3த்தக் மகொ3 உட்சனு,Batten handle is pulled to run the Shuttle across the warp,குறுக்குசால் ஓட்ட தறியின் கைப்பிடியை இழுப்பார்கள்,weaving,corpus_sourashtradictionary
,,மகா3 மிட்டொ,magaa miTTo,,,,Weaver's seat,நெய்பவர் இருக்கை,விங்கர் மகா3 மிட்டாம் பி3ஸி வினனு,The weaver sits on the weaver's seat and weaves,நெய்பவர் நெசவாளார்-இருக்கையில் அமர்ந்து நெய்வார்,weaving,corpus_sourashtradictionary
,,ஜக்கார்ட்3 பெடி,jakkaarD peTi,,,,Jacquard box,வடிவமைப்பு பெட்டி,ஸவ்லாம் பஜெஹொயெ சித்ரு அவட3த்தக் ஜக்கார்ட்3 பெடி ஒர்க3ஸு,Jacquard box is used to create required design in the Saree,சேலையில் விரும்பிய வடிவை வரவைக்க ஜக்கார்ட்3 பெட்டி பயன்படுகிறது,weaving,corpus_sourashtradictionary
,,பொத்தி,potti,,,,A cone shaped hand tool to wind yarn for Handloom,பெரூட்டம் - கையால் நூல் சுற்றும் கூம்பு போன்ற கருவி,பொத்திம் அட்3ட3ம் தாகுக் கு3வ்னி தொ2வனு,The weft yarn is wound on the cone shaped hand tool,பெரூட்டத்தில் ஊடை நூலை சுற்றி வைப்பார்கள்,weaving,corpus_sourashtradictionary
,,பொத3ரோ,podarO,,,,A bamboo reel for winding off weft yarn,மரக்கால் - நூல் சுற்றும் ஓர் கருவி,ரித்திகெண்டா3ம் பொ4வ்ரத்தக் முது3ல்லாம் பொத3ராம் தாக் கு3வ்னனு,Weft yarn is wound on the wooden tool before feeding the bobbin,ஊடை குழலில் சுற்றுவதற்கு முன்னால் மரக்காலில் நூலை சுற்றுவார்கள்,weaving,corpus_sourashtradictionary
,,ர்ஹெடொ3,rheDo,,,,Hand Spinning Wheel,கை ராட்டை,ரித்திகெண்டா3ம் தாக் பொ4வ்ரத்தக் ர்ஹெடொ3 நுக3ஸு,The hand wheel is used to wind the weft yarn on the wooden bobbin,ஊடை குழலில் நூல் சுற்ற கை ராட்டை பயன்படும்,weaving,corpus_sourashtradictionary
