sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,தேகு,tEku,,,,Teak,தேக்கு,தேகு ஜா2டு3 பொல்கானுக் ஹுதி3ன் தெ4ர்னா,Termites do not eat teak wood,தேக்கு மரப் பலகையை கரையான் அரிக்காது,trees,corpus_sourashtradictionary
,,லீமு ஜா2ட்3,leemu jhaaD,,,,Neem Tree,"வேப்பமரம், வேம்பு",அம்மொ நிகி3ளாத்தெங்கொ3 லீமு ஜா2டு3 பானும் நிஞ்ஜட3ன்,People with measles are put to bed with neem leaves,அம்மை நோய் உள்ளவர்களை வேப்ப இலையில் படுக்க வைப்பார்கள்,trees,corpus_sourashtradictionary
,,நீமு ஜா2ட்3,neemu jhaaD,,,,Neem Tree,"வேப்பமரம், வேம்பு",நீமு ஜா2டு3 வரொ ஆங்கு3க் சொக்கடு3,The air of the neem tree is good for the body,வேப்ப மரத்தின் காற்று உடலுக்கு நல்லது,trees,corpus_sourashtradictionary
,,பிம்பள் ஜா2ட்3,pimpaL jhaaD,,,,Peepal Tree,அரசமரம்,ஜா2டு3னுக் ரஜொ பிம்பள் ஜா2டு3,Peepal Tree is the king of trees,மரங்களின் அரசன் அரசமரம்,trees,corpus_sourashtradictionary
,,ஒடா3 ஜா2ட்3,oDaa jhaaD,,,,Banyan Tree,ஆலமரம்,ஒடா3 ஜா2ட்3 ஶீன் ஶமுல்லத்தக் சொக்கட் ஸைலு தே3யி,The banyan tree gives good shade to relax,ஆலமரம் இளைப்பாற நல்ல நிழல் தரும்,trees,corpus_sourashtradictionary
,,அஸோக ஜா2டு3,asOka jhaaDu,,,,"Ashoka Tree, Saraca indica",அசோக மரம்,அஸோக ஜா2டு3 பொவ்ஸ் வேன் பொட3ரியொ ராணும் ஹொட3யி,Ashoka tree grows in rainfed forests,அசோக மரம் மழை அதிகம் உள்ள காடுகளில் வளரும்,trees,corpus_sourashtradictionary
,,கச்சம்பா3 ஜா2டு3,kaccambaa jhaaDu,,,,Mango tree,மாமரம்,கச்சம்பா3 ஜா2டு3 விடி3 கவாட் கெரத்தக் நுக3ஸு,Mango tree is used to make window door,மாமரம் ஜன்னல் கதவு செய்ய பயன்படும்,trees,corpus_sourashtradictionary
,,தூது3,toodu,,,,Portia tree,பூவரசம் பூ,"தூது3 ஜா2டு3 பானு, பூ2லு, கய்லொ மெனி அஸ்கி ஹொக3து கு3ண்ணு ஸேத்திஸானுகெ","The leaves, flowers and pods of the Portia tree are all medicinal","பூவரசம் மரத்தின் இலைகள், பூக்கள், காய்கள் அனைத்தும் மருத்துவ குணம் உள்ளவை",trees,corpus_sourashtradictionary
,,சீஸு ஜா2ட்3,ceesu jhaaD,,,,Tamarind tree,புளியமரம்,ரெத்து சாத் கெரத்தக் சீஸு ஜா2ட்3 நுக3ஸு,Tamarind tree is used to make the axle of the chariot,தேரின் அச்சு செய்ய புளியமரம் பயன்படும்,trees,corpus_sourashtradictionary
,,சந்தி3 ஜா2ட்3,candi jhaaD,,,,"Silk Cotton tree, Kapok tree",இலவம் பஞ்சு மரம்,சந்தி3 ஜா2ட்3 சார் ஒர்ஸு ப2ரொ சொக்கட் போ2ள் தே3யி,Silk cotton tree gives good results after four years,இலவம் பஞ்சு மரம் நான்கு ஆண்டுகளுக்கு பிறகு நல்ல பலன் கிடைக்கும்,trees,corpus_sourashtradictionary
,,நலர் ஜா2ட்3,nalar jhaaD,,,,Coconut tree,தென்னைமரம்,நலர் ஜா2ட்3 ரமா ரமி 70 ஒர்ஸுன் ஜிவஸு,The coconut tree lives for about 70 years,தென்னை மரம் சுமார் 70 ஆண்டுகள் வாழ்கிறது,trees,corpus_sourashtradictionary
,,நரெளு ஜா2டு3,nareLu jhaaDu,,,,Coconut tree,தென்னைமரம்,"நரெளு ஜா2டு3, 50 - 80 பௌல் லென்து உன்சொ ஹொயினு ஹொட3ஸு",The coconut tree grows to a height of 50 - 80 feet,தென்னை மரம் 50 - 80 அடி உயரம் வரை வளர்கிறது,trees,corpus_sourashtradictionary
,,கேளு ஜா2ட்3,kELu jhaaD,,,,Banana Tree,வாழைமரம்,கேளு ஜா2டு3 அஸ்கி பொ4ணமு உபயோக்3 ஹோஸு,All parts of the banana tree are used,வாழை மரத்தின் அனைத்து பாகங்களும் பயன்படுகின்றன,trees,corpus_sourashtradictionary
,,ஸெவ்கா ஜா2ட்3,sevkaa jhaaD,,,,Drumstick Tree,முருங்கைமரம்,வரொ பொ3லோம்கன் ஹனெதி3 ஸெவ்கா ஜா2ட்3 முட்டி பொள்ட3யி,The drumstick tree breaks when the wind blows hard,காற்று பலமாக வீசும்போது முருங்கை மரம் முறிந்து விடும்,trees,corpus_sourashtradictionary
,,ஸொமி ஜா2ட்3,somi jhaaD,,,,Jammi Tree,வன்னிமரம்,ஜு2கு3 தௌ4ரானும் ஸொமி ஜா2டு3 ஸ்த2ல வ்ருக்ஷம்கன் ஸெ,The Jammi is the tree of worship in many temples,பல ஆலயங்களில் ஸ்தல விருட்சமாக வன்னி மரம் இருக்கிறது,trees,corpus_sourashtradictionary
,,கானு ஜா2ட்3,kaanu jhaaD,,,,"Alexandrian Laurel Tree, Beautyleaf Tree",புன்னைமரம்,கானு ஜா2டு3 நௌகொ ப4ந்த3த்தக் நுக3ஸு,Beautyleaf tree is used to build the boat,புன்னை மரம் படகு கட்ட பயன்படும்,trees,corpus_sourashtradictionary
,,பீ3லு ஜா2ட்3,beelu jhaaD,,,,Bael Tree,வில்வமரம்,பீ3லு ஜா2ட்3 ஜு2க்குகன் ஈஸ்புரு தௌ4ராம் ராஸு,The Bael tree is mostly found in Eeswaran temples,வில்வமரம் பெரும்பாலும் ஈஸ்வரன் கோயில்களில் உள்ளது,trees,corpus_sourashtradictionary
,,ஸிர்க்கணு ஜா2ட்3,sirkkaNu jhaaD,,,,Sandalwood Tree,சந்தனமரம்,பு4லோகுர் 65% ஸிர்க்கணு ஜா2டு3னு பா4ரதும் பிக்கஸு,65% of the world's sandalwood is grown in India,உலகில் 65% சந்தன மரங்கள் இந்தியாவில் விளைகின்றன,trees,corpus_sourashtradictionary
,,வேணு ஜா2ட்3,vENu jhaaD,,,,Bamboo Tree,மூங்கில் மரம்,வேணு கொ3வது வம்ஶமு செரெ ஒண்டெ ஜா2டு3,Bamboo is a tree belonging to the genus Grass,மூங்கில் புல் வகையைச் சேர்ந்த ஒரு மரம் ஆகும்,trees,corpus_sourashtradictionary
,,தாடி3 ஜா2ட்3,taaDi jhaaD,,,,Palm Tree,பனைமரம்,தாடி3 ஜா2டு3 மொள்கொ ஸொடி3 வீஸ் ஒர்ஸுனு ப2ராதூஸ் போ2ள் தே3யி,The palm tree bears fruit twenty years after germination,பனைமரம் முளை விட்ட பிறகு இருபது வருடங்கள் கழித்து பலன் தரும்,trees,corpus_sourashtradictionary
,,தாளு ஜா2டு3,taaLu jhaaDu,,,,Palmyra tree,பனைமரம்,தாளு ஜா2டு3 30 - 40 பவுல் உஞ்சொ ஹொட3யி,The palm tree grows to a height of 30 - 40 feet,பனைமரம் 30 - 40 அடி உயரம் வளரும்,trees,corpus_sourashtradictionary
,,துஞ்ஜு,tunjju,,,,Palmyra tree,பனைமரம்,துஞ்ஜு ரமாரமி 120 ஒர்ஸுன் லெங்கு ஜிவயி,The palm tree can live up to 120 years on average,பனைமரம் சராசரியாக 120 வருடங்கள் வரை வாழும்,trees,corpus_sourashtradictionary
,,க2ஸ்லா ஜா2டு3,khaslaa jhaaDu,,,,Date palm tree,பேரீச்சமரம்,க2ஸ்லா ஜா2டு3ன் வளுராணும் ஹொட3த்திஸானுகெ,Date palm trees can grow in deserts,பேரீச்சை மரங்கள் பாலைவனங்களில் வளரக்கூடியவை,trees,corpus_sourashtradictionary
,,க2ஸுளு,khasuLu,,,,Date palm tree,பேரீச்சமரம்,க2ஸுளு சொக்கட் லாப் தே3த்திஸானுகெ,Date palm trees are very profitable,பேரீச்சை மரங்கள் நல்ல லாபம் தரக்கூடியவை,trees,corpus_sourashtradictionary
,,ஸ்ரீ தாளு ஜா2ட்3,sree taaLu jhaaD,,,,Male palmyra tree,ஆண் பனைமரம்,ஸ்ரீ தாளு ஜா2டு3ம் கய்லொ லய்னா,The male date palm does not bear fruit,ஆண் பனைமரத்தில் காய் காய்க்காது,trees,corpus_sourashtradictionary
,,ஹிந்தாளு ஜா2ட்3,hintaaLu jhaaD,,,,Talipot palm,"தாளிப்பனை, கூந்தப்பனை",ஹிந்தாளு ஜா2டு3 ஜித்ரவும் ஒண்ட்டே ஒண்ட்டாலுஸ் பு2லயி,Talipot palm blooms only once in a lifetime,கூந்தப்பனை வாழ்நாளில் ஒரே ஒருமுறைதான் பூக்கும்,trees,corpus_sourashtradictionary
,,பு4ஸ்லா ஜா2ட்3,bhuslaa jhaaD,,,,Black or Mountain date palm,சிறு ஈச்சமரம்,பு4ஸ்லா ஜா2டு3 பெச்சம் பொள்ளொ களொ ர்ஹாயி,The fruit of the mountain date palm tree is black,சிறு ஈச்ச மரத்து பேரீச்சம் பழம் கருப்பாக இருக்கும்,trees,corpus_sourashtradictionary
,,ஹப்பளு ஜா2ட்3,happaLu jhaaD,,,,Arecanut tree,பாக்கு மரம்,ஹப்பளு ஜா2ட்3 தொ3ங்க3ரும் க4லத்திஸா பீகு ஹோஸு,Arecanut tree is a hill garden crop,பாக்கு மரம் ஒரு மலைத்தோட்டப் பயிர் ஆகும்,trees,corpus_sourashtradictionary
,,ஹுப்பளு ஜா2ட்3,huppaLu jhaaD,,,,Arecanut tree,பாக்கு மரம்,ஹுப்பளு ஜா2டு3 பொஞ்சிஸ் ஒர்ஸுனுக் போ2ள் தே3யி,Arecanut tree will bear fruit for twenty-five years,பாக்கு மரம் இருபத்தைந்து வருடங்களுக்கு பலன் தரும்,trees,corpus_sourashtradictionary
,,ஜுங்கெ ஜா2ட்3,jungke jhaaD,,,,Aged tree,முதிர்ந்த மரம்,ஜுங்கெ ஜா2டு3 நரள் ம்ஹத்3தி3 தரொகன் ர்ஹாயி,The coconut of the aged tree is medium,முதிர்ந்த மரத்தின் தேங்காய் நடுத்தரமாக இருக்கும்,trees,corpus_sourashtradictionary
,,ஹீடு3 ஜியே ஜா2ட்3,heeDu jiyE jhaaD,,,,Dried up tree,பட்டுப்போன மரம்,ஹீடு3 ஜியே ஜா2டு3 கொக்கிக் பிர்ஜனம் பொட்3னா,The dried up tree is useful for nothing,பட்டுப்போன மரம் எதற்கும் பயன்படாது,trees,corpus_sourashtradictionary
