source,target
ꢂꢒꢬꢵꢡꢶ,அகரமுதலி / அகராதி
ꢥꢶꢒꢠ꣄ꢜꢸ,அகரமுதலி / அகராதி
ꢒꣂꢰ꣄,அகரமுதலி / அகராதி
ꢂꢤ꣄ꢫꢵꢫ꣄,அத்தியாயம்
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,அயல்மொழி
ꢬꢵꢙꢥꢷꢡꢶ,அரசியல்
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,அரசியலியல்
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,அரசியலியல்
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,அலுவலகம்
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,அறிகுறி
ꢱꢾꢔꢸꢠ,அறிகுறி
꣄ ꢱꢹꢱꢥꣁ,அறிகுறி
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,அறிவியல்
ꢮꢣ꣄ꢣꢶ,ஆசிரியர்
ꢏꢣ꣄ꢣꢶ,ஆசிரியர்
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,ஆண்டுத் தேர்வு
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,ஆண்டுத் தேர்வு
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,ஆண்டு விழா
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,ஆய்வு
ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ,ஆய்வுக் கூடம்
ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ,ஆய்வுநூல்
ꢱꢪ꣄ꢱꣂꢤꢥꢵ,ஆய்வு மாணவர்
ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄,ஆளுமை
ꢱ꣄ꢮꢩꢵꢮ꣄,ஆளுமை
ꢱꢪꢡ꣄ꢡꢸ,ஆற்றல்/ திறன்
ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ,ஆற்றல்/ திறன்
ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ,இசைக்கல்லூரி
ꢦ꣄ꢬꢒꢺꢡꢶ,இயற்கை
ꢮ꣄ꢫꢵꢒꢬꢠꣁ,இலக்கணம்
ꢱꢵꢲꢶꢡ꣄ꢫꣁ,இலக்கியம்
