sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,தூளிகொ,tooLiko,,,,(Painting) Brush,தூரிகை,,,,engword,corpus_sourashtradictionary
,,ஸொம்மர் ஹன்னவ்,sommar hannav,,,,"Advance, Advance payment, Down payment",முன்பணம்,,,,engword,corpus_sourashtradictionary
,,ப2ள்சா போ2ள்,phaLcaa phOL,,,,"Aftermath, Consequence",பின்விளைவு,,,,engword,corpus_sourashtradictionary
,,தா2ம் தே3,thaam dE,,,,Allow,இடம் கொடு,,,,engword,corpus_sourashtradictionary
,,அனுமதி தே3,anumati dE,,,,Allow,அனுமதி கொடு,,,,engword,corpus_sourashtradictionary
,,ஸர்வொ ஶக்திமான்,sarvo ssaktimaan,,,,Almighty,எல்லாம் வல்லவர்,,,,engword,corpus_sourashtradictionary
,,கோ4ஷனொ கேர்,ghOshano kEr,,,,Announce,அறிவிக்கவும்,,,,engword,corpus_sourashtradictionary
,,கோ4ஷனொ,ghOshano,,,,Announcement,அறிவிப்பு,,,,engword,corpus_sourashtradictionary
,,நிகி3ள்னி,nigiLni,,,,"Ascent, Rise","ஏற்றம், உயர்வு",,,,engword,corpus_sourashtradictionary
,,அர்க்யார் தெ3னி,arkyaar deni,,,,Authorization,அதிகாரம் வழங்குதல்,,,,engword,corpus_sourashtradictionary
,,வர்ஜி,varji,,,,Avoid,"தவிர், ஒதுக்கு",,,,engword,corpus_sourashtradictionary
,,வர்ஜினி,varjini,,,,Avoidance,"தவிர்த்தல், ஒதுக்குதல்",,,,engword,corpus_sourashtradictionary
,,வர்ஜத்தெ,varjatte,,,,Avoiding,"தவிர்த்தல், ஒதுக்குதல்",,,,engword,corpus_sourashtradictionary
,,களணி,kaLaNi,,,,Awareness,விழிப்புணர்வு,,,,engword,corpus_sourashtradictionary
,,ஜன்லினி,janlini,,,,Awareness,விழிப்புணர்வு,,,,engword,corpus_sourashtradictionary
,,கு2தா3 ரொக்டொ3,khudaa rokDo,,,,Bail,பிணையத் தொகை,,,,engword,corpus_sourashtradictionary
,,ப3ந்தி3,bandi,,,,"Ban, Prohibit",தடை,,,,engword,corpus_sourashtradictionary
,,க்ரூரொ,krooro,,,,"Barbaric, Brutal, Cruel, Wild","காட்டுமிராண்டித்தனம், மிருகத்தனம், கொடுமை மிக்க",,,,engword,corpus_sourashtradictionary
,,த்3ரோஹ் கேர்,drOh kEr,,,,Betray,காட்டிக்கொடு,,,,engword,corpus_sourashtradictionary
,,த்3ரோஹ் கெரத்தெ,drOh keratte,,,,Betrayal,காட்டிக்கொடுத்தல்,,,,engword,corpus_sourashtradictionary
,,தூ3ர்ஸனி,doorsani,,,,Binaculars,இரு கண் தூர தரிசினி,,,,engword,corpus_sourashtradictionary
,,நாகு3ங்குப்பொ,naagungkuppo,,,,"Booger, Dried Mucus from nose",உலர்ந்த மூக்குச் சளி,,,,engword,corpus_sourashtradictionary
,,லஞ்சொ,lanjco,,,,"Bribe, Pay-off, Kickback",கையூட்டு,,,,engword,corpus_sourashtradictionary
,,லோஸுயந்த்ரு,lOsuyantru,,,,Camera,புகைப்பட கருவி,,,,engword,corpus_sourashtradictionary
,,மொரணு த3ண்டொ3,moraNu daNDo,,,,"Capital punishment, Death penalty",மரண தண்டனை,,,,engword,corpus_sourashtradictionary
,,பி4த்தர் ஹிங்க3ட்3னி,bhittar hinggaDni,,,,Charge,உள்ளேற்றம்,,,,engword,corpus_sourashtradictionary
,,ஸெர்க்க ஸா,serkka saa,,,,Check,சரிபார்,,,,engword,corpus_sourashtradictionary
,,முக்2ய பொ2வ்னொ,mukhya phovno,,,,Chief guest,தலைமை விருந்தினர்,,,,engword,corpus_sourashtradictionary
,,சல்சித்ருஶாலொ,calcitrussaalo,,,,Cinema Theater,திரையரங்கம்,,,,engword,corpus_sourashtradictionary
,,பரிதி4,paridhi,,,,"Circumference, Periphery","சுற்றளவு, பரிதி",,,,engword,corpus_sourashtradictionary
,,உச்சஸ்தி2தி,uccasthiti,,,,"Climax, Culmination, Apex",உச்சகட்டம்,,,,engword,corpus_sourashtradictionary
,,ஹொல்லா சொக்காய்,hollaa cokkaay,,,,Coat,மேல் உடுப்பு,,,,engword,corpus_sourashtradictionary
,,செர்னி,cerni,,,,"Collection, Conjunction","சேர்க்கை, சேகரிப்பு, தொகுப்பு, இணைப்பு",,,,engword,corpus_sourashtradictionary
,,செர்ச்சினி,cerccini,,,,"Collection, Connection, Annexture","இணைப்பு, சேகரிப்பு",,,,engword,corpus_sourashtradictionary
,,"காவ்ஜனி, காவ்ஜனி கேர்","kaavjani, kaavjani kEr",,,,"Colonize, Immigration, Immigrate","குடியேற்றம், குடியேற்றம் செய்",,,,engword,corpus_sourashtradictionary
,,ஸாமான்யொகன்,saamaanyokan,,,,"Commonly, Usually, Normally, Simply","பொதுவாக, வழக்கமாக, இயல்பாக, எளிமையாக",,,,engword,corpus_sourashtradictionary
,,ஸான்த்வனொ,saantvano,,,,"Consolation, Solace","ஆறுதல், தேறுதல்",,,,engword,corpus_sourashtradictionary
