sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கய்லொகெஸுர்,kaylokesur,,,,Vegetables,காய்கறி,ஹுடொ3 வித்3தெ3ம் கய்லொகெஸுர் ஹாகு தவாய்,You can plant a vegetable garden on the terrace,மொட்டை மாடியில் காய்கறி தோட்டம் போடலாம்,vegetable,corpus_sourashtradictionary
,,போ2ட்,phOT,,,,Vegetables,காய்கறி,ஸம்பா4ர் மெனெத் சர்பாஞ்ஜு போ2டுன் ர்ஹனொ,Sambar should have four or five vegetables,சாம்பார் என்றால் நாலைந்து காய்கறிகள் இருக்கவேண்டும்,vegetable,corpus_sourashtradictionary
,,அக3ஸ்திர்,agastir,,,,"Okra, Lady finger, Lady's finger",வெண்டைக்காய்,,,,vegetable,corpus_sourashtradictionary
,,அண்டொ3கோஸ்,aNDokOs,,,,Cabbage,முட்டைகோஸ்,,,,vegetable,corpus_sourashtradictionary
,,அம்ப3ட் ப4ஜ்ஜி,ambaT bhajji,,,,"Sorrel Leaves, Sour Spinach",புளிச்ச கீரை,,,,vegetable,corpus_sourashtradictionary
,,அம்பு3லொ,ambulo,,,,Gooseberry,நெல்லிக்காய்,,,,vegetable,corpus_sourashtradictionary
,,அம்பு3னொ,ambuno,,,,Star gooseberry,அரை / அரு நெல்லி,,,,vegetable,corpus_sourashtradictionary
,,அல்லொ,allo,,,,Ginger,இஞ்சி,,,,vegetable,corpus_sourashtradictionary
,,அவ்ஸா ப4ஜ்ஜி,avsaa bhajji,,,,Hummingbird Tree Leaves,அகத்திக்கீரை,,,,vegetable,corpus_sourashtradictionary
,,அஸ்துரு,asturu,,,,"Okra, Lady finger, Lady's finger",வெண்டைக்காய்,,,,vegetable,corpus_sourashtradictionary
,,ஆலு,aalu,,,,Sweet Potato,சக்கரைவள்ளிக் கிழங்கு,,,,vegetable,corpus_sourashtradictionary
,,உஸ்கைலொ,uskailo,,,,Turkey Berry,சுண்டைக்காய்,,,,vegetable,corpus_sourashtradictionary
,,ஒமாபான்,omaapaan,,,,Ajwain Leaf,ஓம இலை,,,,vegetable,corpus_sourashtradictionary
,,ஒன்னொ,onno,,,,Broad beans,பட்டை அவரை,,,,vegetable,corpus_sourashtradictionary
,,க3வுரு,gavuru,,,,Carrot,கேரட்,,,,vegetable,corpus_sourashtradictionary
,,கச்சிகெளொ,kaccikeLo,,,,Green plantain,வாழைக்காய்,,,,vegetable,corpus_sourashtradictionary
,,கச்செகென்னு,kaccekennu,,,,Field Bean,பச்சை மொச்சை,,,,vegetable,corpus_sourashtradictionary
,,கச்செமிர்க்கைலொ,kaccemirkkailo,,,,Green Chilli,பச்சை மிளகாய்,,,,vegetable,corpus_sourashtradictionary
,,கட்3மெல்,kaDmel,,,,Veld grape,பிரண்டை,,,,vegetable,corpus_sourashtradictionary
,,கட்கல்,kaTkal,,,,"Emptier grain, Husk",பதர்,,,,vegetable,corpus_sourashtradictionary
,,கந்தொ3,kando,,,,Shallot,வெங்காயம்,,,,vegetable,corpus_sourashtradictionary
,,கபினி ப4ஜ்ஜி,kapini bhajji,,,,Black Nightshade,மணத்தக்காளிகீரை,,,,vegetable,corpus_sourashtradictionary
,,கர்கு,karku,,,,Coconut shell,கொட்டாங்கச்சி,,,,vegetable,corpus_sourashtradictionary
,,கல்லொ,kallo,,,,Bitter gourd,பாகற்காய்,,,,vegetable,corpus_sourashtradictionary
,,கவ்னி ப4ஜ்ஜி,kavni bhajji,,,,Black Nightshade,மணத்தக்காளிக்கீரை,,,,vegetable,corpus_sourashtradictionary
,,கன்னுகைலொ,kannukailo,,,,Field Bean,மொச்சைக்காய்,,,,vegetable,corpus_sourashtradictionary
,,கா3ஜர்,gaajar,,,,Carrot,கேரட்,,,,vegetable,corpus_sourashtradictionary
,,கு3ண்டு3ஜிக்ரா பான்,guNDujikraa paan,,,,Coriander,கொத்தமல்லி,,,,vegetable,corpus_sourashtradictionary
,,கு3ல்பு3ள்ளொ,gulbuLLo,,,,Sweet Potato,சக்கரைவள்ளிக் கிழங்கு,,,,vegetable,corpus_sourashtradictionary
