sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢨ꣄ꢨꢸꢥꢵ,अब्बुना,அப்3பு3னா,abbunaa,abbunA,abbunā,əbbun̪ɑː,will not get,கிடைக்காது,,,,Defective-Verbs,words
ꢙꢸꢠ꣄ꢠꢵ,जुण्णा,ஜுண்ணா,junnaa,juNNA,juṇṇā,d͡ʒuɳɳɑː,will not get,கிடைக்காது,,,,Defective-Verbs,words
ꢂꢨ꣄ꢨꢫ꣄,अब्बय्,அப்3ப3ய்,abbay,abbay,abbay,əbbəj,will get,கிடைக்கும்,,,,Defective-Verbs,words
ꢙꢸꢞꣀ,जुडै,ஜுடை3,jud'ai,juDai,juḍai,d͡ʒuɖəɪ,will get,கிடைக்கும்,,,,Defective-Verbs,words
ꢥꢴꢷ,न्ही,நீ:,nhee,nhI,nhī,n̪ɦiː,will not be available,கிடையாது,,,,Defective-Verbs,words
ꢒꢳꢵꢥꢵ,कळाना,களானா,kal'aanaa,kaLAnA,kal̤ānā,kəɭɑːn̪ɑː,do not know,தெரியாது,,,,Defective-Verbs,words
ꢒꢳꢵꢫ꣄,कळाय्,களாய்,kal'aay,kaLAy,kal̤āy,kəɭɑːj,know,தெரியும்,,,,Defective-Verbs,words
ꢏꢦ꣄ꢦꢵꢥꢵ,आ॑प्पाना,ஒப்பானா,o'ppaanaa,OppAnA,ŏppānā,oppɑːn̪ɑː,do not like,பிடிக்காது,,,,Defective-Verbs,words
ꢏꢦ꣄ꢦꢵꢫ꣄,आ॑प्पाय्,ஒப்பாய்,o'ppaay,OppAy,ŏppāy,oppɑːj,like,பிடிக்கும்,,,,Defective-Verbs,words
ꢮꢶꢮꢬ꣄ꢦꣁꢠ꣄ꢠꢵ,विव र्पा॑ण्णा,விவர் பொண்ணா,vivarpo'nnaa,vivarpONNA,vivarpŏṇṇā,ʋɪʋəɾpoɳɳɑː,do not understand,புரியாது,,,,Defective-Verbs,words
ꢮꢶꢮꢬ꣄ꢦꣁꢞꢫ꣄,विव र्पा॑डय,விவர் பொட3ய்,vivarpo'd'ay,vivarpODay,vivarpŏḍay,ʋɪʋəɾpoɖəj,understand,புரியும்,,,,Defective-Verbs,words
ꢧꢸꢬ꣄ꢥꢵ,फुर्ना,பு2ர்னா,phurnaa,phurnA,phurnā,pʰuɾn̪ɑː,not enough,போதாது,,,,Defective-Verbs,words
ꢧꢸꢬꢫ꣄,फुरय्,பு2ரய்,phuray,phuray,phuray,pʰuɾəj,enough,போதும்,,,,Defective-Verbs,words
ꢪꢸꢱꢸꢥꢵ,मुसुना,முஸூனா,musunaa,musunA,musunā,mus̪un̪ɑː,not possible,முடியாது,,,,Defective-Verbs,words
ꢯꢾꢒ꣄ꢒꢸꢥꢵ,श॑क्कुना,ஶெக்குனா,she'kkunaa,zEkkunA,śĕkkunā,ʃekkun̪ɑː,not possible,முடியாது,,,,Defective-Verbs,words
ꢪꢸꢱꢫ꣄,मुसय्,முஸய்,musay,musay,musay,mus̪əj,possible,முடியும்,,,,Defective-Verbs,words
ꢯꢾꢒ꣄ꢒꢫ꣄,श॑क्कय,ஶெக்கய்,she'kkay,zEkkay,śĕkkay,ʃekkəj,possible,முடியும்,,,,Defective-Verbs,words
ꢥꣁꢒ꣄ꢒꣁ,ना॑क्का॑,நொக்கொ,no'kko',nOkkO,nŏkkŏ,n̪okko,do not want,வேண்டாம்,,,,Defective-Verbs,words
ꢦꢙꢾꢥꢴꢷ,पज॑ न्ही,பஜெ நீ:,paje'nhee,pajEnhI,pajĕnhī,pəd͡ʒen̪ɦiː,do not want,வேண்டாம்,,,,Defective-Verbs,words
ꢦꢙꢾ,पज॑,பஜெ,paje',pajE,pajĕ,pəd͡ʒe,want,வேண்டும்,,,,Defective-Verbs,words
