source,target
ꢂꢒꢬꢵꢡꢶ,அகராதி
ꢥꢶꢒꢠ꣄ꢜꢸ,நிகண்டு
ꢒꣂꢰ꣄,கோஷ்
ꢂꢤ꣄ꢫꢵꢫ꣄,அத்4யாய்
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,விதே3ஶு பா4ஷொ
ꢬꢵꢙꢥꢷꢡꢶ,ராஜநீதி
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,ராஜநீதி ஸாஸ்த்ரு
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,ராஜநீதி ஞான்
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,கார்யாலயொ
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,ஸது3ஷ்டம்
ꢱꢾꢔꢸꢠ,ஸெகு3ன்
꣄ ꢱꢹꢱꢥꣁ,ஸூசனொ
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,விக்3ஞான்
ꢮꢣ꣄ꢣꢶ,வத்3தி3
ꢏꢣ꣄ꢣꢶ,ஒத்3தி3
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,ஒர்ஸுபரிக்ஷொ
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,வார்ஷிக பரிக்ஷொ
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,ஒர்ஸுவைப4வ்
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,ஸம்ஸோத4னொ
ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ,ஸம்ஸோத4னஸாலொ
ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ,ஸம்ஸோத4னாபொதி
ꢱꢪ꣄ꢱꣂꢤꢥꢵ,ஸம்ஸோத4னா
ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄,வ்யக்திபா4வ்
ꢱ꣄ꢮꢩꢵꢮ꣄,ஸ்வபா4வ்
ꢱꢪꢡ꣄ꢡꢸ,ஸமத்து
ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ,நிபுணத்வொ
ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ,ஸங்கீ3தகலாஸாலொ
ꢦ꣄ꢬꢒꢺꢡꢶ,ப்ரகிருதி
ꢮ꣄ꢫꢵꢒꢬꢠꣁ,வ்யாகரணொ
ꢱꢵꢲꢶꢡ꣄ꢫꣁ,ஸாஹித்யொ
ꢔ꣄ꢣ꣄ꢫꣁ,க3த்3யொ
ꢱꢪ꣄ꢩꢵꢰꢠꣁ,ஸம்பா4ஷணொ
ꢭꢶꢓ꣄꣄ꢭꣁ,லிக்2லொ
ꢡꢬꢾ,கரொ
ꢮ꣄ꢫꢵꢱꣁ,வ்யாஸொ
ꢭꢾꢓꢸ,லேகு2
ꢭꢴꢾꢓꣁ,லெ:கொ2
ꢲꢷꢱꢸ,ஹீஸு
ꢔꢠꢶꢶꢡ꣄,க3ணித்
ꢓꢾꢥꢶ,கெ2னி
ꢓꢾꢡꣁ,கெ2தொ
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄,அபி4ப்ராயு ஸத3ஸ்
ꢒꢭꢵ ꢱꢵꢭꣁ,கலாஸாலொ
ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄,ஈகு3
ꢒꢮꢶ,கவி
ꢒꢮꢶꢡꣁ,கவிதொ
ꢄꢔꢞꢱ꣄ꢡꢿ,இக3ட3ஸ்தே
ꢗꢾꢮ꣄ꢣꢶꢥꢶ,செவ்தி3னி
ꢱꢶꢒ꣄ꢒꢶꢥꢶ,ஸிக்கினி
ꢒꢳ꣄꣄ꢙꢪ꣄,கள்ஜம்
ꢒꢵꢮ꣄ꢫꣁ,காவ்யொ
ꢱꢹꢗꢥꣁ,ஸூசனொ
ꢱꢹꢗꢥꢵꢦꣁꢡꢶ,ஸூசனாபொதி
ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ,ஐகி லிகி2னி
ꢦꢸꢱ꣄ꢥꢶ,புஸ்னி
ꢦꢸꢱꢵꢮ꣄,புஸாவ்
ꢲꢵꢡꢰꢬ꣄,ஹாதக்ஷர்
ꢲꢵꢡꢸꢦꣁꢡꢶ,ஹாதுபொதி
ꢥꢷꢡꢶꢥꢶꢫꢪꣁ,நீதிநியமொ
ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ,ஸித்3தா4ந்து
ꢗꢶꢡ꣄ꢬꢸ,சித்ரு
ꢭꣂꢱꢸ,லோஸு
ꢗꢶꢡ꣄ꢡꢬ꣄,சித்தர்
ꢫꣂꢗꢥꣁ,யோசனொ
ꢥꢥ꣄ꢓꢾꢥꢶ,ந:ன்கெ2னி
ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄,லௌகாஸு கள்ஜெம்
ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ,ஸமாசாருபத்ரொ
ꢔꢮ꣄ꢥꣁ,க3வ்னொ
ꢦꢣ꣄ꢫꢪ꣄,பத்3யம்
ꢱ꣄ꢭꣂꢒ꣄,ஸ்லோக்
ꢮꢡ꣄ꢡꣁ,வத்தொ
ꢒꣁꢰ꣄,கோஷ்
ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄,ஸப்3த3 ப4ண்டா3ர்
ꢱꣁꢤꢥꣁ,ஸோத4னொ
ꢦꢬꢷꢒ꣄ꢰꣁ,பரீக்ஷொ
ꢪꢥ꣄ꢡꢸ,மந்து
ꢗꢹꢒ꣄,சூக்
ꢒꢸꢠ꣄ꢜꢸ,குண்டு
ꢪꢵꢫ꣄ ꢩꢵꢰꣁ,மாய்பா4ஷொ
ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ,மாத்ருபா4ஷொ
ꢒꢭ꣄ꢙꢾꢪ꣄,கள்ஜம்
ꢥꣀꢦꢸꢠ꣄ꢫ,நைபுண்ய
ꢮꢶꢪꢬ꣄ꢱꢥꣁ,விமர்ஸனொ
ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄,கு3ணதோ3ஷ விசார்
ꢮꢶꢩꢵꢔ꣄,விபா4க்3
ꢦꢬꢷꢰꢾ,பரீக்ஷொ
ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄,பரீக்ஷா தா2ம்
ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ,ஆரம்ப4ஹுரி
ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄,வத்தாதொரண்
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,சால்சலன்
ꢗꢭ꣄ꢥꢶ,சல்னி
ꢥꢜꢥꣁ,நடனொ
ꢥꢵꢗꢸ,நாசு
ꢭꣁꢒ꣄ꢓꢾꢥꢶ,லோக்கெ2னி
ꢭꣂꢒ꣄ꢔꢷꢡ꣄,லோக்கீ3த்
ꢣꢿꢱꢶꢔꢷꢡ꣄,தே3ஸிகீ3த்
ꢦꣁꢡꢶ,பொதி
ꢦꢸꢱ꣄ꢡꢮ꣄,புஸ்தவ்
ꢦꢸꢱ꣄ꢡꢶꢒꣁ,புஸ்திகொ
ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄,பொதிகே4ர்
ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄,ப4ண்டா3ருகே4ர்
ꢮꢬ꣄ꢠꢪꢵꢭꣁ,வர்ணமாலொ
ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ,லக்ஷ்யொ
ꢤ꣄ꢫꢾꢫꢸ,த்4யேயு
ꢦꣁꢒ꣄,போக்
ꢦꢸꢜꣁ,புடொ
ꢱ꣄ꢥꢵꢡꢒꣁ,ஸ்னாதகொ
ꢆꢦꢵꢤꢶ,உபாதி4
ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ,செது3வ்கொ2ட்டொ
ꢗꢾꢣꢸꢮ꣄,செது3வ்
ꢅꢔ꣄,ஈக்3
ꢧꢬꢪ꣄,ப2ரம்
ꢬꢱꢶꢥꢶ,ரசினி
ꢱꢛ꣄ꢗꢶꢒꣁ,ஸஞ்சிகொ
ꢙꢾꢮꢵꢦ꣄,ஜெவாப்
ꢂꢩ꣄ꢫꢵꢱ꣄,அப்4யாஸ்
ꢙꢿꢪ꣄,ஜேம்
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,பாரிதோஸிகொ
ꢦꢬꢶꢱꣁꢤꢥꣁ,பரிஸோத4னொ
ꢦꢬ꣄ꢒ꣄ꢰꣁ,பரிக்ஷொ
ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ,ஸர்வகலாஸாலொ
ꢲꢸꢬꢶ,ஹுரி
ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ,ஜுன்னவாசு
ꢦ꣄ꢬꢵꢮꢵꢗꢸ,ப்ராவாசு
ꢔꢷꢡ꣄,கீ3த்
ꢦꢵꢝꢮꢶꢮꢬꢠꣁ,பாட2விவரணொ
ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄,பாட2புஸ்தவ்
ꢦꢵꢝ꣄,பாட்2
ꢦꣁꢬꣁ,பொரொ
ꢭꢵꢪ꣄ꢓꢾꢥꢶ,லாம்கெ2னி
ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ,நொவ்வ கவிதொ
ꢦꢸꢬꢵꢠꣁ,புராணொ
ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ,மா: ஒத்3தி3
ꢭꢶꢒ꣄ꢭꣁ,லிக்லொ
ꢮꢶꢰꢫꢸ,விஷயு
ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ,யந்த்ருவித்3யொ
ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢮꢶꢔ꣄ꢛꢵꢥ꣄,யந்த்ரு விக்3ஞான்
ꢦꣁꢥ꣄ꢡꢶ,பொந்தி
ꢱ꣄ꢦꢬ꣄ꢤꣁ,ஸ்பர்தொ4
ꢏꢫ꣄ꢣꢦꢥ꣄,ஒய்த3பன்
ꢲꣁꢔꢡ꣄,ஹொக3த்
ꢥꢴꢸꢬꢸꢥꢸ ꢲꢸꢬꢶ,நு:ருனு ஹுரி
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡꢶ,வித்3யார்தி2
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡ꣄ꢡꢶꢥꢶ,வித்3யார்தி2னி
ꢧꣀꢭꢮꢬ꣄ꢔꢸ,பை2லவர்கு3
ꢦ꣄ꢬꢤꢵꢥꣁꢣ꣄ꢣꢶ,ப்ரதா4ன்ஒத்3தி3
ꢧꣀꢭꢯ꣄꣄ꢬꢿꢥꢶ,பை2லஶ்ரேநி
ꢪꣀ,மை
ꢩꢵꢰꣁ,பா4ஷொ
ꢩꢵꢰꢵ ꢬꢷꢡꢶ,பா4ஷா ரீதி
ꢩꢵꢰꢵ ꢪꢬ꣄ꢗꢶꢥꢶ,பா4ஷா மர்சினி
ꢂꢥꢸꢮꢵꢣ꣄,அனுவாத்3
ꢩꢵꢱꢵꢥ꣄ꢡꢬ꣄,பா4ஷாந்தர்
ꢡꢬ꣄ꢙꢪꣁ,தர்ஜமொ
ꢩꢵꢰꢵꢮꢶꢔ꣄ꢛꢵꢥ꣄,பா4ஷாவிக்3ஞான்
ꢮꢬ꣄ꢒꢸ,வர்கு3
ꢗꢬꢶꢡ꣄ꢬꢸ,சரித்ரு
ꢯꢨ꣄ꢣꢸ ꢴ,ஶப்3து3
ꢮꢔ꣄ꢛꢵꢥ꣄,விக்3ஞான்
ꢮꢔ꣄ꢛꢵꢥꢶ,விக்3ஞானி
ꢯꣁꢞ꣄ꢠꢶ,ஸொட்3ணி
ꢯꣂꢞꢸ,ஸோடு3
ꢱꣁꢞ꣄ꢮꢵꢬ꣄,ஸொட்3வார்
ꢙꢮꢵꢨ꣄,ஜவாப்3
ꢮꢶꢮꢵꢡ꣄,விவாத்3
ꢦ꣄ꢬꢰ꣄ꢥꣁ,ப்ரஷ்னொ
ꢦꢸꢱꢶꢥꢶ,புஸினி
ꢦ꣄ꢬꢰ꣄ꢥ ꢦꢡ꣄ꢬꣁ,ப்ரஷ்ன பத்ரொ
ꢒꣁꢪ꣄ꢪꢵ ꢂꢩ꣄ꢫꢵꢱ꣄,கொ3ம்மா அப்4யாஸ்
ꢙꢾꢭ꣄ꢪꢶꢥ꣄,ஜெல்மின்
ꢭꢴꣁꢔꢠ꣄,லொ:க3ண்
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,கெஸ்துல்
ꢭꣂꢲꢸ,லோஹு
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,பஞ்சலோஹு
ꢂꢣ꣄ꢣꢪ꣄,அத்3த3ம்
ꢲꢦꢵꢥ꣄,ஹபாள்
ꢣꢮ꣄ꢥꣁ,த3வ்னொ
ꢪꢸꢒ꣄ꢬꣁ,முக்ரொ
ꢔꢵꢥ꣄ꢡꢪ꣄,கா3ந்தம்
ꢡꢪ꣄ꢨꢾ,தம்பெ3
ꢡꢪ꣄ꢨꢸꢬꢪ꣄,தம்பு3ரம்
ꢡꢭ꣄,தவ்
ꢡꢾꢒꢜ꣄,தெக3ட்
ꢱꣁꢥ꣄ꢥꣁ,ஸொன்னொ
ꢱꣁꢬ꣄ꢠꢸ,ஸொர்ணு
ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ,அப்ரஞ்ஜி
