sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,உஜ்ஜினி,ujjini,,,,Birth,பிறப்பு,உஜ்ஜினிம் அஸ்கி ந்ஹுருன் ஒண்டேஸி,"All children are the same by birth, but different by nurture","பிறப்பால் எல்லாக் குழந்தைகளும் ஒன்றுதான், ஆனால் வளர்ப்பால் வேறு",life-stage,corpus_sourashtradictionary
,,உஜ்வாவு,ujvaavu,,,,Birth,பிறப்பு,பொள்டமு செச்சத்தக் உஜ்வாவு ப்ரமாண்பத்ரொ அவஸ்யமு,Birth certificate is required for school admission,பள்ளி சேர்க்கைக்கு பிறப்புச் சான்றிதழ் அவசியம்,life-stage,corpus_sourashtradictionary
,,ந்ஹுரு,nhuru,,,,"Baby, Child, Kid",குழந்தை,ஒண்டொண்டொ கொ4ம்மானும் 6 ர்ஹீ 9 ந்ஹுருன் ஹொதெ3கலம் ஜேடி3யொ,Gone are the days when every family had 6 to 9 children,ஒவ்வொரு குடும்பத்திலும் 6 முதல் 9 குழந்தைகள் இருந்த காலம் போய்விட்டது,life-stage,corpus_sourashtradictionary
,,பா3ளு,baaLu,,,,"Baby, Child, Kid",குழந்தை,பா3ளுன் ஜித்ரவுக் அர்து2ஸேத்திஸொ மர்ச்சஸுன்,Children make life meaningful,குழந்தைகள் வாழ்க்கையை அர்த்தமுள்ளதாக மாற்றுகிறார்கள்,life-stage,corpus_sourashtradictionary
,,ந்ஹுருபா3ள்,nhurubaaL,,,,"Baby, Child, Kid, Kith and Kin",குழந்தைகுட்டி,ந்ஹுருபா3ள்னு ஸேத்தெ கே4ர் பொ4ரெஸொகன் ர்ஹாய்,A house with children will seem full,"குழந்தைகள் இருக்கும் வீடு, நிறைந்தது போல் இருக்கும்",life-stage,corpus_sourashtradictionary
,,பில்லொ,pillo,,,,"Baby, Child, Kid",குழந்தை,பில்லல்னுக் ஹொவ்ட3த்தெ வேன் கெஷ்டமு,Raising children is very difficult,குழந்தைகளை வளர்ப்பது மிகவும் கடினம்,life-stage,corpus_sourashtradictionary
,,ஹாதும் பில்லொ,haatum pillo,,,,Infant,கைக்குழந்தை,ஹாதும் பில்லொ ஹோங்கு3க் ரொட்3லேத் ஹொதெ3ஸ்,The infant was crying for a sleep,கைக்குழந்தை தூக்கத்திற்காக அழுது கொண்டிருந்தது,life-stage,corpus_sourashtradictionary
,,மாய்,maay,,,,Girl Baby,பெண் குழந்தை,தெங்கொ3 6 ம்ஹடா3 மாய் ஸேத்தெ,She has 6 month old baby girl,அவருக்கு 6 மாத பெண் குழந்தை உள்ளது,life-stage,corpus_sourashtradictionary
,,ப3வு,bavu,,,,Boy Baby,ஆண் குழந்தை,தெங்கொ3 தீ3 ப3வுன் ஸேத்தெ,He has two boy babies,அவருக்கு இரண்டு ஆண் குழந்தைகள் உள்ளனர்,life-stage,corpus_sourashtradictionary
,,கொ4ணங்கொ4ணாய்,ghoNangghoNaay,,,,Baby crawling,குழந்தை தவழுதல்,"நொவத்து ம்ஹடா3ம், பில்லல்னு கொ4ணங்கொ4ணாய் க2ளஸுனு",Babies crawl in the ninth month,ஒன்பதாவது மாதத்தில் குழந்தைகள் தவழும்,life-stage,corpus_sourashtradictionary
