sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢪꢵꢱ꣄,अमास्,அமாஸ்,amaas,amAs,amās,əmɑːs̪,new moon,அமாவாசை,,,,Seasons,words
ꢮꢬꢵ ꢒꢵꢭ꣄,वरा काल,வரா கால்,varaa kaal,varA kAl,varā kāl,ʋəɾɑː kɑːl,autumn,இலையுதிர்காலம்,,,,Seasons,words
ꢱꢨ꣄ꢣꢸ,सप्तु,ஸப்3து3,sabdu,sabdu,sabdu,s̪əbd̪u,sound,ஒலி,,,,Seasons,words
ꢦ꣄ꢬꢒꢵꢰ꣄,प्रकाष,ப்ரகாஷ்,prakaash,prakAS,prakāṣ,pɾəkɑːʂ,light,ஒளி,,,,Seasons,words
ꢮꢵꢡꢵꢮꢬꢥ꣄,वातावरन,வாதாவரன்,vaataavaran,vAtAvaran,vātāvaran,ʋɑːt̪ɑːʋəɾən̪,weather,காலநிலை,,,,Seasons,words
ꢮꢿꢳ꣄꣄,वेळ,வேள்,vel',veL,vel̤,ʋeːɭ,season,காலம்,,,,Seasons,words
ꢒꢵꢭ꣄,काल्,கால்,kaal,kAl,kāl,kɑːl,season,காலம்,,,,Seasons,words
ꢲꢶꢪꢸꢱ꣄,हिमुस्,ஹிமுஸ்,himus,himus,himus,ɦɪmus̪,chill/coldness,குளிர்,,,,Seasons,words
ꢲꢶꢪ꣄ꢳꣁ,हिमुळा॑,ஹிமளொ,himl'o',himLO,himl̤ŏ,ɦɪmɭo,winter season,குளிர்காலம்,,,,Seasons,words
ꢲꢶꢪꢸꢱꢹ ꢒꢵꢭ꣄,हिमुसु काल,ஹிமுஸுகால்,himusoo kaal,himusU kAl,himusū kāl,ɦɪmus̪uː kɑːl,winter season,குளிர்காலம்,,,,Seasons,words
ꢲꢹꢥꢸꢒꢵꢭ꣄,हूनुकाल,ஹூனுகால்,hoonukaal,hUnukAl,hūnukāl,ɦuːn̪ukɑːl,summer season,கோடை காலம்,,,,Seasons,words
ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢒꢵꢭ꣄,ग्रीष्म काल,க்3ரீஷ்ம கால்,greeshma kaal,grISma kAl,grīṣma kāl,gɾiːʂmə kɑːl,summer season,கோடை காலம்,,,,Seasons,words
