sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஜா2டு3னு பா4கு3ன்,jhaaDunu bhaagun,,,,Tree parts,மர பாகங்கள்,,,,tree-parts,corpus_sourashtradictionary
,,பொ4ணம்,bhoNam,,,,Part,பாகம்,,,,tree-parts,corpus_sourashtradictionary
,,வித்து,vittu,,,,Seed,விதை,,,,tree-parts,corpus_sourashtradictionary
,,ஈமு,eemu,,,,Seed,விதை,,,,tree-parts,corpus_sourashtradictionary
,,பீ3,bee,,,,Seed,விதை,,,,tree-parts,corpus_sourashtradictionary
,,பீ3க்3,beeg,,,,Seed,விதை,,,,tree-parts,corpus_sourashtradictionary
,,கச்சம்பா3 பீ3க்,kaccambaa beek,,,,Mango seed,மாங்கொட்டை,,,,tree-parts,corpus_sourashtradictionary
,,"சின்சிரி, சிஞ்ஜிரி","cinciri, cinjjiri",,,,Tamarind Seed,புளியங்கொட்டை,,,,tree-parts,corpus_sourashtradictionary
,,ஹப்பள்,happaL,,,,"Betel Nut, Arecanut",பாக்கு,,,,tree-parts,corpus_sourashtradictionary
,,தாளு பீ3ஜு,taaLu beeju,,,,Palmyra seed,தென்னை விதை,,,,tree-parts,corpus_sourashtradictionary
,,த3ல்லங்கு3,dallanggu,,,,Male palmyra seed,ஆண் பனைவிதை,,,,tree-parts,corpus_sourashtradictionary
,,ஸெர்கி,serki,,,,Cotton seed,பருத்தி விதை,,,,tree-parts,corpus_sourashtradictionary
,,கெளி,keLi,,,,Bud,மொட்டு,,,,tree-parts,corpus_sourashtradictionary
,,மொள்கொ,moLko,,,,Bud,அரும்பு,,,,tree-parts,corpus_sourashtradictionary
,,சிகு3ர்,cigur,,,,Bud,முளை,,,,tree-parts,corpus_sourashtradictionary
,,மூள்,mooL,,,,Root,வேர்,,,,tree-parts,corpus_sourashtradictionary
,,ஒடா3வுட3ல்,oDaavuDal,,,,Prop or Aerial roots of Banyan Tree,ஆலமர விழுது,,,,tree-parts,corpus_sourashtradictionary
,,கா2ல் ஜா2டு3,khaal jhaaDu,,,,Tree bottom,அடிமரம்,,,,tree-parts,corpus_sourashtradictionary
,,தே3ட்,dET,,,,"Stem, Stalk",காம்பு,,,,tree-parts,corpus_sourashtradictionary
