sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,அக்3க3பொ3க்3க3யி,aggaboggayi,,,,Jumpy,அலறியடித்து,,,,general,corpus_sourashtradictionary
,,அக3ஸ்மாத்,agasmaat,,,,By chance,தற்செயல்,,,,general,corpus_sourashtradictionary
,,அட்3க்3யளம்,aDgyaLam,,,,Identification mark,அடையாளக்குறி,,,,general,corpus_sourashtradictionary
,,அடக்3,aTag,,,,Obstacle,தடை,,,,general,corpus_sourashtradictionary
,,அடா3த்,aDaat,,,,Atrocity,அடாவடி,,,,general,corpus_sourashtradictionary
,,அதி4கரணொ,adhikaraNo,,,,"Section, Category","பிரிவு, வகை",,,,general,corpus_sourashtradictionary
,,அதுர்ஷ்டு,aturshTu,,,,Luck,அதிர்ஷ்டம்,,,,general,corpus_sourashtradictionary
,,அந்து,antu,,,,"Final, End",இறுதி,,,,general,corpus_sourashtradictionary
,,அந்தும்,antum,,,,At the end,"கடைசியாக, இறுதியில்",,,,general,corpus_sourashtradictionary
,,அப்3ப3ய்,abbay,,,,Will get,கிடைக்கும்,,,,general,corpus_sourashtradictionary
,,அப்3ப3ரஸ்,abbaras,,,,Available,கிடைக்கிறது,,,,general,corpus_sourashtradictionary
,,அப்3பி3டி3யொ,abbiDiyo,,,,"Obtained, Found, Received, Got it",கிடைத்தது,,,,general,corpus_sourashtradictionary
,,அப்3பெ3ஸ்,abbes,,,,"Obtained, Found, Received, Got it",கிடைத்தது,,,,general,corpus_sourashtradictionary
,,அப்3னி,abni,,,,"Availability, Getting, Receiving","கிடைத்தல், பெறுதல்",,,,general,corpus_sourashtradictionary
,,அப4ய,abhaya,,,,Non dangerous,ஆபத்தில்லாத,,,,general,corpus_sourashtradictionary
,,அபரிமிதொ,aparimito,,,,Unlimited,எல்லையற்ற,,,,general,corpus_sourashtradictionary
,,அப்ஸரஸ்,apsaras,,,,Celestial Nymph,ரதி,,,,general,corpus_sourashtradictionary
,,அபாயகர,apaayakara,,,,Dangerous,ஆபத்தான,,,,general,corpus_sourashtradictionary
,,அபி4மான்,abhimaan,,,,Pride,"பெருமை, பற்றுதல்",,,,general,corpus_sourashtradictionary
,,அபுல்கரெ,apulkare,,,,Initiative,"தன்முனைப்பு, முன்முயற்சி",,He takes the initiative in everything,,general,corpus_sourashtradictionary
,,அயிதர்,ayitar,,,,In person,நேரில்,,,,general,corpus_sourashtradictionary
,,அர்ச்சத்தெ,arccatte,,,,"Honouring, Praising",கெளரவித்தல்,,,,general,corpus_sourashtradictionary
,,அரே,arE,,,,Hey,அடேய்,,,,general,corpus_sourashtradictionary
,,அலக்3கொ3,alaggo,,,,"Alone, Separate",தனியாக,,,,general,corpus_sourashtradictionary
,,அலாதி3,alaadi,,,,Separately,தனியாக,,,,general,corpus_sourashtradictionary
,,அன்யாவ்,anyaav,,,,"Unjust, Unfair",அநியாயம்,,,,general,corpus_sourashtradictionary
,,அனுப4வ்,anubhav,,,,Experience,அனுபவம்,,,,general,corpus_sourashtradictionary
,,அனுஸரணொ,anusaraNo,,,,Following,பின்பற்றுதல்,,,,general,corpus_sourashtradictionary
,,அஸத்திஸா,asattisaa,,,,Funny,வேடிக்கையான,,,,general,corpus_sourashtradictionary
,,அஸினி,asini,,,,Comedy,நகைச்சுவை,,,,general,corpus_sourashtradictionary
,,அஸொகெரி,asokeri,,,,Just like that,கொஞ்சத்தில்,,,,general,corpus_sourashtradictionary
,,அஶுத்3த3ம்,assuddam,,,,Unclean,சுத்தமற்ற,,,,general,corpus_sourashtradictionary
,,ஆத3ரொ,aadaro,,,,Support,ஆதரவு,,,,general,corpus_sourashtradictionary
,,ஆபத்3,aapad,,,,"Difficulty, Distress, Danger","சிரமம், துன்பம், ஆபத்து",,,,general,corpus_sourashtradictionary
,,ஆலோசனொ,aalOcano,,,,Advice,அறிவுரை,,,,general,corpus_sourashtradictionary
,,ஆவர்த்தனொ,aavarttano,,,,Frequency,அதிர்வெண்,,,,general,corpus_sourashtradictionary
,,ஆவொ,aavo,,,,Worldly matters,உலக விஷயங்கள்,,,,general,corpus_sourashtradictionary
,,ஆஸ்தி,aasti,,,,Property,சொத்து,,,,general,corpus_sourashtradictionary
,,ஆஸனொ,aasano,,,,Seat,ஆசனம்,,,,general,corpus_sourashtradictionary
,,ஆஹவ்,aahav,,,,Challenge,"சவால், அறை கூவல்",,,,general,corpus_sourashtradictionary
,,இத்யாதி3,ityaadi,,,,Etcetera,இதர,,,,general,corpus_sourashtradictionary
,,இவர்,ivar,,,,"Details, Explanation, Description","விவரம், விளக்கம்",,,,general,corpus_sourashtradictionary
,,இவர்,ivar,,,,"Message, Information","செய்தி, தகவல்",,,,general,corpus_sourashtradictionary
,,இவர் தொவர்,ivar tovar,,,,Common sense,பொது அறிவு,,,,general,corpus_sourashtradictionary
,,ஈக்ஸர்,eeksar,,,,Along with,கூடவே,,,,general,corpus_sourashtradictionary
,,உச்லாவ்,uclaav,,,,Means,வரும்படி,,,,general,corpus_sourashtradictionary
,,உட்ச்சாஉட்ச்சினி,uTccaauTccini,,,,Uncertain,இழுபறி,,,,general,corpus_sourashtradictionary
,,உண்டொ,uNTo,,,,Curl,சுருண்டு,,,,general,corpus_sourashtradictionary
,,உத்பத்தி,utpatti,,,,Production,உற்பத்தி,,,,general,corpus_sourashtradictionary
,,உந்நதி,unnati,,,,"Improvement, Progress, Advancement","முன்னேற்றம், உயர்வு",,,,general,corpus_sourashtradictionary
,,உபசாரணொ,upacaaraNo,,,,Treatment,உபசரிப்பு,,,,general,corpus_sourashtradictionary
,,உபதே3ஶ்,upadEss,,,,Advise,அறிவுரை,,,,general,corpus_sourashtradictionary
,,உபஹார்,upahaar,,,,Gift,பரிசு,,,,general,corpus_sourashtradictionary
,,ஊதெ,uute,,,,"Waste, In Vain","வீண், வீணாக",,,,general,corpus_sourashtradictionary
,,ஊளெ,uuLe,,,,Whistle,ஊதல்,,,,general,corpus_sourashtradictionary
,,ஐகனா-ஸெத்3து3,aikanaa-seddu,,,,Ultrasound,செவி உணரா ஒலி,,,,general,corpus_sourashtradictionary
,,ஐகினி,aikini,,,,Hearing,கேள்விபடுவது,,,,general,corpus_sourashtradictionary
,,ஐதொ,aito,,,,Ready,தயார்,,,,general,corpus_sourashtradictionary
,,ஒடா3 ஜா2ட்3 தின்னாள்,oDaa jhaaD tinnaaL,,,,Sourashtrians Festival,சௌராஷ்டிரர்களின் திருவிழா,,,,general,corpus_sourashtradictionary
,,ஒண்டபோகும்,oNTapOkum,,,,Oneside,ஒருபக்கம்,,,,general,corpus_sourashtradictionary
,,ஒண்டிம்புல்,oNTimpul,,,,"In Private, Alone","தனிமையில், தனியாக",,,,general,corpus_sourashtradictionary
,,ஒண்டேஸொகன்,oNTEsokan,,,,"Alike, Similar, Same as",ஒரே மாதிரியாக,,,,general,corpus_sourashtradictionary
,,ஒண்டேஸொகன் ர்ஹா,oNTEsokan rhaa,,,,Resemble,"ஒத்திரு, ஒரே மாதிரியாக",,,,general,corpus_sourashtradictionary
,,ஒண்டேஸொகன் ர்ஹாத்தெ,oNTEsokan rhaatte,,,,"Resemblence, Similarity",ஒத்திருத்தல்,,,,general,corpus_sourashtradictionary
,,ஒத்தடி3,ottaDi,,,,Become Dry,வற்றி,,,,general,corpus_sourashtradictionary
,,ஒப்பிள்னி,oppiLni,,,,"Recognition, Acceptance, Confession","அங்கீகாரம், ஏற்றுக்கொள்ளுதல், வாக்குமூலம், ஒப்புக்கொள்ளுதல்",,,,general,corpus_sourashtradictionary
,,ஒய்து3ஶாலொ,oydussaalo,,,,Hospital,மருத்துவமனை,,,,general,corpus_sourashtradictionary
,,ஒர்கை3,orgai,,,,Be useful,"பயன்படும், உதவும்",,,,general,corpus_sourashtradictionary
,,ஒரை,orai,,,,Wealth,செல்வம்,,,,general,corpus_sourashtradictionary
,,ஒரொ,oro,,,,Skewness,கோணல்,,,,general,corpus_sourashtradictionary
,,ஒரொதிரொ,orotiro,,,,ZigZag,கோணல்மாணலாக,,,,general,corpus_sourashtradictionary
,,ஒலொ,olo,,,,Net,வலை,,,,general,corpus_sourashtradictionary
,,ஒஜாதி,ojaati,,,,a type of,ஒருவகை,,,,general,corpus_sourashtradictionary
,,ஓடு,OTu,,,,"Secret, Confidential",இரகசியம்,,,,general,corpus_sourashtradictionary
,,ஓடுனும்,OTunum,,,,"Side by Side, Juxtapose",அருகருகே,,,,general,corpus_sourashtradictionary
,,ஓர்த்தோ,OrttO,,,,In the corner,மூலையில்,,,,general,corpus_sourashtradictionary
,,ஓர்ப்பு,Orppu,,,,Compromise,சமரசம்,,,,general,corpus_sourashtradictionary
,,ஓரொ,Oro,,,,Sideways,ஓரமாக,,,,general,corpus_sourashtradictionary
,,ஓஸம,Osama,,,,Many a time,ஏகப்பட்ட,,,,general,corpus_sourashtradictionary
,,ஔதா3ர்யொ,audaaryo,,,,Generosity,தயாள குணம்,,,,general,corpus_sourashtradictionary
,,க2ட்டி,khaTTi,,,,Stick,குச்சி,,,,general,corpus_sourashtradictionary
,,க்2யாதி,khyaati,,,,Well known,நன்கு அறியப்பட்ட,,,,general,corpus_sourashtradictionary
,,க2லி,khali,,,,Empty,காலி,,,,general,corpus_sourashtradictionary
,,க3தி,gati,,,,"Condtion, State",நிலை,,,,general,corpus_sourashtradictionary
,,கடி2ன்,kaThin,,,,"Hard, Tough, Drastic","வன்மையான, கடினமான",,,,general,corpus_sourashtradictionary
,,கடி2ன் ஹொயெ,kaThin hoye,,,,Tough,கடினமான,,,,general,corpus_sourashtradictionary
,,கரொ,karo,,,,Gift,பரிசு,,,,general,corpus_sourashtradictionary
,,க்ஷாமம்,kshaamam,,,,Scarcity,பற்றாக்குறை,,,,general,corpus_sourashtradictionary
,,க்ஷேமு,kshEmu,,,,Comfort,ஸௌக்கியம்,,,,general,corpus_sourashtradictionary
,,கா3ட்,gaaT,,,,Knot,முடிச்சு,,,,general,corpus_sourashtradictionary
,,கா4ம்,ghaam,,,,"Beat, Blow, Injury","அடி, காயம்",,,,general,corpus_sourashtradictionary
,,காட்,kaaT,,,,Stain,கறை,,,,general,corpus_sourashtradictionary
,,காந்தி,kaanti,,,,Shining,ஒளிருதல்,,,,general,corpus_sourashtradictionary
,,காமுக்ரமொ,kaamukramo,,,,"Agenda, Program, Event",நிகழ்ச்சி நிரல்,,,,general,corpus_sourashtradictionary
,,காரணொ,kaaraNo,,,,"Reason, Cause",காரணம்,,,,general,corpus_sourashtradictionary
,,கால்டு3,kaalDu,,,,Quarter Rupee,காலணா,,,,general,corpus_sourashtradictionary
,,காஸ்,kaas,,,,Rupee,காசு,,,,general,corpus_sourashtradictionary
,,கி3தொ3,gido,,,,Scratch,கீறல்,,,,general,corpus_sourashtradictionary
,,கி3ர்க்கத்தெ,girkkatte,,,,"Scrawling, Scribbling",கிறுக்குதல்,,,,general,corpus_sourashtradictionary
,,கி3லேஸு,gilEsu,,,,Disconnects,துண்டிக்கிறது,,,,general,corpus_sourashtradictionary
,,கீ3த்,geet,,,,Song,பாட்டு,,,,general,corpus_sourashtradictionary
,,கு2தா3,khudaa,,,,"Hypothecate, Pawn, Pledge, Mortgage",அடகு,,,,general,corpus_sourashtradictionary
,,கு2தி3,khudi,,,,Partner in game,விளையாட்டில் கூட்டாளி,,,,general,corpus_sourashtradictionary
,,கு2பா3ய்,khubaay,,,,Glare,கூசும்,,,,general,corpus_sourashtradictionary
,,கு3ட்3டு3,guDDu,,,,"Secret, Confidential",இரகசியம்,,,,general,corpus_sourashtradictionary
,,கு3ண்ட3ளி,guNDaLi,,,,Coil,சுருள்,,,,general,corpus_sourashtradictionary
,,கு3ண்ணு,guNNu,,,,"Character, Attribute, Quality","குணம், பண்பு, தரம், தன்மை",,,,general,corpus_sourashtradictionary
,,கு3தெ3,gude,,,,Walking stick,கைத்தடி,,,,general,corpus_sourashtradictionary
,,கு3ருத்து,guruttu,,,,Identification,அடையாளம்,,,,general,corpus_sourashtradictionary
,,கு3ருத்து களட3ரியொ,guruttu kaLaDariyo,,,,Introductory,அறிமுக,,,,general,corpus_sourashtradictionary
,,கு3ருத்து களட்3னி,guruttu kaLaDni,,,,Introduction,அறிமுகம்,,,,general,corpus_sourashtradictionary
,,கு3ருத்து களள்ளத்தெ,guruttu kaLaLLatte,,,,"Recognition, Authentication",அடையாளம் காணல்,,,,general,corpus_sourashtradictionary
,,கு3ள்ளொ,guLLo,,,,Ball,பந்து,,,,general,corpus_sourashtradictionary
,,குக்3னொ,kugno,,,,Close,நெருக்கமான,,,,general,corpus_sourashtradictionary
,,குரன்,kuran,,,,Poetry,கவிதை,,,,general,corpus_sourashtradictionary
,,கூடக்,kooTak,,,,Puzzle,புதிர்,,,,general,corpus_sourashtradictionary
,,கூத்,koot,,,,Shout or Bawl,கூப்பாடு,,,,general,corpus_sourashtradictionary
,,கெ2டின்,kheTin,,,,Harsh,கடுமையான,,,,general,corpus_sourashtradictionary
,,கெ2தொ,kheto,,,,Story,கதை,,,,general,corpus_sourashtradictionary
,,கெ2னி,kheni,,,,Story,கதை,,,,general,corpus_sourashtradictionary
,,கெ3ஞ்ஜாவ்,genjjaav,,,,Hashish,கஞ்சா,,,,general,corpus_sourashtradictionary
,,கெ3டி3,geDi,,,,Cart,வண்டி,,,,general,corpus_sourashtradictionary
,,கெ3லய்,gelay,,,,Seep,வழியும்,,,,general,corpus_sourashtradictionary
,,கெ3னாத்,genaat,,,,Treasure,புதையல்,,,,general,corpus_sourashtradictionary
,,கெ4ட்டி,gheTTi,,,,Loudly,சத்தமாக,,,,general,corpus_sourashtradictionary
,,கெ4டி3,gheDi,,,,Loud,சத்தம்,,,,general,corpus_sourashtradictionary
,,கெ4டி3 பொ3வத்தே,gheDi bovattE,,,,Reprimanding,"கண்டித்தல், கடிந்துரைத்தல்",,,,general,corpus_sourashtradictionary
,,கெ4னம்,ghenam,,,,"Pride, Dignity",கௌரவம்,,,,general,corpus_sourashtradictionary
,,கெர்வான,kervaana,,,,Can not do,செய்ய முடியாது,,,,general,corpus_sourashtradictionary
,,கெருங்கி3னி,kerunggini,,,,"Dissolve. Dissolution, Melt","கரைதல், உருகுதல்",,,,general,corpus_sourashtradictionary
,,கெருங்கை3,kerunggai,,,,"Dissolve, Melt","கரையும், உருகும்",,,,general,corpus_sourashtradictionary
,,கெஷ்டம் ஹொயெ,keshTam hoye,,,,Hard,கஷ்டமான,,,,general,corpus_sourashtradictionary
,,கே3கு3,gEgu,,,,Around,சுற்றிலும்,,,,general,corpus_sourashtradictionary
,,கேர்,kEr,,,,Care,கவனித்துக்கொள்ளல்,,,,general,corpus_sourashtradictionary
,,கொ2ப்3பி3ம் ஹொயெ,khobbim hoye,,,,"Regular, Usual",வழக்கமான,,,,general,corpus_sourashtradictionary
,,கொ3வ்ண்ட3ய்யொ,govNDayyo,,,,"Lost, Missing, Misplaced","தொலைந்தது, காணாமல் போனது",,,,general,corpus_sourashtradictionary
,,கொ3வ்ண்ட3யி ஜாத்தெ,govNDayi jaatte,,,,To get lost,"தொலைந்து போகுதல், வழி தவறுதல்",,,,general,corpus_sourashtradictionary
,,கொ4ரம் பி2வ்ரத்தெ,ghoram phivratte,,,,Distraction,கவனத்தை திருப்புதல்,,,,general,corpus_sourashtradictionary
,,கொவ்டொ3,kovDo,,,,Cowrie Shell,சோளி,,,,general,corpus_sourashtradictionary
,,கொனொ,kono,,,,Edge,"முனை, ஓரம்",,,,general,corpus_sourashtradictionary
,,கோ3கோ3,gOgO,,,,Incessantly,சும்மா சும்மா,,,,general,corpus_sourashtradictionary
,,கோ3கோ3தீ,gOgOtee,,,,Just,சும்மாவேனும்,,,,general,corpus_sourashtradictionary
,,கோ3ஸ்,gOs,,,,"Idle, Free, Just, Often","சும்மா, இலவசம், சும்மாவேனும்",,,,general,corpus_sourashtradictionary
,,கௌ3ணி,gauNi,,,,Mucial Concert,சங்கீதக் கச்சேரி,,,,general,corpus_sourashtradictionary
,,கௌத்,kaut,,,,Fun,வேடிக்கை,,,,general,corpus_sourashtradictionary
,,கௌஶல்,kaussal,,,,"Skill, Talent, Ability","கலை, திறமை",,,,general,corpus_sourashtradictionary
,,சடா3வ்,caDaav,,,,Best,சிறந்த,,,,general,corpus_sourashtradictionary
,,சதுர்பாஷா,caturpaashaa,,,,Four Language,நான்கு மொழிகள்,,,,general,corpus_sourashtradictionary
,,சமத்கார்,camatkaar,,,,Dexterity,சாமர்த்தியம்,,,,general,corpus_sourashtradictionary
,,சல்சித்ரா கு3வ்னி,calcitraa guvni,,,,Film roll,திரைப்படச்சுருள்,,,,general,corpus_sourashtradictionary
,,சல்சித்ரொ,calcitro,,,,"Film, Movie",திரைப்படம்,,,,general,corpus_sourashtradictionary
,,"சல்த கேர், ஸொன்னொகொ3","calta kEr, sonnogo",,,,"Continue, Keep on, Sustain","தொடரவும், இடைவிடாதிரு",,,,general,corpus_sourashtradictionary
,,சலய்,calay,,,,Happen,நடக்கும்,,,,general,corpus_sourashtradictionary
,,சல்லினி,callini,,,,"In Touch, Behaving","வரபோக, நடந்துகொள்ளுதல்",,,,general,corpus_sourashtradictionary
,,சல்னி,calni,,,,Behavior,நடத்தை,,,,general,corpus_sourashtradictionary
,,சா2ப்பொ,chaappo,,,,"Print, Stamp","அச்சு, முத்திரை",,,,general,corpus_sourashtradictionary
,,சாரி,caari,,,,Spy,ஒற்றன்,,,,general,corpus_sourashtradictionary
,,சி2ரன்,chiran,,,,Lantern,லாந்தர்,,,,general,corpus_sourashtradictionary
,,சித்துர்,cittur,,,,"Art, Painting, Portrait",ஓவியம்,,,,general,corpus_sourashtradictionary
,,சில்லம்,cillam,,,,Bank,வங்கி,,,,general,corpus_sourashtradictionary
,,சுங்கிலி,cungkili,,,,Escaping,தப்பித்து,,,,general,corpus_sourashtradictionary
,,சுட்டூர்,cuTToor,,,,Around,சுற்றிலும்,,,,general,corpus_sourashtradictionary
,,சுட்டொ,cuTTo,,,,"Cigar, Cheroot",சுருட்டு,,,,general,corpus_sourashtradictionary
,,சுண்டா3ய்,cuNDaay,,,,Hot,சுடும்,,,,general,corpus_sourashtradictionary
,,சுண்டி3ன் தக3த்தெ,cuNDin tagatte,,,,Burn with hot iron,சூடு போடுதல்,,,,general,corpus_sourashtradictionary
,,சுருக்,curuk,,,,"Fast, Quickly","வேகமாக, விரைவாக",,,,general,corpus_sourashtradictionary
,,சூ,coo,,,,"Mistake, Fault, Error",தப்பு,,,,general,corpus_sourashtradictionary
,,சூக்,cook,,,,"Complaint, Fault","குறை, கோள்",,,,general,corpus_sourashtradictionary
,,செட்3னி,ceDni,,,,Advancement,முன்னேற்றம்,,,,general,corpus_sourashtradictionary
,,செடா3வ்,ceDaav,,,,"Advanced, Superior","மேம்பட்ட, உசத்தியான",,,,general,corpus_sourashtradictionary
,,செது3ரத்தெ,ceduratte,,,,"Scatter, Splash","சிதறுதல், தெறித்தல்",,,,general,corpus_sourashtradictionary
,,செந்து3ரடொ3,cenduraDo,,,,Mini Ferris wheel,ரங்கராட்டினம்,,,,general,corpus_sourashtradictionary
,,"செரிஜாத்தெ, அனுஸரிஞ்ஜாத்தெ","cerijaatte, anusarinjjaatte",,,,"Conform, Hormon, Solidarity","ஒத்திரு, இணக்கம்",,,,general,corpus_sourashtradictionary
,,செவ்டி3,cevDi,,,,Dissuade,விரோதமாகப் புத்திமதி கூறு,,,,general,corpus_sourashtradictionary
,,சொகட்3,cokaD,,,,"Fine, Good","நல்லது, நல்ல, நன்றாக",,,,general,corpus_sourashtradictionary
,,சொகட்3 ஸனி,cokaD sani,,,,Maintenance,பராமரிப்பு,,,,general,corpus_sourashtradictionary
,,சோட்3 ஸே,cOD sE,,,,Is good,நன்றாக இருக்கிறது,,,,general,corpus_sourashtradictionary
,,சௌல்னி,caulni,,,,Holding tight,இறுக்கமாகப் பிடித்துக்கொள்ளுதல்,,,,general,corpus_sourashtradictionary
,,டங்கினி,Tangkini,,,,Inscription,கல்வெட்டு,,,,general,corpus_sourashtradictionary
,,"டே3ரொ, ம்ஹொடொ3 பல்லொ","DEro, mhoDo pallo",,,,Tent,கூடாரம்,,,,general,corpus_sourashtradictionary
,,த3மரு,damaru,,,,Lotus,தாமரை,,,,general,corpus_sourashtradictionary
,,த3னி,dani,,,,Palanquin,பல்லக்கு,,,,general,corpus_sourashtradictionary
,,த3ஸ்து,dastu,,,,Gift,பரிசு,,,,general,corpus_sourashtradictionary
,,த3ஸல்,dasal,,,,Free lunch offered on the Saturdays of Tamil month Purattasi,"புரட்டாசி சனிக்கிழமைகளில் வழங்கப்படும் அன்னதானம், தளிகை",,,,general,corpus_sourashtradictionary
,,த4மா தா4மு,dhamaa dhaamu,,,,"Hurry, Hastel, Hurry Burry",அவசரம்,,,,general,corpus_sourashtradictionary
,,த4மா தா4முரு,dhamaa dhaamuru,,,,"Hurriedly, Hastily, Hurry Burrily","ஓட்டம் ஓட்டமாக, அவசரமாக",,,,general,corpus_sourashtradictionary
,,த4மினி,dhamini,,,,Flow,ஓட்டம்,,,,general,corpus_sourashtradictionary
,,த்4வனி,dhvani,,,,Audio,ஒலி அமைவு,,,,general,corpus_sourashtradictionary
,,த4ன்,dhan,,,,Wealth,செல்வம்,,,,general,corpus_sourashtradictionary
,,த4னக3தி3,dhanagadi,,,,Bank,வங்கி,,,,general,corpus_sourashtradictionary
,,த4னகே4ர்,dhanaghEr,,,,Bank,வங்கி,,,,general,corpus_sourashtradictionary
,,த4னவார்,dhanavaar,,,,Bank,வங்கி,,,,general,corpus_sourashtradictionary
,,தத்3து3,taddu,,,,"Strong, Staunch","வலுவான, உறுதியான",,,,general,corpus_sourashtradictionary
,,ததி3,tadi,,,,System,முறை,,,,general,corpus_sourashtradictionary
,,ததி3,tadi,,,,"System, Context","முறை, சூழல்",,,,general,corpus_sourashtradictionary
,,த்ராணி,traaNi,,,,"Capacity, Efficiency",திறன்,,,,general,corpus_sourashtradictionary
,,"தரொ, கு3ணவத்தொ","taro, guNavatto",,,,Quality,தரம்,,,,general,corpus_sourashtradictionary
,,தா3ண்,daaN,,,,"Staff, Handle","தடி, கைப்பிடி",,,,general,corpus_sourashtradictionary
,,தா3ன்,daan,,,,"Donation, Giving alms",தானம்,,,,general,corpus_sourashtradictionary
,,தா4னுக்,dhaanuk,,,,As per,அதன்படி,,,,general,corpus_sourashtradictionary
,,"தார், கெம்பி3","taar, kembi",,,,Wire,கம்பி,,,,general,corpus_sourashtradictionary
,,தாஸு,taasu,,,,"Chance, Occasion, Moment","தருணம், சந்தர்ப்பம்",,,,general,corpus_sourashtradictionary
,,தாஸும்,taasum,,,,Opposite,எதிரில்,,,,general,corpus_sourashtradictionary
,,தி2ரன்,thiran,,,,Permanent,நிரந்தரம்,,,,general,corpus_sourashtradictionary
,,தி3க்குல்,dikkul,,,,Inattention,"பராக்கு, கவனமின்மை",,,,general,corpus_sourashtradictionary
,,தி3த3த்தெ,didatte,,,,Giving back,திருப்பிக் கொடுத்தல்,,,,general,corpus_sourashtradictionary
,,தி3ர்னி,dirni,,,,"Dissolve. Dissolution, Melt","கரைதல், உருகுதல்",,,,general,corpus_sourashtradictionary
,,தி3வ்ய,divya,,,,"Splendorous, Fantastic, Wonderful",அற்புதமான,,,,general,corpus_sourashtradictionary
,,தி3வளி,divaLi,,,,Diwali / Deepawali / Deepavali Festival,தீபாவளி,,,,general,corpus_sourashtradictionary
,,தி3னுஸ்,dinus,,,,Variety,வகை,,,,general,corpus_sourashtradictionary
,,தி3ஜனி,dijani,,,,"Wear and Tear, Depreciation","தேய்தல், தேய்மானம்",,,,general,corpus_sourashtradictionary
,,திகு3ச்சர்,tiguccar,,,,"By itself, Automatically",தன்னால்,,,,general,corpus_sourashtradictionary
,,திவுச்சர்,tivuccar,,,,"By itself, Automatically",தன்னால்,,,,general,corpus_sourashtradictionary
,,தீ2ரப்பன்,theerappan,,,,Stability,ஸ்திரத்தன்மை,,,,general,corpus_sourashtradictionary
,,தீ3 தொ2வெத்தெனொ,dee thovetteno,,,,Lucky,கொடுத்து வைத்தவன்,,,,general,corpus_sourashtradictionary
,,தீ4னு,dheenu,,,,"Right, Freedom","உரிமை, சுதந்திரம்",,,,general,corpus_sourashtradictionary
,,து3க்3வாள்,dugvaaL,,,,Famine,பஞ்சம்,,,,general,corpus_sourashtradictionary
,,து3கா3ள்,dugaaL,,,,Famine,பஞ்சம்,,,,general,corpus_sourashtradictionary
,,து3ட3கொ,duDako,,,,Split,பிளவு,,,,general,corpus_sourashtradictionary
,,து3ர்கு3ன்,durgun,,,,Spoling,கெடும்படி,,,,general,corpus_sourashtradictionary
,,து3ஸ்தர்,dustar,,,,Rare,அபூர்வம்,,,,general,corpus_sourashtradictionary
,,து3ஸ்தல்,dustal,,,,Rare,அபூர்வம்,,,,general,corpus_sourashtradictionary
,,து3ஸ்தல்கன்,dustalkan,,,,"Hardly, Rarely","அரிதாக, அபூர்வமாக",poorana ghiraaN dustalkan hosu,Total eclipse occurs rarely,முழு கிரகணம் அரிதாகவே நிகழ்கிறது,general,corpus_sourashtradictionary
,,து3ஷ்க்ருதின்,dushkrutin,,,,Evil deed,கெட்ட செயல்,,,,general,corpus_sourashtradictionary
,,து3ஷ்கரெ,dushkare,,,,"Bad deed, Bad activity",மோசமான செயல்,,,,general,corpus_sourashtradictionary
