sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,தி3ன்னு தெ3க்கட்ணி,dinnu dekkaTNi,,,,Calendar,நாட்காட்டி,தி3ன்னு தெ3க்கட்ணின் பு4லோக் பூராக் ஒண்டே தா4னுக் வௌரினி பொட3ரஸ்,Calendars are used uniformly around the world,நாட்காட்டிகள் உலகம் முழுவதும் ஒரே மாதிரியாகப் பயன்படுத்தப்படுகின்றன,calendar,corpus_sourashtradictionary
,,ஸொளொபா2ர்,soLophaar,,,,"Morning, Dawn","காலை வேளை, விடியற்காலை",ஸொளொபா2ரும் சலத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,Walking in the morning is good for health,காலையில் நடைபயிற்சி செய்வது உடல் நலத்திற்கு நல்லது,calendar,corpus_sourashtradictionary
,,ப2ல்திவார்,phaltivaar,,,,"Morning, Dawn","காலை வேளை, விடியற்காலை",ப2ல்திவாரும் குடொ3 குகஸு,The rooster crows at dawn,விடியற்காலையில் சேவல் கூவும்,calendar,corpus_sourashtradictionary
,,து4வார்,dhuvaar,,,,Afternoon,மதியம்,து4வாரி நிஞ்ஜத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கட் ந்ஹா,Sleeping in the afternoon is not good for health,மதியம் தூங்குவது உடல் நலத்திற்கு நல்லதல்ல,calendar,corpus_sourashtradictionary
,,தீ3ஸ்,dees,,,,"Daytime, Daylight hours",பகல் நேரம்,ஹூனு கலமு தீ3ஸு வேள் வேன் ர்ஹாயி,Daylight hours are longer in summer,கோடையில் பகல் நேரம் அதிகமாக இருக்கும்,calendar,corpus_sourashtradictionary
,,தி3ஸ்லொ,dislo,,,,"Daytime, Daylight hours",பகற்பொழுது,கூ4கு3 ஹால் தி3ஸ்லாம் ஸாத்தக் முஸுனா,The owl can't see during the daytime,ஆந்தையால் பகலில் பார்க்க முடியாது,calendar,corpus_sourashtradictionary
,,விஸந்து3லொ,visandulo,,,,Dusk,"அந்திப்பொழுது, அந்தி சாயும் நேரம்",விஸந்து3லொ தி3வொ பொ4வ்ரி பாய்ஞ்பொட்3னொ,"At dusk, light a lamp and pray",அந்தி சாயும் போது விளக்கேற்றி பிரார்த்தனை செய்ய வேண்டும்,calendar,corpus_sourashtradictionary
,,வீள்டொ,veeLTo,,,,Evening,மாலை,பிள்ளல்னு வீள்டாக் சொவ்து3னொ,Children should study in the evening,குழந்தைகள் மாலையில் படிக்க வேண்டும்,calendar,corpus_sourashtradictionary
,,ராத்,raat,,,,Night,இரவு,ராதும் தமஸ் பொடி3 கா2 ஹோனா,Do not eat late at night,இரவில் தாமதமாக சாப்பிடக்கூடாது,calendar,corpus_sourashtradictionary
,,நிஸ்லொ,nislo,,,,Night time,"இரவுப்பொழுது, இரவு நேரம்",நிஸ்லாம் ஜு2க்கு ஜீவுனுன் நிஞ்ஜஸு,Most living beings sleep at night,இரவுப்பொழுதில் பெரும்பாலான ஜீவ ராசிகள் உறங்கும்,calendar,corpus_sourashtradictionary
