sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,chickenpox,அம்மை,,,,Health,words
ꢓꢮ꣄ꢙꢵꢮ꣄,खव्जाव,க2வ்ஜாவ்,khavjaav,khavjAv,khavjāv,kʰəʋd͡ʒɑːʋ,itching,அரிப்பு,,,,Health,words
ꢓꢵꢱ꣄,खास,கா2ஸ்,khaas,khAs,khās,kʰɑːs̪,itching,அரிப்பு,,,,Health,words
ꢗꢶꢥꢲꢸ,चिनहु,சின்ஹு,chinahu,cinahu,cinahu,t͡ʃɪn̪əɦu,sign,அறிகுறி,,,,Health,words
ꢧꢜꢶꢥꢶ,फटिनि,ப2டினி,phat'ini,phaTini,phaṭini,pʰəʈɪn̪ɪ,operation,அறுவை,,,,Health,words
ꢂꢙꢷꢬ꣄ꢥꢸ,अजीर्णु,அஜீர்ணு,ajeernu,ajIrnu,ajīrnu,əd͡ʒiːɾn̪u,indigestion,அஜீரணம்,,,,Health,words
ꢱꣃꢒ꣄ꢫꢪ꣄,सौक्यम्,ஸௌக்யம்,saukyam,saukyam,saukyam,s̪əukjəm,health,ஆரோக்கியம்,,,,Health,words
ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ,अस्पत्तिरि,அஸ்பத்திரி,aspattiri,aspattiri,aspattiri,əs̪pət̪t̪ɪɾɪ,hospital,ஆஸ்பத்திரி,,,,Health,words
ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ,आसु भद्रि,ஆஸு ப4த்3ரி,aasu bhadri,Asu bhadri,āsu bhadri,ɑːs̪u bʰəd̪ɾɪ,hospital,ஆஸ்பத்திரி,,,,Health,words
ꢓꣁꢮ꣄ꢭꣁ,खा॑व्ला॑,கொ2வ்லொ,kho'vlo',khOvlO,khŏvlŏ,kʰoʋlo,cough,இருமல்,,,,Health,words
ꢱꢮ꣄ꢬꢶꢫꢪ꣄,सव्रियम्,ஸௌரியம்,savriyam,savriyam,savriyam,s̪əʋɾɪjəm,health,உடல் நலம்,,,,Health,words
ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄,क॑ण्टापील्,கெண்டாபீள்,ke'nt'aapeel,kENTApIl,kĕṇṭāpīl,keɳʈɑːpiːl,sprain,சுளுக்கு,,,,Health,words
