sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢲꣁꢞꢵꢬ꣄,हा॑डार्,ஹொடா3ர்,ho'd'aar,hODAr,hŏḍār,ɦoɖɑːɾ,quadrangle inside the house,அங்கணம்,,,,House-Parts,words
ꢕꣁꢪ꣄ꢪꣁ,घा॑म्मा॑,கொ4ம்மொ,gho'mmo',ghOmmO,ghŏmmŏ,gʰommo,room,அறை,,,,House-Parts,words
ꢂꢬꣁ,अरा॑,அரொ,aro',arO,arŏ,əɾo,room,அறை,,,,House-Parts,words
ꢡꢮ꣄ꢬꢪ꣄,तव्रम,தவ்ரம்,tavram,tavram,tavram,t̪əʋɾəm,room,அறை,,,,House-Parts,words
ꢕꢿꢬ꣄,घेर्,கே4ர்,gher,gher,gher,gʰeːɾ,house,இல்லம்,,,,House-Parts,words
ꢓꢥꢶꢡꢮ꣄ꢬꢪ꣄,खनि तव्रम,க2னி தவ்ரம்,khanitavram,khanitavram,khanitavram,kʰən̪ɪt̪əʋɾəm,dining hall,உணவறை,,,,House-Parts,words
ꢲꢥ꣄ꢣꢮꢸ ꢡꢮ꣄ꢬꢪ꣄,हन्दवु तव्रम,ஹந்த3வு தவ்ரம்,handavu tavram,handavu tavram,handavu tavram,ɦən̪d̪əʋu t̪əʋɾəm,dining hall,உணவறை,,,,House-Parts,words
ꢆꢛ꣄ꢗꢳꣁ,उञ्चळा॑,உஞ்சலொ,unchal'o',uJcaLO,uñcal̤ŏ,uɲt͡ʃəɭo,swing,ஊஞ்சல்,,,,House-Parts,words
ꢲꢶꢥ꣄ꢣꢳꢶ,हिन्दळि,ஹிந்த3ளி,hindal'i,hindaLi,hindal̤i,ɦɪn̪d̪əɭɪ,swing,ஊஞ்சல்,,,,House-Parts,words
ꢓꢮ꣄ꢬꢵ ꢕꢿꢬ꣄,खव्राघेर्,க2வ்ராகே4ர்,khavraa gher,khavrA gher,khavrā gher,kʰəʋɾɑː gʰeːɾ,tiled house,ஓட்டுவீடு,,,,House-Parts,words
