sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢦꢱꢾꢔꢸꢥ꣄,अपस॑गुन,அபஸெகு3ன்,apase'gun,apasEgun,apasĕgun,əpəs̪egun̪,ill omen,அபசகுனம்,,,,Ceremonies,words
ꢂꢪꢖ꣄ꢒꢭꢸ,अमङ्गलु,அமங்க3லு,amankalu,amaGkalu,amaṅkalu,əməŋkəlu,inauspicious,அமங்கலம்,,,,Ceremonies,words
ꢪꢖ꣄ꢔꢭ ꢲꢶꢥ꣄,मङ्गल हीन,மங்க3ல ஹீன்,mangala hin,maGgala hin,maṅgala hin,məŋgələ ɦɪn̪,inauspicious,அமங்கலம்,,,,Ceremonies,words
ꢨꣁꢮ꣄ꢥꢶ ꢦꢡ꣄ꢬꢶꢒꣁ,बा॑व्नि पत्रिका॑,பொ3வ்னி பத்ரிகொ,bo'vni patriko',bOvni patrikO,bŏvni patrikŏ,boʋn̪ɪ pət̪ɾɪko,invitation card,அழைப்பிதழ்,,,,Ceremonies,words
ꢱ꣄ꢮꢵꢔꢡ ꢦꢡ꣄ꢬꢶꢒꣁ,स्वागत पत्रिका॑,ஸ்வாக3த பத்ரிகொ,svaagata patriko',svAgata patrikO,svāgata patrikŏ,s̪ʋɑːgət̪ə pət̪ɾɪko,invitation card,அழைப்பிதழ்,,,,Ceremonies,words
ꢥꢶꢪꢥ꣄ꢡ꣄ꢬꢥ ꢦꢡ꣄ꢬꢶꢒꣁ,निमन्त्रन पत्रिका॑,நிமந்த்ரன பத்ரிகொ,nimantrana patriko',nimantrana patrikO,nimantrana patrikŏ,n̪ɪmən̪t̪ɾən̪ə pət̪ɾɪko,invitation card,அழைப்பிதழ்,,,,Ceremonies,words
ꢨꣁꢮ꣄ꢥꢶ,बा॑व्नि,பொ3வ்னி,bo'vni,bOvni,bŏvni,boʋn̪ɪ,invitation,அழைப்பு,,,,Ceremonies,words
ꢂꢗꢵꢬ꣄,अचार्,அசார்,achaar,acAr,acār,ət͡ʃɑːɾ,custom,ஆசாரம்,,,,Ceremonies,words
ꢣꢷꢮꢥꣁ,दीवना॑,தீ3வனொ,deevano',dIvanO,dīvanŏ,d̪iːʋən̪o,blessing,ஆசீர்வாதம்,,,,Ceremonies,words
ꢃꢱꢶꢬ꣄ꢮꢵꢣ꣄,आसिर्वाद,ஆஸிர்வாத்3,aasirvaad,AsirvAd,āsirvād,ɑːs̪ɪɾʋɑːd̪,blessing,ஆசீர்வாதம்,,,,Ceremonies,words
ꢆꢦꢮꢵꢱ꣄,उपवास,உபவாஸ்,upavaas,upavAs,upavās,upəʋɑːs̪,fasting,உபவாசம்,,,,Ceremonies,words
ꢏꢔꢡ꣄,आ॑गत,ஒக3த்,o'gat,Ogat,ŏgat,ogət̪,fasting,உபவாசம்,,,,Ceremonies,words
