sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,angeekaar,aGgIkAr,aṅgīkār,əŋgiːkɑːɾ,recognition,அங்கீகாரம்,,,,Politics,words
ꢂꢗ꣄ꢗꢸ,अच्चु,அச்சு,achchu,accu,accu,ət͡ʃt͡ʃu,axis,அச்சு,,,,Politics,words
ꢜꢖ꣄ꢒꢸ,टङ्कु,டங்கு,t'anku,TaGku,ṭaṅku,ʈəŋku,axis,அச்சு,,,,Politics,words
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,पत्रवाहिनि,பத்ரவாஹினி,patravaahini,patravAhini,patravāhini,pət̪ɾəʋɑːɦɪn̪ɪ,post,அஞ்சல்,,,,Politics,words
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,पत्रवाहका॑,பத்ரவாஹகொ,patravaahako',patravAhakO,patravāhakŏ,pət̪ɾəʋɑːɦəko,postman,அஞ்சல்காரர்,,,,Politics,words
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,पत्रवाहा॑,பத்ரவாஹொ,patravaaho',patravAhO,patravāhŏ,pət̪ɾəʋɑːɦo,postman,அஞ்சல்காரர்,,,,Politics,words
ꢭꢿꢓꢸꢮꢵꢥ꣄,लेखुवान,லேகு2வான்,lekhuvaan,lekhuvAn,lekhuvān,leːkʰuʋɑːn̪,postman,அஞ்சல்காரர்,,,,Politics,words
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,पत्रवाह कार्यालया॑,பத்ரவாஹ கார்யாலயொ,patravaaha kaaryaalayo',patravAha kAryAlayO,patravāha kāryālayŏ,pət̪ɾəʋɑːɦə kɑːɾjɑːləjo,post office,அஞ்சலகம்,,,,Politics,words
ꢒꣂꢰ꣄ꢜꢸ,कोष्टु,கோஷ்டு,kosht'u,koSTu,koṣṭu,koːʂʈu,"table, schedule",அட்டவணை,,,,Politics,words
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,उड्गड्णि,உட்3க3ட்3ணி,ud'gad'ni,uDgaDNi,uḍgaḍṇi,uɖgəɖɳɪ,oppression,அடக்குமுறை,,,,Politics,words
