sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢒꣂꢜ꣄,कोट्,கோட்,kot',koT,koṭ,koːʈ,where,எங்கே,,,,Interrogative-Words,words
ꢒꢶꢡ꣄ꢒ,कित्क,கித்க,kitka,kitka,kitka,kɪt̪kə,how many,எத்தனை,,,,Interrogative-Words,words
ꢒꢶꢡ꣄ꢒꢫꣁ,कित्कया॑,கித்கயொ,kitkayo',kitkayO,kitkayŏ,kɪt̪kəjo,how manieth,எத்தனையாவது,,,,Interrogative-Words,words
ꢒꣂꢥ꣄,कोन,கோன்,kon,kon,kon,koːn̪,how manieth,எத்தனையாவது,,,,Interrogative-Words,words
ꢒꢶꢱꣁ,किसा॑,கிஸொ,kiso',kisO,kisŏ,kɪs̪o,how,எப்படி,,,,Interrogative-Words,words
ꢒꣂꢥꢒ꣄,कोनक,கோனக்,konak,konak,konak,koːn̪ək,how,எப்படி,,,,Interrogative-Words,words
ꢒꢶꢱꢵꢫꣁ,किसाया॑किसाय॑,கிஸாயொகிஸாயெ,kisaayo',kisAyO,kisāyŏ,kɪs̪ɑːjo,what type of,எப்படிப்பட்ட,,,,Interrogative-Words,words
ꢒꢶꢱꢵꢫꢾ,किसाया॑किसाय॑,கிஸாயொகிஸாயெ,kisaaye',kisAyE,kisāyĕ,kɪs̪ɑːje,what type of,எப்படிப்பட்ட,,,,Interrogative-Words,words
ꢓꣁꢨ꣄ꢨꣁ,खा॑ब्बा॑,கொ2ப்3பொ3,kho'bbo',khObbO,khŏbbŏ,kʰobbo,when,எப்போது,,,,Interrogative-Words,words
ꢒꢶꢱꣁ,किसा॑,கிஸொ,kiso',kisO,kisŏ,kɪs̪o,what way,எவ்வாறு,,,,Interrogative-Words,words
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,कोन दिन्नु,கோன் தி3ன்னு,ko'n dinnu,kOn dinnu,kŏn dinnu,kon̪ d̪ɪn̪n̪u,which day,என்று,,,,Interrogative-Words,words
ꢒꢵꢫ꣄,काय,காய்,kaay,kAy,kāy,kɑːj,what,என்ன,,,,Interrogative-Words,words
ꢒꢵꢫꣁ,काया॑,காயொ,kaayo',kAyO,kāyŏ,kɑːjo,what,என்ன,,,,Interrogative-Words,words
ꢒꣂꢥꢾ,कोन॑,கோனெ,kone',konE,konĕ,koːn̪e,what,எந்த,,,,Interrogative-Words,words
ꢒꣂꢥ꣄ꢫꢾ,कोन्य॑,கோன்யெ,konye',konyE,konyĕ,koːn̪je,what,எந்த,,,,Interrogative-Words,words
