sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢲꢶꢬ,हिर,ஹிர,hira,hira,hira,ɦɪɾə,orange,ஆரஞ்சு,,,,Colors,words
ꢥꢡ꣄ꢡꢭ꣄,नत्तल,நத்தல்,nattal,nattal,nattal,n̪ət̪t̪əl,blood red,இரத்தச்சிவப்பு,,,,Colors,words
ꢒꣁꢪ꣄ꢨꢳꢮꢥꢶ,का॑म्ब्ळवनि,கொம்ப்3ளவனி,ko'mbal'avani,kOmbaLavani,kŏmbal̤avani,kombəɭəʋən̪ɪ,light colour,இளநிறம்,,,,Colors,words
ꢒꣁꢪ꣄ꢨꢳ ꢦꣁꢭ꣄ꢱꣁ,का॑म्ब्ळपा॑ल्सा॑,கொம்ப்3ளபொல்ஸொ,ko'mbal'a po'lso',kOmbaLa pOlsO,kŏmbal̤a pŏlsŏ,kombəɭə pols̪o,light green,இளம் பச்சை,,,,Colors,words
ꢙꢾꢪ꣄ꢨ꣄ꢳ,जेम्ब्ळ,ஜெம்ப்3ள,je'mbl'a,jEmbLa,jĕmbl̤a,d͡ʒembɭə,violet,ஊதா,,,,Colors,words
ꢒꢳꣁ,कळा॑,களொ,kal'o',kaLO,kal̤ŏ,kəɭo,dark,கருநிறம்,,,,Colors,words
ꢥꢶꢳꣁ,निळा॑,நிளொ,nil'o',niLO,nil̤ŏ,n̪ɪɭo,dark blue,கருநீலம்,,,,Colors,words
ꢕꢾꢞꢶ ꢦꣁꢭ꣄ꢱꣁ,घ॑डिपा॑ल्सा॑,கெ4டி3பொல்ஸொ,ghe'd'i po'lso',ghEDi pOlsO,ghĕḍi pŏlsŏ,gʰeɖɪ pols̪o,dark green,கரும்பச்சை,,,,Colors,words
ꢒꢳ,कळ,கள,kal'a,kaLa,kal̤a,kəɭə,black,கறுப்பு,,,,Colors,words
ꢒꢵꢰ꣄ꢜꢸ,काष्टु,காஷ்டு,kaasht'u,kASTu,kāṣṭu,kɑːʂʈu,saffron,காவி,,,,Colors,words
ꢬꢪꢵ ꢦꣁꢭ꣄ꢱꣁ,रमापाअ॑ल्सा॑,ரமாபொல்ஸொ,ramaa po'lso',ramA pOlsO,ramā pŏlsŏ,ɾəmɑː pols̪o,parrot green,கிளிப்பச்சை,,,,Colors,words
ꢱꢶꢬ꣄ꢒ꣄ꢒꢥ꣄,सिर्क्कन,ஸிர்க்கன்,sirkkan,sirkkan,sirkkan,s̪ɪɾkkən̪,sandal/ cream,சந்தணம்,,,,Colors,words
ꢤꢹꢪ꣄ꢮꢥꢶ,धूम्वनि,தூ4ம்வனி,dhoomvani,dhUmvani,dhūmvani,d̪ʰuːmʋən̪ɪ,ash colour,சாம்பல்,,,,Colors,words
ꢭꢴꣁꢮ꣄ꢮꣁ,ल्हा॑व्वो,லொ:வ்வொ,lho'vvo',lhOvvO,lhŏvvŏ,lɦoʋʋo,red,சிவப்பு,,,,Colors,words
ꢮꢥꢶ,वनि,வனி,vani,vani,vani,ʋən̪ɪ,colour,நிறம் / வண்ணம்,,,,Colors,words
ꢯ꣄꣄ꢫꢵꢪꣁ,श्यामा॑,ஶ்யாமொ,shyaamo',zyAmO,śyāmŏ,ʃjɑːmo,blue,நீலம்,,,,Colors,words
ꢥꢶꢭ,निल,நில,nila,nila,nila,n̪ɪlə,blue,நீலம்,,,,Colors,words
ꢦꣁꢭ꣄ꢱꣁ,पा॑ल्सा॑,பொல்ஸொ,po'lso',pOlsO,pŏlsŏ,pols̪o,green,பச்சை,,,,Colors,words
ꢂꢳ꣄ꢞꢸꢥꣁ,हळ्डुना॑,ஹள்டு3னொ,al'd'uno',aLDunO,al̤ḍunŏ,əɭɖun̪o,yellow,மஞ்சள்,,,,Colors,words
ꢆꢙꢵꢳ꣄,हुजाळ,ஹுஜாள்,ujaal',ujAL,ujāl̤,ud͡ʒɑːɭ,white,வெள்ளை,,,,Colors,words
