sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢥꢸꢙ꣄ꢛꣁ,अनुज्ना॑,அனுஜ்ஞொ,anujnyo',anujJO,anujñŏ,ən̪ud͡ʒɲo,licence,உரிமம்,,,,Transport,words
ꢂꢥꢸꢪꢡꢶꢦ꣄ꢡ꣄ꢬꢸ,अनुमति पत्रु,அனுமதி பத்ரு,anumatiptru,anumatiptru,anumatiptru,ən̪umət̪ɪpt̪ɾu,licence,உரிமம்,,,,Transport,words
ꢤꢪꢞ꣄ꢠꢵꢬ꣄,धमड्णार,த4மட்3ணார்,dhamad'naar,dhamaDNAr,dhamaḍṇār,d̪ʰəməɖɳɑːɾ,driver,ஓட்டுநர்,,,,Transport,words
ꢣꣁꢮ꣄ꢜꢸꢥꢵꢬ꣄,दोव्टुनार,தொ3வ்டுனார்,do'vt'unaar,dOvTunAr,dŏvṭunār,d̪oʋʈun̪ɑːɾ,driver,ஓட்டுநர்,,,,Transport,words
ꢏꢠ꣄ꢜ꣄ꢫ ꢦꣁꢔꢸꢮꢵꢜ꣄,आ॑ण्ट्यपोगुवाट,ஒண்ட்ய போகுவாட்,o'nt'ya po'guvaat',ONTya pOguvAT,ŏṇṭya pŏguvāṭ,oɳʈjə poguʋɑːʈ,one way traffic,ஒரு வழிப்பாதை,,,,Transport,words
ꢔꢵꢫ꣄ ꢨꣁꢠ꣄ꢞꢶ,गायबा॑ण्डि,கொ3ருபொ3ண்டி3,gaay bo'nd'i,gAy bONDi,gāy bŏṇḍi,gɑːj boɳɖɪ,bullockcart,மாட்டு வண்டி,,,,Transport,words
ꢥꣃꢒꣁ,नौका॑,நௌகொ,nauko',naukO,naukŏ,n̪əuko,ship,கப்பல்,,,,Transport,words
ꢕꣁꢣꢵ ꢨꣁꢠ꣄ꢞꢶ,घोडा बा॑ण्डि,கொ4டா3பொ3ண்டி3,gho'daa bo'nd'i,ghOdA bONDi,ghŏdā bŏṇḍi,gʰod̪ɑː boɳɖɪ,Horse cart,குதிரைவண்டி / ஜட்கா,,,,Transport,words
ꢩꢵꢬ꣄ ꢡꢸꢒꢒꢸ꣄ꢥꢵꢬ꣄,भार्तुक्कुनार्,பா4ர் துக்குனார்,bhaar tukakunaar,bhAr tukakunAr,bhār tukak_ŭnār,bʰɑːɾ t̪ukəkun̪ɑːɾ,porter,கூலி,,,,Transport,words
ꢩꣁꢠ꣄ꢠꢪ꣄,भा॑ण्णम,பொ4ண்ணம்,bho'nnam,bhONNam,bhŏṇṇam,bʰoɳɳəm,goods,சரக்கு,,,,Transport,words
ꢱꢪꢵꢥ꣄,समान्,ஸமான்,samaan,samAn,samān,s̪əmɑːn̪,laggage,சாமானம்,,,,Transport,words
ꢪꢵꢬ꣄ꢔꢸ,मार्गु,மார்கு3,maargu,mArgu,mārgu,mɑːɾgu,road,சாலை / தடம்,,,,Transport,words
ꢬꢾꢱ꣄ꢡꣁ,रेस्ता॑,ரெஸ்தொ,re'sto',rEstO,rĕstŏ,ɾes̪t̪o,road,சாலை / தடம்,,,,Transport,words
ꢫꢵꢡ꣄ꢬꢵ ꢗꢷꢜ꣄,यात्रा चीट,யாத்ரா சீட்,yaatraa cheet',yAtrA cIT,yātrā cīṭ,jɑːt̪ɾɑː t͡ʃiːʈ,ticket,சீட்டு,,,,Transport,words
ꢩꢵꢬ꣄ ꢨꣁꢠ꣄ꢞꢶ,भार्बा॑ण्डि,பா4ர்பொ3ண்டி3,bhaar bo'nd'i,bhAr bONDi,bhār bŏṇḍi,bʰɑːɾ boɳɖɪ,lorry,சுமையுந்து,,,,Transport,words
ꢪꢵꢒ꣄ꢬꢸꢪ꣄,माक्रुम्,மாக்கும்,maakrum,mAkrum,mākrum,mɑːkɾum,route,தடம்,,,,Transport,words
ꢣꢠ꣄ꢞꢮꢵꢭꢪ꣄,तण्डवालम,தண்ட3வாளம்,dand'avaalam,daNDavAlam,daṇḍavālam,d̪əɳɖəʋɑːləm,rails,தண்டவாளம்,,,,Transport,words
ꢗꢭ꣄ꢥꢶ ꢪꢶꢜ꣄ꢜꣁ,च्ल्नि मिट्टा॑,சல்னி மிட்டொ,chalni mit't'o',calni miTTO,calni miṭṭŏ,t͡ʃəln̪ɪ mɪʈʈo,platform,தளம்,,,,Transport,words
ꢥꣃꢒꣁ ꢲꢶꢨ꣄ꢨꢥ꣄ꢬꢾꢪ꣄,नौका॑ हिब्बन्रेम,நௌகொ ஹிப்3ப3ன்ரேம்,nauko' hibbanre'm,naukO hibbanrEm,naukŏ hibbanrĕm,n̪əuko ɦɪbbən̪ɾem,harbour,துறைமுகம்,,,,Transport,words
ꢡꣁꢬꢠ꣄ ꢔꢸꢰ꣄ꢜꢶ,ता॑रण गुष्टि,தொரண் கு3ஷ்டி,to'ran gusht'i,tOraN guSTi,tŏraṇ guṣṭi,t̪oɾəɳ guʂʈɪ,train,தொடர்வண்டி,,,,Transport,words
ꢦꢥ꣄ꢗꢭꢶ,पन्चलि,பன்சலி,panchali,pancali,pancali,pən̪t͡ʃəlɪ,boat,தோணி,,,,Transport,words
ꢦꢥ꣄ꢗꢭ꣄,पन्चल,பன்சல்,panchal,pancal,pancal,pən̪t͡ʃəl,boat,தோணி,,,,Transport,words
ꢭꢵꢜ꣄ꢒꢶꢜ꣄ꢒꢶ,लाट्किट्कि,லாட்கிட்கி,laat'kit'ki,lATkiTki,lāṭkiṭki,lɑːʈkɪʈkɪ,anchor,நங்கூரம்,,,,Transport,words
ꢗꢭꢞ꣄ꢥꢵꢬ꣄,चलड्नार,சலட்3னார்,chalad'naar,calaDnAr,calaḍnār,t͡ʃələɖn̪ɑːɾ,conductor,நடத்துநர்,,,,Transport,words
ꢨꢸꢜꢥ꣄ ꢥꣃ,बुटन नौ,பு3டன்நௌ,but'an nau,buTan nau,buṭan nau,buʈən̪ n̪əu,submarine,நீர்மூழ்கிக் கப்பல்,,,,Transport,words
ꢥꢶꢡ꣄ꢡ ꢮꢵꢜ꣄,नित्त वाट,நித்தவாட்,nitta vaat',nitta vAT,nitta vāṭ,n̪ɪt̪t̪ə ʋɑːʈ,direct route,நேர்வழி,,,,Transport,words
ꢥꢵꢮ꣄,नाव,நாவ்,naav,nAv,nāv,n̪ɑːʋ,boat,படகு,,,,Transport,words
ꢫꢵꢡ꣄ꢬꣁ,यात्रा॑,யாத்ரொ,yaatro',yAtrO,yātrŏ,jɑːt̪ɾo,journey,பயணம்,,,,Transport,words
ꢫꢵꢡ꣄ꢬꢶꢒꢸꢥ꣄,यात्रिकुन,யாத்ரிகுன்,yaatrikun,yAtrikun,yātrikun,jɑːt̪ɾɪkun̪,passengers,பயணிகள்,,,,Transport,words
ꢫꢵꢡ꣄ꢬꣁ,यात्रा॑,யாத்ரொ,yaatro',yAtrO,yātrŏ,jɑːt̪ɾo,Journey,பிரயாணம்,,,,Transport,words
ꢫꢵꢡ꣄ꢬꢶꢥ꣄,यात्रिन्,யாத்ரின்,yaatrin,yAtrin,yātrin,jɑːt̪ɾɪn̪,Passenger,பிரயாணிகள்,,,,Transport,words
ꢬꣀꢫꢶꢭ꣄ ꢨꣁꢠ꣄ꢜꢶ,रैयिल्बोण्टि,ரையில் பொ3ண்டி3,raiyil bo'nt'i,raiyil bONTi,raiyil bŏṇṭi,ɾəɪjɪl boɳʈɪ,train,புகை வண்டி,,,,Transport,words
ꢬꣀꢫꢶꢭ꣄ ꢨꣁꢠ꣄ꢞꢶ,रैयिल्बोण्टि,ரைல்பொ3ண்டி ஹிப்பன் தா2ம்,raiyil bo'nd'i,raiyil bONDi,raiyil bŏṇḍi,ɾəɪjɪl boɳɖɪ,railway station,புகைவண்டி நிலையம்,,,,Transport,words
ꢲꢶꢦ꣄ꢦꢥ꣄꣄ ꢢꢵꢪ꣄,हिप्पन थाम्,ரைல்பொ3ண்டி ஹிப்பன் தா2ம்,hippan thaam,hippan thAm,hippan thām,ɦɪppən̪ t̪ʰɑːm,railway station,புகைவண்டி நிலையம்,,,,Transport,words
ꢨꢱ꣄,बस्,ப3ஸ்,bas,bas,bas,bəs̪,bus,பேருந்து,,,,Transport,words
ꢨꢱ꣄ ꢱ꣄ꢢꢭ꣄,बस्स्थल,ப3ஸ் ஸ்த2ல்,bas sthal,bas sthal,bas sthal,bəs̪ s̪t̪ʰəl,bus stand,பேருந்து நிலையம்,,,,Transport,words
ꢂꢮ꣄ꢥꢶ ꢙꢥꢶ,अव्नि जनि,அவ்னி ஜனி,avni jani,avni jani,avni jani,əʋn̪ɪ d͡ʒən̪ɪ,transport,போக்குவரத்து,,,,Transport,words
ꢔꣁꢬꢸꢨꣁꢠ꣄ꢜꢶ,गा॑रु बा॑ण्टि,கொ3ருபொ3ண்டி,go'rubo'nt'i,gOrubONTi,gŏrubŏṇṭi,goɾuboɳʈɪ,bullock cart,மாட்டுவண்டி,,,,Transport,words
ꢦꢛBꢗꢸꢭꢵ ꢨꣁꢠ꣄ꢜꢶ,पञ्चुला बा॑ण्टि,பஞ்சலாபொ3ண்டி,panyaBchulaa bo'nt'i,paJaBculA bONTi,pañaBculā bŏṇṭi,pəɲəBt͡ʃulɑː boɳʈɪ,cycle,மிதிவண்டி,,,,Transport,words
ꢮꢶꢣ꣄ꢫꢸꢡ꣄ꢡꣁꢬꢠ꣄ ꢔꢸꢰ꣄ꢜꢶ,विद्युत्तोरण गुष्टि,வித்3யுத்தொரண் கு3ஷ்டி,vidyutto'ran gusht'i,vidyuttOraN guSTi,vidyuttŏraṇ guṣṭi,ʋɪd̪jut̪t̪oɾəɳ guʂʈɪ,electric train,மின்சாரவண்டி,,,,Transport,words
ꢫꢵꢡ꣄ꢬꢵ,यात्रा॑,யாத்ரொ,yaatraa,yAtrA,yātrā,jɑːt̪ɾɑː,journey,யாத்திரை,,,,Transport,words
ꢨꣁꢠ꣄ꢜꢶ,बा॑ण्डि,பொ3ண்டி3,bo'nt'i,bONTi,bŏṇṭi,boɳʈɪ,vehicle,வண்டி,,,,Transport,words
ꢨꣁꢠ꣄ꢞꢶ,बा॑ण्डि,பொ3ண்டி3,bo'nd'i,bONDi,bŏṇḍi,boɳɖɪ,vehicle,வாகனம்,,,,Transport,words
