sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,பா4வனொ,bhaavano,,,,"Emotion, Feeling, Attitude, Sentiment","உணர்ச்சி, உணர்வு, மனப்பான்மை",,,,feelings,corpus_sourashtradictionary
,,பா4வனொதெ4ரெ,bhaavanodhere,,,,Emotional,உணர்ச்சி வயப்பட்ட,,,,feelings,corpus_sourashtradictionary
,,சித்து,cittu,,,,Mind,மனது,,,,feelings,corpus_sourashtradictionary
,,சிஜ்ஜிது,cijjitu,,,,Conquering the mind,மனதை வெல்வது,,,,feelings,corpus_sourashtradictionary
,,மொன்னு,monnu,,,,Mind,மனது,,,,feelings,corpus_sourashtradictionary
,,மொன்னுதெ4ரெ,monnudhere,,,,"Mental, Psycho",மனஞ்சார்ந்த,,,,feelings,corpus_sourashtradictionary
,,பி4த்தரு மொன்னு,bhittaru monnu,,,,Conscience,மனசாட்சி,,,,feelings,corpus_sourashtradictionary
,,நிம்மள்,nimmaL,,,,Peace of mind,நிம்மதி,,,,feelings,corpus_sourashtradictionary
,,லேதன்,lEtan,,,,Thinking,நினைப்பு,,,,feelings,corpus_sourashtradictionary
,,க3வன்,gavan,,,,Thought,எண்ணம்,,,,feelings,corpus_sourashtradictionary
,,ஹட்வன்,haTvan,,,,"Memory, Remembrance, Thought","நினைவு, ஞாபகம், நினைப்பு, எண்ணம்",,,,feelings,corpus_sourashtradictionary
,,ஹவ்ட3ன்,havDan,,,,"Memory, Remembrance, Thought","நினைவு, ஞாபகம், நினைப்பு, எண்ணம்",,,,feelings,corpus_sourashtradictionary
,,ஹவ்ட3ரஸ்,havDaras,,,,"Suppose, Think","எண்ணுகிறேன், நினைக்கிறேன்",,,,feelings,corpus_sourashtradictionary
,,"ஸாந்த், ஶாந்தி","saant, ssaanti",,,,"Peace, Calm, Serenity, Quiet",அமைதி,,,,feelings,corpus_sourashtradictionary
,,ஓர்ப்,Orp,,,,Patience,பொறுமை,,,,feelings,corpus_sourashtradictionary
,,அல்லட்னி,allaTni,,,,"Impatient, Jumpy, Restless","தவித்தல், தவிப்பு",,,,feelings,corpus_sourashtradictionary
,,துஸ்னி,tusni,,,,"Joy, Pleasure, Happy, Delight, Happiness",மகிழ்ச்சி,,,,feelings,corpus_sourashtradictionary
,,குஷி,kushi,,,,"Joy, Pleasure, Happy, Delight, Happiness",மகிழ்ச்சி,,,,feelings,corpus_sourashtradictionary
,,ஸந்தோஸ்,santOs,,,,"Joy, Pleasure, Happy, Delight, Happiness",மகிழ்ச்சி,,,,feelings,corpus_sourashtradictionary
,,உத்ஸாஹ்,utsaah,,,,"Jolly, Excitement, Exuberant","மகிழ்ச்சி, உற்சாகம்",,,,feelings,corpus_sourashtradictionary
,,ஸொம்பு,sompu,,,,"Joy, Pleasure, Happy, Delight, Happiness",மகிழ்ச்சி,,,,feelings,corpus_sourashtradictionary
,,ஸொந்தோ3ஷ்,sondOsh,,,,"Joy, Pleasure, Happy, Delight, Happiness",மகிழ்ச்சி,,,,feelings,corpus_sourashtradictionary
,,ஸொந்து,sontu,,,,"Happy, Pleasure, Exultation, Merriment","சந்தோஷம், களிப்பு",,,,feelings,corpus_sourashtradictionary
,,ஸொந்தோஷ்கன்,sontOshkan,,,,Happily,சந்தோஷமாக,,,,feelings,corpus_sourashtradictionary
,,துஷத்தெ,tushatte,,,,Being happy,மகிழ்ச்சியாக இருப்பது,,,,feelings,corpus_sourashtradictionary
,,பு2லன்,phulan,,,,State of delight,பூரித்தல்,,,,feelings,corpus_sourashtradictionary
,,பு2லஸ்,phulas,,,,"Ecstasy, Highly delighted, Heavenly","புளகாங்கிதம், பெருமகிழ்ச்சி",,,,feelings,corpus_sourashtradictionary
,,"வேன் ஸொந்தோஷ் ஹொயெ, ஸ்வர்கு3 தெ4ரெ","vEn sontOsh hoye, svargu dhere",,,,Heavenly,"பெரு மகிழ்ச்சியூட்டுகிற, சுவர்க்கம் தொடர்பான",,,,feelings,corpus_sourashtradictionary
,,ஸுக2ம்,sukham,,,,Comfort,சுகம்,,,,feelings,corpus_sourashtradictionary
,,து3ஹ்கு2 பொட3த்தெ,duhkhu poDatte,,,,"Feeling sorry, Regret",வருத்தப்படுதல்,,,,feelings,corpus_sourashtradictionary
,,விசார் பொட3த்தெ,vicaar poDatte,,,,"Feeling sorry, Regret",வருத்தப்படுதல்,,,,feelings,corpus_sourashtradictionary
,,விசார்,vicaar,,,,"Anxiety, Worry, Sad","கவலை, வருத்தம்",,,,feelings,corpus_sourashtradictionary
,,சிந்தொ,cinto,,,,"Worry, Sad, Concern","கவலை, வருத்தம், அக்கறை",,,,feelings,corpus_sourashtradictionary
,,வெகுல்,vekul,,,,"Worry, Anxiety","கவலை, மனக்கவலை",,,,feelings,corpus_sourashtradictionary
,,வியாகூல்,viyaakool,,,,"Worry, Anxiety","கவலை, மனக்கவலை",,,,feelings,corpus_sourashtradictionary
,,பரிதாப்,paritaap,,,,Pity,வருத்தம்,,,,feelings,corpus_sourashtradictionary
,,பஶ்சாதாப்,passcaataap,,,,"Repentance, Sympathy",கழிவிரக்கம்,,,,feelings,corpus_sourashtradictionary
,,பா4ர்,bhaar,,,,"Pain, Suffering","வலி, துன்பம்",,,,feelings,corpus_sourashtradictionary
,,மொன்னு பா4ர்,monnu bhaar,,,,Stress,மன அழுத்தம்,,,,feelings,corpus_sourashtradictionary
,,ஸூத்,soot,,,,"Longing, Nostalgic",ஏக்கம்,,,,feelings,corpus_sourashtradictionary
,,து3வ்னொ,duvno,,,,"Pain, Ache","வலி, துன்பம்",,,,feelings,corpus_sourashtradictionary
,,பா3தொ3,baado,,,,"Pain, Suffering, Grief, Sorrow, Worry","துன்பம், துயரம், வருத்தம்",,,,feelings,corpus_sourashtradictionary
