sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஒடு3வம்,oDuvam,,,,Sacred thread wearing function,பூணூல் கல்யாணம்,"ஒடு3வம் 5, 7, 9 ந்ஹீஜியெத் 11 ஒர்ஸும் கெரஸுன்","Upanayanam is done at the age of 5, 7, 9 or 11 years","உபநயனம் 5, 7, 9 அல்லது 11 வயதில் செய்யப்படுகிறது",marriage,corpus_sourashtradictionary
,,ஜெஞ்ஜெம்,jenjjem,,,,Sacred thread,பூணூல்,"ப4வள்னு, க்ஷத்ரியர்னு அங்கு3 வைஸ்யர்னு ஜெஞ்ஜெம் க4ல்லஸுன்","Jenjam is worn by Brahmins, Kshatriyas and Vaisya","பிராமணர்கள், க்ஷத்திரியர்கள் மற்றும் வைசியர்கள் பூணூல் அணிவார்கள்",marriage,corpus_sourashtradictionary
,,ஸௌணால்,sauNaal,,,,Sacred thread Renewal Day,ஆவணி அவிட்டம்,ஸௌணால் தி3 ஜெஞ்ஜெம் மர்ச்சிலி வேது3ன் அப்4யாஸ் கெர்னொ,"On Avani Avittam, Jenjem should be renewed and Veda should be practiced",ஆவணி அவிட்டம் அன்று பூணூல் புதுப்பித்து வேதம் பயில வேண்டும்,marriage,corpus_sourashtradictionary
,,ப்ராமொபெ3ட்3கி,praamobeDki,,,,"Girlfriend, Lovergirl, Lover girl",காதலி,தெனொ தொரெ ப்ராமொபெ3ட்கியா?,Is she your girlfriend?,அவள் உன் காதலியா?,marriage,corpus_sourashtradictionary
,,ப்ராமொபெ3ட்3கொ,praamobeDko,,,,"Boyfriend, Loverboy, Lover boy",காதலன்,தெனொ அபுல் ப்ராமொபெ3ட்3காக் ஹொராட்3 கெர்லிஸ்,She married her lover boy,அவள் தன் காதலனை மணந்தாள்,marriage,corpus_sourashtradictionary
,,ப்ரேமி,prEmi,,,,"Lover, Darling, Loverboy, Lovergirl","காதலன், காதலி",தெனொ மொரெ ப்ரேமி,She is my lover,அவள் என் காதலி,marriage,corpus_sourashtradictionary
,,"ஜர்கெம் பான், பான்","jarkem paan, paan",,,,"Horoscope, Birth Chart",ஜாதகம்,தெ2வ்டெ3தெனு ஜர்கெம் பான் ஸானாத்தக் ஹொராட்3 கெர்லஸுன்,Some people get married without looking at horoscopes,சிலர் ஜாதகம் பார்க்காமல் திருமணம் செய்து கொள்கின்றனர்,marriage,corpus_sourashtradictionary
,,"செர்ச்சி ஸா, செர்ச்சி ஸவொ","cercci saa, cercci savo",,,,Match,பொருத்து,பெ3ட்கா பெ3ட்கி பான் செர்ச்சி ஸா,Match horoscopes of boy and girl,பையன் மற்றும் பெண்ணின் ஜாதகங்களைப் பொருத்தவும்,marriage,corpus_sourashtradictionary
,,செர்னி,cerni,,,,"Match, Compatible",பொருத்தம்,பான் செர்ர்ஹியெத் ஹொராட்3 கெர்லுவாய்,"If the horoscopes are compatible, they can marry",ஜாதகம் பொருத்தமாக இருந்தால் திருமணம் செய்து கொள்ளலாம்,marriage,corpus_sourashtradictionary
,,செர்னி ந்ஹினா,cerni nhinaa,,,,"Mismatch, Incompatible",பொருத்தமின்மை,எல்லெ தீ3 பானுன் செர்னி ந்ஹீனாத்தெயொ,Both these horoscopes are incompatible,இந்த இரண்டு ஜாதகங்களும் பொருத்தமற்றவை,marriage,corpus_sourashtradictionary
,,செரய்,ceray,,,,"Will match, Compatible, Applicable",பொருந்தும்,எல்லெ தீ3 பானுன் செரய்,Both these horoscopes are compatible,இந்த இரண்டு ஜாதகங்களும் பொருந்தும்,marriage,corpus_sourashtradictionary
,,செர்னா,cernaa,,,,"Will not match, Mismatch, Incompatible, Not applicable","பொருந்தாது, பொருத்தமின்மை",எல்லெ தீ3 பானுன் செர்னா,These two horoscopes are incompatible,"இந்த இரண்டு ஜாதகங்களும் பொருந்தாது,",marriage,corpus_sourashtradictionary
,,செரத்திஸா,cerattisaa,,,,"Compatible, Applicable, Apt",பொருந்தக்கூடிய,எல்லெ செரத்திஸா பானுன்,These are compatible horoscopes,இவை பொருந்தக்கூடிய ஜாதகங்கள்,marriage,corpus_sourashtradictionary
,,செர்னாத்திஸா,cernaattisaa,,,,"Incompatible, Not applicable",பொருந்தாத,எல்லெ செர்னாத்திஸா பானுன்,These are incompatible horoscopes,இவை பொருந்தாத ஜாதகங்கள்,marriage,corpus_sourashtradictionary
,,நிகு3,nigu,,,,"Finalize, Confirm",முடிவு,கொனக்கி தெல்லெ பெ3ட்காக் பெ3ட்கி நிகு3 கெர்த்தியா,Somehow they finalised the girl for the boy,எப்படியோ அந்த பையனுக்கு பெண்ணை முடிவு செய்துவிட்டார்கள்,marriage,corpus_sourashtradictionary
,,கெ4ட்டிவிடொ3,gheTTiviDo,,,,"Betrothal, Engagement",நிச்சயதார்த்தம்,கெ4ட்டிவிடொ3 ப2ராது ஹொராடு3க் உன்னொபொட3யொ 6 ம்ஹடொ3 ஹோயி,Marriage takes at least 6 months after engagement,நிச்சயதார்த்தத்திற்குப் பிறகு திருமணத்திற்கு குறைந்தது 6 மாதங்கள் ஆகும்,marriage,corpus_sourashtradictionary
,,கெ4ட்டிகெரெ நொவ்ரொ,gheTTikere novro,,,,"Fiance, Fiancé",வருங்கால கணவன்,தெனு மொரெ கெ4ட்டிகெரெ நொவ்ரொ,He is my fiance,அவர் என் வருங்கால கணவர்,marriage,corpus_sourashtradictionary
,,கெ4ட்டிகெரெ நொவ்ரி,gheTTikere novri,,,,"Fiancee, Fiancée",வருங்கால மனைவி,தெனு அபுல் கெ4ட்டிகெரெ நொவ்ரிக் ஒண்டெ முத்3தி3க் ஜேம் தி3யாஸி,He gifted his fiance a ring,அவர் தனது வருங்கால மனைவிக்கு ஒரு மோதிரத்தை பரிசளித்தார்,marriage,corpus_sourashtradictionary
,,தெ3வ்லய்,devlay,,,,Matrimonial relationship,"திருமண சம்பந்தம், திருமண உறவு",அமி தெங்கொ3 ஸெரொ தெ3வ்லய் கெர்ல்ரியொ,We have matrimonial relations with them,நாங்கள் அவர்களுடன் திருமண சம்பந்தம் செய்துள்ளோம்,marriage,corpus_sourashtradictionary
,,தே3ஸ்ஹன்னவ்,dEshannav,,,,Token Betrothal,ஒப்பு தாம்புலம்,பெ3ட்க கெரான் தே3ஸ்ஹன்னவ்கன் ரூ 51 தி3யாஸி,They gave Rs 51 as Token Betrothel from the boy side,பையன் தரப்பில் ஒப்பு தாம்புலமாக ரூ.51 கொடுத்தார்கள்,marriage,corpus_sourashtradictionary
,,தெ3வுகாஸ்,devukaas,,,,"Day before marriage, Eve of marriage",திருமணத்திற்கு முன்தினம்,தெ3வுகாஸ் தெந்து3ஸ் அபுல் கொ4ம்மா தே3வ்தானுக் பாய்ஞ்பொட3ஸுன்,They worship their household deities on the eve of marriage,திருமணத்திற்கு முந்தைய நாள் தங்கள் வீட்டு தேவதைகளை வழிபடுகிறார்கள்,marriage,corpus_sourashtradictionary
,,பெரண்ட3ம்,peraNDam,,,,Sumangali Puja,சுமங்கலி பூஜை,பெரண்ட3மு பாஞ்ஜு ஸுமங்க3லினுக் புஜொ கெரனு,In Sumangali prayer five Sumangalis are worshiped,சுமங்கலி பிரார்த்தனையில் ஐந்து சுமங்கலிகளுக்கு பூஜை செய்வார்கள்,marriage,corpus_sourashtradictionary
,,பௌ4லாஸ்,bhaulaas,,,,Lineage briefing,பரம்பரை பற்றி சொல்லுதல்,ஸௌராஷ்டிரர்னு ஹொராடு3ம் பௌ4லாஸ் ஸங்க3னு,Saurashtras tell about lineage in marriage,சௌராஷ்டிரர்கள் திருமணத்தில் பரம்பரை பற்றி சொல்வார்கள்,marriage,corpus_sourashtradictionary
,,மஹால்,mahaal,,,,"Hall, Auditorium",மண்டபம்,ஹொராடு3க் மஹால் வெக்கத்தெ ம்ஹொட்டொ காம்கன் ஸே,Finding a wedding hall is a big task,கல்யாணத்திற்கு மண்டபம் தேடுவது பெரிய வேலையாக இருக்கிறது,marriage,corpus_sourashtradictionary
,,மொண்ட3வ்,moNDav,,,,"Hall, Auditorium",மண்டபம்,ஹொராடு3 மொண்ட3வும் பாய்ஞ் தொ2வத்த முஸுனாத்த தூ3ருக் மூகொ3,The wedding hall was so crowded that it was impossible to set foot,திருமண மண்டபத்தில் கால் வைக்க முடியாத அளவுக்கு கூட்டம்,marriage,corpus_sourashtradictionary
,,ஹொராடு3 மொண்ட3வ்,horaaDu moNDav,,,,"Wedding hall, Marriage hall",திருமண மண்டபம்,எல்லெ ஹொராடு3 மொண்ட3வும் 500 தெனுன் பி3ஸத்தக் முஸை,This wedding hall can seat 500 people,இந்த திருமண மண்டபத்தில் 500 பேர் அமர முடியும்,marriage,corpus_sourashtradictionary
,,மௌடொ3,mauDo,,,,Coconut leaf awning,பந்தல்,மௌடொ3க் பொ3து3லு ஷாமியானா அவ்டி3யொ,Shamiyana has replaced coconut leaf awning,பந்தலுக்கு பதிலாக ஷாமியானா வந்துவிட்டது,marriage,corpus_sourashtradictionary
,,தொரண்,toraN,,,,Leaf Hanging,தோரணம்,மௌடா3ம் தொரண் லொம்ப3 ஸொட3ஸுன்,They hang the Leaf Hanging on the awning,பந்தலில் தோரணத்தை தொங்கவிடுகிறார்கள்,marriage,corpus_sourashtradictionary
,,கா2ம்பு3,khaambu,,,,"Pillar, Post","தூண், கம்பம்",மௌடா3க் பொ3ங்கு3 கா2ம்பு3 ப்ரயோக்3 கெரஸுன்,They use Bamboo pillars for awnings,பந்தலுக்கு மூங்கில் கம்புகளை பயன்படுத்துகிறார்கள்,marriage,corpus_sourashtradictionary
,,பத்திரிக்கெ,pattirikke,,,,Invitation,அழைப்பிதழ்,மாய்பா3புன் அபுல் ஒஸ்துனுக் பத்திரிக்கெ தொ2வி பொ3வஸுன்,Parents invite their relatives with invitation,பெற்றோர்கள் தங்கள் உறவினர்களை அழைப்பிதழுடன் அழைக்கிறார்கள்,marriage,corpus_sourashtradictionary
,,நொவ்ரொ,novro,,,,"Groom, Bridegroom",மணமகன்,நொவ்ரொ நொவ்ரி கெ3லாம் பொ3ட்டு ப4ந்த3ராஸ்,Groom ties the holy thread around the bride's neck,மணமகன் மணமகளின் கழுத்தில் தாலி கட்டுகிறார்,marriage,corpus_sourashtradictionary
,,நொவ்ரி,novri,,,,Bride,மணமகள்,நொவ்ரி கொ3ண்ட்யாவ்ஹால் ஹாத் ஸிங்க3ல்ரிஸ்,The bride has adorned her hand with henna,மணமகள் மருதாணியால் கையை அலங்கரித்துள்ளாள்,marriage,corpus_sourashtradictionary
,,நஸ்தியான்,nastiyaan,,,,Bridegroom's friend,மணமகனின் நண்பர்,நஸ்தியானுக் சொக்கட் கௌ3ஞ்சுலுவொ,Take good care of the groom's friends,மணமகனின் நண்பர்களை நன்றாக கவனித்துக் கொள்ளுங்கள்,marriage,corpus_sourashtradictionary
,,அட்பி,aTpi,,,,Bride's Friend,மணப்பெண் தோழி,அட்பின் நொவ்ரிக் ஸிங்க3ர்லேத் ஹொத்3யாஸ்,The bride's friends were decorating the bride,மணமகளின் தோழிகள் மணமகளை அலங்கரித்துக்கொண்டிருந்தனர்,marriage,corpus_sourashtradictionary
