sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢣꢶꢪꢤꢸꢬꢪ꣄,अदिमधुरम,அதி3மது4ரம்,adimadhuram,adimadhuram,adimadhuram,əd̪ɪməd̪ʰuɾəm,licorice,அதிமதுரம்,,,,Provisions,words
ꢡꢥ꣄ꢣꢸ,तन्दु,தந்து3,tandu,tandu,tandu,t̪ən̪d̪u,rice,அரிசி,,,,Provisions,words
ꢍꢬꢠ꣄ꢞꣁ,एरण्डा॑,ஏரண்டொ3,erand'o',eraNDO,eraṇḍŏ,eːɾəɳɖo,castor,ஆமணக்கு,,,,Provisions,words
ꢭꣁꢪ꣄ꢧꢹꢭ꣄,ला॑म्पूल,லொம்பூ2ல்,lo'mphool,lOmphUl,lŏmphūl,lompʰuːl,cloves,இலவங்கம்,,,,Provisions,words
ꢪꢷꢜ꣄,मीट्,மீட்,meet',mIT,mīṭ,miːʈ,salt,உப்பு,,,,Provisions,words
ꢆꢖ꣄ꢒꣁ,उङ्का॑,உங்கொ,unko',uGkO,uṅkŏ,uŋko,husk of paddy,உமி,,,,Provisions,words
ꢣꢸꢱꣁ,दुसा॑,துஸொ,duso',dusO,dusŏ,d̪us̪o,husk of paddy,உமி,,,,Provisions,words
ꢤꢹꢳ꣄꣄ꢪꢹꢳ꣄꣄,धुळ्मूळ,து4ள்மூள்,dhool'mool',dhULmUL,dhūl̤mūl̤,d̪ʰuːɭmuːɭ,potato,உருளைக் கிழங்கு,,,,Provisions,words
ꢒꢥ꣄ꢣꣁ,कन्दा॑,கந்தொ3,kando',kandO,kandŏ,kən̪d̪o,onion,உள்ளி,,,,Provisions,words
ꢆꢞꢶꢡ꣄,उडित्,உடி3த்,ud'it,uDit,uḍit,uɖɪt̪,blackgram,உளுந்து,,,,Provisions,words
ꢡꢿꢭ꣄,तेल्,தேல்,tel,tel,tel,t̪eːl,oil,எண்ணெய்,,,,Provisions,words
ꢡꢷꢳ꣄꣄,तीळ,தீள்,teel',tIL,tīl̤,t̪iːɭ,gingili,எள்ளு,,,,Provisions,words
ꢌꢭꣁ,एला॑,எலொ,e'lo',ElO,ĕlŏ,elo,cardamom,ஏலம்,,,,Provisions,words
ꢏꢪꣁ,आ॑मा॑,ஒமொ,o'mo',OmO,ŏmŏ,omo,bishop`s weed,ஓமம்,,,,Provisions,words
ꢔꢱꢔꢱꢵꢭ꣄,गसगसाल,க3ஸக3ஸால்,gasagasaal,gasagasAl,gasagasāl,gəs̪əgəs̪ɑːl,poppy seed,கசகசா,,,,Provisions,words
ꢗꢾꢥ꣄ꢥꣁ,च॑न्ना॑,சென்னொ,che'nno',cEnnO,cĕnnŏ,t͡ʃen̪n̪o,Bengal gram,பொரிக்கடலை,,,,Provisions,words
ꢪꢴꢸꢬꢶ,म्हुरि,மு:ரி,mhuri,mhuri,mhuri,mɦuɾɪ,mustard,கடுகு,,,,Provisions,words
ꢭꢮꢖ꣄ꢔ ꢦꢜ꣄ꢜꣀ,लवङ्गपट्टै,லவங்க3 பட்டொ,lavanga pat't'ai,lavaGga paTTai,lavaṅga paṭṭai,ləʋəŋgə pəʈʈəɪ,cinnamon,கருவாப்பட்டை,,,,Provisions,words
ꢓꢾꢠ꣄ꢞꢸ,ख॑ण्डि,கெ2ண்டு3,khe'nd'u,khENDu,khĕṇḍu,kʰeɳɖu,Sugar crystal,கல்கண்டு,,,,Provisions,words
ꢄꢒ꣄ꢱꢸꢔꢾꢞ꣄ꢞꣁ,इक्षुग॑ड्डा॑,இக்ஷுகெ3ட்3டொ3,iksuge'd'd'o',iksugEDDO,iksugĕḍḍŏ,ɪks̪ugeɖɖo,Sugar crystal,கல்கண்டு,,,,Provisions,words
