example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
ருச்சின் ஸோயொ ஸே,There are six flavors,ஆறு சுவைகள் உள்ளன
பு4க்லாகு ருச்சி பாகுன் களானா,One who is hungry does not know taste,பசியோடு இருப்பவருக்கு சுவை தெரியாது
கி4ராஸு பொள்ளா வேன் ருச்சி ஹொயெ பொள்ளா,Pineapple is a very tasty fruit,அன்னாசிப்பழம் மிகவும் சுவையான பழம்
சீஸு ருச்சி அம்ப3டு3,The taste of tamarind is sour,புளியின் சுவை புளிப்பு
ஹப்பளு ருச்சி கஸ்னி ஹோஸு,The taste of Arica nut is astringent,கொட்டைப்பாக்கின் சுவை துவர்ப்பு ஆகும்
சிஞ்ஜிரி பு4ர்கா ருச்சி புஷ்ளொ ஹோஸு,The taste of tamarind seed powder is also astringent,புளியங்கொட்டை பொடியின் சுவை துவர்ப்பு ஆகும்
ஹக்3கு3னொ ப3ரொ கெரத்திஸா ஶக்தி ஒகு3ர் ருச்சிக் ஸேத்தெ,The astringent taste has the power to correct diarrhea,வயிற்றுப் போக்கை சரி செய்யும் ஆற்றல் துவர்ப்புச் சுவைக்கு உண்டு
பொ2ன்னிஸு பொள்ளா ருச்சி கு3ள்ளெ ஹோஸு,The taste of jackfruit is sweet,பலாப்பழத்தின் சுவை இனிப்பு ஆகும்
பொ3ந்தெ3ம் கெ2ருட் ருச்சி வேன் ஸே,Plantain Stem are rich in salty taste,வாழைத் தண்டில் உவர்ப்புச் சுவை மிகுதியாக உள்ளது
கல்லா ருச்சி கொடு3கன் ர்ஹாயி,The taste of bitter gourd is bitter,பாகற்காயின் சுவை கசப்பாக இருக்கும்
வேன் திக்கெ அந்த்ராம் க2ஜ்ஜு அவத்தக் ஹேது ஹோயி,Excess pungent is the cause of intestinal ulcers,அதிகப்படியான காரம் குடல் புண்கள் தோன்ற காரணம் ஆகும்
மிர்க்கய்லொகின் அல்லொ கா2ர்கன் ஸே,Chili and ginger have a spicy taste,மிளகாய் மற்றும் இஞ்சி காரமான சுவை கொண்டது
எல்லீரும் பனி கொம்மன் ருச்சிகன் ர்ஹாயி,The tender coconut has a mild unfermented taste,இளநீரின் சுவை இளஞ்சுவையாக இருக்கும்
லொனி நஜ்ஜியெத் கெனர் வஸுனொ அவயி,Rancid is the odor of spoiled butter,வெண்ணெய் கெட்டுப் போனால் காரல் வாசனை வரும்
கெட்டு பிள்சார் திச்சன் ஹொதெ3ஸ்,The Indian lentle soup was tasteless,பருப்பு ரசம் சுவையற்று இருந்தது
"ஒடு3வம் 5, 7, 9 ந்ஹீஜியெத் 11 ஒர்ஸும் கெரஸுன்","Upanayanam is done at the age of 5, 7, 9 or 11 years","உபநயனம் 5, 7, 9 அல்லது 11 வயதில் செய்யப்படுகிறது"
"ப4வள்னு, க்ஷத்ரியர்னு அங்கு3 வைஸ்யர்னு ஜெஞ்ஜெம் க4ல்லஸுன்","Jenjam is worn by Brahmins, Kshatriyas and Vaisya","பிராமணர்கள், க்ஷத்திரியர்கள் மற்றும் வைசியர்கள் பூணூல் அணிவார்கள்"
ஸௌணால் தி3 ஜெஞ்ஜெம் மர்ச்சிலி வேது3ன் அப்4யாஸ் கெர்னொ,"On Avani Avittam, Jenjem should be renewed and Veda should be practiced",ஆவணி அவிட்டம் அன்று பூணூல் புதுப்பித்து வேதம் பயில வேண்டும்
தெனொ தொரெ ப்ராமொபெ3ட்கியா?,Is she your girlfriend?,அவள் உன் காதலியா?
தெனொ அபுல் ப்ராமொபெ3ட்3காக் ஹொராட்3 கெர்லிஸ்,She married her lover boy,அவள் தன் காதலனை மணந்தாள்
தெனொ மொரெ ப்ரேமி,She is my lover,அவள் என் காதலி
தெ2வ்டெ3தெனு ஜர்கெம் பான் ஸானாத்தக் ஹொராட்3 கெர்லஸுன்,Some people get married without looking at horoscopes,சிலர் ஜாதகம் பார்க்காமல் திருமணம் செய்து கொள்கின்றனர்
பெ3ட்கா பெ3ட்கி பான் செர்ச்சி ஸா,Match horoscopes of boy and girl,பையன் மற்றும் பெண்ணின் ஜாதகங்களைப் பொருத்தவும்
பான் செர்ர்ஹியெத் ஹொராட்3 கெர்லுவாய்,"If the horoscopes are compatible, they can marry",ஜாதகம் பொருத்தமாக இருந்தால் திருமணம் செய்து கொள்ளலாம்
எல்லெ தீ3 பானுன் செர்னி ந்ஹீனாத்தெயொ,Both these horoscopes are incompatible,இந்த இரண்டு ஜாதகங்களும் பொருத்தமற்றவை
எல்லெ தீ3 பானுன் செரய்,Both these horoscopes are compatible,இந்த இரண்டு ஜாதகங்களும் பொருந்தும்
எல்லெ தீ3 பானுன் செர்னா,These two horoscopes are incompatible,"இந்த இரண்டு ஜாதகங்களும் பொருந்தாது,"
எல்லெ செரத்திஸா பானுன்,These are compatible horoscopes,இவை பொருந்தக்கூடிய ஜாதகங்கள்
எல்லெ செர்னாத்திஸா பானுன்,These are incompatible horoscopes,இவை பொருந்தாத ஜாதகங்கள்
கொனக்கி தெல்லெ பெ3ட்காக் பெ3ட்கி நிகு3 கெர்த்தியா,Somehow they finalised the girl for the boy,எப்படியோ அந்த பையனுக்கு பெண்ணை முடிவு செய்துவிட்டார்கள்
கெ4ட்டிவிடொ3 ப2ராது ஹொராடு3க் உன்னொபொட3யொ 6 ம்ஹடொ3 ஹோயி,Marriage takes at least 6 months after engagement,நிச்சயதார்த்தத்திற்குப் பிறகு திருமணத்திற்கு குறைந்தது 6 மாதங்கள் ஆகும்
தெனு மொரெ கெ4ட்டிகெரெ நொவ்ரொ,He is my fiance,அவர் என் வருங்கால கணவர்
தெனு அபுல் கெ4ட்டிகெரெ நொவ்ரிக் ஒண்டெ முத்3தி3க் ஜேம் தி3யாஸி,He gifted his fiance a ring,அவர் தனது வருங்கால மனைவிக்கு ஒரு மோதிரத்தை பரிசளித்தார்
அமி தெங்கொ3 ஸெரொ தெ3வ்லய் கெர்ல்ரியொ,We have matrimonial relations with them,நாங்கள் அவர்களுடன் திருமண சம்பந்தம் செய்துள்ளோம்
பெ3ட்க கெரான் தே3ஸ்ஹன்னவ்கன் ரூ 51 தி3யாஸி,They gave Rs 51 as Token Betrothel from the boy side,பையன் தரப்பில் ஒப்பு தாம்புலமாக ரூ.51 கொடுத்தார்கள்
தெ3வுகாஸ் தெந்து3ஸ் அபுல் கொ4ம்மா தே3வ்தானுக் பாய்ஞ்பொட3ஸுன்,They worship their household deities on the eve of marriage,திருமணத்திற்கு முந்தைய நாள் தங்கள் வீட்டு தேவதைகளை வழிபடுகிறார்கள்
பெரண்ட3மு பாஞ்ஜு ஸுமங்க3லினுக் புஜொ கெரனு,In Sumangali prayer five Sumangalis are worshiped,சுமங்கலி பிரார்த்தனையில் ஐந்து சுமங்கலிகளுக்கு பூஜை செய்வார்கள்
ஸௌராஷ்டிரர்னு ஹொராடு3ம் பௌ4லாஸ் ஸங்க3னு,Saurashtras tell about lineage in marriage,சௌராஷ்டிரர்கள் திருமணத்தில் பரம்பரை பற்றி சொல்வார்கள்
ஹொராடு3க் மஹால் வெக்கத்தெ ம்ஹொட்டொ காம்கன் ஸே,Finding a wedding hall is a big task,கல்யாணத்திற்கு மண்டபம் தேடுவது பெரிய வேலையாக இருக்கிறது
ஹொராடு3 மொண்ட3வும் பாய்ஞ் தொ2வத்த முஸுனாத்த தூ3ருக் மூகொ3,The wedding hall was so crowded that it was impossible to set foot,திருமண மண்டபத்தில் கால் வைக்க முடியாத அளவுக்கு கூட்டம்
எல்லெ ஹொராடு3 மொண்ட3வும் 500 தெனுன் பி3ஸத்தக் முஸை,This wedding hall can seat 500 people,இந்த திருமண மண்டபத்தில் 500 பேர் அமர முடியும்
