sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,இவத்தெ,ivatte,,,,Reading,"படித்தல், படிப்பது, வாசிப்பது",இவத்தெ ஒண்டெ சொக்கட் ரூணி,Reading is a good habit,வாசிப்பது ஒரு நல்ல பழக்கம்,gerund,corpus_sourashtradictionary
,,உச்லத்தெ,uclatte,,,,Pulling,"இழுத்தல், இழுப்பது",கெ4த3டு3க் ஹுட3ட3த்தெ தொ3ங்க3ருக் உச்லத்தெ ஸொகன்,Getting the donkey up is like pulling a mountain,கழுதையை எழுப்புவது மலையை இழுப்பது போன்றது,gerund,corpus_sourashtradictionary
,,உணத்தெ,uNatte,,,,"Immersing, Plunging","ஆழ்த்துதல், ஆழ்த்துவது","ஸில்லொ-பனி உணத்தெ, ஆங்கு3 து3ன்னொ உன்னொ கெரயி",Cold-water immersion will reduce body pain,"குளிர்-நீர் ஆழ்த்துதல், உடல் வலியை குறைக்கும்",gerund,corpus_sourashtradictionary
,,ஒஞ்சத்தெ,onjcatte,,,,"Cheating, Deceiving","ஏமாற்றுதல், ஏமாற்றுவது",ஒஞ்சத்தெ ஒண்டெ பாபு கரெ,Cheating is a sin,ஏமாற்றுதல் ஒரு பாவச்செயல்,gerund,corpus_sourashtradictionary
,,ஒவத்தெ,ovatte,,,,Carrying the load,"சுமத்தல், சுமப்பது",ஒவன் கெ4த3ட்3 கெரன் ஒண்டே காம் பா4ர் ஒவத்தெ,The only job the mule do is carrying the load,கோவேறு கழுதை செய்யும் ஒரே வேலை பொதி சுமத்தல்,gerund,corpus_sourashtradictionary
,,க2னத்தெ,khanatte,,,,Digging,"தோண்டுதல், தோண்டுவது",ஹீர் க2னத்தெ க2ண்டி3 கொவ்ரத்தெ ஸொகன் ஸுலப்3யம் ந்ஹா,Digging a well is not as easy as digging a pit,கிணறு தோண்டுவது என்பது குழி தோண்டுவது போன்று எளிதானது அல்ல,gerund,corpus_sourashtradictionary
,,கம்ப்லத்தெ,kamplatte,,,,"Shivering, Trembling, Quivering","நடுங்குதல், நடுங்குவது",ஜரிம் ஆங்கு3 து4வெ ப2ராது ஆங்கு3 கம்ப்லஸு,The body trembles after bathing in the waterfall,அருவியில் குளித்த பின் உடல் நடுங்குகிறது,gerund,corpus_sourashtradictionary
,,கி3லத்தெ,gilatte,,,,"Swallowing, Gulping","விழுங்குதல், முழுங்குவது",சவி க2னாத்தக் கி3லத்தெ சொக்கட் ந்ஹா,It is not good to swallow without chewing,மென்று தின்னாமல் முழுங்குவது நல்லதல்ல,gerund,corpus_sourashtradictionary
,,குங்க3த்தெ,kunggatte,,,,"Shrinking, Contracting","சுருங்குதல், சுருங்குவது",பூ4கும் போட் குங்க3த்தெ ஸஹஜமு,Stomach contraction due to hunger is natural,பசியில் வயிறு சுருங்குதல் இயற்கையானது,gerund,corpus_sourashtradictionary
,,குஷத்தெ,kushatte,,,,Ploughing,"உழுதல், உழுவது",பீக் க4லத்தக் முது3ல்லாம் கே2துக் குஷத்தெ சொக்கடு,It is better to plow the field before sowing,விதைப்பதற்கு முன் வயலை உழுவது நல்லது,gerund,corpus_sourashtradictionary
,,தங்கத்தெ,tangkatte,,,,"Shrinking, Contracting","சுருங்குதல், சுருங்குவது",பெ3ய்லனுக் ஸிங்க்3யார் போட் தங்கத்தெ,Stomach shrinking is beauty for women,பெண்டிற்கழகு உண்டி சுருங்குதல்,gerund,corpus_sourashtradictionary
,,தரத்தெ,taratte,,,,Jumping,"தாண்டுதல், தாண்டுவது",மொரெ பெ3டா3க் லம்பொ3 தரத்தெமாம் த3ஸ்து அப்3பெ3ஸி,My son won a prize in long jump,என் மகன் நீளம் தாண்டுதலில் பரிசு பெற்றான்,gerund,corpus_sourashtradictionary
,,உஸுலத்தெ,usulatte,,,,Jumping,துள்ளிக்குதித்தல்,ஹரிண் உஸுலத்தெமாம் தெகொ3 பாய்ஞ் முட்டியொ,The leg was broken when the deer jumped,மான் துள்ளிக்குதித்ததில் கால் முறிந்தது,gerund,corpus_sourashtradictionary
,,ஜிங்க3த்தெ,jinggatte,,,,"Leap, Long jump","பாய்ச்சல், பாயுதல்",சொராக் ஸீ ஜிங்க3த்தெமாம் வாகு3 ஸமர்து2,The tiger is very good at jumping towards prey,இரையை நோக்கி பாய்வதில் புலி மிகவும் திறமையானது,gerund,corpus_sourashtradictionary
