sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢧꣀꢭ ꢦ꣄ꢬꢣꢬ꣄ꢰꢥꣁ,फैल प्रदर्षना॑,பை2ல ப்ரத3ர்ஷனொ,phaila pradarshano',phaila pradarSanO,phaila pradarṣanŏ,pʰəɪlə pɾəd̪əɾʂən̪o,debut / maiden performance,அரங்கேற்றம்,,,,Music,words
ꢲꢬꢶꢓꢾꢡꣁ,हरिख॑ता॑,ஹரிகெ2தொ,harikhe'to',harikhEtO,harikhĕtŏ,ɦəɾɪkʰet̪o,religious discourse with narration,அரிகதை,,,,Music,words
ꢦꢸꢬꢵꢡꢥꢮꢱ꣄ꢡꢸ ꢦ꣄ꢬꢣꢬ꣄ꢰꢶꢥꢶ,पुरातन वस्तु प्रदर्षिनि,புராதன வஸ்து ப்ரத3ர்ஷினி,puraatanavastu pradarshini,purAtanavastu pradarSini,purātanavastu pradarṣini,puɾɑːt̪ən̪əʋəs̪t̪u pɾəd̪əɾʂɪn̪ɪ,museum,அரும்பொருட்காட்சியகம்,,,,Music,words
ꢥꢵꢗꢸ,नाचु,நாசு,naachu,nAcu,nācu,n̪ɑːt͡ʃu,dance,ஆட்டம்,,,,Music,words
ꢥꢜꢥꢪ꣄,नटनम,நடனம்,nat'anam,naTanam,naṭanam,n̪əʈən̪əm,dance,ஆட்டம்,,,,Music,words
ꢱꢖ꣄ꢔꢷꢡ꣄,सङगीत्,ஸங்கீ3த்,sangeet,saGgIt,saṅgīt,s̪əŋgiːt̪,music,இசை,,,,Music,words
ꢱꢖ꣄ꢔꢷꢡꢸ ꢮꣀꢩꢮ꣄,सङगीतु वैभव,ஸங்கீ3துவைப4வ்,sangeetu vaibhav,saGgItu vaibhav,saṅgītu vaibhav,s̪əŋgiːt̪u ʋəɪbʰəʋ,musical concert,இசைநிகழ்ச்சி,,,,Music,words
ꢱꢶꢖ꣄ꢒꢵꢬ꣄ꢭꢶꢥꢶ,सिङकार्लिनि,ஸிங்க3ர்லினி,sinkaarlini,siGkArlini,siṅkārlini,s̪ɪŋkɑːɾlɪn̪ɪ,make up,ஒப்பனை,,,,Music,words
ꢍꢒꢵꢖ꣄ꢒꢶ ꢥꢜ꣄ꢒꢪ꣄,एकाङ्कि नट्कम,ஏகாங்கி நட்கம்,ekaanki nat'kam,ekAGki naTkam,ekāṅki naṭkam,eːkɑːŋkɪ n̪əʈkəm,one act play,ஓரங்கநாடகம்,,,,Music,words
ꢱꢨ꣄ꢣꢸ ꢦ꣄ꢬꢒꢵꢱꢸ ꢣꢬ꣄ꢰꢥꣁ,सब्दुप्रकाषु दर्षना॑,ஸப்3து3 ப்ரகாஷு த3ர்ஷனொ,sabdu prakaasu darshano',sabdu prakAsu darSanO,sabdu prakāsu darṣanŏ,s̪əbd̪u pɾəkɑːs̪u d̪əɾʂən̪o,music and light programme,ஒலி ஒளிக்காட்சி,,,,Music,words
ꢱꢨ꣄ꢣꢸꢔꢸꢠ꣄ꢮꢶ,सब्दु गुण्वि,ஸப்3து3கு3ண்வி,sabdugunvi,sabduguNvi,sabduguṇvi,s̪əbd̪uguɳʋɪ,loudspeaker,ஒலிப்பெருக்கி,,,,Music,words
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,chitru,citru,citru,t͡ʃɪt̪ɾu,painting,ஓவியம்,,,,Music,words
ꢱꢖ꣄ꢔꢷꢡ ꢮꣀꢩꢮ꣄,सङ्गीत वैभव,ஸங்கீ3த வைப4வ்,sangeeta vaibhav,saGgIta vaibhav,saṅgīta vaibhav,s̪əŋgiːt̪ə ʋəɪbʰəʋ,concert,கச்சேரி,,,,Music,words
ꢒꢷꢡꢸꢱ꣄ꢬꢸꢡꢶ,गीतुस्रुति,கீ3துஸ்ருதி,keetusruti,kItusruti,kītusruti,kiːt̪us̪ɾut̪ɪ,pitch,கட்டை,,,,Music,words
ꢔꢮ꣄ꢥꢶꢱ꣄ꢢꢵꢥ꣄,गव्निस थान,க3வ்னி ஸ்தா2ன்,gavnisthaan,gavnisthAn,gavnisthān,gəʋn̪ɪs̪t̪ʰɑːn̪,pitch,கட்டை,,,,Music,words
ꢱ꣄ꢡꢵꢥꢦ꣄ꢬꢫꢡ꣄ꢥꣁ,स्तानप्रयत्ना॑,ஸ்தானப்ரயத்னொ,staanaprayatno',stAnaprayatnO,stānaprayatnŏ,s̪t̪ɑːn̪əpɾəjət̪n̪o,pitch,கட்டை,,,,Music,words
ꢪꣂꢜꢶ ꢮꢶꢡ꣄ꢡꢾ,मोटिवित्त॑,மோடி3வித்தெ,mot'i vitte',moTi vittE,moṭi vittĕ,moːʈɪ ʋɪt̪t̪e,magic,கண்கட்டு வித்தை,,,,Music,words
ꢒꢭꢵ,कला,கலொ,kalaa,kalA,kalā,kəlɑː,art,கலை,,,,Music,words
ꢒꢭꢵꢒꢵꢬ꣄,कलाकार्,கலாகார்,kalaakaar,kalAkAr,kalākār,kəlɑːkɑːɾ,artiste,கலைஞன்,,,,Music,words
ꢒꢵꢒ꣄ꢰꢶ,काक्षि,காக்ஷி,kaakshi,kAkSi,kākṣi,kɑːkʂɪ,scene,காட்சி,,,,Music,words
ꢔ꣄ꢬꢵꢪꢶꢫ ꢥꢵꢗꢸ,ग्रामिय नाचु,க்3ராமிய நாசு,graamiya naachu,grAmiya nAcu,grāmiya nācu,gɾɑːmɪjə n̪ɑːt͡ʃu,a folk dance,கிராமிய நடனம்,,,,Music,words
ꢙꢾꢡꣁꢪꢶꢳꢶ ꢓꢳꢥ꣄ꢥꢵꢗꢸ,जेतोमिळि खळन्नाचु,ஜெதொமிளி க2ளந்நாசு,je'to'mil'i khal'annaachu,jEtOmiLi khaLannAcu,jĕtŏmil̤i khal̤annācu,d͡ʒet̪omɪɭɪ kʰəɭən̪n̪ɑːt͡ʃu,a group dance,கும்மி,,,,Music,words
ꢪꢭ꣄ꢭꢫꢸꢣ꣄ꢣꢸ,मल्लयुद्दु,மல்லயுத்3து3,mallayuddu,mallayuddu,mallayuddu,məlləjud̪d̪u,wrestling,குஸ்தி,,,,Music,words
ꢥꢵꢗꢸ,नाचु,நாசு,naachu,nAcu,nācu,n̪ɑːt͡ʃu,a folk dance,கூத்து,,,,Music,words
ꢥꢵꢗꢸ ꢓꣁꢜ꣄ꢜꣁ,नाचुखा॑ट्टा॑,நாசுகொ2ட்டொ,naachu kho't't'o',nAcu khOTTO,nācu khŏṭṭŏ,n̪ɑːt͡ʃu kʰoʈʈo,theatre,கொட்டகை,,,,Music,words
ꢗꢶꢡ꣄ꢬ ꢮꢷꢠꢾ,चित्रवीणा॑,சித்ரவீணொ,chitra veene',citra vINE,citra vīṇĕ,t͡ʃɪt̪ɾə ʋiːɳe,a musical instrument,கோட்டுவாத்தியம்,,,,Music,words
ꢮꢶꢤꢹꢰꢒ꣄,विधूषक्,விதூ4ஷக்,vidhooshak,vidhUSak,vidhūṣak,ʋɪd̪ʰuːʂək,clown,கோமாளி,,,,Music,words
ꢒꣁꢭꢸ ꢓꢵꢭ꣄,कोलु खाल्,கோலுகா2ள்,ko'lu khaal,kOlu khAl,kŏlu khāl,kolu kʰɑːl,a native dance with sticks,கோலாட்டம்,,,,Music,words
ꢱꢸꢕꢞꢶ,सुघडि,ஸுக4டி3,sughad'i,sughaDi,sughaḍi,s̪ugʰəɖɪ,"sound quality, tone",சாரீரம்,,,,Music,words
ꢕꢞꢶ ꢆꢜꢵꢮ꣄,घडि उटाव,க4டி3 உடாவ்,ghad'i ut'aav,ghaDi uTAv,ghaḍi uṭāv,gʰəɖɪ uʈɑːʋ,"sound quality, tone",சாரீரம்,,,,Music,words
ꢗꢾꢠ꣄ꢜꢾ,च॑ण्ट॑,செண்டெ,che'nt'e',cENTE,cĕṇṭĕ,t͡ʃeɳʈe,a drum,செண்டை,,,,Music,words
ꢡꢫꢵꢬ꣄ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,तयार क॑र्नार,தயார் கெர்னார்,tayaar ke'rnaar,tayAr kErnAr,tayār kĕrnār,t̪əjɑːɾ keɾn̪ɑːɾ,producer,தயாரிப்பாளர்,,,,Music,words
