sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ரஜொ,rajo,,,,King,அரசன்,ரஜொ மெனெத்தெனு ந்ஹன்னொ ராஜ்யமுக் ராஜ்ஜலாத்தெனு,Kings were those who ruled a small kingdom,அரசர்கள் ஒரு சிறிய அரசை ஆண்டவர்கள்,king-troop,corpus_sourashtradictionary
,,ரணி,raNi,,,,Queen,அரசி,ஜா2ன்ஸி ரணி லக்ஷ்மி பா3ய் பா4ரதும் மேட் ஹொயெ ரணி,Jhansi Rani Lakshmi Bai is the great queen of India,ஜான்சி ராணி லட்சுமி பாய் இந்தியாவின் தலைசிறந்த ராணி,king-troop,corpus_sourashtradictionary
,,ந்ஹன்ரஜொ,nhanrajo,,,,Prince,இளவரசன்,ந்ஹன்ரஜொ மெனெத்தெனொ ரஜா பெ3டொ3,A prince is the son of a king,இளவரசன் என்பவர் ஒரு அரசனின் மகன்,king-troop,corpus_sourashtradictionary
,,ந்ஹன்ரணி,nhanraNi,,,,Princess,இளவரசி,ந்ஹன்ரணி மெனெத்தெனொ ரஜா பெ3டி3,The princess is the daughter of a king,இளவரசி என்பவர் ஒரு அரசனின் மகள்,king-troop,corpus_sourashtradictionary
,,ஸம்ராட்,samraaT,,,,Emperor,பேரரசர்,ஸம்ராட் மெனெத்தெனொ ரஜானுக் ரஜொ,The emperor is the king of kings,பேரரசர் என்பவர் அரசர்களின் அரசர்,king-troop,corpus_sourashtradictionary
,,முகுட்,mukuT,,,,"Crown, Crest",கிரீடம்,ரஜொ தொ3ஸ்காம் முகுட் க4ல்லி ர்ஹாயி,The king wears a crown on his head,அரசர் தலையில் கிரீடம் அணிந்திருப்பார்,king-troop,corpus_sourashtradictionary
,,கிரிடொ,kiriTo,,,,"Crown, Crest",கிரீடம்,ரஜா கிரிடாக் ரெத்தனு தெ3ய்டா3ம் ஸிங்க3ர் ர்ஹானு,The king's crown is adorned with gemstones,அரசரின் கிரீடம் ரத்தினக் கற்களால் அலங்கரிக்கப்பட்டிருக்கும்,king-troop,corpus_sourashtradictionary
,,ரஜா பளொ,rajaa paLo,,,,King's Troop,அரசபடை,முந்த3டி3 கலமு ரஜொ அபுல் பளொ ஸெரொ அவி து3ஸுர தே3ஶுனுக் ஜெவுஞ்சயி,In ancient times the king would come with his troops and conquer other nations,பழங்காலத்தில் அரசன் தன் படைகளுடன் வந்து மற்ற நாடுகளை வெல்வான்,king-troop,corpus_sourashtradictionary
,,"ரௌள், ரவுள்","rauL, ravuL",,,,"Palace, Castle",அரண்மனை,ரஜான் ரௌளும் ஜிவ்யாஸ்,Kings lived in palaces,அரசர்கள் அரண்மனைகளில் வாழ்ந்தனர்,king-troop,corpus_sourashtradictionary
,,து3ருகு3,durugu,,,,"Fort, Fortress",கோட்டை,ஶத்ருனுன்ஜொவள் ர்ஹீ அபுலானுக் கப3ட்3லத்தக் ரஜொ து3ருகு3 ப4ந்த்3யெஸி,The king built forts to protect himself from enemies,எதிரிகளிடமிருந்து தன்னைக் காத்துக் கொள்ள அரசன் கோட்டைகளைக் கட்டினான்,king-troop,corpus_sourashtradictionary
