sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,மெனிக்,menik,,,,"Man, Human, Person",மனிதன்,,,,people,corpus_sourashtradictionary
,,ஜனு,janu,,,,Person,"நபர், ஆள்",,,,people,corpus_sourashtradictionary
,,நரொ,naro,,,,Male,ஆண்,,,,people,corpus_sourashtradictionary
,,மென்க்யான்,menkyaan,,,,People,மக்கள்,,,,people,corpus_sourashtradictionary
,,ஒண்டியாள்,oNTiyaaL,,,,"Bachelor, Single Person","மணமாகாதவர், தனியாள்",,,,people,corpus_sourashtradictionary
,,அனாதி3,anaadi,,,,Orphan,அனாதை,,,,people,corpus_sourashtradictionary
,,ஶ்ரிமான்,ssrimaan,,,,"Mister, Mr",திருவாளர்,,,,people,corpus_sourashtradictionary
,,கௌமரி,kaumari,,,,Miss,செல்வி,,,,people,corpus_sourashtradictionary
,,களயத்தெனு,kaLayattenu,,,,"Known person, Familiar",தெரிந்தவர்,,,,people,corpus_sourashtradictionary
,,களானாத்தெனு,kaLaanaattenu,,,,Stranger,அந்நியர்,,,,people,corpus_sourashtradictionary
,,பள்கார்,paLkaar,,,,Sourashtrian,ஸௌராஷ்டிரர்,,,,people,corpus_sourashtradictionary
,,ஸுதி3,sudi,,,,"Wise, Scholar, Shrewd","புத்திசாலி, அறிஞர்",,,,people,corpus_sourashtradictionary
,,ஸுதி4,sudhi,,,,"Wise, Scholar, Shrewd","புத்திசாலி, அறிஞர்",,,,people,corpus_sourashtradictionary
,,ஒள்ட்யான்,oLTyaan,,,,"Wise, Scholar, Shrewd","புத்திசாலி, அறிஞர்",,,,people,corpus_sourashtradictionary
,,கு3ரு,guru,,,,Preceptor,"ஆசான், குரு",,,,people,corpus_sourashtradictionary
,,ஶிஷ்யொ,ssishyo,,,,Disciple,சிஷ்யன்,,,,people,corpus_sourashtradictionary
,,ஸத்குலி,satkuli,,,,Born into a good clan,நல்ல குலத்தில் பிறந்தவர்,,,,people,corpus_sourashtradictionary
,,ஸதா3சாரி,sadaacaari,,,,Saint,"ஆசாரத்துடன் இருப்பவர், புனிதர்",,,,people,corpus_sourashtradictionary
,,பெள4து3ல்,peLadul,,,,"Ascetic, Saint","சந்நியாசி, துறவி",,,,people,corpus_sourashtradictionary
,,ருஷி,rushi,,,,Sage,தபசி,,,,people,corpus_sourashtradictionary
,,யோகி3,yOgi,,,,Yogi,யோகி,,,,people,corpus_sourashtradictionary
,,ஹோதொ,hOto,,,,Sacrificer,யாகம் செய்பவர்,,,,people,corpus_sourashtradictionary
,,மௌனி,mauni,,,,Sage,"முனிவர், ஞானி",,,,people,corpus_sourashtradictionary
,,ப்ராஜ்ஞொ,praajnjo,,,,Sage,"முனிவர், ஞானி",,,,people,corpus_sourashtradictionary
,,ஜ்ஞானி,jnjaani,,,,Sage,"முனிவர், ஞானி",,,,people,corpus_sourashtradictionary
,,ஞானி,njaani,,,,Sage,"முனிவர், ஞானி",,,,people,corpus_sourashtradictionary
,,ஸுதா3க3மி,sudaagami,,,,Recipient of salvation,முக்தி பெறுபவர்,,,,people,corpus_sourashtradictionary
,,ஆஸ்திகொ,aastiko,,,,Theist,ஆத்திகர்,,,,people,corpus_sourashtradictionary
,,நாஸ்திகொ,naastiko,,,,Atheist,நாத்திகர்,,,,people,corpus_sourashtradictionary
,,நித்லொ,nitlo,,,,Judge,"நியாயவான், நீதி சொல்பவர்",,,,people,corpus_sourashtradictionary
,,வித்லொ,vitlo,,,,Counselor,புத்திமதி சொல்பவர்,,,,people,corpus_sourashtradictionary
,,நிபூ3ஸ்,niboos,,,,Truth speaking man,உண்மை பேசுபவர்,,,,people,corpus_sourashtradictionary
,,ஸத்யவாதி3,satyavaadi,,,,Honest,நேர்மையானவர்,,,,people,corpus_sourashtradictionary
,,மதி,mati,,,,Knowledge,அறிவு,,,,people,corpus_sourashtradictionary
,,ஹெட்3டே3,heDDE,,,,Stupid,அசடு,,,,people,corpus_sourashtradictionary
,,பு2ட்கோ தோன்,phuTkO tOn,,,,"Blabbermouth, Gossiper",ஓட்டை வாயன்,,,,people,corpus_sourashtradictionary
,,கெ4டி3கெத்தொ,gheDiketto,,,,"Intelligent, Clever, Smart, Dexterous, Cute","புத்திசாலி, சாமர்த்தியசாலி",,,,people,corpus_sourashtradictionary
,,கெ4டி3கெத்தான்,gheDikettaan,,,,"Intelligent, Clever, Smart, Dexterous, Cute","புத்திசாலி, சாமர்த்தியசாலி",,,,people,corpus_sourashtradictionary
,,பு3த்3தி4மான்,buddhimaan,,,,"Intelligent, Clever, Smart, Dexterous, Cute","புத்திசாலி, சாமர்த்தியசாலி",,,,people,corpus_sourashtradictionary
,,ரூபவதி,roopavati,,,,Pretty Woman,அழகான பெண்,,,,people,corpus_sourashtradictionary
,,ரூபி,roopi,,,,Handsome,அழகானவர்,,,,people,corpus_sourashtradictionary
,,மன்மது2,manmathu,,,,Cupid,மன்மதன்,,,,people,corpus_sourashtradictionary
,,திருவாலி,tiruvaali,,,,Mischievous,குறும்புக்காரன்,,,,people,corpus_sourashtradictionary
,,கொவ்ரொ,keaavreaa,,,,"Hooligan, Rowdy","போக்கிரி, துஷ்டன்",,,,people,corpus_sourashtradictionary
,,கௌரி,kauri,,,,"Giant, Poor, Crooked, Wicked","அரக்கன், தரித்திரன், பொல்லாதவன்",,,,people,corpus_sourashtradictionary
,,கௌரிணி,kauriNi,,,,Wicked woman,பொல்லாத பெண்,,,,people,corpus_sourashtradictionary
,,ம்ஹூடொ3,mhooDo,,,,"Fool, Idiot, Stupid, Unwise, Dull","முட்டாள், மூடன்",,,,people,corpus_sourashtradictionary
,,மூர்கு2,moorkhu,,,,"Fool, Idiot, Stupid, Unwise, Dull","முட்டாள், மூடன்",,,,people,corpus_sourashtradictionary
