source,target
ꢂꢒꢬꢵꢡꢶ,dictionary
ꢥꢶꢒꢠ꣄ꢜꢸ,dictionary
ꢒꣂꢰ꣄,dictionary
ꢂꢤ꣄ꢫꢵꢫ꣄,chapter
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,foreign language
ꢬꢵꢙꢥꢷꢡꢶ,politics
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,political science
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,political science
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,office
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,clue
ꢱꢾꢔꢸꢠ,clue
꣄ ꢱꢹꢱꢥꣁ,clue
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,science
ꢮꢣ꣄ꢣꢶ,teacher
ꢏꢣ꣄ꢣꢶ,teacher
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,annual examination
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,annual examination
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,annual function
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,research
ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ,research laboratory
ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ,thesis
ꢱꢪ꣄ꢱꣂꢤꢥꢵ,research scholar
ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄,personality
ꢱ꣄ꢮꢩꢵꢮ꣄,personality
ꢱꢪꢡ꣄ꢡꢸ,skill
ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ,skill
ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ,music college
ꢦ꣄ꢬꢒꢺꢡꢶ,nature
ꢮ꣄ꢫꢵꢒꢬꢠꣁ,grammar
ꢱꢵꢲꢶꢡ꣄ꢫꣁ,literature
ꢔ꣄ꢣ꣄ꢫꣁ,prose
ꢱꢪ꣄ꢩꢵꢰꢠꣁ,conversation
ꢭꢶꢓ꣄꣄ꢭꣁ,"pen, pencil"
ꢡꢬꢾ,fee
ꢮ꣄ꢫꢵꢱꣁ,essay
ꢭꢾꢓꢸ,letter
ꢭꢴꢾꢓꣁ,"arithmetic, account"
ꢲꢷꢱꢸ,"arithmetic, account"
ꢔꢠꢶꢶꢡ꣄,mathematics
ꢓꢾꢥꢶ,story
ꢓꢾꢡꣁ,story
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄,seminar
ꢒꢭꢵ ꢱꢵꢭꣁ,college
ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄,education
ꢒꢮꢶ,poet
ꢒꢮꢶꢡꣁ,"song, poem"
ꢄꢔꢞꢱ꣄ꢡꢿ,teaching
ꢗꢾꢮ꣄ꢣꢶꢥꢶ,learning
ꢱꢶꢒ꣄ꢒꢶꢥꢶ,learning
ꢒꢳ꣄꣄ꢙꢪ꣄,paper
ꢒꢵꢮ꣄ꢫꣁ,epic
ꢱꢹꢗꢥꣁ,notes
ꢱꢹꢗꢥꢵꢦꣁꢡꢶ,notebook
ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ,dictation
ꢦꢸꢱ꣄ꢥꢶ,question
ꢦꢸꢱꢵꢮ꣄,question
ꢲꢵꢡꢰꢬ꣄,"handwriting, signature"
ꢲꢵꢡꢸꢦꣁꢡꢶ,handbook
ꢥꢷꢡꢶꢥꢶꢫꢪꣁ,policy
ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ,theory
ꢗꢶꢡ꣄ꢬꢸ,picture
ꢭꣂꢱꢸ,picture
ꢗꢶꢡ꣄ꢡꢬ꣄,picture
ꢫꣂꢗꢥꣁ,thought
ꢥꢥ꣄ꢓꢾꢥꢶ,short story
ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄,newspaper
ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ,newspaper
ꢔꢮ꣄ꢥꣁ,poetry
