sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ரெத்தனு தெ3ய்டா3ன்,rettanu deyDaan,,,,Gemstones,ரத்தினக் கற்கள்,நொவ் ப்ரகார்னு ரெத்தனு தெ3ய்டா3ன் ஸே,There are nine types of gemstones,ஒன்பது வகையான ரத்தினக் கற்கள் உள்ளன,gemstones,corpus_sourashtradictionary
,,ஹிரொ,hiro,,,,Diamond,வைரம்,ஹிரானுக் காரட் லெக்ஷனும் மொவனு,Diamonds are measured in units of carat,வைரங்களை காரட் அலகுகளில் அளப்பார்கள்,gemstones,corpus_sourashtradictionary
,,வஜ்ஜிர்,vajjir,,,,Diamond,வைரம்,தேகு ஜா2டு3 வஜ்ஜிர் ஸோன் தா4ஷ்டி ஹொயெயொ,Teak wood is as strong as diamond,தேக்கு மரம் வைரத்தைப் போல வலிமையானது,gemstones,corpus_sourashtradictionary
,,லஸண்யொ,lasaNyo,,,,"Chrysoberyl, Cat's eye",வைடூரியம்,லஸண்யொ மஞ்ஜிரி தொ3ளொ ஸோன் ர்ஹாயி,Chrysoberyl resembles cat's eye,வைடூரியம் பூனையின் கண்ணை ஒத்திருக்கும்,gemstones,corpus_sourashtradictionary
,,மொதி,moti,,,,Pearl,முத்து,ஜீவுனும் ர்ஹீ அவரியொ ஒண்ட்டே ரெத்தன் மொதி,Pearls are the only gemstone to come from a living creature,உயிரினத்திலிருந்து வரும் ஒரே ரத்தினம் முத்து,gemstones,corpus_sourashtradictionary
,,பொம்ளொ,pomLo,,,,Coral,பவளம்,பொம்ளாக் முத்3தி3 ஸெரொ செர்ச்சி க4ல்லனு,The coral is worn with the ring,பவளத்தை மோதிரத்தில் கோர்த்து அணிவார்கள்,gemstones,corpus_sourashtradictionary
,,கோ3மேதொ3,gOmEdo,,,,Garnet,கோமேதகம்,கோ3மேதொ3 த4னிமா வித்து ஸொகன் ர்ஹாயி,Garnet resembles pomegranate seeds,கோமேதகம் மாதுளை விதைகளை ஒத்திருக்கும்,gemstones,corpus_sourashtradictionary
,,ல்ஹொவொ ரெத்தன்,lhovo rettan,,,,Ruby (Red gem),மாணிக்கம்,லேஸர் கிரணுக் உரு கெரத்தக் ல்ஹொவொ ரெத்தன் நுக3ஸு,Ruby is used to create laser beams,லேசர் கதிர்களை உருவாக்க ரூபி பயன்படுத்தப்படுகிறது,gemstones,corpus_sourashtradictionary
,,நீல் ரெத்தன்,neel rettan,,,,Sapphire (Blue gem),நீலம்,நிள்ச்சி ர்ஹாத்தெமாம் ஹிராக் ப2ராது நீல் ரெத்தனுன் ஸே,Sapphires are next to diamonds in durability,நீடித்திருப்பதில் வைரங்களுக்கு அடுத்தபடியாக நீலமணிகள் உள்ளன,gemstones,corpus_sourashtradictionary
,,பன்னொ,panno,,,,"Jade, Emerald (Green gem)",மரகதம்,பன்னொ ஹிரொ ஸொம்மர் ஹவ்ளொயொ,Emerald is lighter than diamond,மரகதம் வைரத்தை விட இலகுவானது,gemstones,corpus_sourashtradictionary
,,புஷ்கராஜ்,pushkaraaj,,,,Topaz (Yellow gem),புஷ்பராகம்,புஷ்கராஜு பு4லோக் பூராக் கொவ்ரி ஹெட3ஸுன்,Topaz is mined all over the world,புஷ்பராகம் உலகம் முழுவதும் தோண்டி எடுக்கிறார்கள்,gemstones,corpus_sourashtradictionary
