sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கி4ரால்,ghiraal,,,,Planet,"கோள், கிரகம்",ஸுரிது பரிவாரும் புளூட்டோ ஜதொ ஆட் கி4ரால்னுன் ஸே,The Solar System has Eight Planets excluding pluto,சூரிய குடும்பத்தில் புளூட்டோவைத் தவிர எட்டு கோள்கள் உள்ளன,planet,corpus_sourashtradictionary
,,செந்தா3ம்,cendaam,,,,Moon,"நிலவு, சந்திரன், திங்கள், மதி","செந்தா3ம் பூ4ய்ஞிர் ர்ஹீ 385,000 கி.மீ தூ3ரும் ஸே","The Moon is at about a distance of 385,000 km from the Earth","சந்திரன் பூமியில் இருந்து சுமார் 385,000 கி.மீ தொலைவில் உள்ளது",planet,corpus_sourashtradictionary
,,கி3ல்,gil,,,,Moon,"நிலவு, சந்திரன், திங்கள், மதி",கி3ல் ஹுஜால் தே3ஸு,The moon gives light,சந்திரன் ஒளி தருகிறது,planet,corpus_sourashtradictionary
,,சாந்து3,caandu,,,,Moon,"நிலவு, சந்திரன், திங்கள், மதி",சாந்து3 ஹுஜால் ஸில்லொ ர்ஹாஸு,The light of the moon is cool,நிலவின் ஒளி குளிர்ச்சியானது,planet,corpus_sourashtradictionary
,,செந்தொ3 ஹுஜால்,cendo hujaal,,,,Moonlight,நிலவொளி,செந்தொ3 ஹுஜாலும் ராஜ்ஜெமன் க2யென்,Let's have a dinner in moonlight,நிலவொளியில் இரவு உணவு சாப்பிடுவோம்,planet,corpus_sourashtradictionary
,,ஸுரித்,surit,,,,Sun,சூரியன்,ஸுரிது ம்ஹத்3தி3 ஹுன்னொ ரமாரமி 50 லெக்கு டி3கி3ரி செல்சியஸ் ஹோஸு,Sun's core temperatures is about 5 million degrees C,சூரியனின் மைய வெப்பநிலை சுமார் 50 லட்சம் டிகிரி செல்சியஸ் ஆகும்,planet,corpus_sourashtradictionary
,,கிரண்,kiraN,,,,"Ray, Ray of light","கதிர், ஒளிக்கதிர்",கிரண் நேர்கி3தாம் ஒண்ட்டேஸ் ஸார்வொ கெரஸு,The ray of light travels in straight line only,ஒளிக்கதிர் நேர்கோட்டில் மட்டுமே பயணிக்கிறது,planet,corpus_sourashtradictionary
,,ப4ராடு நிளா கிரண்,bharaaTu niLaa kiraN,,,,Ultraviolet rays,புற ஊதா கதிர்கள்,ப4ராடு நிளா கிரண் மெனிகு கெண்டா3க் ஹீன் கெரயி,UV light can damage the human skin,புற ஊதா ஒளி மனித தோலை சேதப்படுத்தும்,planet,corpus_sourashtradictionary
,,பி4த்தரு ல்ஹொவா கிரண்,bhittaru lhovaa kiraN,,,,Infrared rays,அகச்சிவப்பு கதிர்கள்,பி4த்தரு ல்ஹொவா கிரணுன் தூ3ருநியந்த்ராம் உபயோக்3 பொட3ஸு,Infrared rays are used in remote controls,அகச்சிவப்பு கதிர்கள் தூர இயக்கிகளில் பயன்படுத்தப்படுகின்றன,planet,corpus_sourashtradictionary
,,ஸுரிது கிரண்,suritu kiraN,,,,Sunlight,சூரிய ஒளி,"ஸுரிது கிரண் ஸுரித் ர்ஹீ பூ4ய்ஞ்யிக் அவி செரத்தக் ரமாரமி 8 நிமுஷ், 20 சிடு3க் லக3யி",Sunlight takes an average of 8 minutes and 20 seconds to reach from Sun to the earth,சூரிய ஒளியானது சூரியனிலிருந்து பூமியை அடைய சராசரியாக 8 நிமிடங்கள் மற்றும் 20 வினாடிகள் ஆகும்,planet,corpus_sourashtradictionary
,,ஸுரிது ஹுஜால்,suritu hujaal,,,,Sunlight,சூரிய வெளிச்சம்,ஸொளொபா2ரு ஸுரிது ஹுஜால் ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,Morning sunlight is good for health,காலை சூரிய வெளிச்சம் உடல் நலத்திற்கு நல்லது,planet,corpus_sourashtradictionary
