sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,"த4வ்ரொ, தௌ4ரொ","dhavro, dhauro",,,,Temple,கோவில்,த4வ்ரொ ந்ஹாத்த கா3மு ஜிவன் ஹோனா,Don't live in a town without a temple,கோவில் இல்லாத ஊரில் குடியிருக்க வேண்டாம்,temple,corpus_sourashtradictionary
,,கொ3புர்,gopur,,,,Tower,கோபுரம்,த4வ்ரா கொ3புரும் கௌது3ன் ஜிவஸு,Pigeons live in the temple tower,கோவில் கோபுரத்தில் புறாக்கள் வாழ்கிறது,temple,corpus_sourashtradictionary
,,தே3வ்,dEv,,,,God,"கடவுள், இறைவன்",விஸேஶு தி3ன்னும் தே3வ் த3ர்ஶனொ அப்3ப3த்தக் வேள் ஹோஸு,"On special days, it takes time to get the darshan of God",விசேஷ நாட்களில் கடவுள் தரிசனம் கிடைக்க நேரமாகிறது,temple,corpus_sourashtradictionary
,,ப4க3வான்,bhagavaan,,,,God,"கடவுள், இறைவன்",ப4க3வான் மெனிகு ரூபும் அவன் மெனென்,It is said God will come in human form,கடவுள் மனித உருவத்தில் வருவார் என்பார்கள்,temple,corpus_sourashtradictionary
,,அம்மொ,ammo,,,,Goddess,"அம்மன், பெண் கடவுள்",மது3ரெம் மீனாக்ஷி அம்மொ நாவ் பொடெ3 தே3வ்,Meenakshi Amman is a famous deity in Madurai,மதுரையில் மீனாக்ஷி அம்மன் பெயர் பெற்ற கடவுள்,temple,corpus_sourashtradictionary
,,ஐயா தௌ4ரொ,aiyaa dhauro,,,,Shiva Temple,சிவன் கோவில்,சிவராத்ரி தெந்து3ஸ் ஐயா தௌ3ராம் ராத் பூராக் புஜெ சலஸு,"On Shivratri, all-night puja is performed in the Shiva temple",சிவராத்திரி அன்று சிவன் கோவிலில் இரவு முழுவதும் பூஜை நடக்கிறது,temple,corpus_sourashtradictionary
,,அம்மா தௌ4ரொ,ammaa dhauro,,,,Meenakshi Temple,அம்மன் கோவில்,மது3ரெ அம்மா தௌ4ரொ ப்ரஸித்3தி4 ஹொயெ தௌ4ரொ,Madurai Meenakshi Amman Temple is a famous temple,மதுரை மீனாக்ஷி அம்மன் கோவில் பெயர் பெற்ற கோவில்,temple,corpus_sourashtradictionary
,,மன்மெ தௌ4ரொ,manme dhauro,,,,Mariamman Temple,மாரியம்மன் கோவில்,ஆடி3 ம்ஹடா3ம் மன்மெ தௌ4ராம் மூகொ3 வேன் ர்ஹாய்,Mari Amman Temple is crowded during the month of Adi,ஆடி மாதத்தில் மாரியம்மன் கோயிலில் கூட்டம் அதிகமாக இருக்கும்,temple,corpus_sourashtradictionary
,,அவ்தார்,avtaar,,,,"Avatar, Incarnation",அவதாரம்,ராமுடு3 பை4 லக்ஷமணன் ஆதி3ஸேஷனு அவ்தாரு,Rama's younger brother Lakshmana is an incarnation of Adisesha,ராமரின் தம்பி லக்ஷ்மணன் ஆதிசேஷனின் அவதாரம்,temple,corpus_sourashtradictionary
,,கீஷ்டு,keeshTu,,,,Lord Krishna,கிருஷ்ணபகவான்,கீஷ்டு து3வாபர யுக3மு ஜிவ்யாஸி,Lord Krishna lived in Dvapara Yuga,கிருஷ்ணர் துவாபர யுகத்தில் வாழ்ந்தார்,temple,corpus_sourashtradictionary
,,கீஷ்ணு,keeshNu,,,,Lord Krishna,கிருஷ்ணபகவான்,கீஷ்ணு உஜெ கா3ம் உத்தரப்ரதே3ஶும் ஸேத்தெ மது2ரா,Krishna was born in Mathura in Uttar Pradesh,கிருஷ்ணர் உத்தரபிரதேசத்தில் உள்ள மதுராவில் பிறந்தார்,temple,corpus_sourashtradictionary
,,த்ரிஸனி,trisani,,,,Lord Shiva,"முக்கண்ணன், சிவபெருமான்",ஈஸ்புருக் தீ2ன் தொ3ளொ ஸேத்தெ ஹால் த்ரிஸனி மெனி மெனன்,Lord Shiva is called Mukkannan because he has three eyes,சிவபெருமானுக்கு மூன்று கண்கள் இருப்பதால் முக்கண்ணன் என்று அழைக்கப்படுகிறார்,temple,corpus_sourashtradictionary
,,ஈஸ்புரு,eespuru,,,,Lord Shiva,சிவபெருமான்,சண்டி3கேஶ்வர் ஈஸ்புரு த4வ்ராம் ஒண்டேஸ் ர்ஹானு,Chandikeshuvar is present only in Lord Shiva temple,சண்டிகேசுவரர் சிவபெருமான் கோவிலில் மட்டுமே இருப்பார்,temple,corpus_sourashtradictionary
,,பி3ரம்மொ,birammo,,,,Lord Bramma,பிரம்மதேவன்,பி3ரம்மாக் மெனி அலக்3க3கன் தௌ4ரான் ந்ஹீ,There is no separate temple for Lord Bramma,பிரம்மனுக்கென்று தனியாக கோவில் கிடையாது,temple,corpus_sourashtradictionary
,,ஹள்கெஸாம்,haLkesaam,,,,"Alagarswamy, Perumal","அழகர்சாமி, பெருமாள், திருமால்",பெருமாளுக் ஹள்கெஸாம் மெனி மெல்லொ மெனன்,Perumal is also known as Alagarswamy,பெருமாளை அழகர்சாமி என்றும் சொல்வார்கள்,temple,corpus_sourashtradictionary
,,ஹள்கெதௌ4ரொ,haLkedhauro,,,,Alagar Temple,அழகர்கோவில்,ஹள்கெதௌ4ரா தொங்க3ரும் நூபுர கங்கொ3 மெனெத்தெ தீர்து2 ஸே,There is a holy water called Nupura Ganga on Alagharkoil Hill,அழகர்கோவில் மலையில் நூபுர கங்கை எனும் தீர்த்தம் உள்ளது,temple,corpus_sourashtradictionary
,,சின்னமலெ,cinnamale,,,,Thiruppankundram,திருப்பரங்குன்றம்,சின்னமலெ மன்னெனு ஸோ விஶேஷு கே4ருனும் ஒண்டெ,Tiruparankunram is one of the Arupada houses of Murugan,திருப்பரங்குன்றம் முருகனின் அறுபடை வீடுகளில் ஒன்று,temple,corpus_sourashtradictionary
