sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ப3த்3து3,baddu,,,,Grocery,மளிகை,,,,grocery,corpus_sourashtradictionary
,,அங்கி3டி3,anggiDi,,,,"Shop, Store",கடை,,,,grocery,corpus_sourashtradictionary
,,பொந்து,pontu,,,,"Shop, Store",கடை,,,,grocery,corpus_sourashtradictionary
,,ப4ண்டா3ர்,bhaNDaar,,,,"Store, Godown",பொருள்கள் சேர்த்து வைக்கும் இடம்,,,,grocery,corpus_sourashtradictionary
,,பணொ,paNo,,,,Commodity,வியாபார சரக்கு,,,,grocery,corpus_sourashtradictionary
,,பணாயி,paNaayi,,,,"Market, Bazaar",சந்தை,,,,grocery,corpus_sourashtradictionary
,,ஹடொ,haTo,,,,"Market, Bazaar",சந்தை,,,,grocery,corpus_sourashtradictionary
,,ஹாடி,haaTi,,,,"Market, Bazaar",சந்தை,,,,grocery,corpus_sourashtradictionary
,,ஸாத்,saat,,,,"Market, Bazaar",சந்தை,,,,grocery,corpus_sourashtradictionary
,,விபணி,vipaNi,,,,Market street,கடைத்தெரு,,,,grocery,corpus_sourashtradictionary
,,தோ3வு,dOvu,,,,"Big market, Mall, Store",பேரங்காடி,,,,grocery,corpus_sourashtradictionary
,,தெ4டொ / தெ4டொ3,dheTo / dheDo,,,,"Scale, Balance, Weighing Machine",தராசு,,,,grocery,corpus_sourashtradictionary
,,நரசி / நராஜி,naraci / naraaji,,,,"Scale, Balance, Weighing Machine",தராசு,,,,grocery,corpus_sourashtradictionary
,,ஜோக்,jOk,,,,"Scale, Balance, Weighing Machine","நிறுவை, தராசு",,,,grocery,corpus_sourashtradictionary
,,ஹள்வொ,haLvo,,,,Light (in weight),லேசான,,,,grocery,corpus_sourashtradictionary
,,சிஸ்லொ / சி2ஸ்லொ,cislo / chislo,,,,Grocery,"பலசரக்கு, மளிகை பொருட்கள்",,,,grocery,corpus_sourashtradictionary
,,ரஸ்து,rastu,,,,Materials,பொருள்,,,,grocery,corpus_sourashtradictionary
,,தஸ்துன்,tastun,,,,Goods,சரக்கு,,,,grocery,corpus_sourashtradictionary
,,லிந்து3,lindu,,,,Account,பற்றுவரவு,,,,grocery,corpus_sourashtradictionary
,,ஸாள்,saaL,,,,Paddy,நெல்,,,,grocery,corpus_sourashtradictionary
,,தந்து3,tandu,,,,Rice,அரிசி,,,,grocery,corpus_sourashtradictionary
,,கஸ்தந்து3,kastandu,,,,Raw Rice,பச்சரிசி,,,,grocery,corpus_sourashtradictionary
,,ஹுடொதந்து3,huTotandu,,,,Boiled Rice,புழுங்கரிசி,,,,grocery,corpus_sourashtradictionary
,,ஹுஸ்தந்து3,hustandu,,,,Boiled rice,புழுங்கலரிசி,,,,grocery,corpus_sourashtradictionary
