sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,அகா3ர்,agaar,,,,Food,"உணவு, சாப்பாடு",அகா3ர் ருசிகன் ஒண்டெ ந்ஹா ஹொக3த்கன் மெல்லொ ர்ஹனொ,Food should not only be delicious but also medicinal,சாப்பாடு சுவையாக மட்டுமல்ல மருந்தாகவும் இருக்க வேண்டும்,food,corpus_sourashtradictionary
,,கௌ2ணம்,khauNam,,,,Food,"உணவு, சாப்பாடு",பில்லன்னுக் தே3ரியொ கௌ2ணம் போஷணொகன் ர்ஹனொ,Food given to children should be nutritious,குழந்தைகளுக்கு கொடுக்கப்படும் உணவு சத்தானதாக இருக்க வேண்டும்,food,corpus_sourashtradictionary
,,நாஸ்தொ,naasto,,,,Breakfast,காலை உணவு,ஹுரிக் ஜாரியொ பில்லல்னுன் நாஸ்தொ கெரனின்,School going children do not eat breakfast,பள்ளி செல்லும் குழந்தைகள் காலை உணவை சாப்பிடுவதில்லை,food,corpus_sourashtradictionary
,,து4வாரி பா4த்,dhuvaari bhaat,,,,Lunch,மதிய உணவு,து4வாரி பா4த் கா2த்தக் கோட் ஜியென்?,Where to go for lunch?,மதிய உணவிற்கு எங்கு செல்லலாம்?,food,corpus_sourashtradictionary
,,ஸ்தான்பான்,staanpaan,,,,Tiffin,சிற்றுண்டி,வீள்டாக் ஸ்தான்பான் கெர்த்தி நிகு3ளுவாய்,You can leave in the evening after taking tiffin,மாலையில் சிற்றுண்டியை முடித்துவிட்டு கிளம்பலாம்,food,corpus_sourashtradictionary
,,ராஜ்ஜெமன்,raajjeman,,,,"Supper, Dinner",இரவு உணவு,ராஜ்ஜெமனுக் அவ்ரெ கே4ர் அவ்டு3வொ,Come to our house for dinner,இரவு உணவிற்கு எங்கள் வீட்டிற்கு வந்துவிடுங்கள்,food,corpus_sourashtradictionary
,,பூ4க்,bhook,,,,Hunger,பசி,பூ4கும் ஹாத் பாய்ஞ் ஒண்ட்கரஸ்,Hands and feet tremble with hunger,பசியால் கை கால் நடுங்குகிறது,food,corpus_sourashtradictionary
,,போடுஞ்ஜாள்,pOTunjjaaL,,,,Hunger,பசி,போடுஞ்ஜாள் அவெ ப2ரொ கா2த்தெ ப3ரொ,It is better to eat after feeling hungry,பசி எடுத்த பிறகு சாப்பிடுவது நல்லது,food,corpus_sourashtradictionary
,,பு4க்கொ,bhukko,,,,"Being hungry, Starvation","பசியுடன் இருப்பது, பட்டினி",வாரும் ஒண்டால் பு4க்கொ ர்ஹாத்தெ சொக்கடு3,It is good to starve one day a week,வாரத்தில் ஒரு நாள் பட்டினி கிடப்பது நல்லது,food,corpus_sourashtradictionary
,,பு4க்லொ,bhuklo,,,,Hungry person,பசித்தவர்,பு4க்லாக் ருசி களானா,A hungry person does not know taste,பசித்தவனுக்கு சுவை தெரியாது,food,corpus_sourashtradictionary
,,க2னார்,khanaar,,,,An eater,சாப்பிடுபவர்,கய்லொகெஸுர் ஸொம்மர் பொ4ஸுலொ க2னார் வேன் ஹொய்யா,Meat eaters have become more than vegetables,காய்கறிகளை விட மாமிசம் சாப்பிடுபவர்கள் அதிகமாகி விட்டனர்,food,corpus_sourashtradictionary
,,ப4க்ஷக்,bhakshak,,,,An eater,உண்ணி,அஸ்கியொ கா2த்தெங்கொ3 ஸர்வ ப4க்ஷக் மெனன்,Those who eat everything are called omnivores,அனைத்தையும் உண்ணுபவர்களை அனைத்துண்ணி என்பர்,food,corpus_sourashtradictionary
,,ப4ஜ்ஜிக2னார்,bhajjikhanaar,,,,"Vegetarian, Veg",சைவம் உண்பவர்,தெ2வ்டெ3 ப4ஜ்ஜிக2னாருன் அண்டொ3 கா2ஸுன்,Some vegetarians eat eggs,சில சைவ உணவு உண்பவர்கள் முட்டை சாப்பிடுவார்கள்,food,corpus_sourashtradictionary
,,பொ4ஸுலொக2னார்,bhosulokhanaar,,,,"Non vegetarian, Non veg",அசைவம் உண்பவர்,தெ2வ்டெ3 பொ4ஸுலொக2னாருன் து3க்கரு சைனொ கா2னின்,Some non vegetarians do not eat pork,சில அசைவ உணவு உண்பவர்கள் பன்றி இறைச்சியை உண்பதில்லை,food,corpus_sourashtradictionary
