sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,உத்3யோக்,udyOk,,,,Profession,தொழில்,,,,profession,corpus_sourashtradictionary
,,உத்3யோக்கெரி,udyOkkeri,,,,Industrialist,தொழிலதிபர்,,,,profession,corpus_sourashtradictionary
,,பி4யார்,bhiyaar,,,,Business,வியாபாரம்,,,,profession,corpus_sourashtradictionary
,,பி4யார்ஸார்,bhiyaarsaar,,,,Business,வியாபாரம்,,,,profession,corpus_sourashtradictionary
,,பி4யார்ஸார்கெரி,bhiyaarsaarkeri,,,,Businessman,வியாபாரி,,,,profession,corpus_sourashtradictionary
,,ஸில்மொ,silmo,,,,"Labor, Work",உழைப்பு,,,,profession,corpus_sourashtradictionary
,,ஶ்ரமொ,ssramo,,,,"Labor, Work",உழைப்பு,,,,profession,corpus_sourashtradictionary
,,ஆர்ஜ்ஜனொ,aarjjano,,,,"Labor, Work",உழைப்பு,,,,profession,corpus_sourashtradictionary
,,காம்,kaam,,,,"Work, Job",வேலை,,,,profession,corpus_sourashtradictionary
,,காம்ஹோர்,kaamhOr,,,,"Busy, Occupied, On the job",வேலையாய்,,,,profession,corpus_sourashtradictionary
,,கர்தவ்,kartav,,,,Duty,கடமை,,,,profession,corpus_sourashtradictionary
,,கரெ,kare,,,,Duty,கடமை,,,,profession,corpus_sourashtradictionary
,,கரெ,kare,,,,"Activity, Deed",செயல்,,,,profession,corpus_sourashtradictionary
,,கர்னீகு,karneeku,,,,"To action, To work","செயலுக்கு, வேலைக்கு",,,,profession,corpus_sourashtradictionary
,,பத3வி,padavi,,,,"Post, Position",பதவி,,,,profession,corpus_sourashtradictionary
,,கரக்3,karag,,,,Busy,வேலையாய்,,,,profession,corpus_sourashtradictionary
,,நங்கு3னார்,nanggunaar,,,,Farmer,"உழுபவர், உழவர்",,,,profession,corpus_sourashtradictionary
,,ஜுன்னார்,junnaar,,,,Farmer,"உழுபவர், உழவர்",,,,profession,corpus_sourashtradictionary
,,அர்க்யாரி,arkyaari,,,,Officer,அதிகாரி,,,,profession,corpus_sourashtradictionary
,,ஒய்து3,oydu,,,,Doctor,மருத்துவர்,,,,profession,corpus_sourashtradictionary
,,க்3ரந்த கர்த்தா,granta karttaa,,,,Author,நூலாசிரியர்,,,,profession,corpus_sourashtradictionary
,,கு3ஷுனார்,gushunaar,,,,Publisher,பதிப்பாளர்,,,,profession,corpus_sourashtradictionary
,,த2ணைது,thaNaitu,,,,Police,காவலர்,,,,profession,corpus_sourashtradictionary
,,ப3ன்ரூத்,banroot,,,,Police,காவலர்,,,,profession,corpus_sourashtradictionary
,,ரக்ஷகொ,rakshako,,,,"Guard, Guardian, Warden, Protector",பாதுகாவலர்,,,,profession,corpus_sourashtradictionary
,,வக்கீல்,vakkeel,,,,Lawyer,வழக்கறிஞர்,,,,profession,corpus_sourashtradictionary
,,புரேது,purEtu,,,,Priest,புரோகிதர்,,,,profession,corpus_sourashtradictionary
,,புரோஹிதொ,purOhito,,,,Priest,புரோஹிதர்,,,,profession,corpus_sourashtradictionary
,,நிபுணொ,nipuNeaa,,,,"Expert, Master",வல்லுநர்,,,,profession,corpus_sourashtradictionary
,,மஜூம்தா3ர்,majoomdaar,,,,Record Keeper,ஆவணகாப்பாளர்,,,,profession,corpus_sourashtradictionary
,,லிபிகார்,lipikaar,,,,Record Clerk,எழுத்தர்,,,,profession,corpus_sourashtradictionary
,,ல்ஹெக்2கய்த்,lhekhkayt,,,,Accountant,கணக்காளர்,,,,profession,corpus_sourashtradictionary
,,தெ3னிக2ட்னி,denikhaTni,,,,"Dealings, Exchange","கொடுக்கல் வாங்கல், பரிமாற்றம், பண்ட மாற்று, பரிவர்த்தனைகள்",,,,profession,corpus_sourashtradictionary
