sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஹிக்மத்,hikmat,,,,Trick,சூழ்ச்சி,பொ3லம் ந்ஹாத்தெனொ ஹிக்மத் கெரிகின் ஜெவுஞ்சஸு,He who has no strength wins by trickery,பலம் இல்லாதவன் தந்திரம் செய்து வெல்கிறான்,bad-attribute,corpus_sourashtradictionary
,,ஹுபா3வ்,hubaav,,,,"Cunning, Trick","தந்திரம், சூழ்ச்சி",தெனொ ஹுபா3வி,He is cunning,அவன் தந்திரமானவன்,bad-attribute,corpus_sourashtradictionary
,,தூ4ர்தொ,dhoorto,,,,"Cunning, Trick","தந்திரம், சூழ்ச்சி",தூ4ர்தொ ஜொவள் ர்ஹீ து3தூ3ர் ர்ஹனொ,Stay away from the cunning person,தந்திரமான நபரிடமிருந்து விலகி இருங்கள்,bad-attribute,corpus_sourashtradictionary
,,அடா3த்,aDaat,,,,"Injustice, Atrocity","அநியாயம், அடாவடி. கொடுமை",இஸனி அடா3த் கோன் கெரத்தக் முஸை?,Who could be capable of such atrocity?,இப்படிப்பட்ட அடாவடியை யாரால் செய்ய முடியும்?,bad-attribute,corpus_sourashtradictionary
,,திமுர்,timur,,,,"Arrogance, Hauteur","கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்",தெனு வேன் திமுர் தெ4ர்யாத்தெனு,He is very arrogant,அவர் மிகவும் திமிர் பிடித்தவர்,bad-attribute,corpus_sourashtradictionary
,,கெ3ருவ்,geruv,,,,"Arrogance, Hauteur","கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்",கெ3ருவ் அஸ்கியொ நஸினம் கெர்த்தை,Arrogance will destroy everything,ஆணவம் எல்லாவற்றையும் அழித்துவிடும்,bad-attribute,corpus_sourashtradictionary
,,மௌஜொ,maujo,,,,"Arrogance, Hauteur","கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்",த4ன மௌஜாக் மொர்க்3யாத் அப்3பு3னா,There is no respect for money arrogance,பணத் திமிருக்கு மரியாதை கிடைக்காது,bad-attribute,corpus_sourashtradictionary
,,மௌஜட்3,maujaD,,,,"Arrogance, Hauteur","கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்",த4ன மௌஜடு3 மித்ருப்பனுக் நஸ்தை,The arrogance of wealth spoils friendships,செல்வத்தின் ஆணவம் நட்பைக் கெடுக்கும்,bad-attribute,corpus_sourashtradictionary
,,ஹங்க்ருதி,hangkruti,,,,"Haughtiness, Ego","அகந்தை, அகங்காரம்",ஹங்க்ருதி தெ4ரெ பெ4டெ3 கொ2ப்3பி3ம் காம் கெர்னா,The servant with Haughtiness will never work,அகந்தை கொண்ட வேலைக்காரன் ஒருபோதும் வேலை செய்ய மாட்டான்,bad-attribute,corpus_sourashtradictionary
,,அபுல் ப்ரபா4வ்,apul prabhaav,,,,"Conceit, Vanity, Vainglory, Brag, Self-praise",தற்பெருமை,அபுல் ப்ரபா4வ் மெனரியொ பிஸானுன் க2வ்னம்,Vanity is the food of fools,தற்பெருமை என்பது முட்டாள்களின் உணவு,bad-attribute,corpus_sourashtradictionary
