sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢙꢾꢡꣁ,ज॑ता॑,ஜெதொ,je'to',jEtO,jĕtŏ,d͡ʒet̪o,"group, team",அணி,,,,Games,words
ꢔꢸꢪ꣄ꢦꢸ,गुम्पु,கு3ம்பு,gumpu,gumpu,gumpu,gumpu,"group, team",அணி,,,,Games,words
ꢓꢵꢳ꣄,खाळ,கா2ள்,khaal',khAL,khāl̤,kʰɑːɭ,"play, game",ஆட்டம்,,,,Games,words
ꢓꢾꢳ꣄,खेळ,கே2ள்,khe'l',khEL,khĕl̤,kʰeɭ,"play, game",ஆட்டம்,,,,Games,words
ꢨꢾꢠ꣄ꢜꢸ ꢮꢵꢕ꣄ ꢓꢭ꣄ꢥꢶ,ब॑ण्टु वाघ् खळ्नि,பெ4ண்டு வாக்4 க2ள்னி,be'nt'u vaagh khalni,bENTu vAgh khalni,bĕṇṭu vāgh khalni,beɳʈu ʋɑːgʰ kʰəln̪ɪ,goat and tiger game,ஆடுபுலி ஆட்டம்,,,,Games,words
ꢩꢭ ꢮꢶꢱꢶꢬ꣄ꢥꢶ,भल विसिर्नि,ப4ல விஸிர்னி,bhala visirni,bhala visirni,bhala visirni,bʰələ ʋɪs̪ɪɾn̪ɪ,javelin throw,ஈட்டி எறிதல்,,,,Games,words
ꢣꢿꢲꢵꢦ꣄ꢧꢶꢫꢵꢱ꣄,देहाभ्यास्,தே3ஹாப்4யாஸ்,dehaapphiyaas,dehApphiyAs,dehāpphiyās,d̪eːɦɑːppʰɪjɑːs̪,exercise,உடற்பயிற்சி,,,,Games,words
ꢇꢛ꣄ꢗꢭꢶ,ऊञ्चलि,ஊஞ்சலி,oonchali,UJcali,ūñcali,uːɲt͡ʃəlɪ,swing,ஊஞ்சல்,,,,Games,words
ꢲꢷꢥ꣄ꢡꢳꣁ,हिन्तळा॑,ஹிந்த3ளொ,heental'o',hIntaLO,hīntal̤ŏ,ɦiːn̪t̪əɭo,swing,ஊஞ்சல்,,,,Games,words
ꢦ꣄ꢬꢡꢶꢮꢵꢥ꣄,प्रतिवान्,ப்ரதிவான்,prativaan,prativAn,prativān,pɾət̪ɪʋɑːn̪,opponent,எதிராளி,,,,Games,words
ꢤꢪ꣄ꢥꢶꢓꢾꢭ꣄,धम्निखेल्,த4ம்னிகே2ள்,dhamnikhe'l,dhamnikhEl,dhamnikhĕl,d̪ʰəmn̪ɪkʰel,running race,ஓட்டப்பந்தயம்,,,,Games,words
ꢤꢪ꣄ꢤꢾꢬꢥ꣄ ꢓꢵꢳ꣄꣄,धाम्ध॑रन्खाळ,தா4ம்தெ4ரன்கா2ள்,dhamdhe'ran khaal',dhamdhEran khAL,dhamdhĕran khāl̤,d̪ʰəmd̪ʰeɾən̪ kʰɑːɭ,I spy game,ஓடிப்பிடித்தாடுதல்,,,,Games,words
ꢡꢾꢬꢡ꣄ꢡꢾꢓꢵꢳ꣄,तेरत्तेखाल्,தெரத்தெகா2ள்,te'ratte'khaal',tErattEkhAL,tĕrattĕkhāl̤,t̪eɾət̪t̪ekʰɑːɭ,I spy game,ஓடிப்பிடித்தாடுதல்,,,,Games,words
ꢒꢜ꣄ꢗꢶ,कट्चि,கட்சி,kat'chi,kaTci,kaṭci,kəʈt͡ʃɪ,"party, side",கட்சி,,,,Games,words
ꢒꢦꢞꢶ,कपडि,கபடி3,kapad'i,kapaDi,kapaḍi,kəpəɖɪ,kabadi,கபடி,,,,Games,words
ꢦꢵꢄ~ ꢔꣁꢳꣁ,पाइ~गा॑ळा॑,பாஇ~கொ3ளொ,paai~ go'l'o',pAi~ gOLO,pāi~ gŏl̤ŏ,pɑːɪ~ goɭo,football,கால்பந்து,,,,Games,words
ꢒꢶꢜ꣄ꢜꢶꢦꢸꢳ꣄꣄,किट्टिपुळ,கிட்டிபுள்,kit't'ipul',kiTTipuL,kiṭṭipul̤,kɪʈʈɪpuɭ,a native game with one small and another long stick,கிட்டிப்புள்,,,,Games,words
ꢓꢜ꣄ꢜꢶ ꢓꢵꢳ꣄,खट्टिखाळ,க2ட்டி கா2ள்,khat't'i khaal',khaTTi khAL,khaṭṭi khāl̤,kʰəʈʈɪ kʰɑːɭ,a native game with one small and another long stick,கிட்டிப்புள்,,,,Games,words
ꢦꢵꢠ꣄ꢞꢶ ꢓꢵꢳ꣄,पाण्डि खाल्,பாண்டி கா2ள்,paand'i khaal',pANDi khAL,pāṇḍi khāl̤,pɑːɳɖɪ kʰɑːɭ,A native group game,கிளித்தட்டு,,,,Games,words
ꢬꢮꢵꢒ꣄ ꢓꢵꢳ꣄꣄,रवा खाळ,ரவாகா2ள்,ravaak khaal',ravAk khAL,ravāk khāl̤,ɾəʋɑːk kʰɑːɭ,a play with marbles,குண்டாட்டம்,,,,Games,words
ꢩꢙ꣄ꢙꢶ,भज्जि,ப4ஜ்ஜி,bhajji,bhajji,bhajji,bʰəd͡ʒd͡ʒɪ,green leaf,கீரை,,,,Games,words
ꢧꣁꢳ꣄꣄ꢜꢾ ꢩꢙ꣄ꢙꢶ,पा॑ळ्ट॑ भज्जि,பொ2ள்டெ ப4ஜ்ஜி,pho'l't'e' bhajji,phOLTE bhajji,phŏl̤ṭĕ bhajji,pʰoɭʈe bʰəd͡ʒd͡ʒɪ,Boiled green,அவித்தகீரை,,,,Games,words
ꢒꢞꢭꢾ,कडल॑,கட3லெ,kad'ale',kaDalE,kaḍalĕ,kəɖəle,Ground nut,கடலை,,,,Games,words
ꢱꢶꢮ꣄ꢙꢾ ꢒꢞꢭꢾ,सिव्ज॑कडल॑,ஸிவ்ஜெகட3லெ,sivje' kad'ale',sivjE kaDalE,sivjĕ kaḍalĕ,s̪ɪʋd͡ʒe kəɖəle,Boiled ground,அவித்தகடலை,,,,Games,words
ꢔꣁꢳ ꢩꢵꢬ꣄ ꢮꢶꢱꢶꢬ꣄ꢥꢶ,गा॑ळ भार्विसिर्नि,கொ3ளபா4ர்விஸிர்னி,go'l'a bhaar visirni,gOLa bhAr visirni,gŏl̤a bhār visirni,goɭə bʰɑːɾ ʋɪs̪ɪɾn̪ɪ,shot put,குண்டு எறிதல்,,,,Games,words
ꢔꢸꢠ꣄ꢜꢸ ꢮꢶꢱꢶꢬ꣄ꢥꢶ,गुण्डु विसिर्नि,கு3ண்டு3 விஸிர்னி,gunt'u visirni,guNTu visirni,guṇṭu visirni,guɳʈu ʋɪs̪ɪɾn̪ɪ,shot put,குண்டு எறிதல்,,,,Games,words
ꢔꢸꢣ꣄ꢣꢶꢥꢶ ꢚꢾꢞꣁ,गुद्दिनि झ॑डा॑,கு3த்3தி3னி ஜெ2டொ3,guddini jhe'd'o',guddini jhEDO,guddini jhĕḍŏ,gud̪d̪ɪn̪ɪ d͡ʒʰeɖo,boxing,குத்துச் சண்டை,,,,Games,words
ꢔꢸꢣ꣄ꢣꢵ ꢚꢾꢞꣁ,गुद्दा झ॑डा॑,கு3த்3தா3 ஜெ2டொ3,guddaa jhe'd'o',guddA jhEDO,guddā jhĕḍŏ,gud̪d̪ɑː d͡ʒʰeɖo,boxing,குத்துச் சண்டை,,,,Games,words
ꢒꢸꢱ꣄ꢡꢶ,कुस्ति,கு3ஸ்தி,kusti,kusti,kusti,kus̪t̪ɪ,wrestling,குஸ்தி,,,,Games,words
ꢒꢦ꣄ꢦꢸ,कप्पु,கப்பு,kappu,kappu,kappu,kəppu,cup,கோப்பை,,,,Games,words
ꢨꢳꢶꢖ꣄ꢔꢶ,बळिङगि,ப3ளிங்கி3,bal'ingi,baLiGgi,bal̤iṅgi,bəɭɪŋgɪ,marble,கோலி,,,,Games,words
ꢒꢨꢞꢶ,कबडि,கப3டி3,kabad'i,kabaDi,kabaḍi,kəbəɖɪ,kabadi,சடுகுடு,,,,Games,words
ꢗꢣꢸꢬꢖ꣄ꢒꢪ꣄,चदुरङकम्,சது3ரங்க3ம்,chadurankam,caduraGkam,caduraṅkam,t͡ʃəd̪uɾəŋkəm,chess,சதுரங்கம்,,,,Games,words
ꢗꢷꢞꢸꢓꢵꢳ꣄,चीडुखाळ,சீடு3கா2ள்,cheed'ukhaal',cIDukhAL,cīḍukhāl̤,t͡ʃiːɖukʰɑːɭ,playing cards,சீட்டாட்டம்,,,,Games,words
ꢗꢷꢜ꣄,चीट्,சீட்,cheet',cIT,cīṭ,t͡ʃiːʈ,cards,சீட்டு,,,,Games,words
ꢭꢮ꣄ꢥꢶꢱ꣄ ꢦꢬ꣄ꢤꢥ꣄,लव्निस्पर्धन्,லவ்னி ஸ்பர்த4ன்,lavnis pardhan,lavnis pardhan,lavnis pardhan,ləʋn̪ɪs̪ pəɾd̪ʰən̪,shooting competition,சுடுதல் போட்டி,,,,Games,words
ꢔꣁꢳꢶ,गा॑ळी,கொ3ளி,go'l'i,gOLi,gŏl̤i,goɭɪ,round,சுற்று,,,,Games,words
ꢒꣁꢮ꣄ꢜꢵ ꢓꢵꢳ꣄,कोव्टाखाळ,கொவ்டா3 கா2ள்,ko'vt'aa khaal',kOvTA khAL,kŏvṭā khāl̤,koʋʈɑː kʰɑːɭ,a native play like chess,தாயம்,,,,Games,words
ꢏꢜ꣄ꢥꢶ,ओट्नि,ஒட்னி,o't'ni,OTni,ŏṭni,oʈn̪ɪ,failure,தோல்வி,,,,Games,words
ꢦꢬꢵꢙꢾꢫꣁ,पराजेयो,பராஜெயொ,paraaje'yo',parAjEyO,parājĕyŏ,pəɾɑːd͡ʒejo,failure,தோல்வி,,,,Games,words
