sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢦꢶꢥ꣄ꢣꢵ,पिन्दा,பிந்தா3,pindaa,pindA,pindā,pɪn̪d̪ɑː,"young, tender",இளம்,,,,Adjectives,words
ꢥꢴꢥ꣄ꢥ,न्हन्न,ந:ன்ன,nhanna,nhanna,nhanna,n̪ɦən̪n̪ə,young,இளைய,,,,Adjectives,words
ꢒꢸꢳ꣄ꢳꢾ,कुळ्ळ॑,கு3ள்ளெ,kul'l'e',kuLLE,kul̤l̤ĕ,kuɭɭe,sweet,இனிய,,,,Adjectives,words
ꢗꢾꢬ꣄ꢒ꣄ꢒꢲꣁꢫꢾ,च॑र्क्कहा॑य॑,ஸெர்கஹொயெ,che'rkkaho'ye',cErkkahOyE,cĕrkkahŏyĕ,t͡ʃeɾkkəɦoje,appropriate,ஏற்ற,,,,Adjectives,words
ꢓꢭꢶ,खलि,க2லி,khali,khali,khali,kʰəlɪ,empty,காலி,,,,Adjectives,words
ꢂꢒ꣄ꢒꢸꢬꢵ,अक्कुरा,அக்குரா,akkuraa,akkurA,akkurā,əkkuɾɑː,short,குறுகிய,,,,Adjectives,words
ꢥꢷꢗ,नीच,நீச,neecha,nIca,nīca,n̪iːt͡ʃə,bad,கெட்ட,,,,Adjectives,words
ꢬꢸꢮ꣄ꢮ,रुव्व,ருவ்வ,ruvva,ruvva,ruvva,ɾuʋʋə,"a little, a few",கொஞ்சம் / சில,,,,Adjectives,words
ꢢꢾꢮ꣄ꢞ,थ॑व्ड,தெ2வ்ட3,the'vd'a,thEvDa,thĕvḍa,t̪ʰeʋɖə,"a little, a few",கொஞ்சம் / சில,,,,Adjectives,words
ꢬꢸꢮ꣄ꢮ,रुव्व,ருவ்வ,ruvva,ruvva,ruvva,ɾuʋʋə,a little,சிறிது,,,,Adjectives,words
ꢩꢾꢭꢶꢗꣁꢒ꣄ꢒꢜ꣄,भ॑लिचा॑क्कट,பெ4ளிசொக்கட்,bhe'licho'kkat',bhElicOkkaT,bhĕlicŏkkaṭ,bʰelɪt͡ʃokkəʈ,very good,சீரிய,,,,Adjectives,words
ꢗꣁꢒ꣄ꢒꢜ꣄,चा॑क्कट्,சொக்கட்,cho'kkat',cOkkaT,cŏkkaṭ,t͡ʃokkəʈ,good,நல்ல,,,,Adjectives,words
ꢙꢸꢒ꣄ꢒꢸ,जुक्कु,ஜு2க்கு,jukku,jukku,jukku,d͡ʒukku,many,நிறைய,,,,Adjectives,words
ꢩꢾꢭꢶ ꢥꢴꢥ꣄ꢥ,भ॑लिन्हन्न,பெ4ளிந:ன்ன,bhe'li nhanna,bhEli nhanna,bhĕli nhanna,bʰelɪ n̪ɦən̪n̪ə,minute,நுண்ணிய,,,,Adjectives,words
ꢭꢪ꣄ꢨ,लम्ब,லம்ப3,lamba,lamba,lamba,ləmbə,"long, tall",நெடிய,,,,Adjectives,words
ꢆꢛ꣄ꢗ,उञ्च,உஞ்ச,uncha,uJca,uñca,uɲt͡ʃə,"long, tall",நெடிய,,,,Adjectives,words
ꢚꢸꢒ꣄ꢒꢸꢒꢵꢭ,झुक्कुकाल,ஜீ2க்குகால,jhukkukaala,jhukkukAla,jhukkukāla,d͡ʒʰukkukɑːlə,"tall things, long",நெடும்,,,,Adjectives,words
ꢚꢸꢒ꣄ꢒꢸ,झुक्कु,ஜு2க்கு,jhukku,jhukku,jhukku,d͡ʒʰukku,many,பல,,,,Adjectives,words
ꢙꢸꢥ꣄ꢥ,जुन्न,ஜுன்ன,junna,junna,junna,d͡ʒun̪n̪ə,"old, ancient",பழைய,,,,Adjectives,words
ꢥꣁꢮꣁ,ना॑वा॑,நொவொ,no'vo',nOvO,nŏvŏ,n̪oʋo,new,புதிய / புது,,,,Adjectives,words
ꢪꢴꣁꢜ꣄ꢜꣁ,म्हा॑ट्ट,மொ:ட்ட,mho't't'o',mhOTTO,mhŏṭṭŏ,mɦoʈʈo,big,பெரிய,,,,Adjectives,words
ꢧꢸꢬ,फुर,பு2ர,phura,phura,phura,pʰuɾə,enough,போதிய,,,,Adjectives,words
ꢧꢸꢬꢲꣁꢫꢾ,फुरहा॑य॑,பு2ரஹொயெ,phuraho'ye',phurahOyE,phurahŏyĕ,pʰuɾəɦoje,enough,போதிய,,,,Adjectives,words
ꢩꢾꢭꢶ,भ॑लि,பெ4ளி,bhe'li,bhEli,bhĕli,bʰelɪ,very,மிக்க/மிக,,,,Adjectives,words
ꢮꢿꢥ꣄,वेन,வேன்,ven,ven,ven,ʋeːn̪,very,மிக்க/மிக,,,,Adjectives,words
ꢨꣁꢭꢶꢪꢸ,बा॑लिमु,பொ3லிமு,bo'limu,bOlimu,bŏlimu,bolɪmu,strong,வலிய,,,,Adjectives,words
ꢂꢥꢾꢒ,अनेक,அனேக,ane'ka,anEka,anĕka,ən̪ekə,"very, a lot of",வெகு,,,,Adjectives,words
ꢥꢶꢱ꣄ꢡ,निस्त,நிஸ்த,nista,nista,nista,n̪ɪs̪t̪ə,only,வெறும்,,,,Adjectives,words
ꢮꢾꢒ꣄ꢳ꣄,व॑क्ळ,வெக்ள,ve'kl',vEkL,vĕkl̤,ʋekɭ,different,வேறு,,,,Adjectives,words
ꢭ,ल,ல,la,la,la,lə,different,வேறு,,,,Adjectives,words
