sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢖ꣄ꢔꢮꢶꢒꢵꢬꢸꢥ꣄,अङ्गविकारुन,அங்க3 விகாருன்,angavikaarun,aGgavikArun,aṅgavikārun,əŋgəʋɪkɑːɾun̪,physical deformity,அங்கஹீனம் / உடல் ஊனம்,,,,Physique,words
ꢯꢵꢬꢷꢬꢶꢒ ꢮꢶꢒꢵꢬꢸꢥ꣄,सारीरिक विकारुन,ஶாரீரிக விகாருன்,shaareerika vikaarun,zArIrika vikArun,śārīrika vikārun,ʃɑːɾiːɾɪkə ʋɪkɑːɾun̪,physical deformity,அங்கஹீனம் / உடல் ஊனம்,,,,Physique,words
ꢂꢖ꣄ꢔꢲꢷꢥꢸꢥ꣄,अङ्गहीनुन्,அங்க3ஹீனுன்,angaheenun,aGgahInun,aṅgahīnun,əŋgəɦiːn̪un̪,physically handicapped,உடல் ஊனமுற்றோர்,,,,Physique,words
ꢥꢹꢥꢯꢬꢷꢬꢶ,नूनुशरीरि,நூனஶரீரி,noonashareeri,nUnazarIri,nūnaśarīri,n̪uːn̪əʃəɾiːɾɪ,physically handicapped,உடல் ஊனமுற்றோர்,,,,Physique,words
ꢪꢹꢒꣁ,मूका॑,மூகொ,mooko',mUkO,mūkŏ,muːko,dumb,ஊமை / ஊமையன்,,,,Physique,words
ꢪꢹꢓꣁ,मूखा॑,மூகொ2,mookho',mUkhO,mūkhŏ,muːkʰo,dumb,ஊமை / ஊமையன்,,,,Physique,words
ꢪꢹꢒꢶ,मूकि,மூகி,mooki,mUki,mūki,muːkɪ,dumb,ஊமைச்சி,,,,Physique,words
ꢏꢬꣁꢣꣁꢭꣁꢮꢵꢥ꣄,ओरोदोलोवान,ஒரொதொ3ளொவான்,o'ro'do'lo'vaan,OrOdOlOvAn,ŏrŏdŏlŏvān,oɾod̪oloʋɑːn̪,squint eyed man,ஓரக் கண்ணன்,,,,Physique,words
ꢏꢬꣁꢣꣁꢭꢶꢮꢵꢥ꣄,ओरोदोलिवान,ஒரொதொ3ளிவான்,o'ro'do'livaan,OrOdOlivAn,ŏrŏdŏlivān,oɾod̪olɪʋɑːn̪,squint eyed man,ஓரக் கண்ணன்,,,,Physique,words
ꢏꢬꣁꢣꣁꢭꢶ,ओरोदोलि,ஒரொதொ3ளி,o'ro'do'li,OrOdOli,ŏrŏdŏli,oɾod̪olɪ,squint eyed woman,ஓரக் கண்ணி,,,,Physique,words
ꢗꢾꢮꢸꢜ꣄,च॑वुट्,செவுட்3,che'vut',cEvuT,cĕvuṭ,t͡ʃeʋuʈ,deaf persons,காதுகேளாதோர்,,,,Physique,words
ꢌꢞꣁ,ए॑डा॑,எடொ3,e'd'o',EDO,ĕḍŏ,eɖo,deaf persons,காதுகேளாதோர்,,,,Physique,words
ꢂꢒ꣄ꢒꢸꢬꣁ,अक्कुरा॑,அக்குரொ,akkuro',akkurO,akkurŏ,əkkuɾo,"dwarf, short",குட்டை,,,,Physique,words
ꢒꢸꢳ꣄ꢳꣁ,कुळ्ळा॑,குள்ளொ,kul'l'o',kuLLO,kul̤l̤ŏ,kuɭɭo,"dwarf, short",குட்டை,,,,Physique,words
ꢒꢸꢳ꣄ꢳ꣄ꢶ,कुळ्ळि,குள்ளி,kul'l'_i,kuLL_i,kul̤l̤_i,kuɭɭ_ɪ,short woman,குட்டைச்சி,,,,Physique,words
ꢂꢒ꣄ꢒꢸꢬꢷ,अक्कुरी,அக்குரீ,akkuree,akkurI,akkurī,əkkuɾiː,short woman,குட்டைச்சி,,,,Physique,words
ꢂꢥ꣄ꢣꢒꣁ,अन्दका॑,அந்த3கொ,andako',andakO,andakŏ,ən̪d̪əko,blind man,குருடன்/ விழியிழந்தோர்,,,,Physique,words
ꢔꢸꢜ꣄ꢞꢾ,गुट्ड॑,கு3ட்டெ3,gut'd'e',guTDE,guṭḍĕ,guʈɖe,blind man,குருடன்/ விழியிழந்தோர்,,,,Physique,words
ꢔꢸꢞ꣄ꢞꢶ,गुड्डि,கு3ட்3டி3,gud'd'i,guDDi,guḍḍi,guɖɖɪ,blind woman,குருடி,,,,Physique,words
ꢂꢥ꣄ꢣꣁ,अन्दा॑,அந்தொ3,ando',andO,andŏ,ən̪d̪o,blindness,குருடு,,,,Physique,words
ꢮꢵꢪꢥꢦꢥ꣄,वामनपन,வாமனபன்,vaamanapan,vAmanapan,vāmanapan,ʋɑːmən̪əpən̪,"shortness, dwarfness",குள்ளம்,,,,Physique,words
ꢒꢸꢳ꣄ꢳꢦꢥ꣄,कुळ्ळपन,குள்ளபன்,kul'l'apan,kuLLapan,kul̤l̤apan,kuɭɭəpən̪,"shortness, dwarfness",குள்ளம்,,,,Physique,words
ꢒꢸꢳ꣄ꢳꣁ,कुळ्ळा॑,குள்ளொ,kul'l'o',kuLLO,kul̤l̤ŏ,kuɭɭo,dwarf,குள்ளன்,,,,Physique,words
ꢮꢵꢪꢥꣁ,वामना॑,வாமனொ,vaamano',vAmanO,vāmanŏ,ʋɑːmən̪o,dwarf,குள்ளன்,,,,Physique,words
ꢒꢸꢳ꣄ꢳꢶ,कुळ्ळि,குள்ளி,kul'l'i,kuLLi,kul̤l̤i,kuɭɭɪ,dwarf,குள்ளி,,,,Physique,words
ꢒꢹꢥ꣄,कून,கூன்,koon,kUn,kūn,kuːn̪,hunch back,கூன்,,,,Physique,words
ꢮꢔꢸꢠ꣄ꢜꣁꢣꣂꢠ꣄,वगुण्टा॑तोण,வகு3ண்டொதோண்,vagunt'o'don,vaguNTOdoN,vaguṇṭŏdoṇ,ʋəguɳʈod̪oːɳ,abnormal mouth shapped,கோணவாய்,,,,Physique,words
ꢮꣀꢠ꣄ꢜꢡꣂꢠ꣄,वैण्टतोण,வைண்டதோண்,vaint'aton,vaiNTatoN,vaiṇṭatoṇ,ʋəɪɳʈət̪oːɳ,abnormal mouth shapped,கோணவாய்,,,,Physique,words
ꢌꢞꣁ,ए॑डा॑,எடொ3,e'd'o',EDO,ĕḍŏ,eɖo,deaf,செவிடன்,,,,Physique,words
ꢗꢾꢮ꣄ꢞꢶ,च॑व्डि,செவ்டி3,che'vd'i,cEvDi,cĕvḍi,t͡ʃeʋɖɪ,deaf,செவிடி,,,,Physique,words
ꢗꢾꢮꢸꢜ꣄,च॑वुट,செவுட்3,che'vut',cEvuT,cĕvuṭ,t͡ʃeʋuʈ,deafness,செவிடு,,,,Physique,words
ꢡꢡ꣄ꢡꢸꢮꣁ,तुत्तुवा॑,துத்துவொ,tattuvo',tattuvO,tattuvŏ,t̪ət̪t̪uʋo,stammering,திக்குவாய்,,,,Physique,words
ꢡꢡ꣄ꢡꢸꢮꢵꢥ꣄,तुत्तुवान,துத்துவான்,tattuvaan,tattuvAn,tattuvān,t̪ət̪t̪uʋɑːn̪,stammerer,திக்குவாயன்,,,,Physique,words
ꢪꣁꢠ꣄ꢞꢶ,मा॑ण्डि,மொண்டி3,mo'nd'i,mONDi,mŏṇḍi,moɳɖɪ,lame person,நொண்டி,,,,Physique,words
ꢔꣁꢞ꣄ꢞꣁ,गा॑ड्डा॑,கொ3ட்3டொ3,go'd'd'o',gODDO,gŏḍḍŏ,goɖɖo,barren man,மலடன்,,,,Physique,words
ꢔꣁꢞ꣄ꢞꢸ,गा॑ड्डु,கொ3ட்3டு3,go'd'd'u,gODDu,gŏḍḍu,goɖɖu,barren woman,மலடி,,,,Physique,words
ꢪꣁꢞꢪ꣄,मा॑डम,மொட3ம்,mo'd'am,mODam,mŏḍam,moɖəm,limping,முடம்,,,,Physique,words
ꢪꣁꢠ꣄ꢞꢶ,मा॑ण्डि,மொண்டி3,mo'nd'i,mONDi,mŏṇḍi,moɳɖɪ,lame,முடவன்,,,,Physique,words
ꢥꢵꢒ꣄ ꢒꢜꢫꢾꢱ꣄ꢡꢾꢥꣁ,नाक् कटय॑स्त॑ना॑,நாக் கடயெஸ்தெனொ,naak kat'aye'ste'no',nAk kaTayEstEnO,nāk kaṭayĕstĕnŏ,n̪ɑːk kəʈəjes̪t̪en̪o,cut nose,மூக்கரையன்,,,,Physique,words
ꢪꣁꢞ꣄ꢞꢾ,मा॑ट्ट॑,மொட்டெ,mo'd'd'e',mODDE,mŏḍḍĕ,moɖɖe,tonsured head,மொட்டை,,,,Physique,words
ꢪꢸꢠ꣄ꢞꣁ,मुण्डा॑,முண்டொ3,mund'o',muNDO,muṇḍŏ,muɳɖo,tonsured woman/ widow,மொட்டைச்சி,,,,Physique,words
ꢨꣁꢞꢒ꣄,बा॑डक,பொ3ட3க்,bo'd'ak,bODak,bŏḍak,boɖək,tonsured woman/ widow,மொட்டைச்சி,,,,Physique,words
ꢪꣁꢜ꣄ꢜꢾ,मा॑ट्ट॑,மொட்டெ,mo't't'e',mOTTE,mŏṭṭĕ,moʈʈe,tonsuredman,மொட்டையன்,,,,Physique,words
ꢡꢭꢹꢦꣁꢜ꣄ꢜꢭꢸꢮꢵꢥ꣄,तलूपोट्टलुवान,தளுபொட்டலுவான்,taloopo't't'aluvaan,talUpOTTaluvAn,talūpŏṭṭaluvān,t̪əluːpoʈʈəluʋɑːn̪,bald man,வழுக்கையன்,,,,Physique,words
