sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,எத்னம்,etnam,,,,"Utensil, Cooking Vessel",பாத்திரம்,,,,utensil,corpus_sourashtradictionary
,,யெனம்,yenam,,,,"Utensil, Cooking Vessel",பாத்திரம்,,,,utensil,corpus_sourashtradictionary
,,தெ3ஸெ,dese,,,,Pot,பானை,,,,utensil,corpus_sourashtradictionary
,,பொ4ன்னொ,bhonno,,,,Big Pot,பெரிய பானை,,,,utensil,corpus_sourashtradictionary
,,கெக3ர்,kegar,,,,Rim of Pot,பானை நுனி,,,,utensil,corpus_sourashtradictionary
,,கொ2வ்டி3,khovDi,,,,"Cooking Utensil, Bowel",சட்டி,,,,utensil,corpus_sourashtradictionary
,,தொ2வ்ளொ,thovLo,,,,Eating Bowel,சோற்றுச் சட்டி,,,,utensil,corpus_sourashtradictionary
,,பிங்க3ணி,pinggaNi,,,,Bowl,கிண்ணம்,,,,utensil,corpus_sourashtradictionary
,,கை3டி3,gaiDi,,,,Small Pot,கலயம்,,,,utensil,corpus_sourashtradictionary
,,க3கி3டி,gagiTi,,,,Small pot,கலயம்,,,,utensil,corpus_sourashtradictionary
,,தேலு க3கி3டி3,tElu gagiDi,,,,Small oil pot,எண்ணை கலயம்,,,,utensil,corpus_sourashtradictionary
,,ஸிர்க்கணு கு2ம்பொ3,sirkkaNu khumbo,,,,Sandalwood paste bowl,சந்தனக் கிண்ணம்,,,,utensil,corpus_sourashtradictionary
,,பெய்ஸுதொவ்லி,peysutovli,,,,Starch water vessel,வடிகஞ்சி சட்டி,,,,utensil,corpus_sourashtradictionary
,,பேஸு கொ2வ்டி3,pEsu khovDi,,,,Starch water vessel,வடிகஞ்சி சட்டி,,,,utensil,corpus_sourashtradictionary
,,நவ்னொ,navno,,,,Water Pot,குடம்,,,,utensil,corpus_sourashtradictionary
,,கொடு3ம்,koDum,,,,Water Pot,குடம்,,,,utensil,corpus_sourashtradictionary
,,ஹண்டொ3,haNTeaa,,,,Handa,அண்டா,,,,utensil,corpus_sourashtradictionary
