sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,அண்டு3னு,aNDunu,,,,Ovules,சூல்கள்,பராக3ணாக் ப2ராது அண்டு3 பீ3க்கன் ஹோஸு,Ovule develops into seed after pollination,மகரந்தச் சேர்க்கைக்குப் பிறகு சூல் விதையாக உருவாகிறது,fruits,corpus_sourashtradictionary
,,சூளுநாளு,cooLunaaLu,,,,Ovule stalk,சூல் தண்டு,சூளுநாளு கொனாம் பூ2ல் பு2லஸு,The flower blooms at the end of the stalk,சூல் தண்டின் முனையில் பூ பூக்கிறது,fruits,corpus_sourashtradictionary
,,ஜீவணு,jeevaNu,,,,Pollen,மகரந்தம்,த3ல்லா பூ2ல் ஜீவணுக் ப4ராட் ஸொட3ஸு,Male flowers release pollen,ஆண் பூக்கள் மகரந்தத்தை வெளியிடுகின்றன,fruits,corpus_sourashtradictionary
,,பராக3ணொ,paraagaNo,,,,Pollination,மகரந்தச் சேர்க்கை,மை ம்ஹகி2 பராக3ணாக் ஸஹாவ் கெரஸு,Honey bees help in pollination,தேனீக்கள் மகரந்தச் சேர்க்கைக்கு உதவுகின்றன,fruits,corpus_sourashtradictionary
,,பிந்தொ3,pindo,,,,Tender fruit,பிஞ்சு,வள்கா பிந்தொ3 ருசிகன் ர்ஹாயி,Tender cucumber is very tasty,வெள்ளரிகாய் பிஞ்சு சுவையாக இருக்கும்,fruits,corpus_sourashtradictionary
,,கொம்ப்3ளொ,kombLo,,,,Tender leaf,இளசு,நாய்ப்பான் வேன் கொம்ப்3ளொ ஸே,Betel leaves are very tender,வெற்றிலை மிகவும் இளசாக உள்ளது,fruits,corpus_sourashtradictionary
,,கய்லோ,kaylO,,,,Unripe,காய்,இம்ப்3ளொ அங்கு3 கய்லொகன் ஸே,The guava fruit is still unripe,கொய்யாப்பழம் இன்னும் காயாக உள்ளது,fruits,corpus_sourashtradictionary
,,கச்செ,kacce,,,,Green or Unripe,"பச்சையான, பழுக்காத",கச்செ மிர்க்கைலொ திக்கெ வேன் ர்ஹாயி,Green chillies are very spicy,பச்சை மிளகாய் காரம் அதிகம் இருக்கும்,fruits,corpus_sourashtradictionary
,,பிக்கெ,pikke,,,,Ripe,பழுத்த,பிக்கெ பொள்ளள்னு கு3ல்லெகன் ர்ஹாயி,Ripe fruits are sweet,பழுத்த பழங்கள் இனிப்பாக இருக்கும்,fruits,corpus_sourashtradictionary
,,பொள்ளொ,poLLo,,,,Fruit,பழம்,ஹுனளாம் ஜு2கு3 பொள்ளான் அப்3ப3யி,A lot of fruits are available in summer,கோடையில் நிறைய பழங்கள் கிடைக்கும்,fruits,corpus_sourashtradictionary
