sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கலம்,kalam,,,,Period,காலம்,ராமுடு3 ஜிவெ கலம் திரேதா யுக3ம்,The period during which Rama lived was the Thiretha Yuga,ராமர் வாழ்ந்த காலம் திரேதா யுகம்,season,corpus_sourashtradictionary
,,காலு,kaalu,,,,Period,காலம்,பா3ல்ய காலும் சொவ்து3னொ,Should study in adolescence period,இளமைப் பருவத்தில் படிக்க வேண்டும்,season,corpus_sourashtradictionary
,,காலு,kaalu,,,,Ages,"காலம், ஆண்டு",மீ தொகொ3 ஜு2கு3 காலு தொகன் ஸீரனி,I haven't seen you in ages,நான் உன்னை பல ஆண்டுகளாக பார்த்ததில்லை,season,corpus_sourashtradictionary
,,காள்,kaaL,,,,Period,காலம்,மென்க்யான் து3க்வாளு காளும் பு3ள்ளான் க2யாஸி,During the famine period people ate tubers,பஞ்ச காலத்தில் மக்கள் கிழங்குகளை உண்டார்கள்,season,corpus_sourashtradictionary
,,த3ஶா,dassaa,,,,Period,"காலம், பருவம்",வார்தி4க்யொ த3ஶாம் விஶ்ராந்திகன் ர்ஹனொ,Should rest during old aged period,வயதான காலத்தில் ஓய்வாக இருக்க வேண்டும்,season,corpus_sourashtradictionary
,,காலாந்த்ரம்,kaalaantram,,,,Over a period of time,"கால வெள்ளம், காலப்போக்கு",காலாந்த்ரமு அஸ்கி மர்ச்சாஸு,"Over a period of time, everything changes","காலப்போக்கில், எல்லாம் மாறுகிறது",season,corpus_sourashtradictionary
,,ர்ருது,rrutu,,,,Season,"பருவம், பருவகாலம்",பா4ரதும் ஸோ ர்ருதுன் ஸே,There are six seasons in India,இந்தியாவில் ஆறு பருவங்கள் உள்ளன,season,corpus_sourashtradictionary
,,ஹூநுகலம்,hoonukalam,,,,Summer,"வெயிற்காலம், கோடை",ஹூநுகலமு பக்ஷினுக் பனி தே3த்தெ சொக்கடு3,It is good to water the birds in summer,கோடையில் பறவைகளுக்கு தண்ணீர் கொடுப்பது நல்லது,season,corpus_sourashtradictionary
,,பொவ்ஸுகலம்,povsukalam,,,,"Monsoon, Rainy season",மழைக்காலம்,பொவ்ஸுகலமு முது3ல்லாமுஸ் பீகு க4ல்தஸுன்,The seed is sown before the rainy season,மழைக் காலத்திற்கு முன்பே விதை விதைக்கிறார்கள்,season,corpus_sourashtradictionary
,,ஹிமுஸுகலம்,himusukalam,,,,"Pre Winter, Cool Season",குளிர்காலம்,ஹிமுஸுகலமு ஸில்லொ வரொ ஹனயி,Cold winds blow in the pre-winter seasons,குளிர்காலத்தில் குளிர்ந்த காற்று வீசும்,season,corpus_sourashtradictionary
,,மொஞ்சுகலம்,monjcukalam,,,,Winter,பனிக்காலம்,மொஞ்சுகலமு ஒள்டு3ன் பா3தொ3 பொட3ஸுன்,The elderly suffer in the winter,பனிக்காலத்தில் வயதானவர்கள் அவதிப்படுகின்றனர்,season,corpus_sourashtradictionary
,,வரளொ,varaLo,,,,Spring,வஸந்தகாலம்,வரளாம் பூ2லுன் பி3ஸ்ஸொ ஹொடி3 பு2லஸு,In Spring flowers grow faster and bloom,வசந்த காலத்தில் பூக்கள் வேகமாக வளர்ந்து பூக்கும்,season,corpus_sourashtradictionary
,,ஹுனளொ,hunaLo,,,,Summer,"வெயிற்காலம், கோடை",வளுராணும் ஹுனளாம் ஹூன் வேன் ர்ஹாயி,Summers are hotter in the desert,பாலைவனத்தில் கோடை வெப்பம் அதிகமாக இருக்கும்,season,corpus_sourashtradictionary
,,பொஸளொ,posaLo,,,,"Monsoon, Rainy season",மழைக்காலம்,பொஸளாம் பிடு3 பொட3ஸு,Lightning flashes in the rainy season,மழைக்காலத்தில் மின்னல் மின்னுகிறது,season,corpus_sourashtradictionary
,,பொஸ்லொ,poslo,,,,"Monsoon, Rainy season",மழைக்காலம்,பொஸ்லா கலமு பெ3ஸ்களினுக் ஸவாயி,Frogs can be seen during the rainy season,மழைக்காலத்தில் தவளைகளைக் காணலாம்,season,corpus_sourashtradictionary
,,ஶிரளொ,ssiraLo,,,,Autumn,இலையுதிர்காலம்,ஶிரளாம் ஜா2டு3ன் பான் லலத்தக் ஹர்ம்ப3ம் கெரஸு,"In autumn, the trees begin to shed their leaves","இலையுதிர் காலத்தில், மரங்கள் இலைகளை உதிர்க்கத் தொடங்குகின்றன",season,corpus_sourashtradictionary
,,ஹிமளொ,himaLo,,,,Pre Winter / Cool Season,குளிர்காலம்,ஹிமுஸுகலமு ஸில்லொ வரொ ஹனயி,Cold winds blow in the pre-winter seasons,குளிர்காலத்தில் குளிர்ந்த காற்று வீசும்,season,corpus_sourashtradictionary
,,இரளொ,iraLo,,,,Winter,பனிக்காலம்,இரளா கலமு ஸில்லா தே3ஶும் ஒஸு பொட3ஸு,Snowfall occurs in colder countries during the winter,பனிக்காலத்தில் குளிர் நாடுகளில் பனிப்பொழிவு ஏற்படுகிறது,season,corpus_sourashtradictionary
