sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢏꢥ꣄ꢥꣁ,आ॑न्ना॑,ஒன்னொ,o'nno',OnnO,ŏnnŏ,on̪n̪o,beans,அவரைக்காய்,,,,Vegetables,words
ꢂꢭ꣄ꢭꣁ,अल्ला॑,அல்லொ,allo',allO,allŏ,əllo,ginger,இஞ்சி,,,,Vegetables,words
ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄,धुरुळु मूळ,து4ருளு மூள்,dhurul'u mool',dhuruLu mUL,dhurul̤u mūl̤,d̪ʰuɾuɭu muːɭ,potato,உருளைக்கிழங்கு,,,,Vegetables,words
ꢮꢖ꣄ꢔꢶ,वङ्गि,வங்கி3,vangi,vaGgi,vaṅgi,ʋəŋgɪ,brinjal,கத்திரிக்காய்,,,,Vegetables,words
ꢒꣀꢭꢒꢾꢱꢸꢬ꣄,कैलक॑सुर,கைலகெஸுர்,kailake'sur,kailakEsur,kailakĕsur,kəɪləkes̪uɾ,vegetable,காய்கறி,,,,Vegetables,words
ꢩꢙ꣄ꢙꢶ,भज्जि,ப4ஜ்ஜி,bhajji,bhajji,bhajji,bʰəd͡ʒd͡ʒɪ,greens,கீரை,,,,Vegetables,words
ꢪꣁꢳ꣄꣄ꢒꢳ꣄꣄,मा॑ळ्कळ,மொள்கள்,mo'l'kal',mOLkaL,mŏl̤kal̤,moɭkəɭ,ama ranthus,கீரைத்தண்டு,,,,Vegetables,words
ꢤꢾꢫꢳꣁ,धेय्ळा॑,தெ4ய்ளொ(N,dhe'yal'o',dhEyaLO,dhĕyal̤ŏ,d̪ʰejəɭo,ama ranthus,கீரைத்தண்டு,,,,Vegetables,words
ꢒꢵꢬꢜ꣄,कारट्,காரட்,kaarat',kAraT,kāraṭ,kɑːɾəʈ,carrot,கேரட்,,,,Vegetables,words
ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ,जिन्नवर॑,ஜின்னவ்ரெ,jinnavre',jinnavrE,jinnavrĕ,d͡ʒɪn̪n̪əʋɾe,cluster beans,கொத்தவரைக்காய்,,,,Vegetables,words
ꢤꢥꢶꢫꣁ,धनिया॑,த4னியொ,dhaniyo',dhaniyO,dhaniyŏ,d̪ʰən̪ɪjo,coriander leaves,கொத்துமல்லிக் கீரை,,,,Vegetables,words
ꢱꢾꢒ꣄ꢒꢬ꣄ꢒꢾꢳꢖ꣄ꢔꢸ,स॑क्कर क॑ळङ्गु,ஸெக்கர்கௌங்கு3,se'kkarke'l'angu,sEkkarkELaGgu,sĕkkarkĕl̤aṅgu,s̪ekkəɾkeɭəŋgu,sweet potato,சக்கரைவள்ளிக் கிழக்கு,,,,Vegetables,words
ꢓꣁꢮ꣄ꢳꣁ,खा॑व्ळा॑,கொ2வ்ளொ,kho'vl'o',khOvLO,khŏvl̤ŏ,kʰoʋɭo,ash gourd,சாம்பல் பூசணி,,,,Vegetables,words
ꢩꣁꢮ꣄ꢳꣁ,भा॑व्ळा॑,பொ4வ்ளொ,bho'vl'o',bhOvLO,bhŏvl̤ŏ,bʰoʋɭo,bottle gourd,சுரைக்காய்,,,,Vegetables,words
ꢱꢸꢬꢠ꣄,सुरण,ஸுரண்,suran,suraN,suraṇ,s̪uɾəɳ,yam,சேனை,,,,Vegetables,words
ꢱꢿꢦꢪꢹꢳ꣄,सेपमूळ,ஸேபமூள்,sepamool',sepamUL,sepamūl̤,s̪eːpəmuːɭ,colocasia,சேம்பு,,,,Vegetables,words
ꢡꢒ꣄ꢒꢵꢭꢶ,तक्कालि,தக்காளி,takkaali,takkAli,takkāli,t̪əkkɑːlɪ,tomato,தக்காளி,,,,Vegetables,words
ꢗꣁꢮ꣄ꢳꣁ,चा॑व्ळा॑,சொவ்ளொ,cho'vl'o',cOvLO,cŏvl̤ŏ,t͡ʃoʋɭo,cow pea,தட்டைப்பயிறு,,,,Vegetables,words
ꢂꢪ꣄ꢨ꣄ꢳꣁ,अम्ब्ळा॑,அம்ப்3ளொ,ambl'o',ambLO,ambl̤ŏ,əmbɭo,goose berry,நெல்லிக்காய்,,,,Vegetables,words
ꢒꢗ꣄ꢗꢾ ꢪꢶꢬꢶꢒ꣄ꢒꣀꢭꣁ,क्च्च॑मिरिक्कैला॑,கச்செமிரிகைலொ,kachche' mirikkailo',kaccE mirikkailO,kaccĕ mirikkailŏ,kət͡ʃt͡ʃe mɪɾɪkkəɪlo,green chilly,பச்சைமிளகாய்,,,,Vegetables,words
