sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢯꢬꢷꢬꢶ,अशरीरि,அஶரீரி,ashareeri,azarIri,aśarīri,əʃəɾiːɾɪ,celestial voice/ oracle,அசரீரி,,,,Religious-Institutions,words
ꢣꢵꢱꢸꢥ꣄,दासुन,தா3ஸுன்,daasun,dAsun,dāsun,d̪ɑːs̪un̪,disciples,அடியார்,,,,Religious-Institutions,words
ꢂꢩꢶꢰꢿꢒ꣄,अभिषेक्,அபி4ஷேக்,abhishek,abhiSek,abhiṣek,əbʰɪʂeːk,"bathing the holy idol with milk, honey, fruit, etc.",அபிஷேகம்,,,,Religious-Institutions,words
ꢂꢬ꣄ꢗꢥꣁ,अर्चना॑,அர்சனொ,archano',arcanO,arcanŏ,əɾt͡ʃən̪o,Worship with chanting,அர்ச்சனை,,,,Religious-Institutions,words
ꢒꢺꢦꣁ,कृपा॑,க்ருபொ,kri'po',kRpO,kṛpŏ,kɾɨpo,grace,அருள்,,,,Religious-Institutions,words
ꢂꢮ꣄ꢡꢵꢬ꣄,अव्तार्,அவ்தார்,avtaar,avtAr,avtār,əʋt̪ɑːɾ,incarnation,அவதாரம்,,,,Religious-Institutions,words
ꢃꢱꢶꢰ꣄,आसिष्,ஆஸிஷ்,aasish,AsiS,āsiṣ,ɑːs̪ɪʂ,blessing,அனுக்கிரகம்/ஆசிர்வாதம்,,,,Religious-Institutions,words
ꢃꢱꢷꢬ꣄ꢮꢵꢡ꣄,आसीर्वात्,ஆஸீர்வாத்,aaseervaat,AsIrvAt,āsīrvāt,ɑːs̪iːɾʋɑːt̪,blessing,அனுக்கிரகம்/ஆசிர்வாதம்,,,,Religious-Institutions,words
ꢃꢱ꣄ꢬꢪꣁ,आस्रमा॑,ஆஸ்ரமொ,aasramo',AsramO,āsramŏ,ɑːs̪ɾəmo,"hermitage, monastery",ஆசிரமம்,,,,Religious-Institutions,words
ꢣꢿꢮ꣄,देव्,தே3வ்,dev,dev,dev,d̪eːʋ,God,ஆண்டவன்,,,,Religious-Institutions,words
ꢩꢔꢮꢵꢥ꣄,भगवान्,ப4க3வான்,bhagavaan,bhagavAn,bhagavān,bʰəgəʋɑːn̪,God,ஆண்டவன்,,,,Religious-Institutions,words
ꢃꢬꢵꢤꢥꣁ,आराधना॑,ஆராத4னொ,aaraadhano',ArAdhanO,ārādhanŏ,ɑːɾɑːd̪ʰən̪o,worship,ஆராதனை,,,,Religious-Institutions,words
ꢣꢮ꣄ꢬꣁ,दब्रा॑,த4வ்ரொ,davro',davrO,davrŏ,d̪əʋɾo,temple,ஆலயம்,,,,Religious-Institutions,words
ꢪꢥ꣄ꢣꢶꢬ꣄,मन्दिर,மந்தி3ர்,mandir,mandir,mandir,mən̪d̪ɪɾ,temple,ஆலயம்,,,,Religious-Institutions,words
ꢃꢡ꣄ꢪꣁ,आत्मा॑,ஆத்மொ,aatmo',AtmO,ātmŏ,ɑːt̪mo,soul,ஆன்மா,,,,Religious-Institutions,words
ꢩꢒ꣄ꢡꢶ ꢪꢵꢬ꣄ꢔꢸ,भक्ति मार्गु,ப4க்தி மார்கு3,bhakti maargu,bhakti mArgu,bhakti mārgu,bʰəkt̪ɪ mɑːɾgu,sprituality,ஆன்மீகம்,,,,Religious-Institutions,words
ꢃꢱ꣄ꢡꢶꢒ꣄,आस्तिक,ஆஸ்திக்,aastik,Astik,āstik,ɑːs̪t̪ɪk,theism,ஆஸ்திகம்,,,,Religious-Institutions,words
ꢡꢸꢞꢶꢫꢵꢥꢸ ꢪꢵꢬ꣄ꢔꢸ,तुडियानु मार्गु,துடி3யானு மார்கு3,tud'iyaanu maargu,tuDiyAnu mArgu,tuḍiyānu mārgu,t̪uɖɪjɑːn̪u mɑːɾgu,Islam,இசுலாம்,,,,Religious-Institutions,words
ꢲꢶꢥ꣄ꢣꢸ,हिन्दु,ஹிந்து3,hindu,hindu,hindu,ɦɪn̪d̪u,Hindu,இந்து,,,,Religious-Institutions,words
ꢣꢿꢮꢸ ꢩꢒ꣄ꢡꢶ,देवु भक्ति,தே3வுப4க்தி,devu bhakti,devu bhakti,devu bhakti,d̪eːʋu bʰəkt̪ɪ,devotion,இறையுணர்வு,,,,Religious-Institutions,words
ꢣꢾꢮ꣄,देव्,தே3வ்,de'v,dEv,dĕv,d̪eʋ,God,இறைவன்,,,,Religious-Institutions,words
ꢅꢯꣁ,ईशा॑,ஈஶொ,eesho',IzO,īśŏ,iːʃo,God Shiva,ஈசுவரன்,,,,Religious-Institutions,words
ꢅꢯ꣄ꢦꢸꢬꢸ,ईश्पुरु,ஈஶ்புரு,eeshpuru,Izpuru,īśpuru,iːʃpuɾu,God Shiva,ஈசுவரன்,,,,Religious-Institutions,words
ꢲꢸꢠ꣄ꢞꢶ,हुण्डि,ஹுண்டி3,hund'i,huNDi,huṇḍi,ɦuɳɖɪ,hundi,உண்டி / உண்டியல்,,,,Religious-Institutions,words
ꢱꣂꢩꢵ ꢫꢵꢡ꣄ꢬꣁ,सोभा यात्रा॑,ஸோபா4 யாத்ரொ,sobhaa yaatro',sobhA yAtrO,sobhā yātrŏ,s̪oːbʰɑː jɑːt̪ɾo,procession of the deity,ஊர்வலம்,,,,Religious-Institutions,words
ꢬꢒ꣄ꢰꢸꢥꢵꢬ꣄,रक्षुनार,ரக்ஷுனார்,rakshunaar,rakSunAr,rakṣunār,ɾəkʂun̪ɑːɾ,saviour,கர்த்தர்,,,,Religious-Institutions,words
ꢔꢬ꣄ꢩ ꢔ꣄ꢒꢺꢲꢪ꣄,गर्भ गृहम्,க3ர்ப4க்3ருஹம்,garbha gkri'ham,garbha gkRham,garbha gkṛham,gəɾbʰə gkɾɨɦəm,sanctum sanctorum,கர்ப்பக்கிரகம்,,,,Religious-Institutions,words
ꢱꢪꢵꢤꢶ,समाधि,ஸமாதி4,samaadhi,samAdhi,samādhi,s̪əmɑːd̪ʰɪ,graveyard,கல்லறை,,,,Religious-Institutions,words
ꢒꢬ꣄ꢦꢸꢬ꣄,कर्पूर,கர்பூர்,karpur,karpur,karpur,kəɾpuɾ,camphor,கற்பூரம்,,,,Religious-Institutions,words
ꢂꢡ꣄ꢡꢶꢪ꣄ꢨꢸꢬ꣄,अत्तिम्बुर,அத்திம்பு3ர்,attimbur,attimbur,attimbur,ət̪t̪ɪmbuɾ,camphor,கற்பூரம்,,,,Religious-Institutions,words
ꢒꢾꢥ꣄ꢫꢵꢱ꣄ꢡꢶꢬꢷ,क॑न्या स्तिरी,கென்யாஸ்திரீ,ke'nyaastiree,kEnyAstirI,kĕnyāstirī,ken̪jɑːs̪t̪ɪɾiː,nun,கன்னியாஸ்திரி,,,,Religious-Institutions,words
ꢒꢵꢠꢶꢒ꣄ꢒꢿ,काणिक्क॑,காணிக்கெ,kaanikke,kANikke,kāṇikke,kɑːɳɪkkeː,cash/ material offerings to God,காணிக்கை,,,,Religious-Institutions,words
