sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,வீத்,veet,,,,Street,தெரு,பில்லல்னு வீது3ம் க2ளராஸ்,Children play in the street,குழந்தைகள் தெருவில் விளையாடுகிறார்கள்,house,corpus_sourashtradictionary
,,முக்கு,mukku,,,,Street Corner,தெருமுனை,ஒய்து3 கே4ர் வீது3 முக்கும் ஸேத்தெ,Dr. House is at the street corner,டாக்டர் வீடு தெரு முனையில் உள்ளது,house,corpus_sourashtradictionary
,,ஸெந்து3,sendu,,,,"Lane, Alley",சந்து,அவ்ரெ கே4ர் வேன் அக்ரொ ஸெந்து3ம் ஸேத்தெ,Our house is in a very narrow alley,எங்கள் வீடு மிகவும் குறுகிய சந்தில் உள்ளது,house,corpus_sourashtradictionary
,,அவ்டொ3,avDo,,,,Cross,குறுக்கு,அவ்ரெ கே4ர் தீ2ன்வா அவ்டா3 ஸெந்து3ம் ஸேத்தெ,Our house is in the third cross street,எங்கள் வீடு மூன்றாம் குறுக்குத் தெருவில் உள்ளது,house,corpus_sourashtradictionary
,,விலாஸ்,vilaas,,,,Address,முகவரி,துரெ கே4ரு விலாஸ் மொகொ3 விஜிலியணு லேகு2ம் த4ட்3டு3வொ,Send me your house address in Email,உங்கள் வீட்டு முகவரியை எனக்கு மின்னஞ்சலில் அனுப்பவும்,house,corpus_sourashtradictionary
,,கே4ர்,ghEr,,,,House,வீடு,எல்லெ மொரெ பெ4ய்னு கே4ர்,This is my sister's house,இது என் சகோதரியின் வீடு,house,corpus_sourashtradictionary
,,கெ4ராவர்து,gheraavartu,,,,Household matters,வீட்டு விஷயங்கள்,கெ4ராவர்துனுக் ப4ராடு3ம் வத்தொகெர ஹோனா,Household things should not be talked about outside,வீட்டு விஷயங்களை வெளியில் பேசக்கூடாது,house,corpus_sourashtradictionary
,,மூலஸ்தானொ,moolastaano,,,,"Foundation, Base","கடைக்கால், அஸ்திவாரம்",மூலஸ்தானொ பொ3லம்கன் ந்ஹீஜியெத் கே4ர் பு2ட்டிபொள்ட3யி,"If the foundation is not strong, the house will collapse","அடித்தளம் வலுவாக இல்லாவிட்டால், வீடு இடிந்து விழும்",house,corpus_sourashtradictionary
,,அடு3த3ளொ,aDudaLo,,,,"Foundation, Base","கடைக்கால், அஸ்திவாரம்",மொரெ போ3 எல்லெ கே4ருக் அடு3த3ளொ தயாஸி,My father laid the foundation for this house,என் தந்தை இந்த வீட்டிற்கு கடைக்கால் போட்டார்,house,corpus_sourashtradictionary
,,அடு3கே4ர்,aDughEr,,,,Basement,"கீழ்தளம், அடித்தளம்",பொ3ண்டி ஹிப்3பி3 ர்ஹவட3த்தக் அடு3கே4ர் ஒர்க3ஸு,Basement is used to park the car,காரை நிறுத்துவதற்கு அடித்தளம் பயன்படுகிறது,house,corpus_sourashtradictionary
,,கே4ர்தா3ர்,ghErdaar,,,,House property,வீடுவாசல்,மொரெ ஸொஸுராக் சொக்கட் கே4ர்தா3ருன் ஸே,My father-in-law owns good house property,என் மாமனாருக்கு நல்ல வீடுவாசல் உள்ளது,house,corpus_sourashtradictionary
,,ப4வனம்,bhavanam,,,,Building,கட்டிடம்,ப4வனம்னுக் பொ2ட3த்தக் பு3ல்டோ3ஸர் உபயோக்3 ஹோஸு,Bulldozer is used to demolish buildings,கட்டிடங்களை இடிக்க புல்டோசர் பயன்படுகிறது,house,corpus_sourashtradictionary
,,வித்3தெ3னு கே4ர்,viddenu ghEr,,,,Apartment,அடுக்குமாடி கட்டிடம்,பொர்க்யாடு3ம் வித்3தெ3னு கே4ருனுக் ஸவானா,We can not see apartments in villages,கிராமங்களில் அடுக்குமாடி கட்டிடங்களை பார்க்க முடியாது,house,corpus_sourashtradictionary
,,ஸெந்தொவஸஸ்,sentovasas,,,,Colony,"குடியேற்றம், குடியிருப்பு",ஸெந்தொவஸஸும் ஜிவத்தெனு வேன் பொ4த்3ரம்கன் ஸே,Colony dwellers are more secure,குடியிருப்பில் வசிப்பவர்கள் அதிக பாதுகாப்பாக இருக்கிறார்கள்,house,corpus_sourashtradictionary
,,அபுல்கே4ர்,apulghEr,,,,Home,சொந்தவீடு,கௌ2னஸ்கி ஹொஸ்தொகி அபுல்கே4ருஸ் மேட்,"East or West, home is best",கிழக்காயினும் மேற்காயினும் சொந்தவீடு தான் சிறந்தது,house,corpus_sourashtradictionary
,,கொ4ம்மொ,ghommo,,,,"Inside the house, In the house","வீட்டிற்குள், வீட்டில்",தெங்கொ3 கொ4ம்மொ ஸுனான் ஸே,They have dogs in the house,அவர்கள் வீட்டில் நாய்கள் உள்ளன,house,corpus_sourashtradictionary
,,ஸெஜ்ஜ,sejja,,,,Neighbor,பக்கத்து வீட்டுக்காரர்,அவ்ரெ ஸெஜ்ஜென் ஜு2க்கு மித்ருப்பன் ஸெரொ ஸே,Our neighbours are very friendly,எங்கள் பக்கத்து வீட்டுக்காரர்கள் மிகவும் நட்பாக இருக்கிறார்கள்,house,corpus_sourashtradictionary
,,தா3ர்,daar,,,,"Threshold, Door step","வாசல், வாசல்படி",கே4ரு கே4ரு தா3ர்,Every house has a door step,வீட்டுக்கு வீடு வாசல்படி,house,corpus_sourashtradictionary
,,த4டொ,dhaTo,,,,"Threshold, Doorway",வாசல்,தெனு த4டாம் ஹிப்3பி3லி மீ பி4த்தர் அவாய்யா மெனி புஸ்யாஸ்,He stood in the doorway and asked if I could come in,அவர் வாசலில் நின்று நான் உள்ளே வரலாமா என்று கேட்டார்,house,corpus_sourashtradictionary
,,ஹும்ப்3ரொ,humbro,,,,"Threshold, Doorway",வாசல்,அவ்ரெ கே4ரு ஹும்ப்3ரொ தேகு ஜா2டு3 ஹால் ஹொயெயொ,The threshold of our house was made of teak wood,எங்கள் வீட்டின் வாசல் தேக்கு மரத்தால் ஆனது,house,corpus_sourashtradictionary
,,தா3ருகவாட்3,daarukavaaD,,,,Gate,"வாசல் கதவு, வாயிற்கதவு",தா3ருகவாட்3 பூட் தகெ3ஸ்யா?,Did you lock the gate?,வாசல் கதவை பூட்டினாயா?,house,corpus_sourashtradictionary
,,ஸொடு3முஞ்ஜொ,soDumunjjo,,,,Sweeping the front yard,"முறைவாசல், வாசல் பெருக்குதல்",ஸொளொபா2ரும் ஸொடு3முஞ்ஜொ கெரத்தெ அவ்ரெ வட்கெ,It is our custom to sweep the front yard in the morning,காலையில் வாசல் பெருக்குதல் நமது வழக்கம்,house,corpus_sourashtradictionary
,,முக்3கு3,muggu,,,,"Vintage Line, Kolam",கோலம்,பெ3ய்லன் முக்3கு3 தக3த்தெமாம் வேன் உத்ஸாஹ் தெ3க்கட3ன்,Women will be more interested in putting kolam,பெண்கள் கோலம் போடுவதில் அதிக ஆர்வம் காட்டுவார்கள்,house,corpus_sourashtradictionary
,,ஹொள்டொ,hoLTo,,,,"Village style Veranda, Porch",திண்ணை,ஒள்டு3ன் ஹொள்டர் பி3ஸி தி3ன்னு ஜவட3ராஸ்,The elderly spend time sitting on the veranda,முதியவர்கள் திண்ணையில் அமர்ந்து பொழுது கழிக்கிறார்கள்,house,corpus_sourashtradictionary
,,ஹொல்லொஹொள்டொ,hollohoLTo,,,,Upper Porch,மேல் தாழ்வாரம்,ஹொல்லொஹொள்டொ கே4ரு அத்தொ து3ஸ்தலு,House with upper porch are rare these days,மேல் தாழ்வாரத்துடன் கூடிய வீடு இன்று அரிது,house,corpus_sourashtradictionary
,,த3ம்புரொ,dampuro,,,,"Threshold, Position",நிலைவாசல்,விஸந்து3லொ த3ம்புரொ பி3ஸ ஹோனா மெனன்,They say not to sit in the doorway at dusk,அந்தி சாயும் நேரத்தில் வீட்டு வாசலில் உட்காரக் கூடாது என்பார்கள்,house,corpus_sourashtradictionary
,,த3ரும்பு3ரொ,darumburo,,,,Threshold,நிலைவாசல்,த3ரும்பு3ரொ ஹிப்3பி3ர்ஹீ தெ4ரும் கெரஹோனா,Do not stand in the doorway and donate,வீட்டு வாசலில் நின்று அன்னதானம் செய்யக்கூடாது,house,corpus_sourashtradictionary
,,நெலு,nelu,,,,Threshold door,நிலைக்கதவு,த4னின் தேகு ஜா2டு3ஹால் நெலுக் கெரஸுன்,The rich make threshold doors out of teak wood,பணக்காரர்கள் தேக்கு மரத்தால் நிலைக்கதவுகளை செய்கிறார்கள்,house,corpus_sourashtradictionary
,,தா3ருமிட்டொ,daarumiTTo,,,,Doorstep,வாசல்படி,தா3ருமிட்டொ தொக்குனொகொ3 மெனி தெங்கொ3 போ3 மென்யாஸ்,His father told him not to step on the doorstep,வாசல்படி மிதிக்காதே என்று அவனுடைய அப்பா சொன்னார்,house,corpus_sourashtradictionary
,,பா2வு,phaavu,,,,Narrow passage between the entrance and the living room,"வாசலுக்கும், அறைக்கும் இடையில் உள்ள பாதை (ரேழி)",தா3ருக்கின் கொ2ட்டா ம்ஹத்3தி3ம் ஸேத்தெ அக்ரொ வாடுக் பா2வு மெனன்,The narrow passage between the entrance and the living room is called phaavu,நுழைவாயிலுக்கும் அறைக்கும் இடையில் குறுகிய பாதையை ரேழி என்பார்கள்,house,corpus_sourashtradictionary
,,அக்ரொபா2வு,akrophaavu,,,,Narrow passage between the entrance and the living room,"வாசலுக்கும், அறைக்கும் இடையில் உள்ள பாதை (ரேழி)",அக்ரொபா2வும் தீ3 செக்குர் பொ3ண்டி3க் தொ2வி ஹொத்3யாஸ்,Bicycle had been kept in the phaavu,ரேழியில் மிதி வண்டி வைக்கப்பட்டு இருந்தது,house,corpus_sourashtradictionary
,,நெவ்டொ3,nevDo,,,,"Corridor, Hallway","நடை, நடைபாதை",நெவ்டா3ம் திவிக் தயி ஹொத்3யாஸ்,There was a long bench placed in the corridor,நடைபாதையில் ஒரு நீண்ட இருக்கை போடப்பட்டிருந்தது,house,corpus_sourashtradictionary
,,ப4ராடு3 நெவ்டொ3,bharaaDu nevDo,,,,Veranda,வெளித்தாழ்வாரம்,தெனு ப4ராடு3 நெவ்டா3ம் பி3ஸி காப்பி பியாஸி,They sat on the veranda and drank coffee,அவர்கள் வராண்டாவில் அமர்ந்து காபி குடித்தார்கள்,house,corpus_sourashtradictionary
,,கொ2ட்டொ,khoTTo,,,,Hall,நீண்ட பொது அறை,கொ2ட்டாம் ஒஸ்துன் வத்தொ கெர்லேத் ஹொத்3யாஸ்,Relatives were chatting in the hall,பெரியஅறையில் உறவினர்கள் பேசிக் கொண்டிருந்தனர்,house,corpus_sourashtradictionary
,,கஸெ,kase,,,,Room,அறை,எல்லெ ஹுரிம் 62 கஸென் ஸே,The school has 62 rooms,இப்பள்ளியில் 62 அறைகள் உள்ளன,house,corpus_sourashtradictionary
,,ஹும்ப்4ரொ,humbhro,,,,Room,அறை,ஹும்ப்4ராம் நேதானு லோஸுனுக் ஸொவ்ண்டடி3 ஹொத்3யாஸ்,Photos of the leaders were hung in the room,அறையில் தலைவர்களின் புகைப்படங்கள் மாட்டியிருந்தார்கள்,house,corpus_sourashtradictionary
,,தௌரம்,tauram,,,,Room,அறை,ஹுஜால் ந்ஹீனாத்தெ ஹால் தௌரம் ஹந்தா3ர் ஹொதெ3ஸ்,The room was dark due to lack of light,வெளிச்சம் இல்லாததால் அறை இருட்டாக இருந்தது,house,corpus_sourashtradictionary
,,ஹொவ்ரி,hovri,,,,Room,அறை,இத்கெ ஹொவ்ரிந் ர்ஹியெத் மெல்லொ பு2ரரனி,"Many rooms are there, not enough though",பல அறைகள் இருந்தும் போதுமானதாக இல்லை,house,corpus_sourashtradictionary
,,ந்ஹென்னஹொவ்ரி,nhennahovri,,,,Small room,சிறிய அறை,பு2ட்டெ முட்டெ ஸமானுன் அஸ்கி ந்ஹென்னஹொவ்ரிம் ஹொதெ3ஸ்,"All broken, useless materials were in the small room",ஓட்டை உடைசல் பொருட்கள் அனைத்தும் சிறிய அறையில் இருந்தன,house,corpus_sourashtradictionary
,,புஜாஹொவ்ரி,pujaahovri,,,,Prayer room,பூஜை அறை,புஜாஹொவ்ரிக் சொக்கட் ஸிங்க3ரி ஹொத்3யாஸ்,The prayer room was well decorated,பூஜை அறையை நன்றாக அலங்கரித்திருந்தார்கள்,house,corpus_sourashtradictionary
,,ஹந்த3வ் தௌரம்,handav tauram,,,,Kitchen,சமையலறை,தூ4ம்கின் தேலு காட் ஹால் ஹந்த3வ் தௌரம் காலொ ஹொதெ3ஸ்,The kitchen was black due to smoke and oil stains,புகை மற்றும் எண்ணெய் கறை காரணமாக சமையலறை கருப்பாக இருந்தது,house,corpus_sourashtradictionary
,,ஜெமரியொ தௌரம்,jemariyo tauram,,,,Dining room,சாப்பிடும் அறை,ஜெமரியொ தௌரம் ஹந்த3வ் தௌரமுக் லொகு3த்தொ ர்ஹனொ,The dining room should be close to the kitchen,சாப்பாட்டு அறை சமையலறைக்கு அருகில் இருக்க வேண்டும்,house,corpus_sourashtradictionary
,,ஸ்னானுகொ2ட்டொ,snaanukhoTTo,,,,Bathroom,குளியலறை,ஸ்னானுகொ2ட்டாம் ஹுன்னபனி அவரனி,There was no hot water in the bathroom,குளியலறையில் வெந்நீர் வரவில்லை,house,corpus_sourashtradictionary
,,ஶயனுகொ2ட்டொ,ssayanukhoTTo,,,,Bedroom,படுக்கையறை,ஶயனுகொ2ட்டாம் ஸில்லொ வரா பெடி ஸேத்தெ,The bedroom has air conditioner,படுக்கையறையில் குளிரூட்டி உள்ளது,house,corpus_sourashtradictionary
,,வஸனுகொ2ட்டொ,vasanukhoTTo,,,,Livingroom,வாழும் அறை,போ3 வஸனுகொ2ட்டாம் ஸமாசார்பத்ரொ சொவ்தி3லேத் ர்ஹான்,Dad will be reading the newspaper in the living room,அப்பா அறையில் செய்தித்தாள் படித்துக் கொண்டிருப்பார்,house,corpus_sourashtradictionary
,,காமிர,kaamira,,,,Window,"சாளரம், ஜன்னல்",காமிர வாட் பொவ்ஸுபனி பி4த்தர் அவரஸ்,Rainwater is coming in through the window,ஜன்னல் வழியாக மழைநீர் உள்ளே வருகிறது,house,corpus_sourashtradictionary
,,விடி3,viDi,,,,Window,"சாளரம், ஜன்னல்",விடி3ம் தாளு விஜனொ குஸ்கி ஹொத்3யாஸ்,There was a palm fan plugin in the window,ஜன்னலில் பனை விசிறி சொருகி இருந்தது,house,corpus_sourashtradictionary
,,விடி3கவாட்,viDikavaaT,,,,Window panes,ஜன்னல் கதவு,விடி3கவாட் ஜா2ய். ஒஸாட் ஹனரஸ்,Close the window panes. Rain water splashes,ஜன்னல் கதவை மூடு. மழை நீர் தெறிக்கிறது,house,corpus_sourashtradictionary
,,ம்ஹொடொ3விடி3,mhoDoviDi,,,,French window,பெரிய சாளரம்,ம்ஹொடொ3விடி3 பூ4ய்ஞ் த3ளா கொ2ட்டாக் ஆத3ர்ஶொ ஹொயெயொ,French windows are ideal for ground floor rooms,பெரிய சாளரங்கள் தரை தள அறைகளுக்கு ஏற்றது,house,corpus_sourashtradictionary
,,பொஷான்,poshaan,,,,"Corridor, Eave, Sidewalk",நடைக்கூடம்,ஹொடா3ரும் பொவ்ஸ் பொடி3 பொஷானும் செது3ரரஸ்,It rains in the courtyard and splashes on the sidewalk,முற்றத்தில் மழை பெய்து நடைக்கூடத்தில் தெறிக்கிறது,house,corpus_sourashtradictionary
,,ஐனொ,aino,,,,Courtyard,முற்றம்,ஐனாம் பொ3ட்டான் ஸுக்கரஸ்,The clothes are drying in the courtyard,முற்றத்தில் துணிகள் உலர்கின்றன,house,corpus_sourashtradictionary
,,ஹொடா3ர்,hoDaar,,,,Courtyard,முற்றம்,ஒளெனும் ர்ஹீ பொவ்ஸு பனி ஹொடா3ரும் லுச்சாரஸ்,Rainwater pours into the courtyard from the roof canal,கூரை கால்வாயிலிருந்து முற்றத்தில் மழைநீர் கொட்டுகிறது,house,corpus_sourashtradictionary
,,பி4த்தர்ஹொடாரு,bhittarhoTaaru,,,,Inner courtyard,உள் முற்றம்,பா3ஞ்ஜி ஹால் பி4த்தர்ஹொடார் ஜி2ர்க்காரஸ்,The inner courtyard is slippery due to fungus,பூஞ்சை காரணமாக உள் முற்றம் சறுக்குகிறது,house,corpus_sourashtradictionary
