sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,தளு,taLu,,,,"Crown of Scalp, Top, Vetex","உச்சந்தலை, உச்சி",தெனொ தளு ர்ஹீ தளபாய்ஞ் லெந்து ப2ங்கி3லி நிஞ்ஜி ஹொதெ3ஸ்,He was lying covered from head to toe,அவன் உச்சி முதல் பாதம் வரை மூடிக்கொண்டு படுத்திருந்தான்,body,corpus_sourashtradictionary
,,தொ3ஸ்கொ,dosko,,,,Head,தலை,தெ3க்ஷண் பொகட் தொ3ஸ்கொ தொ2வ்லி நின்ஜ ஹோனா,Should not sleep with head facing south,தெற்கில் தலை வைத்து தூங்கக் கூடாது,body,corpus_sourashtradictionary
,,ஸிரஸ்,siras,,,,Head,தலை,"ஆட் வீது3 ஆங்கு3க், ஸிரஸூஸ் பிரதா4ன்","For a body of 8 span length, the head is important",எண் ஜாண் உடம்புக்கு தலையே முக்கியம்,body,corpus_sourashtradictionary
,,மெது3ட்,meduT,,,,Brain,மூளை,ஹொடெ3 மெனிகு மெது3டு 1.5 கிலோ பா4ர் ர்ஹாயி,The brain of an adult human weighs 1.5 kilograms,வளர்ந்த மனிதனின் மூளை 1.5 கிலோகிராம் எடை இருக்கும்,body,corpus_sourashtradictionary
,,கு3து3ட்3,guduD,,,,Brain,மூளை,"18 ஒர்ஸும், மெனிகு கு3து3ட்3 ஹொட3த்தெ ஹிப்3பி3 ர்ஹவள்ட3ஸு","At the age of 18, the human brain stops developing","18 வயதில், மனிதனின் மூளை வளர்வதை நிறுத்திக் கொள்கிறது",body,corpus_sourashtradictionary
,,மெந்து3,mendu,,,,Brain,மூளை,மெனிகு மெந்து3 ஸதா3 காம் கெர்லேத் ர்ஹாயி,The human brain is always working,மனித மூளை எப்போதும் இயங்கிக் கொண்டிருக்கிறது,body,corpus_sourashtradictionary
,,கே2ஸ்,khEs,,,,Hair,முடி,40 ஒஸ்ஸு ப2ராது கே2ஸ் ஹுஜால் பொ3ட3ன் நிகு3ளஸு,Hair starts graying after age 40,40 வயதிற்கு மேல் முடி நரைக்க தொடங்குகிறது,body,corpus_sourashtradictionary
,,அல்கொ,alko,,,,Curly hair,சுருட்டை முடி,நீக்3ரோனுக் கே2ஸ் அல்கொகன் ஸே,Negroes have curly hair,நீக்ரோக்கள் முடி சுருள் முடியாக இருக்கிறது,body,corpus_sourashtradictionary
,,ஸிகொ,siko,,,,Ponytail / Mohawk,குடுமி,முது3ல்லாம் த3ல்லான் ஸிகொ தொ2வ்லி ஹொத்3யாஸி,Earlier men used to have tuft hair,முன்பெல்லாம் ஆண்கள் குடுமி வைத்திருந்தார்கள்,body,corpus_sourashtradictionary
,,ஜுட்டி,juTTi,,,,"Ponytail, Mohawk, Tuft",குடுமி,தெ2வ்டெ3 ஐயானுன் ஜுட்டி தொ2வ்ல்ராஸ்,Some pandits have tuft hair,சில புரோகிதர்கள் குடுமி வைத்துள்ளார்கள்,body,corpus_sourashtradictionary
,,கொ2பொ,khopo,,,,Bun Hairstyle,கொண்டை,மீனாக்ஷி அம்மொ கொ2பொ தொ2வ்ல்ராஸி,Goddess Meenakshi Amman has bun hairstyle,மீனாட்சி அம்மன் கொண்டை வைத்துள்ளார்,body,corpus_sourashtradictionary
,,ஸுண்டு3ல்,suNDul,,,,Dandruff,தலைப் பொடுகு,ஸுண்டு3லுக் லீமு தேல் லவாயி,Neem oil can be applied for dandruff,பொடுகுக்கு வேப்ப எண்ணெய் தடவலாம்,body,corpus_sourashtradictionary
,,வெணி,veNi,,,,Braid or Plait Hair,தலைப்பின்னல்,எல்லெ பெ3ட்3கிக் வெணி லம்பொ3 ஸே,This girl has a long braid,இந்த பெண்ணுக்கு நீண்ட பின்னல் உள்ளது,body,corpus_sourashtradictionary
,,வெணி கு3ம்பத்தெ,veNi gumpatte,,,,Braiding Hair,ஜடை பின்னுதல்,மாய் அபுல் பெ3டி3க் வெணி கு3ம்பி3லேத் ஸே,The mother is braiding her daughter,தாய் தன் மகளுக்கு ஜடை பின்னிக்கொண்டிருக்கிறாள்,body,corpus_sourashtradictionary
,,ஜெடொ3,jeDo,,,,Decorated Braid / Plait,ஜடை,நொவ்ரி லம்பு3 பூ2லு ஜெடொ3 தய்லி ஸே,The bride wears a long flower braid,மணமகள் நீண்ட மலர் ஜடையுடன் இருக்கிறார்,body,corpus_sourashtradictionary
,,ஜொ2டொ3,jhoDo,,,,"Matted hair, Clotted Hair",ஜடாமுடி,ஸனித3னி கெர்னா ஜியெத் தொ3ஸ்கா கே2ஸ் ஜொ2டொ3 பொள்ட3யி,"If not taken care of, the hair will become matted hair",பராமரிக்காவிட்டால் தலைமுடி ஜடாமுடி ஆகிவிடும்,body,corpus_sourashtradictionary
,,ஹுஜாலுகே2ஸ்,hujaalukhEs,,,,Gray Hair,நரை,ஒர்ஸுஹொயெ கலமு ஹுஜாலுகே2ஸ் ஸிங்க்3யார் ர்ஹாய்,Gray hair looks beautiful in old age,வயதான காலத்தில் நரை முடி அழகாக இருக்கும்,body,corpus_sourashtradictionary
,,தளுபொட்டல்,taLupoTTal,,,,Bald,வழுக்கைத்தலை,தளுபொட்டல் ஒண்டெ வம்ஶிகொ ரோகு3,Baldness is a hereditary disease,வழுக்கை ஒரு பரம்பரை நோய்,body,corpus_sourashtradictionary
,,கு3ண்டு3,guNDu,,,,"Tonsure, Round, Circular","மொட்டை, வட்டம்",பில்லா தோன் கு3ண்டு3கன் ஸே,The baby has a round face,குழந்தையின் முகம் வட்டமாக உள்ளது,body,corpus_sourashtradictionary
,,பொ3ட3க்,boDak,,,,Tonsure,மொட்டை,தெ2வ்டெ3தெனு ஹூனுகலமு பொ3ட3க் தய்லனு,Some people shave their heads in summer,சிலர் கோடையில் தலையை மொட்டை அடிப்பார்கள்,body,corpus_sourashtradictionary
,,பா4ங்கு3,bhaanggu,,,,Hair parting,வகிடு,தெ2வ்டெ3 பெ3ட்3கினுக் பா4ங்கு3 ஒப்பானி,Some girls don't like hair parting,சில சிறுமிகளுக்கு வகிடை பிடிப்பதில்லை,body,corpus_sourashtradictionary
,,தோன்,tOn,,,,Face,முகம்,நொவ்வொ தோனுக் ஸீதி பில்லொ ரொட3ரஸ்,Baby cries seeing new faces,புதிய முகங்களைப் பார்த்து குழந்தை அழுகிறது,body,corpus_sourashtradictionary
,,வத3ன்,vadan,,,,Face,முகம்,ஸுரிது ஹுஜால் பொடெ3த் வத3ன் களொ பொட3ய்,Sunlight turns the face black,சூரிய ஒளி பட்டால் முகம் கருப்பாக மாறும்,body,corpus_sourashtradictionary
,,கபா3ல்,kabaal,,,,Forehead,நெற்றி,பொ3ட்டு ந்ஹாத்த கபா3ல் ஹபா3லு,A freckle-free forehead is a dirty forehead,பொட்டு இல்லாத நெற்றி பாழ் நெற்றி,body,corpus_sourashtradictionary
,,பொட்டுல்,poTTul,,,,Temple,கன்னப் பொறி,பொட்டுல் து3ன்னாக் மொன்னு பா4ர்கின் உத்ஜம் மெல்லொ காரணொ,Stress and tension are also the reason for temple pain,கன்னப் பொறி வலிக்கு மன அழுத்தமும் பதற்றமும் கூட காரணம்,body,corpus_sourashtradictionary
,,பௌனி,pauni,,,,Eyebrow,புருவம்,தெனொ ஆஶ்சர்யமு பௌனிக் உஞ்சொ துக்கிஸி,She raised an eyebrow in surprise,அவள் ஆச்சரியத்தில் புருவத்தை உயர்த்தினாள்,body,corpus_sourashtradictionary
,,பபினி,papini,,,,Eyebrow,புருவம்,தெ2வ்டெ3தெனு தீ3 பபினிக் பெத்தெபெத்தெகன் ஹல்லட3ன்,Some people move both eyebrows separately,சிலர் இரண்டு புருவங்களையும் தனித்தனியாக அசைப்பார்கள்,body,corpus_sourashtradictionary
