sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,விஜிலி,vijili,,,,Electricity,மின்சாரம்,விஜிலி ந்ஹாத்தக் அவ்ரெஹால் ஜிவத்தக் முஸுனா,We cannot live without electricity,மின்சாரம் இல்லாமல் நம்மால் வாழ முடியாது,household,corpus_sourashtradictionary
,,சிடு3கொ,ciDuko,,,,Switch,சொடுக்கி,சிடு3கானுக் பில்லல்னு அந்த3த்திஸொ க2ல்லொகன் தொ2வொ ஹோனா,The switches should not be placed low enough for children to reach,சொடுக்கிகளை குழந்தைகள் எட்டும் அளவுக்கு தாழ்வாக வைக்கக்கூடாது,household,corpus_sourashtradictionary
,,கு3ண்டு3 தி3வொ,guNDu divo,,,,Incandescent light bulb,குண்டு விளக்கு,கு3ண்டு3 தி3வொ ஜெலத்தெ வேள் ஹுன்னொ ப4ராட் ஸொட3யி,Incandescent light bulb emits heat when burning,குண்டு விளக்கு எரியும் போது சூட்டை வெளியிடும்,household,corpus_sourashtradictionary
,,நல்லி தி3வொ,nalli divo,,,,Tube light bulb,குழல் விளக்கு,நல்லி தி3வொ தொ3ளாக் ஸில்லொகன் ர்ஹாயி,Tube light is cool to the eye,குழல் விளக்கு கண்ணுக்கு குளிர்ச்சியாக இருக்கும்,household,corpus_sourashtradictionary
,,LED தி3வொ,LED divo,,,,LED light bulb,LED விளக்கு,எல்இடி3 தி3வொ உன்னொ விஜிலிம் ஜு2க்கு ஹுஜால் தே3ஸு,LED lights provide more light with less power,எல்இடி விளக்குகள் குறைந்த மின்சாரத்தில் அதிக வெளிச்சத்தை வழங்குகின்றன,household,corpus_sourashtradictionary
,,உடாவ்,uTaav,,,,Bright,பிரகாசம்,எல்இடி3 தி3வான் உடாவ்கன் ஜெலரஸி,LED lights are very bright,எல்இடி விளக்குகள் மிக பிரகாசமாக எரிகின்றன,household,corpus_sourashtradictionary
,,ஹாதுதி3வொ,haatudivo,,,,Torch light,கைவிளக்கு,"ப4ராட் ஹந்தா3ர்கன் ஸே, ஹாதுதி3வொ க2ல்லி ஜவொ","It is dark outside, take the torch with you","வெளியே இருட்டாக இருக்கிறது, டார்ச்சை எடுத்துச் செல்லுங்கள்",household,corpus_sourashtradictionary
,,குடி3யண்டா3 தி3வொ,kuDiyaNDaa divo,,,,Oil lamp / Egg lamp,சிம்னி விளக்கு,விஜிலி ந்ஹாத்தெவேள் குடி3யண்டா3 தி3வொ பிர்ஜனம்கன் ர்ஹாஸு,Egg lamp will be useful during power outage,மின் தடையின் போது சிம்னி விளக்கு பயனுள்ளதாக இருக்கும்,household,corpus_sourashtradictionary
,,கன்டீன்,kanTeen,,,,Lantern,கண்ணாடி கூட்டு விளக்கு,பொ3லோம் வராம் மெல்லொ கன்டீன் ம்ஹொவ்லானா,The lantern does not go out even in strong winds,பலத்த காற்றில் கூட கண்ணாடி கூட்டு விளக்கு அணையாது,household,corpus_sourashtradictionary
,,க2ந்தெ3ம் தி3வொ,khandem divo,,,,Hurricane Lamp,அரிக்கேன் விளக்கு,ஹிந்தொ3 மெல்லொ ஜு2கு கொ4ம்மானும் க2ந்தெ3ம் தி3வொ ஸே,"Even today, many homes still have hurricane lamp",இன்றும் பல வீடுகளில் அரிக்கேன் விளக்கு உள்ளது,household,corpus_sourashtradictionary
