sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢣꢿꢖ꣄ꢒꢦ꣄ꢦꢵ,अडेङ्कप्पा,அடே3ங்கப்பா,adenkappaa,adeGkappA,adeṅkappā,əd̪eːŋkəppɑː,expression of wonder,அடடா,,,,Function-Verbs,words
ꢂꢪ꣄ꢪꢵꢞꢶ,अम्माडि,அம்மாடி3,ammaad'i,ammADi,ammāḍi,əmmɑːɖɪ,expression of wonder,அடடா,,,,Function-Verbs,words
ꢂꢮ ꢂꢪ꣄ꢨꢵ,अव अम्बा,அவ அம்பா3,ava ambaa,ava ambA,ava ambā,əʋə əmbɑː,expression of wonder,அடடா,,,,Function-Verbs,words
ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄,तेल्यक हाल,தெல்யக ஹால்,te'lyaka haal,tElyaka hAl,tĕlyaka hāl,t̪eljəkə ɦɑːl,so,அதனால்,,,,Function-Verbs,words
ꢲꢵꢭꢶꢪ꣄,हालिम,ஹாலிம்,haalim,hAlim,hālim,ɦɑːlɪm,so,அதனால்,,,,Function-Verbs,words
ꢡꢿꢜ꣄ꢱꢵ,तेट्सा,தேட் ஸா,tet'saa,teTsA,teṭsā,t̪eːʈs̪ɑː,look there,அதோ,,,,Function-Verbs,words
ꢄꢱꣁꢫꢵ,इसा॑या,இஸொயா?,iso'yaa,isOyA,isŏyā,ɪs̪ojɑː,is it so?,அப்படியா?,,,,Function-Verbs,words
ꢄꢱꣂꢪꢾꢥꢾꢡꢶ,इसा॑म॑न॑ति,இஸொமெனெதி,isome'ne'ti,isomEnEti,isomĕnĕti,ɪs̪oːmen̪et̪ɪ,if it is so,அப்படியென்றால்,,,,Function-Verbs,words
ꢲꢵ,हा,ஹா,haa,hA,hā,ɦɑː,expression of pain,அப்பா,,,,Function-Verbs,words
ꢂꢦ꣄ꢦꢵꢜꢶ,अप्पाटि,அப்பாடி,appaat'i,appATi,appāṭi,əppɑːʈɪ,expression of wonder,அப்பாடி,,,,Function-Verbs,words
ꢂꢪ꣄ꢪꢵꢜꢷ,अप्पाटी,அப்பாடீ,ammaat'ee,ammATI,ammāṭī,əmmɑːʈiː,expression of pain,அப்பாடீ,,,,Function-Verbs,words
ꢂꢪ꣄ꢪꢵꢜꢶ,अम्माटि,அம்மாடி,ammaat'i,ammATi,ammāṭi,əmmɑːʈɪ,expression of pain,அம்மா,,,,Function-Verbs,words
ꢥꢴꢵ,न्हा,நா:,nhaa,nhA,nhā,n̪ɦɑː,no,அல்ல,,,,Function-Verbs,words
ꢲꢵꢫ꣄,हाय्,ஹாய்,haay,hAy,hāy,ɦɑːj,a response,ஆங்,,,,Function-Verbs,words
ꢲꢵꢫ꣄,हाय्,ஹாய்,haay,hAy,hāy,ɦɑːj,yes,ஆமாம்,,,,Function-Verbs,words
ꢲꣁꢫꢾꢡꢶ,हा॑य॑ति,ஹொயெதி,ho'ye'ti,hOyEti,hŏyĕti,ɦojet̪ɪ,but,ஆனால்,,,,Function-Verbs,words
ꢪꢾꢔꢶ,मेगि,மெகி3,me'gi,mEgi,mĕgi,megɪ,but,ஆனால்,,,,Function-Verbs,words
ꢌꢭ꣄ꢫꢾꢒ ꢲꢵꢭ꣄,ए॑ल्य॑क हाल,எல்யெக ஹால்,e'lye'ka haal,ElyEka hAl,ĕlyĕka hāl,eljekə ɦɑːl,hereby,இதனால்,,,,Function-Verbs,words
ꢍꢜ꣄ꢱꢵ,एट्सा,ஏட்ஸா,et'saa,eTsA,eṭsā,eːʈs̪ɑː,look here,இதோ,,,,Function-Verbs,words
ꢍꢭꢵ,एला,ஏலா,elaa,elA,elā,eːlɑː,look here,இதோ,,,,Function-Verbs,words
ꢓꢳꢳꢿ,खळ्ळे,க2ள்ளே,khal'al'e,khaLaLe,khal̤al̤e,kʰəɭəɭeː,take this,இந்தா,,,,Function-Verbs,words
ꢤꢿꢬ꣄,धेर,தே4ர்,dher,dher,dher,d̪ʰeːɾ,take this,இந்தா,,,,Function-Verbs,words
ꢓꢳ꣄ꢳꢸꢮꣁ,खळ्ळुवा॑,க2ள்ளுவொ,khal'l'uvo',khaLLuvO,khal̤l̤uvŏ,kʰəɭɭuʋo,take this,இந்தாருங்கள்,,,,Function-Verbs,words
ꢤꢾꢬꣁ,ध॑रा॑,தெ4ரொ,dhe'ro',dhErO,dhĕrŏ,d̪ʰeɾo,take this,இந்தாருங்கள்,,,,Function-Verbs,words
ꢤꢾꢬꢸꢮꣁ,ध॑रुवा॑,தெ4ருவொ,dhe'ruvo',dhEruvO,dhĕruvŏ,d̪ʰeɾuʋo,take this,இந்தாருங்கள்,,,,Function-Verbs,words
ꢂꢖ꣄ꢔꢸꢥ꣄,अङ्गुन्,அங்கு3ன்,angun,aGgun,aṅgun,əŋgun̪,yet,இன்னும்,,,,Function-Verbs,words
ꢂꢡ꣄ꢡꢾꢖ꣄ꢔꢸꢜ꣄,अत्त॑ङ्गुट्,அத்தெங்கு3ட்,atte'ngut',attEGguT,attĕṅguṭ,ət̪t̪eŋguʈ,hereafter,இனி,,,,Function-Verbs,words
ꢂꢡꢧꢬꣁ,अतफरा॑,அதப2ரொ,atapharo',atapharO,atapharŏ,ət̪əpʰəɾo,hereafter,இனி,,,,Function-Verbs,words
ꢂꢖ꣄ꢔꢸꢥ꣄,अङ्गुन्,அங்கு3ன்,angun,aGgun,aṅgun,əŋgun̪,still,இனியும்,,,,Function-Verbs,words
ꢆꢰ꣄,उष्,உஷ்,ush,uS,uṣ,uʂ,expression of caution,இஷ்,,,,Function-Verbs,words
ꢲꢵꢫ꣄ ꢲꢵꢫ꣄,हाय्हाय्,ஹாய்ஹாய்,haay haay,hAy hAy,hāy hāy,ɦɑːj ɦɑːj,yes,உம் உம்,,,,Function-Verbs,words
ꢒꢵꢫ꣄,काय्,காய்,kaay,kAy,kāy,kɑːj,response to a call,என்ன,,,,Function-Verbs,words
ꢡꢾꢭ꣄ꢫꢒ ꢭꢾꢥ꣄ꢡ,त॑ल्यक ल॑न्त,தெல்யக லெந்த,te'lyaka le'nta,tElyaka lEnta,tĕlyaka lĕnta,t̪eljəkə len̪t̪ə,hence,எனவே,,,,Function-Verbs,words
ꢍꢫ꣄,एय्,ஏய்,ey,ey,ey,eːj,term to call attention,ஏய்,,,,Function-Verbs,words
ꢬꢾ,रे,ரே,re',rE,rĕ,ɾe,term to call attention,ஏய்,,,,Function-Verbs,words
ꢬꢿꢫ꣄,रेय,ரேய்,rey,rey,rey,ɾeːj,term to call attention,ஏய்,,,,Function-Verbs,words
ꢎꢫꣂ,ऐयो,ஐயோ,aiyo,aiyo,aiyo,əɪjoː,expression of sorrow,ஐயோ,,,,Function-Verbs,words
ꢐ,ओ,ஓ,o,o,o,oː,expression of wonder,ஓ,,,,Function-Verbs,words
ꢲꢵꢫ꣄,हाय्,ஹாய்,haay,hAy,hāy,ɦɑːj,expression of approval,ஓகோ,,,,Function-Verbs,words
ꢲꣂꢥ꣄ꢣꢒ꣄,होन्दक्,ஹோந்த3க்,hondak,hondak,hondak,ɦoːn̪d̪ək,expression of approval,ஓகோ,,,,Function-Verbs,words
ꢲꣂꢫ꣄,होय्,ஹோய்,hoy,hoy,hoy,ɦoːj,term to call attention,ஓய்,,,,Function-Verbs,words
ꢘꢷꢗ꣄ꢘꢷ,छीच्छी,சீ2ச்சீ2,chheechchhee,chIcchI,chīcchī,t͡ʃʰiːt͡ʃt͡ʃʰiː,expression of contempt,சீச்சீ,,,,Function-Verbs,words
ꢮꢵ,वा,வா,vaa,vA,vā,ʋɑː,address term for inferior faminine,டி,,,,Function-Verbs,words
ꢂꢮꢵ,अवा,அவா,avaa,avA,avā,əʋɑː,address term for inferior faminine,டி,,,,Function-Verbs,words
ꢬꢿꢫ꣄,रेय्,ரேய்,rey,rey,rey,ɾeːj,address term for inferior masculine,டேய்,,,,Function-Verbs,words
ꢢꢸꢡ꣄ꢡꢹ,थुत्तु,தூ2த்தூ,thuttoo,thuttU,thuttū,t̪ʰut̪t̪uː,expression of contempt,தூ,,,,Function-Verbs,words
ꢦꢵꢦ꣄,पाप्,பாப்,paap,pAp,pāp,pɑːp,expression of sympathy,பாவம்,,,,Function-Verbs,words
ꢇꢲꢹꢄ~,ऊहूइ~,ஊஹூ~,oohooi~,UhUi~,ūhūi~,uːɦuːɪ~,no,ம்ஹூம்,,,,Function-Verbs,words
ꢧꢶꢮ꣄ꢬꢶ,फिव्रि,பி2ர்வி பி2ர்வி,phivri,phivri,phivri,pʰɪʋɾɪ,again and again,மேல்மேலும்,,,,Function-Verbs,words
ꢡꢾꢒ ꢧꢬꢵꢡ꣄,त॑कफरात्,தெகப2ராத்,te'ka pharaat,tEka pharAt,tĕka pharāt,t̪ekə pʰəɾɑːt̪,moreover,மேலும்,,,,Function-Verbs,words
ꢂꢖ꣄ꢔꢸꢥ꣄,अङ्गुन,அங்கு3ன்,angun,aGgun,aṅgun,əŋgun̪,moreover,மேலும்,,,,Function-Verbs,words
ꢲꣀꢫꢵ,हैया,ஹையா,haiyaa,haiyA,haiyā,ɦəɪjɑː,expression of joy,ஹையா,,,,Function-Verbs,words
