sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,angam,aGgam,aṅgam,əŋgəm,organ,அங்கம்,,,,Body-Parts,words
ꢨꢵꢣꢪ꣄,पादम्,பாத3ம்,baadam,bAdam,bādam,bɑːd̪əm,sole,அடி,,,,Body-Parts,words
ꢲꢶꢬꢶꢞꢶ,हिरिडि,ஹிரிடி3,hirid'i,hiriDi,hiriḍi,ɦɪɾɪɖɪ,palate,அண்ணம்,,,,Body-Parts,words
ꢦꣁꢒ꣄ꢒꢭ꣄,पा॑क्कल्,பொக்கல்,po'kkal,pOkkal,pŏkkal,pokkəl,hip,அரை,,,,Body-Parts,words
ꢣꣀꢬ ꢲꢵꢡ꣄,दैरहात,தை3ரஹாத்,daira haat,daira hAt,daira hāt,d̪əɪɾə ɦɑːt̪,left hand,இடக்கை,,,,Body-Parts,words
ꢣꢒꢸꢥ ꢲꢵꢡꢶ,दकुनहात,த3குனஹாத்,dakuna haati,dakuna hAti,dakuna hāti,d̪əkun̪ə ɦɑːt̪ɪ,left hand,இடக்கை,,,,Body-Parts,words
ꢒꢿꢜ꣄,केट्,கேட்,ket',keT,keṭ,keːʈ,waist,இடுப்பு,,,,Body-Parts,words
ꢔꢸꢠ꣄ꢞꣁ,गुण्ड॑,கு3ண்டெ3,gund'o',guNDO,guṇḍŏ,guɳɖo,heart,இதயம்,,,,Body-Parts,words
ꢬꣁꢦ꣄ꢦꣁ,रा॑प्पा॑,ரொப்பொ,ro'ppo',rOppO,rŏppŏ,ɾoppo,eyelash,இமை,,,,Body-Parts,words
ꢬꢾꢔꢡ꣄,र॑गत्,ரெக3த்,re'gat,rEgat,rĕgat,ɾegət̪,blood,இரத்தம்,,,,Body-Parts,words
ꢲ꣄ꢬꢸꢣꢫꢸ,ह्रुदयु,ஹ்ருத3யு,hrudayu,hrudayu,hrudayu,ɦɾud̪əju,heart,இருதயம்,,,,Body-Parts,words
ꢔꢸꢠ꣄ꢞꢾ,गुण्ड॑,கு3ண்டெ3,gund'e',guNDE,guṇḍĕ,guɳɖe,heart,இருதயம்,,,,Body-Parts,words
ꢡꢶꢳ꣄꣄ꢙꢶ,तिळ्जि,தி2ள்ஜி,til'ji,tiLji,til̤ji,t̪ɪɭd͡ʒɪ,liver,ஈரல்,,,,Body-Parts,words
ꢲ꣄ꢬꢸꢞꢶ,ह्रुडि,ஹ்ருடி3,hrud'i,hruDi,hruḍi,ɦɾuɖɪ,gum,ஈறு,,,,Body-Parts,words
ꢡꢳꢸ,तळु,தளு,tal'u,taLu,tal̤u,t̪əɭu,crown,உச்சி,,,,Body-Parts,words
ꢃꢖ꣄ꢒꢸ,आङकु,ஆங்கு3,aanku,AGku,āṅku,ɑːŋku,body,உடம்பு,,,,Body-Parts,words
ꢱꢾꢬꢶꢬ꣄,सेरिर,ஶெரிர்,se'rir,sErir,sĕrir,s̪eɾɪɾ,body,உடம்பு,,,,Body-Parts,words
ꢡꢥꢸ,तनु,தனு,tanu,tanu,tanu,t̪ən̪u,body,உடம்பு,,,,Body-Parts,words
ꢃꢖ꣄ꢔꢸ,आङगु,ஆங்கு3,aangu,AGgu,āṅgu,ɑːŋgu,body,உடம்பு,,,,Body-Parts,words
ꢲꢸꢜ꣄ꢜꣁ,हुट्टा॑,ஹுட்டொ,hut't'o',huTTO,huṭṭŏ,ɦuʈʈo,saliva,உமிழ்நீர்,,,,Body-Parts,words
