sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢔꢾꢬꢸꢮ,ग॑रुव,கெ3ருவ்,ge'ruva,gEruva,gĕruva,geɾuʋə,proudness,அகங்காரம்,,,,Concepts,words
ꢮꢶꢗꢵꢬ꣄,विचार्,விசார்,vichaar,vicAr,vicār,ʋɪt͡ʃɑːɾ,lamenting,அங்கலாய்ப்பு,,,,Concepts,words
ꢲꢾꢞ꣄ꢞꢾ,ह॑ड्ड॑,ஹெட்3டெ3,he'd'd'e',hEDDE,hĕḍḍĕ,ɦeɖɖe,booby,அசடு,,,,Concepts,words
ꢂꢱꢶꢖ꣄ꢔꢪ,असिङ्गम,அஸிங்க3ம்,asingama,asiGgama,asiṅgama,əs̪ɪŋgəmə,ugly,அசிங்கம்,,,,Concepts,words
ꢮꢶꢥꢫꣁ,विनया॑,விநயொ,vinayo',vinayO,vinayŏ,ʋɪn̪əjo,"modesty, obedience",அடக்கம்,,,,Concepts,words
ꢩꢙꢵꢬꢶꢥ꣄,भजारिन्,ப4ஜாரின்,bhajaarin,bhajArin,bhajārin,bʰəd͡ʒɑːɾɪn̪,termagant,அடங்காப்பிடாரி,,,,Concepts,words
ꢭꢮ꣄ꢠ꣄ꢞꢶ,लव्ण्डि,லவ்ண்டி3,lavnd'i,lavNDi,lavṇḍi,ləʋɳɖɪ,termagant,அடங்காப்பிடாரி,,,,Concepts,words
ꢩꢵꢙꢵꢬꢶꢦꢥ꣄,भाजारिपन,ப4ஜாரிபன்,bhaajaaripan,bhAjAripan,bhājāripan,bʰɑːd͡ʒɑːɾɪpən̪,termagancy,அடங்காப்பிடாரித்தனம்,,,,Concepts,words
ꢣꢵꢱ꣄,दास्,தா3ஸ்,daas,dAs,dās,d̪ɑːs̪,slave,அடிமை,,,,Concepts,words
ꢣꢵꢱꢶ,दासि,தா3ஸி,daasi,dAsi,dāsi,d̪ɑːs̪ɪ,slave,அடிமை,,,,Concepts,words
