source,target
akaraati,dictionary
nikant'u,dictionary
kosh,dictionary
adhyaay,chapter
videshu bhaasho',foreign language
raajaneeti,politics
raajaneeti saastru,political science
raajaneeti nyaan,political science
kaaryaalayo',office
sadusht'am,clue
se'guna,clue
soosano',clue
vignjaan,science
vaddi,teacher
o'ddi,teacher
o'rsuparishe',annual examination
vaarshika pariksho',annual examination
o'rsuvaibhav,annual function
samsodhano',research
samsodhanasaalo',research laboratory
samsodhanaapo'ti,thesis
samsodhanaa,research scholar
vyaktibhaav,personality
svabhaav,personality
samattu,skill
nipunatvo',skill
sankeeta kansaalo',music college
prakri'ti,nature
vyaakarano',grammar
saahityo',literature
gdyo',prose
sambhaashano',conversation
likhlo',"pen, pencil"
tare',fee
vyaaso',essay
le'khu,letter
lhe'kho',"arithmetic, account"
heesu,"arithmetic, account"
ganiit,mathematics
khe'ni,story
khe'to',story
abhipraayu sadas,seminar
kalaa saalo',college
eegu vidyo' che'duv,education
kavi,poet
kavito',"song, poem"
igad'aste,teaching
che'vdini,learning
sikkini,learning
kal'jam,paper
kaavyo',epic
soochano',notes
soochanaapo'ti,notebook
aiki likhini,dictation
pusni,question
pusaav,question
haatashar,"handwriting, signature"
haatupo'ti,handbook
neetiniyamo',policy
siddhaantu,theory
chitru,picture
losu,picture
chittar,picture
yochano',thought
nankhe'ni,short story
laikaasukal'je'm,newspaper
samaachaarupatro',newspaper
gavno',poetry
padyam,poetry
slok,poetry
vatto',word
ko'sh,lexicon
sabda bhand'aar,lexicon
so'dhano',test
pareeksho',test
mantu,mistake
chook,mistake
kunt'u,mistake
maay bhaasho',mother tongue
maatrubhaasho',mother tongue
kalje'm,paper
naipunya,skill
vimarsano',criticism
gunadosha vichaar,criticism
vibhaag,department
pareeshe',examination
pareeshaa thaam,examination centre
aarambha huri,primary school
vattaa to'ran,sentence
chaalchalan,behaviour
chalni,behaviour
nat'ano',dance
naachu,drama
lo'kkhe'ni,folk tale
lokgeet,folk song
desigeet,folk song
po'ti,book
pustav,book
pustiko',book
po'tiggher,library
bhand'aarugher,library
varnamaalo',alphabet
lakshyo',aim
dhye'yu,aim
po'k,page
put'o',page
snaatako',graduate
upaadhi,degree
chqtuv ko't't'o' vaachakasaalo',reading room/library
che'duv,studies
eeg,studies
pharam,form
rasini,creative work
sanchiko',magazine
je'vaap,answer
abhyaas,learning
jem,prize
paaritosiko',prize
pariso'dhano',experiment
parksho',examinations
sarvakalaasaalo',university
huri,school
junnavaachu,proverb
praavaachu,proverb
geet,song
paat'havivarano',syllabus
paat'hapustav,textbook
paat'h,lesson
po'ro',error
mantu,error
laamkhe'ni,novel
no'vvakavito',"modern poetry, free verse"
puraano',mythology
mhaa o'ddi,professor
liklo',pen
vishayu,subject
yantruvidyo',engineering
yantru vignjaan,engineering
po'nti,competition
spardho',competition
