sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,உபகரணொ,upakaraNo,,,,Apparatus,கருவி,ரஸஶாலாம் ஜு2கு3 உபகரணானுக் ஸவாயி,We can see many apparatus in the laboratory,ஆய்வகத்தில் பல கருவிகளை நாம் பார்க்கலாம்,tools,corpus_sourashtradictionary
,,ஸாத4னொ,saadhano,,,,"Device, Tool",கருவி,ஸங்க3ணகொ ஒண்டெ ஶக்திஹொயெ ஸாத4னொ,Computer is a powerful tool,கணினி ஒரு சக்திவாய்ந்த கருவி,tools,corpus_sourashtradictionary
,,"ஐது3, அய்து3","aidu, aydu",,,,Weapon,ஆயுதம்,மோனொ சாகு ஒண்டெ ஆபத்3ஹொயெ அய்து3,Sharp knife is a dangerous weapon,கூர்மையான கத்தி ஒரு ஆபத்தான ஆயுதம்,tools,corpus_sourashtradictionary
,,அஸ்த்ரம்,astram,,,,Weapon,ஆயுதம்,முந்த3டி3 கலமு த4னுகின் பா3ணு முக்ய அஸ்த்ரொகன் ஹொதெ3ஸ்,In ancient times the bow and arrow were the main weapons,பழங்காலத்தில் வில்லும் அம்பும் முக்கிய ஆயுதங்களாக இருந்தன,tools,corpus_sourashtradictionary
,,மூர்,moor,,,,Hammer,சுத்தியல்,பீ4தும் கீல் ஹனத்தக் மூர் பஜெ,A hammer is needed to hit the nail on the wall,சுவற்றில் ஆணி அடிக்க சுத்தியல் தேவை,tools,corpus_sourashtradictionary
,,கீல்,keel,,,,Nail,ஆணி,தீ3 பொல்கானுக் கீலு ஹனி ஒண்டேஸ்கன் செர்ச்சுவாயி,Two planks can be joined by nailing them together,இரண்டு பலகைகளை ஆணி அடித்து ஒன்றாக இணைக்கலாம்,tools,corpus_sourashtradictionary
,,த3ந்தினி,dantini,,,,"Pincer, Pliers",குறடு,த3ந்தினி ஒண்டெ வஸ்துக் தெ4ரி உட்சத்தக் நுக3ஸு,The pincer is used to pullout an object,குறடு ஒரு பொருளைப் பிடித்து இழுக்க பயன்படுகிறது,tools,corpus_sourashtradictionary
,,நிப்3ரொ,nibro,,,,"Pincer, Pliers",குறடு,கீல் உக்கத்தக் நிப்3ரொ நுக3ஸு,The pliers is used to pull the nail,ஆணி பிடுங்க குறடு பயன்படுத்தப்படுகிறது,tools,corpus_sourashtradictionary
,,பி3க்3ரொ,bigro,,,,Spanner,திருகி முடுக்கும் கருவி,நஹொகின் அர்க3லிக் தி4ல்லொ கெரத்தக் பி3க்3ரொ நுக3ஸு,Spanners is used to loosen the nut and bolt,நட்டு மற்றும் போல்ட்டை தளர்த்த திருகி பயன்படுத்தப்படுகிறது,tools,corpus_sourashtradictionary
,,க2னடி,khanaTi,,,,Crowbar,கடப்பாரை,க2னடி க2ண்டி3 கொவ்ரத்தக் ஒர்க3யி,A crowbar is used to dig pit,கடப்பாரை குழி தோண்டுவதற்கு பயன்படும்,tools,corpus_sourashtradictionary
,,க2ந்துடொ,khantuTo,,,,Crowbar,கடப்பாரை,பு4ய்ஞ் கொவ்ரரியொ க2ந்துடொ லம்பொ3 ர்ஹாயி,The crowbar to dig the earth is long,பூமியை தோண்டும் கடப்பாரை நீளமாக இருக்கும்,tools,corpus_sourashtradictionary
,,பி4ந்தி,bhinti,,,,Chisel,உளி,லைடா3க் ஆகார் தே3த்தக் பி4ந்தி நுக3ஸு,Chisel is used for shaping wood,மரத்தை வடிவமைக்க உளி பயன்படுத்தப்படுகிறது,tools,corpus_sourashtradictionary
,,டங்கு,Tangku,,,,Stone cutter chisel,கல் வெட்டும் உளி,டங்க்னார் தெ3ய்டா3க் ஆகார் தே3த்தக் டங்கு ப்ரயோக்3 கெரராஸ்,The sculptor uses a chisel to shape the stone,சிற்பி கல்லை வடிவமைக்க உளி பயன்படுத்துகிறார்,tools,corpus_sourashtradictionary
,,ஹனடி,hanaTi,,,,Mallet,மரச்சுத்தியல்,தெனொ ஹனடி ஹால் பனி கெ3ட்3டொ3 பொ2ட3ரஸ்,He breaks the ice with a mallet,அவன் மரச்சுத்தியால் பனிக்கட்டியை உடைக்கிறான்,tools,corpus_sourashtradictionary
,,தா2ஸு,thaasu,,,,Hand Planer,இழைப்புளி,ஹொடை3து தாஸு ஹால் பொள்காக் சிவெஸி,The carpenter leveled the plank with a hand planer,தச்சர் ஒரு இழைப்புளி மூலம் பலகையை இழைத்தார்,tools,corpus_sourashtradictionary
,,லாவு,laavu,,,,Sword,வாள்,ரஜா கலமு லாவ் க2ல்லி மல்லியாஸி,During the reign of King they fought with swords,அரசர் காலத்தில் வாள் ஏந்திப் போரிட்டனர்,tools,corpus_sourashtradictionary
,,கத்கொ,katko,,,,Sickle,அரிவாள்,கத்கொ ஹால் ஹரிணுக் கடனு,Weeds are removed with sickle,அரிவாளால் களை எடுப்பார்கள்,tools,corpus_sourashtradictionary
,,பர்ஶு,parssu,,,,Axe,கோடாரி,பர்ஶுராம் அய்து3 பர்ஶு,Parasuraman's weapon was an ax,பரசுராமனின் ஆயுதம் கோடாரி,tools,corpus_sourashtradictionary
,,சகி,caki,,,,"Machine, Mill","இயந்திரம், ஆலை",தந்து3 பீடு சகி ஹொகலும் தயி லுப்3ப3ஸுன்,Rice batter is ground in the grinding machine,அரிசி மாவை இயந்திர உரலில் போட்டு அரைப்பார்கள்,tools,corpus_sourashtradictionary
,,நேலு,nElu,,,,Machine,இயந்திரம்,நெலுன் மெனிகு காமு ஸல்லிஸ் கெரஸு,Machines make human work easier,மனிதர்களின் வேலையை இயந்திரங்கள் எளிதாக்குகின்றன,tools,corpus_sourashtradictionary
,,நெலும்,nelum,,,,Cotton Bale pressing machine,பஞ்சுபொதி அழுத்தும் இயந்திரம்,கபு3ஸுக் நெலுமு தொ2வி க4ந்த்ரொ கி4ந்த3னு,The cotton is pressed in the bale machine and packed,பஞ்சை இயந்திரத்தில் வைத்து அழுத்தி மூட்டை கட்டுவார்கள்,tools,corpus_sourashtradictionary
,,ர்ஹெடொ3,rheDo,,,,Sewing Machine,தையல் இயந்திரம்,பொ3ட்டொ ஸிவத்தக் ர்ஹெடொ3 நுக3ஸு,A sewing machine is used to sew clothes,ஆடைகளை தைக்க தையல் இயந்திரம் பயன்படும்,tools,corpus_sourashtradictionary
,,மால்,maal,,,,Pulley Belt,பட்டை,மால் தி4ல்லொ ர்ஹியெத் ர்ஹெடா3 செக்குர் ஜி2ர்க்கயி,If the strap is loose the wheel of the sewing machine will slip,பட்டை தளர்வாக இருந்தால் தையல் இயந்திரத்தின் சக்கரம் வழுக்கும்,tools,corpus_sourashtradictionary
,,லுங்க்டொ3,lungkDo,,,,Scissors,கத்தரிக்கோல்,டங்க்னார் ஹாதும் டங்கு ஸொகன் ஸிம்பி3 ஹாதும் ஸேத்தெ லுங்க்டொ3,Scissors in the hands of the tailor is like a chisel in the hand of the sculptor,சிற்பியின் கையில் உளி போல் தையல்காரரின் கையில் உள்ள கத்தரிக்கோல்,tools,corpus_sourashtradictionary
,,லுங்க்ளொ,lungkLo,,,,Scissors,கத்தரிக்கோல்,பொ3ட்டொ குட்கொ கெரத்தக் லுங்க்ளொ நுக3ஸு,Scissors are used to cut the cloth,துணியை வெட்ட கத்தரிக்கோல் பயன்படுகிறது,tools,corpus_sourashtradictionary
