sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ரெங்கு3,renggu,,,,Dye,சாயம்,பொ3ட்டானுக் ரெங்கு3 ஹிங்க3ட3ஸுன்,The fabrics are dyed,துணிகள் சாயமிடப்படுகின்றன,color,corpus_sourashtradictionary
,,ரெங்கு3 பு4ர்கொ,renggu bhurko,,,,Dye powder,சாயப்பொடி,ரெங்கு3 பு4ர்கொ ஜு2கு3 வனிம் அப்3ப3ஸு,Dye powders are available in a lot of coloros,சாயப் பொடிகள் பல வண்ணங்களில் கிடைக்கின்றன,color,corpus_sourashtradictionary
,,வனி,vani,,,,"Color, Colour","நிறம், வண்ணம்",ல்ஹொவா வனி தொ3ளொ உக்கயி,The red color is eye-catching,சிவப்பு நிறம் கண்ணைக் கவரும்,color,corpus_sourashtradictionary
,,களொ,kaLo,,,,Black,கருப்பு,ஸதி3 ஜு2க்குகன் களொ வனிம் ர்ஹாயி,The umbrella is mostly black color,குடை பெரும்பாலும் கருப்பு நிறத்தில் இருக்கும்,color,corpus_sourashtradictionary
,,காளொ,kaaLo,,,,Black,கருப்பு,பெ4ய்ஸ் காளொ ர்ஹாயி,The buffalo will be black,எருமை கருப்பாக இருக்கும்,color,corpus_sourashtradictionary
,,களவனி,kaLavani,,,,Black colour,கருப்பு நிறம்,நரெளு ஜா2டு3னும் களவனி ரேஸுனுக் ஸவாயி,Black colored scars can be seen on the coconut trees,தென்னை மரங்களில் கறுப்பு நிற வடுக்களை காணலாம்,color,corpus_sourashtradictionary
,,ஹுஜால்,hujaal,,,,White,வெள்ளை,தூ3த் ஹுஜால் ர்ஹாயி,The milk is white,பால் வெண்மையாக இருக்கும்,color,corpus_sourashtradictionary
,,ல்ஹொவொ,lhovo,,,,Red,சிகப்பு,ரெக3த் ல்ஹொவொ ர்ஹாயி,The blood will be red,ரத்தம் சிவப்பாக இருக்கும்,color,corpus_sourashtradictionary
,,ஹல்கொ ல்ஹொவொ,halko lhovo,,,,Pink,இளஞ்சிவப்பு,த3மர்பூ2ல் ஹல்கொ ல்ஹொவொ வனிம் ர்ஹாயி,The lotus flower is pink,தாமரைப்பூ இளஞ்சிவப்பு நிறத்தில் இருக்கும்,color,corpus_sourashtradictionary
,,நிளொ,niLo,,,,Blue,"ஊதா, நீலம்",தெ2வ்டெ3 பொ2ருங்கினுக் தொ3ளொ நிளொ ர்ஹாயி,Some whites have blue eyes,சில வெள்ளையர்களுக்கு நீல நிற கண்கள் இருக்கும்,color,corpus_sourashtradictionary
