sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢣꢫ꣄ꢬꣁ,दय्रा॑,த3ய்ரொ,dayro',dayrO,dayrŏ,d̪əjɾo,left side,இடது,,,,Directions,words
ꢣꢫ꣄ꢬ,दय्र,த3ய்ர,dayra,dayra,dayra,d̪əjɾə,left side,இடம்,,,,Directions,words
ꢓꣃꢥꢱ꣄,खौनस,கௌ2னஸ்,khaunas,khaunas,khaunas,kʰəun̪əs̪,east,கிழக்கு,,,,Directions,words
ꢣꢶꢒ꣄ꢒꢸ,दिक्कु,தி3க்கு,dikku,dikku,dikku,d̪ɪkku,direction,திக்கு,,,,Directions,words
ꢣꢶꢱꣁ,दिसा॑,தி3ஸொ,diso',disO,disŏ,d̪ɪs̪o,direction,திசை,,,,Directions,words
ꢣꢾꢒ꣄ꢰꢠ꣄,द॑क्षण्,தெ3க்ஷண்,de'kshan,dEkSaN,dĕkṣaṇ,d̪ekʂəɳ,south,தெற்கு,,,,Directions,words
ꢣꢾꢒ꣄ꢰꢓꣃꢥꢱ꣄,द॑क्षखौनस,தெ3க்ஷகௌ2னஸ்,de'kshakhaunas,dEkSakhaunas,dĕkṣakhaunas,d̪ekʂəkʰəun̪əs̪,south-east,தென்கிழக்க,,,,Directions,words
ꢣꢾꢒ꣄ꢰꣁꢱ꣄ꢡꣁ,द॑क्षोस्ता॑,தெ3க்ஷொஸ்தொ,de'ksho'sto',dEkSOstO,dĕkṣŏstŏ,d̪ekʂos̪t̪o,south-west,தென்மேற்கு,,,,Directions,words
ꢆꢡ꣄ꢡꢬ꣄,उत्तर,உத்தர்,uttar,uttar,uttar,ut̪t̪əɾ,north,வடக்கு,,,,Directions,words
ꢆꢡ꣄ꢓꣃꢥꢱ꣄,उखौनस,உத்கௌ2னஸ்,utkhaunas,utkhaunas,utkhaunas,ut̪kʰəun̪əs̪,north-east,வடகிழக்கு,,,,Directions,words
ꢆꢡ꣄ꢲꣁꢱ꣄ꢡꣁ,उत हा॑स्ता॑,உத்ஹொஸ்தொ,ut_ho'sto',ut_hOstO,ut_hŏstŏ,ut̪_ɦos̪t̪o,north-west,வடமேற்கு,,,,Directions,words
ꢙꢫ꣄ꢥꣁ,जय्ना॑,ஜய்நொ,jayno',jaynO,jaynŏ,d͡ʒəjn̪o,right side,வலது,,,,Directions,words
ꢙꢫ꣄ꢥ,जय्न,ஜய்ந,jayna,jayna,jayna,d͡ʒəjn̪ə,right side,வலம்,,,,Directions,words
