sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢆꢦꢡ꣄ꢫꢒꣁ,उपत्यका॑,உபத்யகொ,upatyako',upatyakO,upatyakŏ,upət̪jəko,foot-hill,அடிவாரம்,,,,Earth-and-Related-Words,words
ꢱꢥ꣄ꢤꢶ,सन्धि,ஸந்தி4,sandhi,sandhi,sandhi,s̪ən̪d̪ʰɪ,horizon,அடிவானம்,,,,Earth-and-Related-Words,words
ꢱꢾꢡꢸ,सेदु,ஸேது,se'tu,sEtu,sĕtu,s̪et̪u,dam,அணை,,,,Earth-and-Related-Words,words
ꢂꢳ,अळ,அள,al'a,aLa,al̤a,əɭə,dam,அணைக்கட்டு,,,,Earth-and-Related-Words,words
ꢚꢬꢶ,झरि,ஜ2ரி,jhari,jhari,jhari,d͡ʒʰəɾɪ,water falls,அருவி,,,,Earth-and-Related-Words,words
ꢱꢸꢥ꣄ꢣꢸꢬ꣄,सुन्दुर्,ஸுந்து3ர்,sundur,sundur,sundur,s̪un̪d̪uɾ,sea,ஆழி,,,,Earth-and-Related-Words,words
ꢥꢾꢣ꣄ꢣꢶ,न॑द्दि,நெத்3தி3,ne'ddi,nEddi,nĕddi,n̪ed̪d̪ɪ,river,ஆறு,,,,Earth-and-Related-Words,words
ꢪꣁꢱ꣄ꢫꢵꢥ꣄,मा॑स्यान्,மொஸ்யான்,mo'syaan,mOsyAn,mŏsyān,mos̪jɑːn̪,burial ground,இடுகாடு,,,,Earth-and-Related-Words,words
ꢆꢥ꣄ꢣꢬ꣄,हन्दार्,ஹந்தா3ர்,undar,undar,undar,un̪d̪əɾ,darkness,இருட்டு,,,,Earth-and-Related-Words,words
ꢂꢥ꣄ꢣꢬ꣄,हन्दार्,ஹந்தா3ர்,andar,andar,andar,ən̪d̪əɾ,darkness,இருள்,,,,Earth-and-Related-Words,words
ꢒꢱꢸ,कसु,கஸு,kasu,kasu,kasu,kəs̪u,water spring,ஊற்று,,,,Earth-and-Related-Words,words
ꢲꢸꢳꢵꢔ꣄ꢔꢶꢬꢶ,हुळाग्गिरि,ஹுளாக்3கி3ரி,hul'aaggiri,huLAggiri,hul̤āggiri,ɦuɭɑːggɪɾɪ,volcano,ஏரிமலை,,,,Earth-and-Related-Words,words
ꢡꢳꣁ,तळा॑,தளொ,tal'o',taLO,tal̤ŏ,t̪əɭo,lake,ஏரி,,,,Earth-and-Related-Words,words
ꢱꢾꢣ꣄ꢣꢸ,स॑द्दु,ஸெத்3து3,se'ddu,sEddu,sĕddu,s̪ed̪d̪u,sound,ஒலி,,,,Earth-and-Related-Words,words
ꢲꢸꢙꢵꢳ꣄,हुजाळ,ஹுஜாள்,hujaal',hujAL,hujāl̤,ɦud͡ʒɑːɭ,light,ஒளி,,,,Earth-and-Related-Words,words
ꢦꣁꢥ꣄ꢣꣁ,बा॑न्दा॑,பொ3ந்தொ3,po'ndo',pOndO,pŏndŏ,pon̪d̪o,hole,ஓட்டை,,,,Earth-and-Related-Words,words
ꢨꣁꢥ꣄ꢣꢸꢬ꣄,सुन्दुर्,ஸுந்து3ர்,bo'ndur,bOndur,bŏndur,bon̪d̪uɾ,sea,கடல்,,,,Earth-and-Related-Words,words
ꢆꢥ꣄ꢣꢸꢬꢸꢡꢷꢬꢸ,सुन्दुरुतीरु,ஸுந்து3ருதீரு,unduruteeru,undurutIru,undurutīru,un̪d̪uɾut̪iːɾu,sea shore,கடற்கரை,,,,Earth-and-Related-Words,words
ꢓꢠ꣄ꢞꢪ꣄,खण्डम्,க2ண்ட3ம்,khand'am,khaNDam,khaṇḍam,kʰəɳɖəm,continent,கண்டம்,,,,Earth-and-Related-Words,words
ꢗꢶꢞꢵꢫ꣄ꢣꢾꢞꢸꢜꣁ,चिडाय द॑गुटा॑,சிடா3ய்தெ3கு3டொ,chid'aayde'd'ut'o',ciDAydEDuTO,ciḍāydĕḍuṭŏ,t͡ʃɪɖɑːjd̪eɖuʈo,granite,கருங்கல்,,,,Earth-and-Related-Words,words
ꢒꢭꢣꢾꢔꢸꢜꣁ,कलद॑गुटा॑,களதெ3கு3டொ,kalade'gut'o',kaladEguTO,kaladĕguṭŏ,kələd̪eguʈo,granite,கருங்கல்,,,,Earth-and-Related-Words,words
ꢡꢷꢬꢸ,तीरु,தீரு,teeru,tIru,tīru,t̪iːɾu,"land, bank",கரை,,,,Earth-and-Related-Words,words
ꢗꢶꢞꢪꢡ꣄ꢡꢶ,चिडमत्ति,சிட3மத்தி,chid'amatti,ciDamatti,ciḍamatti,t͡ʃɪɖəmət̪t̪ɪ,clay,களிமண்,,,,Earth-and-Related-Words,words
ꢗꢶꢔꢸꢜ꣄ꢜꢪ꣄ꢡꢡꢶ,चिगुट्टमत्ति,சிகு3ட்டமத்தி,chigut't'amtati,ciguTTamtati,ciguṭṭamtati,t͡ʃɪguʈʈəmt̪ət̪ɪ,clay,களிமண்,,,,Earth-and-Related-Words,words
ꢣꢵꢬꢸ,दारु,தா3ரு,daaru,dAru,dāru,d̪ɑːɾu,ore,கனிமம்,,,,Earth-and-Related-Words,words
ꢬꢵꢠ꣄,राण्,ராண்,raan,rAN,rāṇ,ɾɑːɳ,forest,காடு,,,,Earth-and-Related-Words,words
ꢮꢥꢪ꣄,वनम्,வனம்,vanam,vanam,vanam,ʋən̪əm,forest,காடு,,,,Earth-and-Related-Words,words
ꢪꢷꢜꢸ ꢡꢳꣁ,मीटु तळा॑,மீடு தளொ,meet'u tal'o',mITu taLO,mīṭu tal̤ŏ,miːʈu t̪əɭo,back-water,காயல்,,,,Earth-and-Related-Words,words
ꢒꣃꢭꣁ,कौला॑,கௌலொ,kaulo',kaulO,kaulŏ,kəulo,canal,கால்வாய்,,,,Earth-and-Related-Words,words
ꢮꢬꣁ,वरा॑,வரொ,varo',varO,varŏ,ʋəɾo,air,காற்று,,,,Earth-and-Related-Words,words
ꢕꢸꢦꣁ,घुपा॑,கு4பொ,ghupo',ghupO,ghupŏ,gʰupo,cave,குகை,,,,Earth-and-Related-Words,words
ꢱꣁꢬꣁ,स॑रा॑,ஸொரொ,so'ro',sOrO,sŏrŏ,s̪oɾo,pond,குட்டை,,,,Earth-and-Related-Words,words
ꢱꢸꢥ꣄ꢣꢸꢬꢸꢒꢸꢒ꣄ꢰꢶꢱꢸꢥ꣄ꢡꢸꢬꢲꢷꢦꢸ,सुन्दुरु कुक्षि,ஸுந்து3ரு குக்ஷி,sundurukukshisunturaheepu,sundurukukSisunturahIpu,sundurukukṣisunturahīpu,s̪un̪d̪uɾukukʂɪs̪un̪t̪uɾəɦiːpu,gulf,குடா,,,,Earth-and-Related-Words,words
ꢨꢸꢱꢸꢪ꣄ꢨꢸꢞ꣄ꢞꣁ,बुसुम्बुड्डा॑,பு3ஸும்பு3ட்3டொ3,busumbud'd'o',busumbuDDO,busumbuḍḍŏ,bus̪umbuɖɖo,bubble,குமிழி,,,,Earth-and-Related-Words,words
ꢓꣃꢬꢶ,खौरि,கௌ2ரி,khauri,khauri,khauri,kʰəuɾɪ,"pond, tank, pool",குளம்,,,,Earth-and-Related-Words,words
