sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢚꢸꢭ꣄,झुल्,ஜு2ல்,jhul,jhul,jhul,d͡ʒʰul,leech,அட்டை,,,,Creatures-and-Insects,words
ꢗꢶꢔ꣄ꢭꣁ,चिग्ला॑,சிக்3லொ,chiglo',ciglO,ciglŏ,t͡ʃɪglo,squirrel,அணில்,,,,Creatures-and-Insects,words
ꢱꢪ꣄ꢗꢳꢶ,सम्चळि,ஸம்சளி,samchal'i,samcaLi,samcal̤i,s̪əmt͡ʃəɭɪ,lacerta interpunctula lizard,அரணை,,,,Creatures-and-Insects,words
ꢱꢱꢬ꣄ꢦꢵꢛ꣄ꢚꢸꢭ꣄,ससर्पाञझुल्,ஸஸர்பாஞ் ஜு2ல்,sasarpaanjhul,sasarpAJjhul,sasarpāñjhul,s̪əs̪əɾpɑːɲd͡ʒʰul,centipede,ஆயிரங்கால் அட்டை,,,,Creatures-and-Insects,words
ꢔꣁꢬꢸ ꢒꢵꢥꢸꢪ꣄ ꢒꢶꢞꣁ,गा॑रुकनुमकिडा॑,கொ3ருகானும்கிடொ3,go'ru kaanum kid'o',gOru kAnum kiDO,gŏru kānum kiḍŏ,goɾu kɑːn̪um kɪɖo,round worm,இரைப்பூச்சி,,,,Creatures-and-Insects,words
ꢆꢱꢸ ꢆꢱꢵꢭꢾ,उसुउसाल॑,உஸுஉஸாலெ,usu usaale',usu usAlE,usu usālĕ,us̪u us̪ɑːle,winged white ant,ஈசல்,,,,Creatures-and-Insects,words
ꢚꢸꢬꢸ,झुरु,ஜு2ரு,jhuru,jhuru,jhuru,d͡ʒʰuɾu,"lick, dog flea",உண்ணி,,,,Creatures-and-Insects,words
ꢪꢸꢖ꣄ꢔꢶ,मुङगि,முங்கி3,mungi,muGgi,muṅgi,muŋgɪ,ant,எறும்பு,,,,Creatures-and-Insects,words
ꢲꢸꢥ꣄ꢣꢶꢬ꣄,हुन्दिर,ஹுந்தி3ர்,hundir,hundir,hundir,ɦun̪d̪ɪɾ,rat,எலி,,,,Creatures-and-Insects,words
ꢱꢬꢳ꣄,सरळ,ஸரள்,saral',saraL,saral̤,s̪əɾəɭ,"chameleon, garden lizard",ஓணான்,,,,Creatures-and-Insects,words
ꢗꢵꢜꣁ,साटा॑,சாடொ,chaat'o',cATO,cāṭŏ,t͡ʃɑːʈo,black ant,கட்டெறும்பு,,,,Creatures-and-Insects,words
ꢔꢥ꣄ꢤꣁꢭꢶ,गन्धा॑लि,க3ந்தொ4லி,gandho'li,gandhOli,gandhŏli,gən̪d̪ʰolɪ,wasp,கடந்தை,,,,Creatures-and-Insects,words
ꢔꢾꢥ꣄ꢤꢭ꣄,ग॑न्धल,கெ3ந்த4ல்,ge'ndhal,gEndhal,gĕndhal,gen̪d̪ʰəl,wasp,கடந்தை,,,,Creatures-and-Insects,words
