sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢤꢬ꣄ꢪ ꢦꢸꢱ꣄ꢡꢮ꣄,धर्म पुस्तव,த4ர்ம புஸ்தவ்,dharma pustav,dharma pustav,dharma pustav,d̪ʰəɾmə pus̪t̪əʋ,moral literature,அறநூல்,,,,Literature,words
ꢤꢬ꣄ꢪꣁ,धर्मा॑,த4ர்மொ,dharmo',dharmO,dharmŏ,d̪ʰəɾmo,moral,அறம்,,,,Literature,words
ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄,सुवत्तान,ஸுவத்தான்,suvattaan,suvattAn,suvattān,s̪uʋət̪t̪ɑːn̪,moral sayings,அறவுரைகள்,,,,Literature,words
ꢥꢷꢡꢶ ꢆꢒ꣄ꢡꢶꢥ꣄,नीति उक्तिन,நீதி உக்தின்,neeti uktin,nIti uktin,nīti uktin,n̪iːt̪ɪ ukt̪ɪn̪,moral sayings,அறவுரைகள்,,,,Literature,words
ꢗꣁꢒ꣄ ꢮꢵꢗꢸꢥ꣄,चा॑क्वाचुन,சொக்வாசுன்,cho'k vaachun,cOk vAcun,cŏk vācun,t͡ʃok ʋɑːt͡ʃun̪,moral sayings,அறவுரைகள்,,,,Literature,words
ꢤꢾꢬꢸꢪꢸ ꢮꢡ꣄ꢡꢵꢥ꣄,ध॑रुमु वत्तान,தெ4ருமு வத்தான்,dhe'rumu vattaan,dhErumu vattAn,dhĕrumu vattān,d̪ʰeɾumu ʋət̪t̪ɑːn̪,moral sayings,அறவுரைகள்,,,,Literature,words
ꢲꢶꢡ ꢮꢵꢗꢸꢥ꣄,हित वाचुन,ஹித வாசுன்,hita vaachun,hita vAcun,hita vācun,ɦɪt̪ə ʋɑːt͡ʃun̪,moral sayings,அறவுரைகள்,,,,Literature,words
ꢄꢡꢶꢲꢵꢱ꣄,इतिहास,இதிஹாஸ்,itihaas,itihAs,itihās,ɪt̪ɪɦɑːs̪,epic,இதிகாசம்,,,,Literature,words
ꢱꢛ꣄ꢗꢭꢥꣁ,सञ्चलना॑,ஸஞ்சலனொ,sanchalano',saJcalanO,sañcalanŏ,s̪əɲt͡ʃələn̪o,movement,இயக்கம்,,,,Literature,words
ꢱꢵꢲꢶꢡ꣄ꢫꢱꢵꢱ꣄ꢡꢬ꣄,साहिय सास्तर,ஸாஹித்ய ஸாஸ்தர்,saahityasaastar,sAhityasAstar,sāhityasāstar,s̪ɑːɦɪt̪jəs̪ɑːs̪t̪əɾ,literary theory,இலக்கியக் கொள்கை,,,,Literature,words
ꢂꢭꢖ꣄ꢒꢵꢬꢸ ꢱꢵꢱ꣄ꢡꢬ꣄,अलङ्कारु सास्तर,அலங்காரு ஸாஸ்தர்,alankaaru saastar,alaGkAru sAstar,alaṅkāru sāstar,ələŋkɑːɾu s̪ɑːs̪t̪əɾ,literary theory,இலக்கியக் கொள்கை,,,,Literature,words
ꢱꢵꢲꢶꢡ꣄ꢫꢸ,साहित्यु,ஸாஹித்யு,saahityu,sAhityu,sāhityu,s̪ɑːɦɪt̪ju,literature,இலக்கியம்,,,,Literature,words
ꢦ꣄ꢬꢾꢪꣁ,प्रेमा॑,ப்ரேமொ,pre'mo',prEmO,prĕmŏ,pɾemo,love,இன்பம்,,,,Literature,words
ꢱꢾꢬ ꢤꢪꢶꢥꢶ,स॑र धमिनि,ஸெரத4மினி,se'ra dhamini,sEra dhamini,sĕra dhamini,s̪eɾə d̪ʰəmɪn̪ɪ,elopement,உடன் போக்கு,,,,Literature,words
ꢱꢲ ꢦꢭꢵꢫꢥꣁ,सह पलायना॑,ஸஹபலாயனொ,saha palaayano',saha palAyanO,saha palāyanŏ,s̪əɦə pəlɑːjən̪o,elopement,உடன் போக்கு,,,,Literature,words
ꢱꢲ ꢔꢪꢥꣁ,सह गमना॑,ஸஹக3மனொ,saha gamano',saha gamanO,saha gamanŏ,s̪əɦə gəmən̪o,elopement,உடன் போக்கு,,,,Literature,words
ꢮ꣄ꢫꢵꢓ꣄ꢫꢵꢥ꣄,व्याख्यान,வ்யாக்2யான்,vyaakhyaan,vyAkhyAn,vyākhyān,ʋjɑːkʰjɑːn̪,commentary,உரை,,,,Literature,words
ꢮꢗꢥ ꢱꣀꢭꢶ,वचन सैलि,வசன ஸைலி,vachana saili,vacana saili,vacana saili,ʋət͡ʃən̪ə s̪əɪlɪ,prose style,உரை நடை,,,,Literature,words
ꢔꢣ꣄ꢫꣁ,गद्या॑,க3த்3யொ,gadyo',gadyO,gadyŏ,gəd̪jo,prose style,உரை நடை,,,,Literature,words
ꢡꢵꢞꢶꢦꢵꢥꢸꢥ꣄,ताडिपानुन,தாடி3பானுன்,taad'ipaanun,tADipAnun,tāḍipānun,t̪ɑːɖɪpɑːn̪un̪,palm leaf manuscript,ஏடுகள்,,,,Literature,words
ꢮꢶꢫꢵꢱ꣄,वियास,வியாஸ்,viyaas,viyAs,viyās,ʋɪjɑːs̪,essay,கட்டுரை,,,,Literature,words
ꢣꢾꢮꢸ ꢱ꣄ꢡꢶꢡꢶ,देवु स्तिति,தே3வுஸ்துதி,de'vu stiti,dEvu stiti,dĕvu stiti,d̪eʋu s̪t̪ɪt̪ɪ,invocation,கடவுள் வாழ்த்து,,,,Literature,words
ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢤꢸ ꢱꢣꢱ꣄,सिद्दान्धु सदस,ஸித்3தா3ந்து4 ஸத3ஸ்,siddaandhu sadas,siddAndhu sadas,siddāndhu sadas,s̪ɪd̪d̪ɑːn̪d̪ʰu s̪əd̪əs̪,seminar,கருத்தரங்கம்,,,,Literature,words
ꢒꢮꢶꢡꣁ,कवितो,கவிதொ,kavito',kavitO,kavitŏ,kəʋɪt̪o,poem,கவிதை,,,,Literature,words
ꢗꢖ꣄ꢔꢪ꣄,चङगम्,ஸங்க3ம்,changam,caGgam,caṅgam,t͡ʃəŋgəm,academy,கழகம்,,,,Literature,words
ꢪꢠ꣄ꢞꢭ꣄,मण्डल,மண்ட3ல்,mand'al,maNDal,maṇḍal,məɳɖəl,academy,கழகம்,,,,Literature,words
ꢦ꣄ꢬꢾꢮꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,प्रेवु जिव्नम,ப்ரேவு ஜிவ்னம்,pre'vu jivnam,prEvu jivnam,prĕvu jivnam,pɾeʋu d͡ʒɪʋn̪əm,love life,களவு வாழ்க்கை,,,,Literature,words
ꢤꢾꢬꢸꢪꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,धेरुमु जिव्नम,தெ4ருமு ஜிவ்னம்,dhe'rumu jivnam,dhErumu jivnam,dhĕrumu jivnam,d̪ʰeɾumu d͡ʒɪʋn̪əm,chaste life,கற்பு வாழ்க்கை,,,,Literature,words
ꢂꢤ꣄ꢫꢵꢫꢸ,अध्यायु,அத்4யாயு,adhyaayu,adhyAyu,adhyāyu,əd̪ʰjɑːju,section,காதை,,,,Literature,words
ꢱꢬ꣄ꢔꢸ,सर्गु,ஸர்கு3,sargu,sargu,sargu,s̪əɾgu,section,காதை,,,,Literature,words
ꢪꢲꢵꢒꢵꢮ꣄ꢫꢸ,महाकाव्यु,மஹாகாவ்யு,mahaakaavyu,mahAkAvyu,mahākāvyu,məɦɑːkɑːʋju,epic,காப்பியம்,,,,Literature,words
ꢦꢶꢬꢵꢪꣁ,पिरामा॑,பிராமொ,piraamo',pirAmO,pirāmŏ,pɪɾɑːmo,love,காமம்,,,,Literature,words
ꢄꢗ꣄ꢗꣁ,इच्चा॑,இச்சொ,ichcho',iccO,iccŏ,ɪt͡ʃt͡ʃo,love,காமம்,,,,Literature,words
ꢃꢱ꣄ꢡꣁ,आस्ता॑,ஆஸ்தொ,aasto',AstO,āstŏ,ɑːs̪t̪o,love,காமம்,,,,Literature,words
ꢦꢬꢷꢡꢶ,पिरीति,பிரீதி,pareeti,parIti,parīti,pəɾiːt̪ɪ,love,காமம்,,,,Literature,words
ꢒꢵꢪꣁ,कामा॑,காமொ,kaamo',kAmO,kāmŏ,kɑːmo,love,காமம்,,,,Literature,words
ꢦꣁꢮꢱꢸ ꢒꢵꢭ꣄,पा॑व्सु काल,பொவ்ஸு கால்,po'vasu kaal,pOvasu kAl,pŏvasu kāl,poʋəs̪u kɑːl,rainy season,கார்காலம்,,,,Literature,words
ꢍꢱꢸ ꢮꢵꢜ꣄,एसुवाट्,ஏஸு வாட்,esu vaat',esu vAT,esu vāṭ,eːs̪u ʋɑːʈ,Christianity,கிருஸ்த்துவம்,,,,Literature,words
ꢥꢵꢫꢒꢶ,नायकि,நாயகி,naayaki,nAyaki,nāyaki,n̪ɑːjəkɪ,heroine,கிழத்தி,,,,Literature,words
ꢥꢵꢫꢒꣁ,नायका॑,நாயகொ,naayako',nAyakO,nāyakŏ,n̪ɑːjəko,"leader, hero",கிழவன்,,,,Literature,words
ꢱꢶꢱꢸꢱꢵꢄꢡ꣄ꢫꢸ,सिसुसाहित्यु,ஸிஸுஸாஹித்யு,sisusaaityu,sisusAityu,sisusāityu,s̪ɪs̪us̪ɑːɪt̪ju,children literature,குழந்தை இலக்கியம்,,,,Literature,words
ꢦꣁꢱ꣄ꢪꢾ,पा॑स्म॑,பொஸ்மெ,po'sme',pOsmE,pŏsmĕ,pos̪me,foretelling,குறி,,,,Literature,words
ꢲꢾꢱ꣄ꢫꢪ꣄,हेस्यम,ஹேஸ்யம்,he'syam,hEsyam,hĕsyam,ɦes̪jəm,foretelling,குறி,,,,Literature,words
ꢥꢵꢗꢸꢮꢵꢥ꣄,नाचुवान,நாசுவான்,naachuvaan,nAcuvAn,nācuvān,n̪ɑːt͡ʃuʋɑːn̪,dancers,கூத்தர்,,,,Literature,words
ꢱꢶꢳ꣄ꢳꢵ ꢒꢵꢭ꣄,सिळ्ळा काल,ஸிள்ளாகால்,sil'l'aa kaal,siLLA kAl,sil̤l̤ā kāl,s̪ɪɭɭɑː kɑːl,winter season,கூதிர்காலம்,,,,Literature,words
ꢲꢶꢪꢳꣁ,हिमळा॑,ஹிமளொ,himal'o',himaLO,himal̤ŏ,ɦɪməɭo,winter season,கூதிர்காலம்,,,,Literature,words
ꢲꢶꢪꢸꢱꢸ ꢒꢵꢭ꣄,हिमुसु काल,ஹிமுஸுகால்,himusu kaal,himusu kAl,himusu kāl,ɦɪmus̪u kɑːl,winter season,கூதிர்காலம்,,,,Literature,words
ꢣꢵꢥ꣄,दान,தா3ன்,daan,dAn,dān,d̪ɑːn̪,philantrophy,கொடை,,,,Literature,words
ꢱꢪꢱ꣄ꢢꢵꢥ꣄,समस्थान्,ஸம்ஸ்தா2ன்,samasthaan,samasthAn,samasthān,s̪əməs̪t̪ʰɑːn̪,academy,சங்கம்,,,,Literature,words
ꢱꢪ꣄ꢒ꣄ꢯꢾꢦ꣄,सम्क्षेप,ஸம்க்ஷேப்,samkshe'p,samkzEp,samkśĕp,s̪əmkʃep,summary,சுருக்கம்,,,,Literature,words
ꢡꢵꢣꢶ,ताडि,தாடி3,taadi,tAdi,tādi,t̪ɑːd̪ɪ,palm leaf manuscript,ஓலை சுவடி,,,,Literature,words
ꢡꢵꢜꢶ - ꢦꢵꢥꢸ ꢭꢶꢓꢾꢫꣁ,ताटि - पानुम् लिख॑या॑,தாடி - பானும் லிகெ2யொ,taat'i - paanu likhe'yo',tATi - pAnu likhEyO,tāṭi - pānu likhĕyŏ,t̪ɑːʈɪ - pɑːn̪u lɪkʰejo,palm leaf manuscript,ஓலை சுவடி,,,,Literature,words
ꢦꢣ꣄ꢫꣁ,पद्या॑,பத்3யொ,padyo',padyO,padyŏ,pəd̪jo,poetry,செய்யுள்,,,,Literature,words
ꢒꢮꢶꢡꢵ ꢬꢷꢡꢶ,कविता रीति,கவிதா ரீதி,kavitaa reeti,kavitA rIti,kavitā rīti,kəʋɪt̪ɑː ɾiːt̪ɪ,poetry style,செய்யுள் நடை,,,,Literature,words
ꢯꣀꢮꣁ,शैवा॑,ஸைவொ,shaivo',zaivO,śaivŏ,ʃəɪʋo,saivism,சைவம்,,,,Literature,words
ꢯꢶꢮ ꢪꢵꢬ꣄ꢔꢸ,शिवमार्गु,ஶிவமார்கு3,shiva maargu,ziva mArgu,śiva mārgu,ʃɪʋə mɑːɾgu,saivism,சைவம்,,,,Literature,words
