sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢒꢬꢵꢡꢶ,अकराति,அகராதி,akaraati,akarAti,akarāti,əkəɾɑːt̪ɪ,dictionary,அகரமுதலி / அகராதி,,,,Education,words
ꢥꢶꢒꢠ꣄ꢜꢸ,निकण्टु,நிகண்டு,nikant'u,nikaNTu,nikaṇṭu,n̪ɪkəɳʈu,dictionary,அகரமுதலி / அகராதி,,,,Education,words
ꢒꣂꢰ꣄,कोष,கோஷ்,kosh,koS,koṣ,koːʂ,dictionary,அகரமுதலி / அகராதி,,,,Education,words
ꢂꢤ꣄ꢫꢵꢫ꣄,अध्याय,அத்4யாய்,adhyaay,adhyAy,adhyāy,əd̪ʰjɑːj,chapter,அத்தியாயம்,,,,Education,words
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,विदेशु भाषा॑,விதே3ஶு பா4ஷொ,videshu bhaasho',videzu bhASO,videśu bhāṣŏ,ʋɪd̪eːʃu bʰɑːʂo,foreign language,அயல்மொழி,,,,Education,words
ꢬꢵꢙꢥꢷꢡꢶ,राजनीति,ராஜநீதி,raajaneeti,rAjanIti,rājanīti,ɾɑːd͡ʒən̪iːt̪ɪ,politics,அரசியல்,,,,Education,words
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,राजनीति सास्त्रु,ராஜநீதி ஸாஸ்த்ரு,raajaneeti saastru,rAjanIti sAstru,rājanīti sāstru,ɾɑːd͡ʒən̪iːt̪ɪ s̪ɑːs̪t̪ɾu,political science,அரசியலியல்,,,,Education,words
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,राजनीति ञान्,ராஜநீதி ஞான்,raajaneeti nyaan,rAjanIti JAn,rājanīti ñān,ɾɑːd͡ʒən̪iːt̪ɪ ɲɑːn̪,political science,அரசியலியல்,,,,Education,words
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,कार्यलया॑,கார்யாலயொ,kaaryaalayo',kAryAlayO,kāryālayŏ,kɑːɾjɑːləjo,office,அலுவலகம்,,,,Education,words
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,सदुष्टम्,ஸது3ஷ்டம்,sadusht'am,saduSTam,saduṣṭam,s̪əd̪uʂʈəm,clue,அறிகுறி,,,,Education,words
ꢱꢾꢔꢸꢠ,स॑गुन,ஸெகு3ன்,se'guna,sEguNa,sĕguṇa,s̪eguɳə,clue,அறிகுறி,,,,Education,words
꣄ ꢱꢹꢱꢥꣁ,सूचना॑,ஸூசனொ,soosano',sUsanO,sūsanŏ,s̪uːs̪ən̪o,clue,அறிகுறி,,,,Education,words
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,विगञान्,விக்3ஞான்,vignjaan,vigJAn,vigñān,ʋɪgɲɑːn̪,science,அறிவியல்,,,,Education,words
ꢮꢣ꣄ꢣꢶ,वद्दि,வத்3தி3,vaddi,vaddi,vaddi,ʋəd̪d̪ɪ,teacher,ஆசிரியர்,,,,Education,words
ꢏꢣ꣄ꢣꢶ,आ॑द्दि,ஒத்3தி3,o'ddi,Oddi,ŏddi,od̪d̪ɪ,teacher,ஆசிரியர்,,,,Education,words
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,आ॑र्सुपरिक्षो,ஒர்ஸுபரிக்ஷொ,o'rsuparishe',OrsupariSE,ŏrsupariṣĕ,oɾs̪upəɾɪʂe,annual examination,ஆண்டுத் தேர்வு,,,,Education,words
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,वार्षिक परिक्षो,வார்ஷிக பரிக்ஷொ,vaarshika pariksho',vArzika parikSO,vārśika parikṣŏ,ʋɑːɾʃɪkə pəɾɪkʂo,annual examination,ஆண்டுத் தேர்வு,,,,Education,words
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,आ॑र्सुवैभव्,ஒர்ஸுவைப4வ்,o'rsuvaibhav,Orsuvaibhav,ŏrsuvaibhav,oɾs̪uʋəɪbʰəʋ,annual function,ஆண்டு விழா,,,,Education,words
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,सम्सोधना॑,ஸம்ஸோத4னொ,samsodhano',samsodhanO,samsodhanŏ,s̪əms̪oːd̪ʰən̪o,research,ஆய்வு,,,,Education,words
ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ,सम्सोधनसाला॑,ஸம்ஸோத4னஸாலொ,samsodhanasaalo',samsodhanasAlO,samsodhanasālŏ,s̪əms̪oːd̪ʰən̪əs̪ɑːlo,research laboratory,ஆய்வுக் கூடம்,,,,Education,words
ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ,सम्सोधनापा॑ति,ஸம்ஸோத4னாபொதி,samsodhanaapo'ti,samsodhanApOti,samsodhanāpŏti,s̪əms̪oːd̪ʰən̪ɑːpot̪ɪ,thesis,ஆய்வுநூல்,,,,Education,words
ꢱꢪ꣄ꢱꣂꢤꢥꢵ,सम्सोधना,ஸம்ஸோத4னா,samsodhanaa,samsodhanA,samsodhanā,s̪əms̪oːd̪ʰən̪ɑː,research scholar,ஆய்வு மாணவர்,,,,Education,words
ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄,व्यक्तिभाव्,வ்யக்திபா4வ்,vyaktibhaav,vyaktibhAv,vyaktibhāv,ʋjəkt̪ɪbʰɑːʋ,personality,ஆளுமை,,,,Education,words
ꢱ꣄ꢮꢩꢵꢮ꣄,स्वभाव्,ஸ்வபா4வ்,svabhaav,svabhAv,svabhāv,s̪ʋəbʰɑːʋ,personality,ஆளுமை,,,,Education,words
ꢱꢪꢡ꣄ꢡꢸ,समत्तु,ஸமத்து,samattu,samattu,samattu,s̪əmət̪t̪u,skill,ஆற்றல்/ திறன்,,,,Education,words
ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ,निपुणत्वा॑,நிபுணத்வொ,nipunatvo',nipuNatvO,nipuṇatvŏ,n̪ɪpuɳət̪ʋo,skill,ஆற்றல்/ திறன்,,,,Education,words
ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ,सङकीतकलासाला॑,ஸங்கீ3தகலாஸாலொ,sankeeta kansaalo',saGkIta kaNsAlO,saṅkīta kaṇsālŏ,s̪əŋkiːt̪ə kəɳs̪ɑːlo,music college,இசைக்கல்லூரி,,,,Education,words
ꢦ꣄ꢬꢒꢺꢡꢶ,प्रकृति,ப்ரகிருதி,prakri'ti,prakRti,prakṛti,pɾəkɾɨt̪ɪ,nature,இயற்கை,,,,Education,words
