sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ரோக்3,rOg,,,,Disease,நோய்,ரோக்3 ந்ஹாத்த ஜித்ரவுஸ் ம்ஹொட்டொ ஸம்பத்து,A disease-free life is great wealth,நோயற்ற வாழ்வே பெரிய செல்வம்,disease,corpus_sourashtradictionary
,,ரோக்3கெரி,rOgkeri,,,,Patient,நோயாளி,ரோக்3கெரி அகா3ரும் திக்கெ செர்ச்ச ஹோனா,Do not add chilli to the patient's diet,நோயாளியின் உணவில் காரத்தைச் சேர்க்கக் கூடாது,disease,corpus_sourashtradictionary
,,ஆரோக்3யம்,aarOgyam,,,,"Health, Hygiene","உடல் நலம், சுகாதாரம்",ஸொளொபா2ரும் சலத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,Walking in the morning is good for health,காலையில் நடைபயிற்சி செய்வது உடல் நலத்திற்கு நல்லது,disease,corpus_sourashtradictionary
,,ஸௌர்யம்,sauryam,,,,"Fine, Good, Well",நலம்,மீ ஸௌர்யம்கன் ஸே,I am fine,நான் நலமாக இருக்கிறேன்,disease,corpus_sourashtradictionary
,,ஆங்கு3 ஸௌர்யம்,aanggu sauryam,,,,Health,உடல் நலம்,பா3 ஆங்கு3 ஸௌர்யம் கோனக் ஸே?,How is Dad's health?,அப்பாவின் உடல் நலம் எப்படி உள்ளது?,disease,corpus_sourashtradictionary
,,ஸௌர்யம் உன்னொ,sauryam unno,,,,"Ill health, Not well, Unwell",உடல்நலக் குறைவு,ஸௌர்யம் உன்னொஹால் தெனு கலம் ஹொய்யா,He passed away due to ill health,உடல்நலக்குறைவு காரணமாக அவர் காலமானார்,disease,corpus_sourashtradictionary
,,ஸௌர்யம் ந்ஹாத்தக்,sauryam nhaattak,,,,"Sick, Ill, Not well, Unwell",உடல்நலம் சரியில்லாமல்,தெனு ரொவ்வொதி3 தொகன் ஸௌர்யம் ந்ஹாத்தக் ஸே,He has been unwell for some time,அவர் சில காலமாக உடல்நலம் சரியில்லாமல் இருக்கிறார்,disease,corpus_sourashtradictionary
,,சிகித்ஸொ,cikitso,,,,Treatment,சிகிச்சை,தெனு ஸோ ம்ஹடொ3 தொகன் கர்கரோக்3 சிகித்ஸாம் ஸேத்தெ,He has been on cancer treatment for the past six months,அவர் கடந்த ஆறு மாதங்களாக புற்றுநோய் சிகிச்சையில் உள்ளார்,disease,corpus_sourashtradictionary
,,அய்து3சிகித்ஸொ,ayducikitso,,,,"Surgery, Operation",அறுவை சிகிச்சை,தெங்கொ3 கு3ண்டென் து3ன்னொ அவி அய்து3சிகித்ஸொ கெர்னொ பொள்டி3யொ,He had a heart attack and had to undergo surgery,அவருக்கு மாரடைப்பு ஏற்பட்டு அறுவை சிகிச்சை செய்ய வேண்டியதாயிற்று,disease,corpus_sourashtradictionary
,,ரூபு சிகித்ஸொ,roopu cikitso,,,,Plastic surgery,நெகிழி அறுவை சிகிச்சை,ரூபு சிகித்ஸொ வாட் தெனொ நாகு ரூபுக் மர்ச்சிலிஸ்,She changed the shape of her nose with plastic surgery,நெகிழி அறுவை சிகிச்சை மூலம் தன் மூக்கின் வடிவத்தை மாற்றினாள்,disease,corpus_sourashtradictionary
,,பத்2யம்,pathyam,,,,"Diet, Diet Regimen",பத்தியம்,"பத்2யம் மெந்தொ ரோக்3கெரின் க2ன ஹோரியொ, கா2 ஹோனா அகா3ரு",Diet means the foods that patients can and should not eat,பத்தியம் என்பது நோயாளிகள் சாப்பிடக்கூடிய மற்றும் சாப்பிடக்கூடாத உணவுகள்,disease,corpus_sourashtradictionary
,,ஹொகத்,hokat,,,,"Medicine, Drug",மருந்து,அவ்ரெ ஸம்ஸ்க்ருதிம் அகாருஸ் ஹொகத்கன் ஸே,Food itself is medicine in our culture,நம்முடைய கலாசாரத்தில் உணவே மருந்தாக உள்ளது,disease,corpus_sourashtradictionary
,,கொ3ளி,goLi,,,,"Tablet, Pill",மாத்திரை,எல்லெ கொ3ளி பா4த் க2யெ ப2ராது க2னொ,This pill should be taken after food,இந்த மாத்திரை சாப்பாடு சாப்பிட்ட பின் எடுக்க வேண்டும்,disease,corpus_sourashtradictionary
,,து3னொ,duno,,,,"Pain, Ache",வலி,வேன் காம் ஆங்கு3 து3னொ கெரயி,Excessive work can cause physical pain,அதிக வேலை உடல் வலியை ஏற்படுத்தும்,disease,corpus_sourashtradictionary
,,து3க்கனி,dukkani,,,,"Pain, Ache",வலி,தொகொ3 மெனி அவத்தவேள் காய் து3க்கனி து3க்காஸ்?,"How does it ache, when it comes to you?",உனக்கென்று வரும்போது என்ன வலி வலிக்கிறது?,disease,corpus_sourashtradictionary
,,து3க்னொ,dukno,,,,"Pain, Ache",வலி,தொஸ்கா து3க்னொ பூரா தி3ன்னுக் நஸடை3,Headache spoils the whole day,தலைவலி முழு நாளையும் கெடுக்கும்,disease,corpus_sourashtradictionary
,,து3வுனொ,duvuno,,,,"Pain, Ache",வலி,தா3த் து3வுனாக் தக்ஷணம் சிகித்ஸொ க2ல்லுனொ,You should take treatment for Toothache immediately,பல்வலிக்கு உடனடியாக சிகிச்சை எடுக்க வேண்டும்,disease,corpus_sourashtradictionary
,,து3ன்னொ,dunno,,,,"Pain, Ache",வலி,போட் து3ன்னொ ஹால் மீ அவ்காஸும் ஸேத்தெ,I am on leave due to abdominal pain,வயிற்று வலி காரணமாக நான் விடுமுறையில் இருக்கிறேன்,disease,corpus_sourashtradictionary
,,உஷ்ணு,ushNu,,,,Heat,சூடு,பொள்ளாம்போ3 போடு உஷ்ணுக் வேன் கெரயி,Mango increases stomach heat,மாம்பழம் வயிற்றுச் சூட்டை அதிகரிக்கும்,disease,corpus_sourashtradictionary
,,ஊஷ்டு,uushTu,,,,Burning Stomach,வயிற்றுச் சூடு,தெ4ய்ஞ்பனி ஊஷ்டுக் உன்ன கெரயி,Buttermilk reduces stomach heat,மோர் வயிற்றுச் சூட்டை குறைக்கும்,disease,corpus_sourashtradictionary
,,போட்து3ன்னொ,pOTdunno,,,,Stomachache,வயிற்றுவலி,பொ2ன்னிஸு பொள்ளொ ஜு2க்கு க2யெத் போட்து3ன்னொ அவயி,Eating too much Jackfruit can cause stomach pain,பலாப்பழத்தை அதிகம் சாப்பிட்டால் வயிற்று வலி ஏற்படும்,disease,corpus_sourashtradictionary
