sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢬꢵꢠꢸ ꢒꣃꢭꣁ,रानुकौला॑,ராணுகௌளொ,raanu kaulo',rANu kaulO,rāṇu kaulŏ,ɾɑːɳu kəulo,raven,அண்டங்காக்கா,,,,Birds,words
ꢗꢛ꣄ꢗꢸ,चञचु,சஞ்சு,chanchu,caJcu,cañcu,t͡ʃəɲt͡ʃu,beak,அலகு,,,,Birds,words
ꢪꢸꢱ꣄ꢒꢶꢳꢶ,मुस्किळि,முஸ்கிளி,muskil'i,muskiLi,muskil̤i,mus̪kɪɭɪ,beak,அலகு,,,,Birds,words
ꢂꢪ꣄ꢱꣁ,हम्सा॑,ஹம்ஸொ,amso',amsO,amsŏ,əms̪o,swan,அன்னம்,,,,Birds,words
ꢕꢸꢔꢸ,घुगु,கூ4கு3,ghugu,ghugu,ghugu,gʰugu,owl,ஆந்தை,,,,Birds,words
ꢆꢭꢸ,उलु,உலு,ulu,ulu,ulu,ulu,owl,ஆந்தை,,,,Birds,words
ꢦꢶꢖ꣄ꢔꢸ,पिङ्गु,பிங்கு,pingu,piGgu,piṅgu,pɪŋgu,feather,இறகு,,,,Birds,words
ꢦꢷꢦ꣄,पीप्,பீப்,peep,pIp,pīp,piːp,feather,இறகு,,,,Birds,words
ꢦꢒ꣄ꢰꢶ ꢔꢹ,पक्षि गू,பக்ஷி கூ3,pakshi goo,pakSi gU,pakṣi gū,pəkʂɪ guː,bird’sdropping,எச்சம்,,,,Birds,words
ꢬꢙꢒꣃꢭꣁ,रजकौला॑,ரஜகௌளொ,rajakaulo',rajakaulO,rajakaulŏ,ɾəd͡ʒəkəulo,king crow,கரிச்சான்,,,,Birds,words
ꢔꣃꢬꢶ,गौरि,கௌ3ரி,gauri,gauri,gauri,gəuɾɪ,partidge,கவுதாரி,,,,Birds,words
ꢣꢶꢰ꣄ꢳꣁ,दिष्ळा॑,தி3ஷ்ளொ,dishl'o',diSLO,diṣl̤ŏ,d̪ɪʂɭo,eagle,கழுகு,,,,Birds,words
ꢒꣃꢭꣁ,कौला॑,கௌளொ,kaulo',kaulO,kaulŏ,kəulo,crow,காக்கா,,,,Birds,words
ꢬꢪꣁ,रमा॑,ரமொ,ramo',ramO,ramŏ,ɾəmo,parrot,கிளி / தத்தை,,,,Birds,words
ꢒꣁꢒꢶꢭ꣄,का॑किल्,கொகில்,ko'kil,kOkil,kŏkil,kokɪl,cuckoo,குயில்,,,,Birds,words
ꢗꢶꢞꢶ,चिडि,சிடி3,chid'i,ciDi,ciḍi,t͡ʃɪɖɪ,sparrow,குருவி,,,,Birds,words
ꢤꢔꣁ,धगा॑,கூ2கொ3,dhago',dhagO,dhagŏ,d̪ʰəgo,owl,கூகை/ஆந்தை,,,,Birds,words
ꢦꢛ꣄ꢙꢶꢬꢶ꣄,पन्जिरि,பஞ்ஜிரி,panjiri,paJjiri,pañjiri,pəɲd͡ʒɪɾɪ,nest,கூடு,,,,Birds,words
ꢥꢷꢞꣁ,नीडा॑,நீடொ3,need'o',nIDO,nīḍŏ,n̪iːɖo,nest,கூடு,,,,Birds,words
ꢮꢔꣁ,वगा॑,வகொ3,vago',vagO,vagŏ,ʋəgo,crane,கொக்கு,,,,Birds,words
ꢄꢭꢶ,हिलि,ஹிளி,ili,ili,ili,ɪlɪ,crest of cock,கொண்டை,,,,Birds,words
ꢘꢸꢭꢶ,छुलि,சு2ளி,chhuli,chuli,chuli,t͡ʃʰulɪ,crest of cock,கொண்டை,,,,Birds,words
ꢒꢸꢒꢸꢞꢶ,कुकुडि,குகுடி3,kukud'i,kukuDi,kukuḍi,kukuɖɪ,hen,கோழி,,,,Birds,words
ꢒꢸꢞꢶ,कुडि,குடி3,kud'i,kuDi,kuḍi,kuɖɪ,hen,கோழி,,,,Birds,words
ꢒꢸꢒꢸꢞꢶꢦꢶꢭ꣄ꢭꣁ,कुकुडिपिल्ला॑,குகுடி3பில்லொ,kukud'ipillo',kukuDipillO,kukuḍipillŏ,kukuɖɪpɪllo,chicken,கோழிக் குஞ்சு,,,,Birds,words
ꢦꢶꢖ꣄ꢒꢸꢞꣁ,पिङकुडा॑,பிங்குடொ3,pinkud'o',piGkuDO,piṅkuḍŏ,pɪŋkuɖo,wing,சிறகு /இறக்கை,,,,Birds,words
ꢒꢸꢒꢸꢞꣁ,कुकुडा॑,குகுடொ3,kukud'o',kukuDO,kukuḍŏ,kukuɖo,cock,சேவல்,,,,Birds,words
ꢒꢸꢞꣁ,कुडा॑,குடொ3,kud'o',kuDO,kuḍŏ,kuɖo,cock,சேவல்,,,,Birds,words
ꢃꢞꢶ,आडि,ஆடி3,aad'i,ADi,āḍi,ɑːɖɪ,duck,வாத்து,,,,Birds,words
ꢨꢣꢸꢭꣁ,बदुला॑,ப3து3லொ,badulo',badulO,badulŏ,bəd̪ulo,duck,வாத்து,,,,Birds,words
ꢮꢶꢱ꣄ꢡꢮ꣄ ꢒꢸꢞꢶ,विस्तव्कुडि,விஸ்தவ்குடி3,vistav kud'i,vistav kuDi,vistav kuḍi,ʋɪs̪t̪əʋ kuɖɪ,ostrich,தீக்கோழி,,,,Birds,words
ꢦꢶꢛ꣄ꢘꢾ,पिञछे,பிஞ்செ2,pinchhe',piJchE,piñchĕ,pɪɲt͡ʃʰe,Plume of peacock,தோகை,,,,Birds,words
ꢪꢸꢡꢭꣁ,मुतला॑,முதளொ,mutalo',mutalO,mutalŏ,mut̪əlo,Plume of peacock,தோகை,,,,Birds,words
ꢦꢖ꣄ꢓꢸ,पङ्खु,பங்கு2,pankhu,paGkhu,paṅkhu,pəŋkʰu,Plume of peacock,தோகை,,,,Birds,words
