sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,கா2ள்,khaaL,,,,"Game, Sports, Play",விளையாட்டு,,,,sports,corpus_sourashtradictionary
,,க2ளத்தெனொ,khaLatteno,,,,Player,விளையாடுபவர்,,,,sports,corpus_sourashtradictionary
,,கெ2ளாடு3,kheLaaDu,,,,Sportsman,விளையாட்டு வீரர்,,,,sports,corpus_sourashtradictionary
,,கி3ரிடு3,giriDu,,,,Sportsman,விளையாட்டு வீரர்,,,,sports,corpus_sourashtradictionary
,,கே2ளு பூய்ஞ்,khELu pooynj,,,,"Playground, Stadium","திடல், மைதானம், விளையாட்டு அரங்கம்",,,,sports,corpus_sourashtradictionary
,,பொயல்,poyal,,,,Ground,"திடல், மைதானம்",,,,sports,corpus_sourashtradictionary
,,பன்து மைதா3ன்,pantu maidaan,,,,Race course,பந்தய மைதானம்,,,,sports,corpus_sourashtradictionary
,,பன்து,pantu,,,,"Competition, Contest, Race, Match",போட்டி,,,,sports,corpus_sourashtradictionary
,,த4மினி கி3ரிடு3,dhamini giriDu,,,,"Athlete, Sprinter, Runner","தடகள வீரர், ஓட்டப்பந்தய வீரர்",,,,sports,corpus_sourashtradictionary
,,த4மினி பன்து,dhamini pantu,,,,Running race,ஓட்டப்பந்தயம்,,,,sports,corpus_sourashtradictionary
,,உஞ்சொ தரத்தெ,unjco taratte,,,,High jump,உயரம் தாண்டுதல்,,,,sports,corpus_sourashtradictionary
,,லம்பொ3 தரத்தெ,lambo taratte,,,,Long jump,நீளம் தாண்டுதல்,,,,sports,corpus_sourashtradictionary
,,ஶூல் விஸிர்னி,ssool visirni,,,,Javelin throw,ஈட்டி எறிதல்,,,,sports,corpus_sourashtradictionary
,,செக்குர் விஸிர்னி,cekkur visirni,,,,Discus throw,வட்டு எறிதல்,,,,sports,corpus_sourashtradictionary
,,திர்னி பன்து,tirni pantu,,,,Swimming Competion,நீச்சல் போட்டி,,,,sports,corpus_sourashtradictionary
,,மல்லயுத்3தொ4,mallayuddho,,,,Wrestling,மல்யுத்தம்,,,,sports,corpus_sourashtradictionary
,,முஷ்டியுத்3தொ4,mushTiyuddho,,,,Boxsing,குத்துச்சண்டை,,,,sports,corpus_sourashtradictionary
,,செண்டு3,ceNDu,,,,Ball,பந்து,,,,sports,corpus_sourashtradictionary
,,பாய்ஞ்செண்டு3,paaynjceNDu,,,,Football,கால்பந்து,,,,sports,corpus_sourashtradictionary
,,ஹாதுசெண்டு3,haatuceNDu,,,,Volleyball,கைப்பந்து,,,,sports,corpus_sourashtradictionary
,,புட்3கிசெண்டு3,puDkiceNDu,,,,Basketball,கூடைப்பந்து,,,,sports,corpus_sourashtradictionary
