sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢂꢞ꣄ꢔꢾꢭ꣄,अड्ग॑ल,அட்3கெ3ல்,ad'ge'l,aDgEl,aḍgĕl,əɖgel,cholker,அட்டியல்,,,,Dress-and-Ornaments,words
ꢒꢾꢣꢸꢬꣁ,क॑दुरा॑,கெது3ரொ,ke'duro',kEdurO,kĕdurŏ,ked̪uɾo,"hip ornament a close neck ornament,",அரைஞாண்,,,,Dress-and-Ornaments,words
ꢮꢱ꣄ꢡꢬ꣄,वस्तर्,வஸ்தர்,vastar,vastar,vastar,ʋəs̪t̪əɾ,dress,ஆடை,,,,Dress-and-Ornaments,words
ꢩꢹꢰꢸ,भूसू,பூ4ஷு,bhooshu,bhUSu,bhūṣu,bʰuːʂu,ornament,ஆபரணம்,,,,Dress-and-Ornaments,words
ꢱꣁꢪ꣄ꢪꢸ,सा॑म्मु,ஸொம்மு,so'mmu,sOmmu,sŏmmu,s̪ommu,ornament,ஆபரணம்,,,,Dress-and-Ornaments,words
ꢗꣁꢮ꣄ꢭꢶ,चा॑व्लि,சொவ்ளி,cho'vli,cOvli,cŏvli,t͡ʃoʋlɪ,blouse,இரவிக்கை,,,,Dress-and-Ornaments,words
ꢧꢾꢭꢸ,फेलु,பே2லு,phe'lu,phElu,phĕlu,pʰelu,shirt,உடுப்பு,,,,Dress-and-Ornaments,words
ꢩꣁꢠ꣄ꢠꢪ꣄,भा॑ण्ण्म,பொ4ண்ணம்,bho'nnam,bhONNam,bhŏṇṇam,bʰoɳɳəm,ornament,உருப்படி,,,,Dress-and-Ornaments,words
ꢂꢥ꣄ꢡꢬ꣄ꢮꢵꢱ꣄,अन्तर्वास्,அந்தர்வாஸ்,antarvaas,antarvAs,antarvās,ən̪t̪əɾʋɑːs̪,inner garment,உள்ளாடை,,,,Dress-and-Ornaments,words
ꢏꢞ꣄ꢞꢶꢫꢠꢪ꣄,आ॑ड्डियणम्,ஒட்3டி3யணம்,o'd'd'iyanam,ODDiyaNam,ŏḍḍiyaṇam,oɖɖɪjəɳəm,waist ornament,ஒட்டியாணம்,,,,Dress-and-Ornaments,words
ꢂꢞꢸꢗꣁꢮ꣄ꢭꢶ,अडुचा॑व्लि,அடு3சொவ்ளி,ad'ucho'vli,aDucOvli,aḍucŏvli,əɖut͡ʃoʋlɪ,bra,கச்சை,,,,Dress-and-Ornaments,words
ꢣꣁꢠꣁ,दा॑णा॑,தொ3ணொ,do'no',dONO,dŏṇŏ,d̪oɳo,spectacles /mirror,கண்ணாடி,,,,Dress-and-Ornaments,words
ꢘꢵꢱ꣄ꢪꣁ,छास्मा॑,சா2ஸ்மொ,chhaasmo',chAsmO,chāsmŏ,t͡ʃʰɑːs̪mo,spectacles /mirror,கண்ணாடி,,,,Dress-and-Ornaments,words
ꢓꢵꢡꢶ,खाति,கா2தி,khaati,khAti,khāti,kʰɑːt̪ɪ,khadi,கதர்,,,,Dress-and-Ornaments,words
ꢡꣃꢠꢞ꣄,तौणट,தௌணட்,taunad',tauNaD,tauṇaḍ,t̪əuɳəɖ,ear studs,கம்மல்,,,,Dress-and-Ornaments,words
