sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,ஜீவுன்,jeevun,,,,"Living being, Organism",உயிரினம்,"வரொ, பனி வினா கொன்னி ஜீவுன் ஜிவத்தக் முஸுனா",No living being can survive without air and water,"காற்று, தண்ணீர் இல்லாமல் எந்த உயிரினமும் வாழ முடியாது",animal,corpus_sourashtradictionary
,,தூ3த்தெ3னி ஜீவுன்,dootdeni jeevun,,,,Mammal,பாலூட்டி,திமிங்கி3லம் வேன் ம்ஹொட்டொ தூ3த்தெ3னி ஜந்து,The whale is the largest mammal,திமிங்கிலம் மிகப்பெரிய பாலூட்டி,animal,corpus_sourashtradictionary
,,பு4ய்ஞ்பனி ஜீவுன்,bhuynjpani jeevun,,,,Amphibian,நிலநீர் உயிரினம்,பெ3ஸ்களி ஒண்டெ பு4ய்ஞ்பனி ஜீவு,The frog is an amphibian animal,தவளை ஒரு நிலநீர் உயிரினம்,animal,corpus_sourashtradictionary
,,ஸரபடணார் ஜீவுன்,sarapaTaNaar jeevun,,,,Reptile,ஊர்வன,ஸரபடணார் ஜீவுன் ஸில்லொ ரெக3துயொ,Reptiles are cold-blooded,ஊர்வன குளிர் இரத்தம் கொண்டவை,animal,corpus_sourashtradictionary
,,ம்ருகொ3,mrugo,,,,Animal,"விலங்கு, மிருகம்",ஐஸ்து பொ3லீம் ஹொயெ ம்ருகொ3,The elephant is the strongest animal,யானை வலிமையான விலங்கு,animal,corpus_sourashtradictionary
,,ம்ருகொ3ஸாலொ,mrugosaalo,,,,Zoo,மிருகக்காட்சிசாலை,ம்ருகொ3ஸாலாம் அஸ்கி வித4 ம்ருக3ம்னுக் ஸவாய்,You can see all the animals at the zoo,மிருகக்காட்சிசாலையில் அனைத்து விலங்குகளையும் பார்க்கலாம்,animal,corpus_sourashtradictionary
,,ஜந்து,jantu,,,,Creature,"பிராணி, விலங்கு",ப3ந்தொ3 காய் தா4னு ஜந்து கீ?,What kind of creature is the cockroach?,கரப்பான் பூச்சி என்ன வகையான உயிரினமோ?,animal,corpus_sourashtradictionary
,,ஶிஷ்டஜந்து,ssishTajantu,,,,Polite animal,சாதுவான பிராணி,கா3ய் கொ2ப்3பி3ம் ஶிஷ்டஜந்து,The cow is always a polite animal,பசு எப்போதும் சாதுவான பிராணி,animal,corpus_sourashtradictionary
,,து3ஷ்டஜந்து,dushTajantu,,,,Wicked animal,பொல்லாத பிராணி,வாக்3 ஒண்டெ து3ஷ்ட ஜந்து,The tiger is a wicked animal,புலி ஒரு பொல்லாத பிராணி,animal,corpus_sourashtradictionary
,,மூகு3,moogu,,,,Animal,"விலங்கு, மிருகம்","மூகு3னும் கா3மு மூகு3, ராணு மூகு3 மெனி தீ3 ம்ஹொட்டொ வகொ3 ஸே",There are two major types of animals: the domestic animal and the wild animal,"விலங்குகளில் வீட்டு விலங்கு, காட்டு விலங்கு என இரண்டு பெரிய வகை உள்ளது",animal,corpus_sourashtradictionary
,,கா3மு மூகு3,gaamu moogu,,,,Domestic animal,வீட்டு விலங்கு,"கொ4டொ3, பெ4ண்டு3, கொ3ரு அஸ்கி கா3மு மூகு3ன்","Horses, sheep, and cows are domestic animals","குதிரை, ஆடு, மாடு ஆகியவை வீட்டு விலங்குகள்",animal,corpus_sourashtradictionary
,,ராணு மூகு3,raaNu moogu,,,,Wild animal,காட்டு விலங்கு,"ராண் பெ4ய்ஸ், வாக்3, ஸிம்ஹொ அஸ்கி ராணு மூகு3ன்","Wildebeest, tiger and lion are wild animals","காட்டெருமை, புலி, சிங்கம் ஆகியவை காட்டு விலங்குகள்",animal,corpus_sourashtradictionary
,,ஸாது4 மூகு3,saadhu moogu,,,,Polite animal,சாதுவான விலங்கு,கா3ய் ஒண்டெ ஸாது4 மூகு3,The cow is a polite animal,பசு ஒரு சாதுவான விலங்கு,animal,corpus_sourashtradictionary
,,உடு3த்தொ,uDutto,,,,Squirrel,அணில்,உடு3த்தொ பாடுர் தீ2ன் கி3தொ ர்ஹாயி,The squirrel has three stripes on its back,அணிலின் முதுகில் மூன்று கோடுகள் இருக்கும்,animal,corpus_sourashtradictionary
,,சிக்3லொ,ciglo,,,,Squirrel,அணில்,சிக்3லொ கொ2ப்3பி3ம் ஜா2டு3னும் ஜிவஸு,The squirrel always lives in the tree,அணில் எப்போதும் மரத்தில் வாழும்,animal,corpus_sourashtradictionary
,,ஹுந்தி3ர்,hundir,,,,Rat,எலி,ஹுந்தி3ர் ஸதா3 கலம் அபுலுக் ஶுத்3த4ம் கெர்லேத் ர்ஹாஸு,The rat is always cleaning itself,எலி எப்போதும் தன்னை சுத்தப்படுத்திக் கொண்டே இருக்கும்,animal,corpus_sourashtradictionary
,,கூ4ஸ்,ghoos,,,,Bandicoot,பெருச்சாளி,ஸுனொ கூ4ஸுக் ஸியெத் தெர்மஸு,The dog chases when it sees a bandicoot rat,நாய் பெருச்சாளியைக் கண்டால் விரட்டுகிறது,animal,corpus_sourashtradictionary
,,சுஞ்சு,cunjcu,,,,Shrew,மூஞ்சூறு,சுஞ்சு விநாய் வாஹனொ மெனி மெனன்,Shrew is known as vehicle of Ganesha,மூஞ்சூரு விநாயகரின் வாகனம் என்பார்கள்,animal,corpus_sourashtradictionary
,,மஞ்ஜிரி,manjjiri,,,,Cat,பூனை,மஞ்ஜிரிக் தூ3த் ஒப்பாயி,The cat loves milk,பூனைக்கு பால் பிடிக்கும்,animal,corpus_sourashtradictionary
,,பு3ஸ்குல்,buskul,,,,Male cat,"ஆண் பூனை, கடுவன் பூனை",பு3ஸ்குல் கின் ஸுனொ ஸதா3 மல்லஸுனு,Male cat and dog are always fighting,கடுவன் பூனையும் நாயும் எப்போதும் சண்டையிடுகின்றன,animal,corpus_sourashtradictionary
,,ஸுனொ,suno,,,,Dog,நாய்,ஸுனொ ஒண்டெ விஶ்வாஶ்ஹொயெ மூகு3,The dog is a loyal animal,நாய் ஒரு விசுவாசமான விலங்கு,animal,corpus_sourashtradictionary
,,பெ4ண்டு3,bheNDu,,,,Goat,ஆடு,பெ4ண்டு3 பானுக் கா2ஸு,Sheep eats leaves,ஆடுகள் இலைகளை உண்ணும்,animal,corpus_sourashtradictionary
,,ம்ஹெடி3 பெ4ண்டு3,mheDi bheNDu,,,,Sheep,செம்மறி ஆடு,ம்ஹெடி3 பெ4ண்டு3 அவ்ங்கொ லோகர் தே3ஸு,Sheep gives us wool,செம்மறியாடு நமக்கு கம்பளி கொடுக்கிறது,animal,corpus_sourashtradictionary
,,ஶெலி பெ4ண்டு3,sseli bheNDu,,,,Goat,வெள்ளாடு,ஶெலி பெ4ண்டு3 தூ3த் ஆங்கு3க் புஷ்டி கெரஸு,Goat's milk nourishes the body,வெள்ளாட்டின் பால் உடலுக்கு ஊட்டமளிக்கிறது,animal,corpus_sourashtradictionary
,,கா3ய்,gaay,,,,Cow,பசு,கா3ய் தூ3த் போஷணொ தே3ஸு,Cow's milk provides nutrition,பசுவின் பால் ஊட்டச்சத்தை அளிக்கிறது,animal,corpus_sourashtradictionary
,,கோ3,gO,,,,Cow,பசு,கோ3 தூ3த் ஆங்கு3க் தா4ஷ்டி தே3ஸு,Cow's milk gives strength to the body,பசுவின் பால் உடலுக்கு வலிமை கொடுக்கிறது,animal,corpus_sourashtradictionary
