sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
ꢦꢾꢱꢵꢮ꣄꣄,प॑सावरुन्ति,பெஸாவ்,pe'saav,pEsAv,pĕsāv,pes̪ɑːʋ,breadth,அகலம்,,,,Measurements,words
ꢬꢸꢥ꣄ꢡꢶ,प॑सावरुन्ति,ருந்தி,runti,runti,runti,ɾun̪t̪ɪ,breadth,அகலம்,,,,Measurements,words
ꢨꣂꢜ꣄,बा॑ट्,போ3ட்,bot',boT,boṭ,boːʈ,inch,அங்குலம்,,,,Measurements,words
ꢂꢞꢶ,अडि,அடி3,ad'i,aDi,aḍi,əɖɪ,foot,அடி,,,,Measurements,words
ꢪꣂꢦꢸ,मोवु,மோவு,mopu,mopu,mopu,moːpu,measurement,அளவு,,,,Measurements,words
ꢪꣂꢦꢸ ꢓꢜ꣄ꢜꢶ,मोवुखट्टि,மோவுக2ட்டி,mopu khat't'i,mopu khaTTi,mopu khaṭṭi,moːpu kʰəʈʈɪ,scale,அளவு கோல்,,,,Measurements,words
ꢂꢬꣁ,अरा॑,அரொ,aro',arO,arŏ,əɾo,radius,ஆரம்,,,,Measurements,words
ꢥꢶꢪ꣄ꢥꣁ,निम्ना॑,நிம்னொ,nimno',nimnO,nimnŏ,n̪ɪmn̪o,depth,ஆழம்,,,,Measurements,words
ꢭꣁꢡ꣄,लोत,லோத்,lo't,lOt,lŏt,lot̪,depth,ஆழம்,,,,Measurements,words
ꢂꢜ꣄ꢥꣁ,अट्ना॑,அட்னொ,at'no',aTnO,aṭnŏ,əʈn̪o,1/8 of a standard measurment,ஆழாக்கு,,,,Measurements,words
ꢲꢡ꣄ꢣꢞ꣄ꢞꣁ,हत्दड्डा॑,ஹத்த3ட்3டொ3,hatdad'd'o',hatdaDDO,hatdaḍḍŏ,ɦət̪d̪əɖɖo,half measure,உரி,,,,Measurements,words
ꢒꢵꢭꢞ꣄ꢞꣁ,कालड्डा॑,காலட்3டொ3,kaalad'd'o',kAlaDDO,kālaḍḍŏ,kɑːləɖɖo,1/4 of a measure,உழக்கு,,,,Measurements,words
ꢱꣂꢮꢸ,चोवु,சோவு,sovu,sovu,sovu,s̪oːʋu,1/4 of a measure,உழக்கு,,,,Measurements,words
ꢩꢵꢬ꣄ꢪꣂꢮꢸ,भार्मोवु,பா4ர்மோவு,bhaarmovu,bhArmovu,bhārmovu,bʰɑːɾmoːʋu,measurement of weighing,நிறுத்தல் அளவை,,,,Measurements,words
ꢙꣂꢒ꣄,जोक,ஜோக்,jok,jok,jok,d͡ʒoːk,weight,எடை,,,,Measurements,words
ꢪꣁꢮ꣄ꢙꢥ꣄ꢪꣂꢮꢸ,मा॑व्जन्मोवु,மொவ்ஜன்மோவு,mo'vjanmovu,mOvjanmovu,mŏvjanmovu,moʋd͡ʒən̪moːʋu,measurement of counting,எண்ணல் அளவை,,,,Measurements,words
ꢆꢦꢒꢬꢠꣁ,उपकरणा॑,உபகரணொ,upakarano',upakaraNO,upakaraṇŏ,upəkəɾəɳo,instrument,கருவி,,,,Measurements,words
ꢔꢥꢪꣂꢦꢸ,गनमोपु,க3னமோவு,ganamopu,ganamopu,ganamopu,gən̪əmoːpu,cubic measurement,கன அளவு,,,,Measurements,words
ꢩꢵꢬ꣄,भार्,பா4ர்,bhaar,bhAr,bhār,bʰɑːɾ,heavyness,கனம்,,,,Measurements,words
ꢔꢾꢙ꣄ꢙꢸ,ग॑ज्जु,கெ3ஜ்ஜு,ge'jju,gEjju,gĕjju,ged͡ʒd͡ʒu,yard,கஜம்,,,,Measurements,words
ꢂꢮ꣄ꢞ ꢪꣂꢮꢸ,अव्डमोवु,அவ்ட3மோவு,avd'a movu,avDa movu,avḍa movu,əʋɖə moːʋu,cross-section measurement,குறுக்களவு,,,,Measurements,words
ꢗꢡ꣄ꢬꢸꢭ꣄ ꢪꣂꢮꢸ,चत्रुल्मोपु,சத்ருல்மோவு,chatrul movu,catrul movu,catrul movu,t͡ʃət̪ɾul moːʋu,square measurement,சதுர அளவு,,,,Measurements,words
ꢙꢵꢠ꣄,जाण्,ஜாண்,jaan,jAN,jāṇ,d͡ʒɑːɳ,six inches or little more covering the tip of the stretched thumb to the tip of the stretched little finger,சாண்,,,,Measurements,words
ꢗꢶꢪ꣄ꢜꣁ,चिटा॑,சிம்டொ,chimt'o',cimTO,cimṭŏ,t͡ʃɪmʈo,a pinch,சிட்டிகை,,,,Measurements,words
ꢦꢬꢶꢡꢶ,परिति,பரிதி,pariti,pariti,pariti,pəɾɪt̪ɪ,perimeter,சுற்றளவு,,,,Measurements,words
ꢒꢸꢠ꣄ꢮꢫ ꢪꣂꢮꢸ,कुण्वयमोवु,குண்வயமோவு,kunvaya movu,kuNvaya movu,kuṇvaya movu,kuɳʋəjə moːʋu,perimeter,சுற்றளவு,,,,Measurements,words
ꢡꢸꢭꣁ,तुला॑,துலொ,tulo',tulO,tulŏ,t̪ulo,balance,தராசு,,,,Measurements,words
ꢥꢬꢵꢙꢶ,नराजि,நராஜி,naraaji,narAji,narāji,n̪əɾɑːd͡ʒɪ,balance,தராசு,,,,Measurements,words
ꢒꢸꢜ꣄ꢒꣁ,कुट्का॑,குட்கொ,kut'ko',kuTkO,kuṭkŏ,kuʈko,piece,துண்டு,,,,Measurements,words
ꢨꢶꢥ꣄ꢣꢸ,बिन्दु,பி3ந்து3,bindu,bindu,bindu,bɪn̪d̪u,drop,துளி,,,,Measurements,words
ꢡꣁꢭꣁ,ता॑ळा॑,தோலொ,to'lo',tOlO,tŏlŏ,t̪olo,a weight of 10 grams,தோலா,,,,Measurements,words
ꢥꢵꢳꢶ,नाळि,நாளி,naal'i,nALi,nāl̤i,n̪ɑːɭɪ,approximately little more than half litre,நாழி,,,,Measurements,words
ꢩꢵꢬ꣄ ꢪꣂꢮꢸ,भार्मोवु,பா4ர் மோவு,bhaar movu,bhAr movu,bhār movu,bʰɑːɾ moːʋu,Measurement of weight,நிறுத்தல் அளவை,,,,Measurements,words
ꢭꢵꢪ꣄ ꢪꣂꢮꢶ,लाम्मोवु,லாம்மோவு,laam movi,lAm movi,lām movi,lɑːm moːʋɪ,linear measurement,நீட்டல் அளவை,,,,Measurements,words
ꢪꢹꢬꣁ,मूरा॑,மூரொ,mooro',mUrO,mūrŏ,muːɾo,length,நீளம்,,,,Measurements,words
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,ad'd'o',aDDO,aḍḍŏ,əɖɖo,a little more than 2 litres,"பக்கா,",,,,Measurements,words
ꢮꢜꣁ,वटू,வடொ,vat'o',vaTO,vaṭŏ,ʋəʈo,portion,பகுதி,,,,Measurements,words
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,ad'd'o',aDDO,aḍḍŏ,əɖɖo,approximately 1 litre,படி,,,,Measurements,words
ꢥꢾꢬ꣄ꢦꢾꢪꣂꢮꢸ,न॑र्प॑मोवु,நெர்பெமோவு,ne'rpe'movu,nErpEmovu,nĕrpĕmovu,n̪eɾpemoːʋu,area,பரப்பளவு,,,,Measurements,words
ꢦꢭꢪ꣄,पलम,பலம்,palam,palam,palam,pələm,a measurement of weight,பலம்,,,,Measurements,words
ꢂꢣ꣄ꢣꢾ,हद्दे,ஹத்3தெ3,adde',addE,addĕ,əd̪d̪e,half,பாதி,,,,Measurements,words
ꢪꢹꢣ꣄,मूड्,மூட்3,mood,mUd,mūd,muːd̪,a handfull,பிடி,,,,Measurements,words
ꢪꢹꢞ꣄ꢩꣂꢬ꣄,मूड्बोऱ,மூட்3போ4ர்,mood'bhor,mUDbhor,mūḍbhor,muːɖbʰoːɾ,a handfull,பிடி,,,,Measurements,words
ꢪꢬꢒ꣄ꢒꢵꢭ꣄,मरक्काल,மரக்கால்,marakkaal,marakkAl,marakkāl,məɾəkkɑːl,a measure of approximately 5 to 8 litres,மரக்கால்,,,,Measurements,words
ꢪꢹꢬꣁ,मूरा॑,மூரொ,mooro',mUrO,mūrŏ,muːɾo,one arm length,மாறு,,,,Measurements,words
ꢪꢷꢜ꣄ꢜꢬ꣄,मीट्टर्,மீட்டர்,meet't'ar,mITTar,mīṭṭar,miːʈʈəɾ,meter,மீட்டர்,,,,Measurements,words
